DOY2,HR2,TAU,H,LE,FC,CO2,H2O,T_SONIC,PA,VPD,WS,USTAR,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,PPFD_IN,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT
1,9.25,-0.0063877064,61.5272812437465,115.347836474604,8.01744741089111,783.831075,11.4107345000124,13.0590868437766,103.332125,9.26938984806517,9.41939353590927,0.607421717999659,10.2325,11.9965,13.276,44.6792499999999,48.8815,696.23780825,94.5,12.98675,315.8525,59.13,370.3115,376.47475
1,9.75,-0.01208478,93.9783666931564,146.619025,15.5159391836624,714.179117143065,11.4039996547486,14.2091007813874,103.3447,8.75153180536652,8.7363467224005,0.60737188931561,10.32125,12.01075,13.26175,67.6085,87.4425,865.4144725,94.4775,13.4985,393.2225,58.0005,372.64525,381.65775
1,10.25,-0.01138814465,133.629673560593,168.222375,4.44460370551625,570.29040009183,11.7462658812169,13.712212679873,103.3568,9.59461775851995,10.0093284055782,0.6436141,10.44,12.05925,13.2605,92.0725,116.7975,1020.056845,94.5775,14.039,477.7175,63.92475,367.6015,389.62325
1,10.75,-0.0148923,155.132102561898,204.75805,2.61395886896051,501.366539480933,13.22708,16.2823,103.3406,10.5563317405968,9.82470812269214,0.696813180266854,10.5875,12.10925,13.2505,113.6025,142.46,1139.8596325,94.6,14.97975,504.4725,65.61575,364.0095,400.08875
1,11.25,0.0186813308999998,183.759359844353,254.530575,3.76354469499235,486.8118,12.57636,15.4046693180924,103.2774,11.0277555691589,9.76613850343322,0.6794537,10.85125,12.1255,13.255,129.03,163.555,1234.611735,94.655,15.83425,573.5775,73.163,368.33775,412.77425
1,11.75,-0.00882588110000005,188.061303082912,247.398175,3.96059226562526,485.113014527535,12.72439,16.1623843564767,103.2566,12.4081347919899,10.34656,0.6786816,11.23875,12.1755,13.2695,133.065,180.51,1304.7581025,94.4875,16.52775,594.475,76.31575,366.74625,426.29325
1,12.25,-0.00897954540000002,205.638937290045,258.96985,5.27152682215667,475.307775286604,12.6837957773765,17.1220483130135,103.2032,13.4932583715175,10.7818931923409,0.7046963,11.74875,12.254,13.294,138.085,187.32,1326.627395,94.3975,17.4825,601.09,77.11875,369.5865,434.16275
1,12.75,0.01097315,183.232745148119,261.671875,3.71566137817412,477.09400148641,12.6758680638028,17.7954021908226,103.1486,14.3627658968212,10.1862805089508,0.71842847860715,12.185,12.44275,13.33,118.66,187.2325,1316.97198,94.12,18.11025,584.735,75.83325,373.605,435.63475
1,13.25,0.025275,180.385006424348,230.81,3.366768,477.91375,12.771325,18.702334135903,103.1415,15.2715501732687,9.73619672202758,0.692046712339118,12.87875,12.49125,13.348,130.2875,180.41,1285.9367175,93.2325,19.062,559.935,72.80825,369.26325,438.81775
1,13.75,-0.005912061125,171.47449922751,248.9991,2.79931775,476.246826270913,13.0571136237644,19.2219699954449,103.1345,16.250367714317,10.6051251186932,0.693828897442661,13.63,12.6035,13.338,125.6125,170.5625,1161.9291525,92.58,19.87625,520.9425,68.42875,369.15125,439.446
