DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,14.25,8.63,7.0433615,1.124758,0.17168065,0.7521638,159.6271,-0.7696575855,-0.78,427.2834,92.94816,248.837,291.2464,23.69884,-4.5216,76.3115,2.36377,2061.5895,3.624174,-0.001663133,0.02628897,0.082141805,-0.008392419,95.91381
1,14.75,4.5625165,6.394773,1.076147866,0.1979617,0.7459733,117.71285,-0.596326973,-0.6,426.6626,74.700625,254.63835,290.01845,12.509665,-4.854634,77.000335,2.3701775,2062.419,3.468064,-0.0047956745,-0.0042851284,-0.1468015,0.007041808,95.88806
1,15.25,0.7985534,4.945402,0.963003265,0.16719255,0.6648522,77.5145,-0.534741527,-0.52518375,427.1873,45.184085,255.08995,287.60665,1.837625,-4.961475,80.50375,2.380284,2060.838,2.579718,-0.005536903,-0.0156061865,-0.3012664,-0.040382245,95.93729
1,15.75,-2.107141,3.22573,0.9383061,0.16538815,0.59496025,38.2015,-0.307524731,-0.31,427.0608,26.82808,257.0743,284.3685,-5.304916,-5.151583,84.21834,2.353149,2061.248,3.696525,-0.002739528,-0.047393395,-0.3375201,0.04326909,95.96284
1,16.25,-3.2269975,2.2340915,0.7463897,0.1332564,0.4679953,13.92031,-0.130158987,-0.04348704,427.00725,9.386834,251.0411,282.6552,-16.58184,-5.998199,86.61667,2.3346985,2060.946,2.7266525,0.001491937,-0.09595962,-0.43955335,-0.000758082,95.9753
1,16.75,-5.004092,2.45,0.6406676,0.1453735,0.3662454,0.3544167,-0.1952395,-0.1748172,426.499,1.425917,256.5232,279.1711,-16.10158,-6.251,88.75332,2.2208235,2060.469,3.614712,-0.001070755,-0.09101386,-0.426311,0.01426319,95.97912
1,17.25,-3.19428,1.69,0.645461,0.12298185,0.3525686,0,0.03609682,0.05577043,426.6532,0.03399997,257.5377,276.9877,-16.72608,-7.056601,89.69001,2.1872915,2063.031,2.775363,0.004640564,-0.11243675,-0.4705846,0.061173315,95.98318
1,17.75,-2.747809,1.119318,0.6120165,0.1300706,0.2672424,0,-0.06771278,-0.05138064,427.3312,-0.05208333,264.5971,275.7586,-14.76,-7.316725,90.04137,2.1736335,2065.145,3.537154,0.003889779,-0.042704415,-0.2684827,0.05768286,95.99844
1,18.25,-2.681744,0.7411521,0.6361477,0.1288456,0.2193546,0,0.166311388,0.17,427.141,-0.0305,267.12855,274.3642,-11.269625,-7.708899,91.124175,2.120622,2071.591,3.99596,0.00623322075,-0.0479446075,-0.24349055,0.04604635,96.00516
1,18.75,-2.8783545,0.68,0.66470057,0.1517718,0.2278058,0,-0.037261215,-0.077725105,426.9925,-0.015875,268.50745,274.1807,-9.157791,-8.0258835,90.39833,2.0755215,2068.752,2.4913395,0.0085766625,-0.0531848,-0.2184984,0.03440984,95.98932
1,19.25,-4.1785195,0.37,0.65120395,0.1643699,0.20871765,0,-0.2304513,-0.16,427.07595,-0.04051725,267.3605,273.3526,-8.74431,-8.381034,90.24137,2.016227,2068.1115,3.319086,0.002447854,-0.053156805,-0.1742907,-0.003150251,96.052925
1,19.75,-2.66878,1.158453,0.669188,0.1399892305,0.213787,0,-0.07496558,-0.09504144,428.1159,-0.02303571,267.8739,275.8946,-7.931161,-8.387857,90.12222,1.996298,2067.9885,3.270321,0.001840592,-0.04914239,-0.1960317,9.080073e-05,96.057615
1,20.25,-2.571891,0.1,0.7128091,0.1454092,0.21540875,0,0.03282157,0.04858446,428.7885,-0.0200862,268.2173,272.9054,-8.796035,-8.741723,91.02412,1.841277,2069.581,3.58417,0.007324893,-0.05106293,-0.1480187,-0.00242972,96.07157
