DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,TS_1_3_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1
1,5.25,-0.2926015,-82.2067575,-12.37243375,-0.96543725,0.236803425,0.029757,0.234238,422.725725,4.493894,0.1729775,0.17981025,0.02505055,0.051423575,99.854855,-0.53707855,46.7717975,-10.50469,-12.55195,-13.60395,-5.292605,-4.378751,239.8415,0.1608199,303.55555,-52.23211,-0.0844367,8.4679645,5.8722145,7.063861,-86.412805
1,5.75,-0.26766725,-81.65666,-5.352186,-1.925475375,0.245660725,0.02419788,0.5145295,421.866,4.546125,0.1561405,0.152769,0.0220514,0.05282765,99.8635,-0.44550645,46.66347,-10.7729,-12.70605,-14.074495,-4.68325,-4.509271,240.6191,0.20187855,304.6899,-60.0922,-0.083163355,8.4640645,5.8229445,7.0413455,-86.791615
1,6.25,-0.3005376,-80.1657775,-6.3979535,-3.26546775,0.19603025,0.032802425,0.44438975,421.6222,4.573191,0.17522725,0.15286625,0.026807025,0.057785525,99.827845,-0.4911749,48.111755,-11.02366,-12.929505,-14.454805,-5.18675,-4.637079,239.58,0.13021145,305.14695,-43.65073,-0.081505,8.4608145,5.771686,7.0158495,-86.897215
1,6.75,-0.320067925,-76.154575,-3.565365,-0.8790159,0.201760025,0.0289545375,0.3774584,421.5686,4.467959,0.178531525,0.164344025,0.030055175,0.04862466,99.761845,-0.5193201,48.22564,-11.25589,-13.12986,-14.805045,-4.993725,-4.48671,239.3331,0.16190355,303.0681,-38.5317825,-0.08206,8.4547355,5.7153055,6.992811,-84.101385
1,7.25,-0.362178375,-82.28196,-6.6128085,-1.61753425,0.1663102,0.03467779,0.2676278,421.165075,4.3756505,0.1874288,0.1801458,0.02604268,0.04801612,99.7378,-0.69295845,47.05676,-11.460255,-13.3268,-15.129445,-5.0710805,-1.979149,239.207,0.2432849,302.728,-27.2360375,-0.049521655,8.4504,5.6516305,6.969305,-81.2376575
1,7.75,-0.3430718,-65.90952,-4.514623,-1.0500973,0.09645636,0.03138129,0.20069348,421.8604,4.41414,0.1866618,0.1589666,0.03565438,0.05714184,99.70999,-0.61169145,46.3924,-11.650295,-13.523295,-15.4527,-5.1861045,0.98989,239.00805,0.6287849,303.08645,-79.346195,0.1939451,8.44352,5.5933,6.94257,-53.8570825
1,8.25,-0.3210238,-78.04791,-1.733772225,-4.9206345,0.144670825,0.037621505,1.32676675,421.69045,4.4987915,0.189101725,0.175407875,0.0509741775,0.0599496075,99.729155,0.73666855,44.006355,-11.8095,-13.713755,-15.795945,-5.3669605,4.653032,239.87405,1.1576,310.193,-40.2112825,0.72723145,8.43468,5.558265,6.912885,-23.79302
1,8.75,-0.3998551,-44.1270125,0.58224962,-7.817164,0.2388894,0.052665025,2.367292,421.03175,4.59405875,0.230861,0.1983916,0.07037606,0.06512092,100.0020225,1.993091,42.423795,-12.0055,-13.8759,-16.09671,-5.75551,9.72044,245.4075,1.7457895,316.2345,-21.754965,1.478631,8.42482275,5.5591255,6.8816155,0.7213522275
1,9.25,-0.357806525,-40.83111,2.572085,-13.35341,0.2391752,0.060304715,3.482204,420.9041,4.667674,0.2646018,0.2095092,0.08838082,0.08495394,99.898145,3.340341,39.571045,-12.13139,-14.0027,-16.0302,-5.794849,19.432745,249.50205,2.010606,321.95695,8.4109095,2.17941,8.4239355,5.543875,6.8492645,10.2234025
1,9.75,-0.4125992,-26.45528,9.8293735,-14.16443,0.22414595,0.06203998,5.05972825,420.71395,4.673821,0.239971225,0.2735969,0.0963659375,0.1031983,99.96895,4.66613,38.706305,-12.20241,-14.072895,-16.09274,-5.8892895,26.92803,250.988,3.0146555,327.99605,21.63285,3.15536,8.4303155,5.533095,6.8174255,11.33367725
1,10.25,-0.4528603,-35.239475,9.9561905,-15.56633,0.40808125,0.0943820375,6.178156,419.455875,4.71180125,0.3367926,0.31111025,0.1334477,0.08051114,100.046145,5.4212745,37.42886,-12.2048,-14.076145,-16.376305,-5.979851,30.20935,252.00705,3.40913,337.02705,11.5355455,3.7909555,8.4394645,5.52721,6.784624,11.8898005
1,10.75,-0.433637925,-25.4640725,15.472305,-17.99028,0.2792939,0.0735214875,7.220856,418.69625,4.73916275,0.37504795,0.32019435,0.14397895,0.085361295,100.07,5.665774,34.470505,-12.264345,-14.055995,-16.588405,-5.927301,39.034855,255.64545,4.0972155,343.584,46.395395,4.594325,8.44503,5.530435,6.754939,22.953245
