DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
2,1.75,-0.0621,-10.6195,0.35187,-0.451172,0.608149,0.0939,-6.48391,376.4775,1.061475,0.419115,0.394032,0.149577,0.094225,-1.775988,0.44537985,272.5735902,293.4544244,0.0035,-6.765,73.855
2,2.25,-0.0818,-11.2421,1.342635,-0.623642,0.670546,0.104384,-6.62188,376.78525,1.08723,0.402521,0.357489,0.157205,0.0991,-1.8156935,0.4511331,271.5699581,293.0302558,-5e-04,-7.064,73.915
2,2.75,-0.0711,-7.0158075,1.62446,-0.3773585,0.530986,0.0936,-6.7458575,376.0845,1.094805,0.385763,0.324591,0.155663,0.093775,-1.8890675,0.3984376,274.291082,291.633156225,0.0025,-7.4385,74.155
2,3.25,-0.0659,-7.3617675,1.901285,-0.391878,0.518497,0.0998,-6.76242,371.7755,1.111985,0.375238,0.324748,0.168831,0.0803,-1.6584065,0.4167197,275.1456579,291.0578772,0.004,-7.5485,73.025
2,3.75,-0.0671,-6.5754575,1.57586,-0.93717625,0.6822305,0.101968,-6.7495475,373.0515,1.103985,0.3627615,0.3747025,0.1400265,0.0896,-1.5810905,0.44723305,273.149324075,291.446089125,0,-7.462,74.33
2,4.25,-0.08025,-11.1427,2.31198,0.0464,0.52546475,0.089,-6.6955625,375.056,1.085865,0.376014,0.3343485,0.152339,0.08025,-2.0735205,0.4024312,272.862205525,291.31404145,0.001,-7.3645,74.565
2,4.75,-0.05895,-9.1748475,2.301515,-0.307645,0.650765,0.113795,-6.180385,376.424,1.147305,0.3784635,0.3564675,0.174161,0.071775,-1.601499,0.3077652,271.5422355,295.1524295,0.00025,-7.003,74.555
2,5.25,-0.06555,-12.321275,-0.49721625,0.0779,0.57440425,0.0959,-6.883645,375.8105,1.1884625,0.40042675,0.38744025,0.18924125,0.06875,-1.571368,0.398393225,271.35670625,291.4147985,0.00225,-7.0455,75.21
2,5.75,-0.0603,-6.73827,0.127449,-0.0029,0.6658485,0.1031725,-6.2717775,374.0055,1.1369775,0.3873655,0.3775025,0.1618805,0.0742,-1.646617,0.5075324,273.930239525,293.72141,0.003,-7.011,75.48
2,6.25,-0.0617,-8.118425,0.888776,-0.205729,0.681228,0.07975,-6.2769,374.7165,1.162,0.3527595,0.3649525,0.166936,0.0764,-1.969932,0.4540563,272.1451021,293.25200495,0,-7.071,74.55
2,6.75,-0.0743,-12.81015,0.6649,-0.5058,0.679514,0.104586,-6.3805225,370.3995,1.13572,0.429497,0.3729705,0.200249,0.06765,-1.633232,0.4777589,273.983089725,295.7350548,0.002,-6.844,73.98
2,7.25,-0.05545,-11.6693,1.95402,-0.39080575,0.7954365,0.11895,-6.44893,372.40875,1.1958,0.428715,0.439602,0.192113,0.0752,-1.665111,0.4671812,276.38166305,298.028656875,0.051,-7.287,74.09
2,7.75,-0.0534,-6.947045,1.39895,-0.18406725,0.648185,0.098867,-6.60804,372.4745,1.16888,0.45796,0.4157125,0.1972325,0.07855,-0.03539022,0.845086,267.78033915,297.8914669,1.837,-7.481,74.92
2,8.25,-0.06465,-9.45835,0.75505,-0.35965225,0.766458,0.08935,-6.4693825,372.39825,1.20587,0.4672485,0.428294,0.192623,0.0966,5.150092,3.950179,264.081937,297.3491032,16.97,-7.363,75.02
2,8.75,-0.0993755,-4.63092,0.25213925,-0.348977,0.835081,0.117894,-5.4434675,370.8235,1.1805925,0.5052435,0.4661695,0.1870485,0.097475,17.56928,10.76791,262.64745465,294.4025291,61.08,-7.132,75.17
2,9.25,-0.09895,-2.256875,1.96711,-0.38309875,1.096415,0.14468,-5.73744,370.98275,1.174225,0.527557,0.563526,0.2218455,0.133407,45.87079,21.42826,266.6456611,296.446520375,126.3,-6.143,73.44
2,9.75,-0.1348485,-3.972625,1.90119,-0.2825835,1.319825,0.1663815,-5.874145,371.207,1.141985,0.658438,0.650454,0.2849035,0.135204,59.4048075,33.4341525,265.226919425,295.6771889,168.55,-5.48575,68.525
2,10.25,-0.158372,-5.689605,2.27513,-0.276961,1.2884925,0.173613,-5.95572,371.8105,1.1506,0.6800675,0.65831775,0.27488975,0.1279775,81.980375,37.9910025,260.5272648,293.89750595,245.625,-5.083,65.475
2,10.75,-0.114104,-2.8949125,3.05853,-0.45610525,1.3681675,0.16653225,-5.6078475,372.61975,1.14663,0.69548425,0.64428325,0.29348125,0.16076525,96.0871475,41.0246475,266.1158065,296.25336995,279.275,-5.00925,62.9325
2,11.25,-0.121747,-4.792655,3.7959925,-0.8604755,1.342325,0.1780965,-5.798375,372.56875,1.10126,0.7001925,0.773816,0.304235,0.155,113.48585,39.6526125,266.675557825,295.33806715,312.85,-4.69,61.92
2,11.75,-0.1082125,0.852015,5.54491,-1.0826775,1.4117,0.208072,-5.671275,373.12325,1.12989,0.7134865,0.8078695,0.319708,0.160785,137.023825,43.8107075,261.2068402,295.294630675,334.175,-4.27225,60.0175
