DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
2,12.75,378.78,4.595,-1.02,7.985,211.21,43.297,2.697,0.628,1.1676,1.3321,0.79916,99.9285,38.4,8.695,6.8,8.6562,0.45007,7.1365,7.1675,1130.5,622.255,79.284,274.985,367.78
2,13.25,378.54,4.592,-1.3115,9.9575,196.62,39.463,2.7695,0.6245,1.2056,1.3876,0.81921,99.8885,37.8365,8.96,7.07,8.8494,0.42025,7.357,7.21,1077,591.07,78.266,274.13,370.135
2,13.75,377.29,4.619,-1.3045,9.24,184.43,37.7225,2.92,0.623,1.2196,1.35485,0.80023,99.871,36.5065,9.264,7.48,9.0627,0.40884,7.5905,7.299,1024,574.31,77.65,276,372.8
2,14.25,377.41,4.5955,-1.203,8.53,182,34.4325,2.84,0.625,1.23775,1.37725,0.806815,99.8505,35.2205,9.4835,7.635,9.1923,0.380435,7.7135,7.3505,932.735,516.51,72.4645,275.96,371.435
2,14.75,378.13,4.659,-1.3595,7.79,156.005,32.284,2.841,0.642,1.18885,1.3574,0.77078,99.787,34.329,9.73,7.675,9.41195,0.34426,7.815,7.3615,836.86,468.94,69.0895,275.97,369.86
2,15.25,378.59,4.694,-1.332,6.57,128.575,31.15,2.9205,0.615,1.1691,1.2697,0.76024,99.7615,33.648,9.83,7.805,9.6695,0.31222,7.967,7.4375,697.44,388.825,57.9735,274.34,366.975
2,15.75,377.52,4.727,-0.853,4.8375,93.328,24.5195,2.836,0.59,1.1325,1.2473,0.73175,99.756,33.2815,9.818,7.865,9.7903,0.25865,8.0285,7.49,560.985,310.03,48.809,278,363.625
2,16.25,377.55,4.784,-0.524,1.9225,64.053,18.6045,2.773,0.577,1.0722,1.20615,0.707555,99.745,33.723,9.927,7.79,9.80955,0.19752,8.08,7.5325,348.7,212.67,37.55,275.47,358.42
2,16.75,377.815,4.715,-0.524,0.715,24.136,13.4175,2.6565,0.5305,0.9722,1.051,0.65842,99.745,34.12,9.545,7.52,9.8031,0.13968,8.0495,7.6105,231.67,129.385,26.993,273.275,353.19
2,17.25,377.77,4.764,-0.0795,-0.346,0.924,8.4365,2.4155,0.46,0.86255,0.90651,0.54671,99.756,37,9.2,6.915,9.6183,0.12438,8.0085,7.6545,97.75,55.4055,17.656,270.535,350
2,17.75,378.37,4.87,-0.026,-1.466,-12.1,5.117,2.1915,0.3485,0.68167,0.76459,0.45019,99.783,39.05,8.565,6.25,9.0796,0.1634,7.8685,7.6895,10,9.7225,4.2525,268.825,343.5
2,18.25,378.87,4.859,0.036,-2.955,-12.55,2.6985,2.08,0.29,0.570855,0.62078,0.363055,99.823,42.1,7.81,5.74,8.81675,0.1779,7.7195,7.709,0,-1.71,1.92,270.8,339
2,18.75,379.065,4.7995,0.147,-4.1625,-14.894,2.04,2.038,0.255,0.5402,0.579925,0.320135,99.816,45.025,7.155,5.075,8.4207,0.192655,7.692,7.7565,0,-2.3925,1.8035,274.415,337.215
2,19.25,378.795,4.923,0.1285,-4.5125,-13.474,1.202,2.045,0.247,0.53193,0.58133,0.33074,99.84,46.95,6.602,4.66,7.8533,0.19391,7.576,7.78,0,-2.202,1.666,273.48,335.5
2,19.75,378.99,4.886,0.138,-4.76,-14.977,0.935,2.048,0.2435,0.54471,0.5768,0.32243,99.816,49.65,6.265,4.37,7.5302,0.19962,7.5095,7.799,0,-2.107,1.745,270,333.405
2,20.25,379.25,5.0055,0.0875,-5.0475,-15.874,1.72,2.086,0.27,0.5893,0.59246,0.33728,99.835,51.9925,5.8525,4.255,7.2861,0.19136,7.3785,7.785,0,-2.175,1.631,268.635,331.89
2,20.75,379.24,4.951,0.156,-5.55,-17.048,1.391,2.1445,0.27,0.56765,0.64653,0.36366,99.859,53.49,5.6655,3.98,7.0051,0.19383,7.2535,7.7725,0,-1.9825,1.6475,271.775,330.675
2,21.25,380.405,4.994,0.193,-5.365,-20.4685,1.798,2.23,0.28,0.59284,0.672235,0.392005,99.868,54.0225,5.624,3.765,6.71595,0.199635,7.153,7.7475,0,-1.94,1.691,270.165,328.295
2,21.75,381.14,4.896,0.1275,-5.22,-19.4395,1.5215,2.321,0.317,0.628155,0.689545,0.4158,99.875,54.2615,5.4305,3.5,6.4871,0.19005,7.1215,7.73,0,-1.855,1.558,264.945,327.14
2,22.25,380.43,4.978,0.25,-5.55,-20.476,1.4125,2.236,0.302,0.62231,0.68793,0.39291,99.883,56.592,5.0075,3.36,6.28485,0.19058,6.994,7.695,0,-1.861,1.553,272.275,328.145
2,22.75,379.7,5.0075,0.17,-5.405,-19.2395,1.46,2.29,0.318,0.60748,0.69711,0.39947,99.889,57.7595,4.785,3.23,6.02175,0.185645,6.8925,7.645,0,-1.8735,1.551,267.065,326.62
2,23.25,379.935,5.181,0.1405,-6.0425,-17.363,1.147,2.362,0.311,0.633725,0.683925,0.39677,99.892,58.213,4.51,3.07,6.05415,0.19481,6.79,7.6275,0,-1.942,1.4985,270.5,324.745
2,23.75,379.83,4.909,0.145,-6.625,-20.218,1.0765,2.356,0.335,0.62654,0.74692,0.38562,99.884,59.73,4.2045,2.91,5.7303,0.18902,6.69,7.605,0,-1.8875,1.565,269.66,322.64
3,0.25,379.2,6.876,0.829,-4.85,-22.799,1.9485,2.437,0.332,0.65609,0.73143,0.45374,99.821,67.1875,8.525,3.64,9.7915,0.18127,9.759,10.33,0,-2.1555,1.717,276.51,342.82
3,0.75,380.42,6.901,0.7635,-5.255,-19.2,1.7305,2.377,0.312,0.66417,0.68119,0.4229,99.8365,68.0815,8.17,3.34,9.4621,0.179075,9.7425,10.2975,0,-2.105,1.735,277,340.98
3,1.25,381,6.847,0.785,-5.4375,-20.212,1.771,2.352,0.317,0.64179,0.70423,0.43092,99.814,69.33,7.951,3.175,9.27355,0.185485,9.696,10.2625,0,-2.035,1.6545,277.56,340.41
3,1.75,380.36,7.006,0.745,-5.515,-21.037,1.341,2.312,0.309,0.652445,0.727675,0.42671,99.8035,70.454,7.63,2.995,8.9127,0.1758,9.636,10.2225,0,-2.08,1.6635,277.31,338.695
3,2.25,381.18,7.072,0.7625,-5.95,-19.455,1.52,2.295,0.283,0.60842,0.69364,0.40054,99.781,70.55,7.6055,2.8,8.7246,0.18196,9.565,10.22,0,-2.049,1.5575,275.56,337.99
3,2.75,381.28,7.0595,0.5475,-6.255,-19.067,1.881,2.225,0.278,0.58127,0.67382,0.3957,99.7615,72.008,7.42,2.64,8.716,0.18518,9.521,10.203,0,-2.02,1.6385,280.685,336.42
3,3.25,380.46,7.05,0.543,-6.325,-17.6245,1.626,2.323,0.2715,0.59659,0.65505,0.40231,99.7565,73.8875,7.3245,2.61,8.5223,0.18953,9.437,10.165,0,-1.8815,1.5855,280.85,334.715
3,3.75,381.395,6.937,0.4895,-6.315,-16.8005,0.855,2.2,0.299,0.60509,0.69506,0.41417,99.766,75.1,7.145,2.42,8.4377,0.17487,9.331,10.1245,0,-1.897,1.634,281.215,333.53
3,4.25,380.95,6.9515,0.691,-6.355,-16.6625,1.0885,2.236,0.282,0.60393,0.68369,0.42571,99.796,75.9555,6.911,2.205,8.2087,0.17349,9.2355,10.0845,0,-1.8985,1.6205,280.075,332.84
3,4.75,382.45,6.903,0.604,-6.555,-17.593,1.314,2.273,0.299,0.62937,0.708245,0.419375,99.832,77.2825,6.6915,2.15,7.87825,0.179745,9.132,10.0115,0,-1.8125,1.55,282.735,332.97
3,5.25,382.18,6.934,0.5625,-6.845,-17.824,1.2,2.248,0.281,0.62709,0.69394,0.40806,99.852,77.79,6.3695,2.01,7.754,0.18971,9.097,9.936,0,-1.7335,1.539,278.61,331.685
3,5.75,382.95,6.91,0.562,-6.9525,-16.178,1.32,2.1845,0.2745,0.61145,0.66035,0.40767,99.879,78.507,6.0615,1.93,7.66745,0.18566,9.0055,9.883,0,-1.784,1.616,283,332.185
3,6.25,383.625,6.872,0.6705,-6.935,-17.088,0.959,2.2015,0.2725,0.620845,0.673115,0.408465,99.882,79.6615,5.8975,1.845,7.6649,0.177595,8.957,9.8325,1.2425,0.1995,1.9215,278.255,332.22
3,6.75,383.075,6.7665,0.706,-6.475,-12.9325,1.69,2.137,0.308,0.64246,0.67685,0.41923,99.884,79.7995,5.9495,1.77,7.2771,0.1619,8.9425,9.82,28.4805,16.9575,6.13,279.12,332.985
3,7.25,382.505,6.628,0.7015,-6.0675,-6.372,3.3735,2.15,0.337,0.68542,0.734075,0.462925,99.963,78.0025,6.018,2.01,7.1585,0.17494,8.8485,9.795,132.505,73.2575,19.643,277.95,336.795
3,7.75,381.79,6.8025,1.1395,-5.1525,5.5385,9.063,2.2175,0.3795,0.796835,0.80645,0.526345,99.988,74.754,6.5905,2.54,7.4316,0.20578,8.835,9.78,274.125,158.495,29.1,280.905,341.79
3,8.25,381.34,6.771,0.931,-2.68,30.205,18.412,2.242,0.461,0.88756,0.93561,0.60458,99.998,68.211,7.5375,3.31,8.2058,0.28238,8.9435,9.73,459.5,265.51,38.71,285.37,350.89
3,8.75,379.61,6.808,0.83,0.034,58.9445,28.9015,2.54,0.5345,1.0164,1.0449,0.67302,100,64.1205,8.415,4.045,9.0303,0.34608,8.9785,9.6875,661.5,377,47.874,282.11,360
3,9.25,378.24,6.8605,0.362,4.9525,114.17,35.7125,2.644,0.579,1.0562,1.166,0.7327,100,59.8,9.1825,4.615,9.777,0.37389,9.072,9.6725,831.5,460.365,55.5935,286,368.385
