DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
1,13.25,-3.10116670875,0.285,1.267,-0.48775,19.4400005,12.0695,412.7987404,4.893700219,95.16352844,89.0666679175,115.62500015,14.9916666675,243.025,305.133335825,47.3616655,1.403
1,13.75,-2.915666709,0.32075001,1.261999975,-0.372000005,14.942,8.8280001,413.0315626,4.772336188,95.169349675,79.5991684175,108.194166825,14.6450000025,244.0333317,305.9083308,46.745000835,1.40125
1,14.25,-2.8705416505,0.318,1.304,-0.4712499925,12.258,8.802250075,412.950956325,4.8274507235,95.154148105,66.9716663325,87.6125020825,12.885833285,241.674999975,305.933335825,45.906667,1.40200000025
1,14.75,-2.73333334625,0.2852499975,1.31975,-0.8322499975,9.78999985,8.0402498,412.54949765,4.58069419,95.168186185,48.0391670825,81.4025002525,10.4033333325,242.124999975,305.533333325,46.324999,1.40308333325
1,15.25,-2.725083359,0.2844999925,1.381,-0.467749995,3.390999925,5.922499875,412.6342742,4.388022288,95.21235657,33.5269166725,56.25083392,7.3580833665,241.45000335,304.100000025,46.096666665,1.4
1,15.75,-2.79000001675,0.2875,1.405,-0.3485000075,0.641,5.254250125,413.09953395,4.501057295,95.23441315,8.88791654975,37.255000085,5.49024985,240.66666915,302.7416717,47.119998665,1.40374999975
1,16.25,-2.7951667045,0.2615,1.308499925,-0.298499995,-3.930750075,2.3735,412.8071118,4.2008067625,95.27393341,-16.10333337,16.59666667,3.267333267,243.66667,301.7999967,47.986667835,1.40308333325
1,16.75,-3.0496666835,0.18875001,1.194,-0.337749995,-8.298,1.68575,412.4214431,4.373078177,95.27362061,-46.33666733,2.359,1.29000003,239.2333333,299.4666633,49.5600015,1.40708333325
1,17.25,-3.38450005,0.1679999975,1.091,-0.295,-16.27925075,0.815000015,413.07001295,4.33591698075,95.27764893,-67.07333367,-1.9953333,0.514,235.1666633,297.8999933,51.703333665,1.42825000025
1,17.75,-3.520125,0.181,1.15675,-0.25775,-18.797,0.1647500025,413.5194653,4.393982255,95.27455902,-72.95333367,-3.041666667,0.49599999,234.7333333,296.29999,53.163333335,1.42675
1,18.25,-3.558,0.191,1.482500025,-0.22075,-19.454,0.36625,413.71155345,4.34312785675,95.2430515275,-74.35499908,-3.622249942,0.4467499965,234.05,294.9916675,54.786666165,1.42999999975
1,18.75,-3.649333267,0.16675,1.32725,-0.276500005,-18.31475,-0.1525,413.81870255,4.310310335,95.2745914475,-71.8824995,-3.48675003325,0.44399999025,237.57500335,293.941671675,56.226666835,1.44675
1,19.25,-4.189166667,0.17425,1.167,-0.2125,-20.684999,0.131500005,413.945882275,4.43032405475,95.2685241725,-71.2241658325,-3.39708342475,0.45974999775,234.1499925,292.5833383,57.28999983,1.4325
1,19.75,-4.51183335,0.1435,1.225,-0.20575,-19.3354995,0.1612499925,413.583210275,4.4559888835,95.2591648125,-70.735832835,-3.4121666835,0.4431666675,237.1916667,291.508328325,57.49666567,1.40916666675
1,20.25,-4.6025001,0.132,0.99599999,-0.203,-17.563,0.2625,413.58933915,4.48847201425,95.2375793425,-67.4716664975,-3.200249975,0.39208332,236.66666915,291.0666692,58.960000335,1.41041666675
1,20.75,-4.6246667,0.127,0.9349999975,-0.139,-16.3974995,-0.006,413.9386803,4.50486561175,95.250116345,-68.6350005,-3.43275005,0.390499993,235.783334975,290.841658325,60.223333335,1.40691666675
1,21.25,-4.7343333255,0.1235,0.9194999925,-0.149,-15.73675,0.0645,413.760773475,4.379604754,95.2760162325,-67.503332665,-3.20008335,0.37625000475,237.608341675,291.341672475,61.2316665,1.40691666675
1,21.75,-5.010999984,0.13225,0.9632500075,-0.106,-16.754,-0.0685,414.168006,4.409338277,95.29207611,-67.5108325025,-3.05566668325,0.4190833295,237.34166835,290.775002475,62.656667,1.40333333325
1,22.25,-5.059999984,0.12175,0.94699999,-0.14075,-15.99975025,-0.09325,414.1569778,4.3439454975,95.24064064,-66.91750075,-3.0780832335,0.41433333525,236.124996675,288.8499992,63.13833367,1.40441666675
1,22.75,-5.27016672925,0.1175,0.97424999,-0.0965,-16.259,0.005,413.8831674,4.3861319225,95.23932648,-66.4699988325,-3.04550002475,0.35200000275,233.541665025,288.7749983,63.571666835,1.40316666675
1,23.25,-5.741999916,0.1135,0.9000000075,-0.152000005,-18.427,0.0335,415.2105884,4.4255149645,95.21043396,-67.899167335,-3.2094167665,0.39400000525,232.641667475,287.5166592,64.621667335,1.40308333325
1,23.75,-5.98112500475,0.112,0.847,-0.223,-17.992,-0.055,412.9830422,4.37557561625,95.179630275,-67.241668,-3.27016660825,0.37183332925,229.4249925,286.40832585,65.278331835,1.40725
2,0.25,-4.028499867,0.116,0.90499997,-0.087,-20.7390005,0.04675,416.26406255,4.2462737085,95.218259815,-68.1874999975,-3.370083308,0.307583334,248.924996675,294.749994175,60.063333,1.49958333325
2,0.75,-4.335666717,0.1165,0.896999985,-0.198,-25.1595,-0.192000005,415.971122925,4.32985827475,95.21874237,-65.832498335,-3.2891665915,0.25599999975,250.608335025,295.191676675,61.040001,1.49875
2,1.25,-4.3125,0.11425,0.92500001,-0.2285,-23.521,0.2065,415.0913229,4.27276580975,95.22994995,-64.240833,-3.03775007475,0.31050000825,250.53333585,295.03333,60.669998,1.49833333325
2,1.75,-4.4,0.123,0.90925002,-0.23125,-24.03,-0.1845,416.4874963,4.343048013,95.23985863,-63.5841667525,-3.04000002525,0.21966666475,249.12500085,294.4333308,60.993333,1.49916666675
2,2.25,-4.604499884,0.104,0.93575,-0.145,-22.26175,-0.1307499925,416.20655885,4.19932616875,95.23026848,-61.2583345825,-3.20433337475,0.2523333325,245.716668325,293.858335825,61.37,1.5
2,2.75,-4.736833317,0.12800001,1.0025,-0.244,-22.68375,-0.322,416.605527675,4.31202392075,95.2095527625,-59.338333165,-3.21799999175,0.33824999975,243.6499967,292.274991675,62.459999,1.49958333325
2,3.25,-4.93750005,0.11,0.879000005,-0.183,-23.71825,-0.162,416.1331605,4.273199154,95.19155693,-60.2350004175,-3.04300000825,0.32658332825,243.45833335,292.233323325,62.970001,1.5
2,3.75,-4.706666734,0.106,0.88350001,-0.13075,-22.351999,0.1729999925,415.8782633,4.25002912,95.190006255,-58.042501085,-3.05525005,0.26100001,246.12499835,291.399995025,63.48,1.5
2,4.25,-4.852000067,0.1315,0.87800002,-0.17950001,-22.0190005,0.222499995,414.7622668,4.239708583,95.182027815,-59.0975,-2.85483339175,0.309749997,245.250001675,290.7750025,64.50999933,1.49958333325
2,4.75,-5.03600005,0.10775,0.812,-0.179,-22.56425,-0.04875,415.1905943,4.28370835125,95.189857485,-58.23000017,-2.913333333,0.3113333315,246.166665,289.69999335,66.153333,1.49958333325
2,5.25,-5.55999995,0.109,0.7837499825,-0.259,-18.968,-0.34200001,415.4482245,4.2480817435,95.20846939,-57.99,-2.9733333,0.381333338,242.35000165,289.100005,66.48666633,1.49916666675
2,5.75,-5.563000033,0.11725,0.658000005,-0.1,-20.8270005,-0.1975,414.8801582,4.344057112,95.227954865,-62.73499917,-3.2114999165,0.385000005,243.36667165,288.91667165,66.06999967,1.4933333335
2,6.25,-5.516374896,0.115,0.7609999925,-0.19325,-22.43675,-0.1630000025,414.5663206,4.31094432425,95.22114563,-58.6466665,-2.968333242,0.442666671,244.908330025,288.02499915,66.8041668325,1.493333333
2,6.75,-5.58649998275,0.109,0.85749999,-0.18425,-19.4865,-0.22425,414.907716625,4.36354377125,95.2092933625,-56.5299997475,-1.58983329225,0.49441664975,246.95,288.62499915,67.16416817,1.491666667
2,7.25,-5.523624875,0.101,0.717,-0.30949999,-20.21025025,-0.05225,415.177054775,4.262214332,95.17393494,-34.2350000325,-0.58049999975,0.8838333295,248.8333308,290.716665,67.24833283,1.491666667
2,7.75,-5.340125125,0.09975,0.7334999975,-0.245,-12.8175,-0.291000005,415.79323875,4.35806656175,95.15406799,-13.616666665,3.428166717,1.7373333165,249.1833367,292,66.41000158,1.485
2,8.25,-5.09841675,0.10325,0.75400001,-0.111,-5.284,0.05225,416.1918647,4.42582469075,95.13681793,0.461000005,19.2460002,3.845500033,253.133335,293.866665,65.07666717,1.49
2,8.75,-4.592416625,0.119,0.6915,-0.37525,-1.091,0.893749995,415.50633325,4.399972785,95.1233902,16.2316665,43.0683325,7.9351667665,253.01667,295.10000335,61.69250008,1.483333333
2,9.25,-4.06291650425,0.173,0.591000005,-0.032,1.2765,7.309,415.8092337,4.291785249,95.132043835,40.053334,62.943333335,11.73999995,245.71666835,297.96665665,58.1675005825,1.486666667
2,9.75,-3.76024998775,0.215,0.704,-0.15,3.1005,6.814249925,417.0408632,4.662044286,95.124145505,48.943332335,73.531668,14.306666665,244.6666683,302.11666835,55.2749995025,1.485
2,10.25,-3.40462497925,0.2600000075,0.9459999925,-0.3655,13.377,9.960999625,416.698027375,4.47880933325,95.1029892,69.1449998325,100.791666575,18.6766658325,248.599999975,304.125008325,52.5050003325,1.451666667
2,10.75,-3.0821250625,0.28299999,1.03575,-0.67900002,12.825,7.456,416.4306494,4.9202974105,95.08818817,81.52833308,116.7483313,21.5975004975,252.516666675,306.07499,49.861667,1.431666667
2,11.25,-2.70258332125,0.28200001,1.05825,-0.49975,21.4952495,8.477750075,416.313935,4.54294600075,95.0947704325,85.15333283,122.21666535,19.308333335,258.24999835,307.36667,46.64583325,1.423333333
2,11.75,-2.0674166505,0.312,1.402,-0.56699997,30.353,11.564,416.10267395,4.428027915,95.081453325,90.916669165,128.09999835,22.531666835,263.41667165,309.51666335,44.1133335,1.416666667
2,12.25,-1.8494166585,0.3497500075,1.38325,-0.35800001,26.92,11.713,415.1180032,4.659213212,95.07373238,99.13499917,144.258332525,22.3024997475,258.0583367,311.475009175,42.286667335,1.403333333
2,12.75,-1.5125,0.31799999,1.4450001,-0.62800002,32.622,14.20625,414.9647402,4.2627204615,95.0837383275,100.1841676725,137.234167575,20.025833165,258.516665,312.9000025,41.01,1.411666667
2,13.25,-1.2146250005,0.3205,1.38775,-0.557,29.384,12.415,415.05600085,4.5390842625,95.051330565,93.59999833,127.4333333,20.38000033,263.7000033,313.5,40.59416717,1.4433333335
2,13.75,-1.152500005,0.311250005,1.607500075,-0.546,28.413,12.754,414.8600871,4.4569788615,95.033504485,83.270002,120.7,17.676667,262.5,314.3666667,39.51166683,1.4491666665
2,14.25,-0.99224999525,0.348999995,1.4845,-0.522500005,21.57175,11.44175,414.5417598,4.632273453,95.003679275,77.673335,112.1,19.81666633,264.63334,314.89999,38.72333258,1.4508333335
2,14.75,-1.146458331,0.344999995,1.584000075,-0.9354999975,27.091999,9.3049998,415.741604925,4.27930219975,95.0042591075,68.35333267,105.2000033,16.79999967,263.76666,314.43333,38.599999835,1.4516666665
2,15.25,-1.1608750015,0.355000005,1.5885,-0.4122499925,16.06975,6.5872499,415.76068645,4.53552203175,95.00482559,52.06333267,80.18999733,14.32333333,263.8999933,313,38.8524995025,1.4933333335
2,15.75,-1.17125000175,0.31999999,1.6755,-0.46799999,8.255999775,6.7519999,414.960457325,4.59532743425,95.0240631125,34.846668,60.25666667,9.7233333,265.5333367,311.7333367,39.6149994975,1.4915
2,16.25,-1.1731666405,0.278,1.5615,-0.58550001,3.316,3.4715,415.090995,4.7150379,95.0328540775,14.5275,48.4108332475,6.821749933,260.3750058,310.650005025,40.26333283,1.4725
2,16.75,-1.3629166915,0.2832500075,1.49,-0.2677499925,-2.546,2.35600005,414.7930454,4.717279348,95.04919052,-6.47024997475,19.5333325,4.04558328325,260.45833165,309.100005,41.443334085,1.4625
