DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,18.25,-2.60695,-29.549375,-2.00925,-159.584875,0.0492,-3.1845,381.7984,415.25355,-77.82,0,0,0,-15.911,63.2045,0.012375,-9.25575,-4.8421,-5.2675,-6.0007,-3.4262,-0.448125,-3.995525,-4.752125,-6.731925,-7.745,-3.826725,-5.43195,-8.29925,-10.53725,97.1594
1,18.75,-2.2345,-16.8213,-4.555175,-177.41275,0.060375,-2.6985,381.58025,416.051225,-79.82,0,0,0,-16.26025,62.3785,0.00255,-7.692,-5.2254,-5.27975,-5.6163,-3.413825,-0.41045,-4.092275,-4.678825,-5.957275,-7.77875,-2.97055,-4.757525,-8.72925,-10.7955,97.153375
1,19.25,-1.88125,-3.6375,-2.710625,-171.36395,0.0475,-8.482,382.16,416.6337,-79.5975,0,0,0,-16.29075,63.37775,0.01555,-8.105,-5.451075,-4.97145,-5.4851,-3.5556,-0.45815,-4.008575,-4.7414,-5.3048,-7.75375,-2.273825,-4.8256,-9.0045,-10.81025,97.1831
1,19.75,-2.43495,-14.596025,-2.73325,-170.0734,0.054,-4.302275,381.8413,417.28195,-80.2425,0,0,0,-16.62,65.4455,0.009875,-8.093,-4.964725,-5.0948,-5.241125,-3.557,-0.6487,-4.0023,-4.73735,-5.008475,-7.7625,-2.11705,-4.9055,-8.94525,-10.22625,97.1875
1,20.25,-3.629,-16.4114,-15.5675,-134.375625,0.0382,-3.956925,382.37675,413.362775,-81.4325,0,0,0,-16.794,66.29625,0.0079,-8.1275,-5.305075,-4.932875,-4.630275,-3.443475,-0.65305,-3.99585,-4.7077,-4.89885,-7.80875,-2.2033,-4.94415,-8.883,-10.03725,97.163
1,20.75,-2.457975,-16.5505,-1.5573,-131.68,0.0438,-3.8685,381.4198,412.68225,-81.5525,0,0,0,-17.53325,65.248,0.002625,-7.745,-5.261625,-4.86645,-4.7829,-3.483675,-0.61775,-4.009275,-4.703,-4.83185,-7.68625,-2.0894,-4.732925,-9.007,-10.1425,97.1596
1,21.25,-3.06595,-24.01825,-5.48725,-154.9423,0.0432,-3.2252,381.91675,411.9588,-80.755,0,0,0,-18.19325,63.695,0,-8.012,-5.321125,-4.97245,-5.2628,-3.491575,-0.6521,-4.07305,-4.660025,-4.86,-7.73875,-2.12485,-4.86425,-9.133,-10.3455,97.1636
1,21.75,-2.3531,-38.1161,-2.412,-168.30125,0.0464,-7.2365,382.0031,410.7175,-81.5475,0,0,0,-18.539,63.20575,0,-8.11775,-5.112325,-5.1375,-4.606275,-3.50045,-0.613575,-3.890325,-4.7799,-5.0105,-7.7325,-1.995975,-4.9787,-9.41925,-10.4655,97.1632
1,22.25,-2.779775,-20.80085,-16.063525,-171.7688,0.0378,-3.6368,381.66855,411.652025,-79.1775,0,0,0,-18.74175,63.028,0,-7.92875,-5.22205,-4.946725,-4.961875,-3.535825,-0.62125,-3.99125,-4.6623,-4.86465,-7.71625,-2.081275,-4.85355,-9.69325,-10.81025,97.1508
1,22.75,-3.2624,-24.45605,-7.41545,-175.154375,0.0364,-7.35485,381.844625,411.547775,-81.39,0,0,0,-18.6835,63.23525,0,-7.94625,-5.37275,-4.810625,-4.813775,-3.508525,-0.594,-4.0511,-4.641675,-4.915825,-7.67125,-1.98805,-4.7926,-9.63025,-11.07175,97.0958
1,23.25,-3.613775,-23.1562,-7.3294,-154.38325,0.03475,-1.653525,382.289025,411.4098,-79.12,0,0,0,-18.10925,63.66,0,-7.994,-4.91825,-5.0007,-4.849525,-3.541225,-0.64055,-4.0045,-4.69835,-5.08895,-7.76375,-2.19215,-4.8209,-9.445,-11.354,97.1424
1,23.75,-4.096,-4.84335,-28.1185,-158.65765,0.0378,-6.3583,381.992,412.787025,-80.6975,0,0,0,-18.06175,63.1305,0,-7.90475,-5.1405,-4.769025,-5.065225,-3.575475,-0.682275,-3.9461,-4.76115,-4.94785,-7.67125,-2.0794,-4.845825,-9.255,-11.55625,97.116
2,0.25,-1.50985,-2.688125,-8.138825,-109.926275,0.031125,-1.3018,372.2308,340.53415,-77.3325,0,0,0,-16.58275,60.86125,0,-8.7875,-4.11105,-3.36815,-4.4741,-2.99595,-0.77305,-3.5033,-4.290175,-5.011375,-5.5053,-5.16025,-4.88635,-8.867,-9.12775,96.79185
2,0.75,-1.896525,-14.419275,-2.0831,-103.6663,0.0174,-5.699,371.5175,340.68505,-76.92,0,0,0,-16.7995,60.93625,0,-8.8515,-4.2731,-3.2982,-4.4658,-3.1311,-0.7304,-3.48095,-4.2006,-4.9883,-5.83435,-5.7533,-5.0271,-9.017,-9.41075,96.757475
2,1.25,-1.52275,-3.96105,-4.6736,-99.329375,0.023425,-2.237,372.2195,341.0077,-76.455,0,0,0,-17.2435,63.02075,0,-8.767,-4.3943,-3.4075,-4.3724,-3.0471,-0.74015,-3.523375,-4.266,-5.06095,-5.6186,-5.311575,-5.005775,-8.99525,-9.68925,96.728875
2,1.75,-1.772425,-9.191275,-5.17985,-95.8628,0.020125,-3.77185,372.417725,341.01395,-75.85,0,0,0,-17.2925,63.07375,0,-8.788,-4.4064,-3.4928,-4.48985,-2.9339,-0.73095,-3.50385,-4.3062,-5.00285,-5.7293,-5.526925,-4.93595,-8.94075,-9.82875,96.719825
2,2.25,-1.801625,-9.554925,-4.07675,-109.591125,0.034075,-4.917475,372.585475,341.282625,-74.965,0,0,0,-17.35475,63.4475,0,-8.7755,-4.33205,-3.3314,-4.4661,-3.05815,-0.7412,-3.5566,-4.30115,-5.144325,-5.84745,-5.57745,-4.960775,-8.9745,-10.014,96.69055
2,2.75,-1.58445,-20.4561,-7.737425,-118.292625,0.031775,-4.79525,372.45925,341.08795,-75.465,0,0,0,-17.50225,62.6725,0,-8.6935,-4.49955,-3.51535,-4.41515,-2.91805,-0.707575,-3.743475,-4.34905,-5.037275,-5.772875,-5.66655,-5.050775,-8.9925,-10.17675,96.6481
2,3.25,-1.44725,-1.7112,-10.53375,-143.067575,0.0275,-8.752,371.89405,340.64165,-74.3,0,0,0,-17.61375,62.2915,0,-9.155,-4.49605,-3.64515,-4.4785,-3.07685,-0.72425,-3.665325,-4.304875,-5.029025,-5.65765,-5.74725,-5.1099,-9.00825,-10.004,96.6134
2,3.75,-1.4915,-3.50375,-4.615025,-103.6211,0.01275,-1.117025,372.5145,340.7981,-73.755,0,0,0,-17.51175,64.16875,0,-8.642,-4.5286,-3.3723,-4.5515,-2.9897,-0.727125,-3.669,-4.511125,-5.00905,-5.75355,-5.7363,-5.108675,-9.069,-9.8255,96.59395
2,4.25,-1.502,-5.6625,-3.800175,-111.44,0.0215,-1.056375,371.87405,340.4357,-73.2,0,0,0,-17.4555,60.432,0,-9.1945,-4.6,-3.39525,-4.5827,-2.931,-0.74035,-3.720425,-4.41235,-4.96105,-5.777425,-5.7528,-5.0423,-9.11075,-10.02475,96.57915
2,4.75,-2.301375,-2.63555,-12.6989,-97.6245,0.029,-1.73275,371.093025,340.382925,-72.81,0,0,0,-17.746,60.62875,0,-8.7445,-4.60975,-3.57935,-4.52335,-3.07725,-0.7262,-3.688125,-4.4758,-5.09255,-5.85575,-5.780775,-5.1711,-9.1965,-10.30275,96.564
2,5.25,-1.800725,-7.56244999999999,-17.5741,-96.687675,0.046,-1.277525,371.3508,340.343025,-71.8775,0,0,0,-17.94425,61.73675,0,-8.7035,-4.578,-3.6061,-4.60695,-2.99205,-0.711025,-3.56485,-4.509125,-4.9997,-5.9187,-5.49825,-5.160375,-9.37475,-10.535,96.56705
