DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,G_2_1_1,TS_2_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,PPFD_DIF_1_1_1,T_SONIC_1_2_1,TA_1_2_1,TA_1_3_1,RH_1_2_1,RH_1_3_1,CO2_1_2_1,H2O_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,LW_IN_1_2_1,LW_OUT_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,PPFD_IN_1_1_2,TA_1_1_2,RH_1_1_2,WS_1_1_2,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_2_1_1,CO2_2_1_1,H2O_2_1_1,LW_BC_IN_1_1_1,LW_BC_OUT_1_1_1,PPFD_BC_IN_1_1_1,TA_2_1_1,G_2_1_2,U_SIGMA_2_1_1,V_SIGMA_2_1_1,W_SIGMA_2_1_1,T_SONIC_SIGMA_2_1_1,WS_1_2_1,WS_2_1_1
11,4.5,0.385274,5.84,3.86088,1.30041,-20.7181,-0.581,-9.7615,9.4445,74.7733,98.665,409.29,2.005,-62.0045,0,-0.8,1.12546,296.41,341.1,6.294,0.33,6.98693,5.20692,5.30553,78.3646,77.5842,423.7525,7.2489,-1.34753,1.50066,292.531,333.087,0.715535,0.689348,0.4458305,0.150236,5.61614,0.13907,0.0146844,7.62843,69.3872,3.58017,0.685157,0.719639,0.4478995,5.637035,436.994,7.12708,316.624,331.347,-0.02768965,4.42838,-15.0782,0.175373,0.225793,0.0858151,0.15528,2.20713,0.468859
11,5.5,0.370723,5.7,3.837,1.3075,-19.7329,-0.659577,-9.89438,9.36,75.77,98.676,409.799,1.815,-62.37,0,-0.81,1.0635,295.2,339.5155,6.314,0.33,6.6336,4.82451,4.69881,78.72515,78.73915,424.396,7.230855,-1.4969,1.46354,290.313,331.946,0.745583,0.705811,0.4562875,0.153822,5.431,0.153121,0.0114216,7.521885,66.51325,3.63189,0.721539,0.7091,0.466732,5.45824,437.101,7.06106,314.309,330.3345,-0.01796845,4.12946,-15.1443,0.178896,0.2235535,0.09107655,0.1578965,2.18523,0.4554005
11,6.5,0.385774,5.335,3.86,1.23994,-18.822,-0.796,-10.208,9.2825,77.26415,98.7,410.1235,1.7,-59.15,0,-0.71,1.0937,293.431,337.788,6.27058,0.33,6.11639,4.395925,4.56268,80.1268,77.92225,424.5025,7.2067,-1.41582,1.43327,291.213,329.871,0.7323065,0.727602,0.4526185,0.157605,5.35158,0.159448,0.0143202,7.34558,68.02565,3.69745,0.689708,0.717212,0.455454,5.18333,437.4825,6.89985,313.568,329.5345,-0.0448423,3.98168,-15.7235,0.1862315,0.228804,0.09011215,0.151648,2.23298,0.474659
11,7.5,0.382,5.03,3.93205,1.413095,-18.629,-0.906027,-10.3353,9.1935,77.74,98.7006,411.017,1.62,-42.848,4.59423,4.6543,2.118595,295.261,337.095,6.311,9.928,5.95406,4.31779,4.26352,81.5265,79.4122,424.966,6.95292,2.06504,1.91393,292.582,328.291,0.740039,0.759085,0.464758,0.156705,5.20692,0.1572385,5.492655,7.06195,70.7722,3.7343,0.7090575,0.7202465,0.4705445,4.97907,438.191,6.98265,312.837,328.288,1.13408,3.96646,-15.998,0.192587,0.22128,0.0900832,0.15614,2.24541,0.48544
11,8.5,0.455,5.089165,3.70753,1.8865,-5.63744,1.639,-10.1286,9.117225,77.429,98.748,411.065,1.67,22.4,139.45,76.3767,13.96725,295.8615,341,6.32,88.7261,6.07482,4.552775,4.42806,81.191,79.5023,426.162,6.91955,72.0097,12.8554,291.682,331.177,0.795657,0.792591,0.484648,0.13347,5.099145,0.1356505,118.848,7.12335,71.31095,3.46798,0.7407505,0.7866145,0.5063625,5.15891,438.78,7.07896,314.116,330.701,14.995,4.00056,-15.64715,0.193628,0.237763,0.093467,0.166766,2.1953,0.476689
11,9.5,0.551344,5.9175,3.4135,2.449,32.905,11.633,-9.391,9.13,73.6,98.771,410.826,2.125,132.63,394.19,213.55,28.62,297.15,347.01,6.35,158.409,7.04247,5.331685,5.42009,77.7803,76.1477,425.505,7.13382,205.032,26.3827,288.841,337.571,0.9010305,0.9245375,0.562975,0.185933,5.596625,0.160416,375.677,8.04125,69.221,3.440605,0.9063195,0.9944925,0.6284265,6.20459,436.654,7.27803,319.287,337.495,43.2866,4.90806,-15.3682,0.261116,0.318117,0.126007,0.185646,2.135595,0.483876
11,10.5,0.627512,7.150835,3.38,2.27842,88.963,22.429,-7.119,9.1945,68.101,98.79,410.246,2.965,237.655,675.51,346.2805,39.86,301.49,355.995,6.49375,205.071,8.002705,6.80865,6.66802,71.6159,70.2093,424.947,7.18208,377.852,39.4302,295.853,345.903,0.998519,1.038745,0.644041,0.290077,6.872165,0.237431,637.6335,9.27745,63.2598,3.37646,1.01483,1.110815,0.7255715,7.77518,434.521,7.38407,327.147,348.174,83.692,6.69216,-12.5893,0.331082,0.395537,0.155441,0.22936,2.22708,0.516523
11,11.5,0.6575,8.47,3.37214,2.28378,134.221,28.9287,-4.464,9.298,62.61335,98.755,408.764,3.78,307.937,854.905,433.75,46.8958,305.1825,362.919,6.48323,243.504,9.2363,7.86459,8.17441,64.399,63.3139,423.906,7.17204,448.778,45.99355,303.726,353.714,1.044025,1.068035,0.6538015,0.372009,8.16186,0.313725,832.194,10.51335,56.43595,3.32038,1.07976,1.14385,0.7501435,9.14649,432.2185,7.39069,335.602,364.052,163.427,8.62507,-8.5926,0.3842725,0.457592,0.1753335,0.318442,2.161655,0.517258
11,12.5,0.671799,9.501665,3.471535,2.015,161.051,28.9242,-1.6105,9.4955,58.3683,98.695,406.932,4.585,306.56,872.407,441.659,49.04,308.265,369.342,6.4569,253.7185,10.9324,9.01278,9.51068,59.3054,58.261,422.869,7.20677,466.1585,47.6193,306.5795,360.7975,1.132165,1.12095,0.6979225,0.414226,9.47201,0.353698,888.788,11.3821,53.8014,3.5801,1.1823,1.22413,0.78147,10.3656,430.476,7.432895,338.386,370.3745,153.36,9.81954,-4.25979,0.404338,0.503693,0.191017,0.371224,2.20309,0.510963
11,13.5,0.704,10.23,3.5275,1.984,160.367,28.457,-0.142,9.756,54.2967,98.6048,406.501,5.345,289.1675,809.016,427.822,48.069,309.864,373.744,6.34694,241.412,11.256,9.49565,10.0784,54.93785,54.8767,421.398,7.29601,427.968,44.711,307.1915,363.202,1.11832,1.15154,0.702706,0.404186,10.096,0.359475,825.497,11.7564,47.4957,3.531735,1.21416,1.23612,0.8039655,10.87945,429.286,7.19414,341.354,373.6645,160.299,10.2762,-0.533519,0.424388,0.500311,0.193653,0.3510265,2.20128,0.5053935
