DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
2,16.75,0.460849724,-13.658,0.00889,0.0709,16.5045,15.647,219.305,245.76,-19.344,41.483,0.51658,74.2285,99.775,-10.1535,-1.0876,-1.08075,-8.70565,-9.4419,0.664355
2,17.25,0.5184018375,-10.7955,-0.22574,0.0732,4.1326,4.2924,217.51,240.205,-19.812,14.127,0.355175,77.275,99.726,-10.9415,-1.03475,-1.0312,-8.6874,-9.40155,0.63369
2,17.75,0.605418611,-10.615,-0.30358,0.0677,0.1782,1.11485,216.15,238.25,-19.9,2.0968,0.34897,75.616,99.728,-12.4065,-1.0432,-0.992795,-8.64795,-9.3687,0.565835
2,18.25,0.807728103,-9.2979,-0.0767,0.0682,0,0.239015,211.07,231.245,-19.897,0.13098,0.28535,77.414,99.7495,-14.319,-1.06515,-1.01904,-8.6269,-9.3026,0.499085
2,18.75,0.597233515,-5.1177,0.0344,0.0739,0,0.262855,208.9,230.965,-20.22,0.034021,0.30163,76.515,99.773,-14.911,-1.1049,-1.04705,-8.5938,-9.25225,0.492635
2,19.25,0.549911352,-5.8839,-0.0678,0.069,0,0.430995,210.4,231.595,-19.108,0.013724,0.25296,78.96,99.778,-15.9255,-1.1266,-1.06995,-8.6107,-9.3293,0.490605
2,19.75,0.765076721,-7.9039,0.0777,0.08275,0,0.548765,206.7,230.865,-20.166,0.0071757,0.227225,77.9545,99.811,-16.0965,-1.181,-1.0921,-8.623,-9.294,0.55993
2,20.25,0.80726224,-9.1401,-0.272565,0.0717,0,0.58903,210.215,231.485,-19.4775,0.0088962,0.2334,78.318,99.8335,-15.8055,-1.2187,-1.12595,-8.6298,-9.2882,0.569925
2,20.75,1.029216739,-12.132,-0.27647,0.0948,0,0.72248,212.64,230.9,-19.256,0.0061776,0.210305,78.899,99.849,-16.398,-1.2156,-1.18935,-8.6083,-9.2961,0.61536
2,21.25,0.8451819945,-7.3337,0.0811,0.0791,0,0.595675,214.26,230.655,-19.176,0.0016482,0.19837,77.909,99.86,-17.222,-1.23165,-1.213,-8.6057,-9.2822,0.52669
2,21.75,1.060325825,-6.31535,0.47972,0.0862,0,0.67385,213.02,232.17,-18.65,0.0010979,0.203315,76.695,99.767,-16.997,-1.25095,-1.1741,-8.62015,-9.21,0.57046
2,22.25,0.6177167675,-6.085,0.45246,0.094,0,0.624005,211.7,232.865,-18.108,0.0011719,0.21201,77.7795,99.757,-17.637,-1.21145,-1.13825,-8.67655,-9.17625,0.596815
2,22.75,0.8528502535,-6.5449,0.618155,0.0786,0,0.56399,210.43,229.57,-17.987,0.001669,0.198695,78.0825,99.7435,-17.957,-1.26365,-1.1404,-8.7132,-9.2518,0.50545
2,23.25,0.627714531,-6.0027,0.0732,0.09185,0,0.617255,209.475,229.805,-18.621,0.0016522,0.197065,78.2325,99.7505,-17.9105,-1.2222,-1.13715,-8.7115,-9.25135,0.56082
2,23.75,0.725429424,-9.3826,-0.173075,0.09075,0,0.70031,213.285,232.53,-18.326,0.0033334,0.20467,78.734,99.769,-17.663,-1.23275,-1.14455,-8.68795,-9.20375,0.56475
3,0.25,1.129581649,-11.718,0.897,0.099795,0,0.487355,218.65,248.01,-22.731,0.002819,0.3772,80.788,99.598,-11.3915,-0.87863,-0.884435,-4.4327,-4.49405,0.51855
3,0.75,0.7190783245,-9.3044,0.90812,0.10077,0,0.53574,221.96,248.465,-22.083,0.0064643,0.286,81.18,99.6255,-11.844,-0.926425,-0.91749,-4.34265,-4.5205,0.575365
3,1.25,0.98274181,-19.414,-0.09175,0.09695,0,0.55722,224.67,247.285,-22.61,0.0040104,0.256925,81.597,99.647,-11.8655,-0.917365,-0.903345,-4.5136,-4.71725,0.553925
3,1.75,0.935146115,-11.909,0.37685,0.0897,0,0.61303,224.1,248.24,-21.494,0.0044028,0.23983,81.9735,99.65,-12.8975,-0.914385,-0.909635,-4.5273,-4.72535,0.56453
3,2.25,1.102158425,-23.099,0.38191,0.119165,0,0.62853,221.73,243.745,-21.383,0.0043499,0.24818,81.675,99.653,-12.312,-0.91497,-0.905205,-4.5405,-4.71115,0.56826
