DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
2,6.75,0.2035,2.45,1.347,1.5145,3.889,11.97475,5.32300239525,443.28329915,-0.160666672,323.44999165,1.161333367,98.6583314975,4.22125,100.2395
2,7.25,0.21725,2.66375,1.609,1.443,2.787,13.448,5.1046136485,435.90170285,4.93158326425,323.766659175,3.476,98.516667835,4.1525,100.198
2,7.75,0.182,2.82391666675,1.6965,1.544,1.42175,2.987,6.628737673,448.05308535,36.9116668325,323.08333,10.33466713,98.8499985,4.15,100.1935
2,8.25,0.223,2.7147500005,1.729,1.963,5.07325,13.457,6.064820667,446.5973717,96.23750417,322.066667475,33.581666665,97.33333333,4.175,100.2055
2,8.75,0.217,2.80870833425,1.61375,1.931,16.041,24.502,6.558831022,442.6489297,180.033334175,318.8416667,63.5433335,96.4000002525,4.1,100.1735
2,9.25,0.2785,3.208520838,1.914,1.7985,36.93025,35.51575,6.842282596,439.66173775,270.9333283,320.0250042,80.170000665,94.4416669975,3.8025,100.139
2,9.75,0.24075,4.413083329,1.93225,1.599,47.947,56.436,7.864092927,434.5240139,340.733332475,322.633334975,102.633335,87.86666867,4.02875,100.17475
2,10.25,0.3045,4.67487497525,2.0325,0.861,65.675,59.146,6.836142116,429.3469814,385.416665,322.583335825,130.9,85.76666533,4.035,100.134375
2,10.75,0.3395,5.114625,2.1165,0.926,73.59,72.975,6.952866588,427.7781589,472.1833375,324.091666675,138.96667,83.003333415,4.0675,100.106875
2,11.25,0.3325,5.140062463,2.08475,0.73,84.359,72.459,7.97282696025,427.717533,520.30832915,321.950003325,134.18333165,83.83333367,4.02375,100.07025
2,11.75,0.351,5.9803437625,2.0425,0.73,92.9275,69.96925,6.92571742525,427.22216105,549.137516275,322.691669975,157.566665,82.4416668325,3.96875,100.043
2,12.25,0.3865,6.35832295425,2.1505,0.8115,72.008,54.92725,7.34541155475,427.614235425,565.3500008,324.2416683,168.04165915,79.58999867,4,100.0315
2,12.75,0.38275,6.9660312375,2.0315,0.864,97.3355,61.3865,6.4724446575,426.9607215,560.59999665,320.93332835,159.691665025,75.91666933,4,100.030875
2,13.25,0.34325,7.34134371275,1.954,0.707,79.298,67.731,6.576473518,426.4849109,555.79999835,325.3,157.108335,76.83333333,4,100.016
2,13.75,0.3465,7.279583325,1.995,0.632,80.46875,62.003,5.685280258,425.3570786,534.3499883,326.050002525,141.916667525,80.89749958,4,100.041125
2,14.25,0.374,6.939593766,2.043,0.429,79.21,60.034,7.495889134,427.1857562,457.083331675,326.73333665,150.991667475,81.149999,4.2,100.054375
2,14.75,0.36975,6.790052113,1.80125,0.8935,69.455,66.39725,6.28099143925,425.51076475,419.29999585,329.00833,114.319166575,81.812499915,4.2975,100.038
2,15.25,0.344,6.89269790375,1.841,0.86625,60.8555,54.71025,6.77624583425,427.27173785,349.658337475,330.37499665,99.8041666925,82.15000067,4.375,100.00975
2,15.75,0.29175,6.9648333125,1.80275,0.587,41.066,43.4775,7.99172655275,427.9043124,229.6749992,325.34167335,79.727501,81.646665,4.38,100.002
2,16.25,0.35575,6.98241669175,1.897,0.90975,24.91175,52.75625,6.4898063155,424.26185075,186.5666683,326.8166642,61.0375010825,81.6866652525,4.47125,99.99325
2,16.75,0.259,6.828479133,1.82025,1.03325,12.287,35.3895,7.234847963,423.920587,101.28666635,326.68333,34.95333267,81.14999825,4.5,100.0025
2,17.25,0.3045,5.681406321,1.637,1.118,4.25,18.714,6.995456475,428.545768,48.593332335,322.83333335,14.189166845,82.8991675025,4.6,99.9965
2,17.75,0.272,5.17039584175,1.69575,1.61175,-0.37,26.2215,6.030073796,426.83816585,10.871666665,323.56666835,3.43674998325,86.30000033,4.52375,99.98475
2,18.25,0.27,4.519937517,1.55575,1.4615,0.3275,15.028,6.36028848175,428.146289575,-0.2654999985,323.966665,0.81300000275,91.450000335,4.55,100.006125
2,18.75,0.26825,3.95853122925,1.57225,1.312,0.9765,14.748,6.5931890295,431.7561382,-0.526166672,324.66666665,0.70574998325,93.4499995025,4.5325,100.011
2,19.25,0.30625,3.486125025,1.64975,1.6595,0.829,17.93525,6.585180974,435.077219525,-0.526333327,327.3333233,0.6006666665,95.366666,4.4,100.043875
2,19.75,0.3005,3.25383331625,1.654,1.4565,3.4435,8.8725,6.6845304825,436.5002648,-0.37283333325,324.733333325,0.796333328,96.61666633,4.4,100.02275
2,20.25,0.184,3.109114604,1.5915,1.60875,0.1545,14.09525,6.34133097025,436.358921025,-0.49850000475,322.558332525,0.90166666,97.6083343325,4.36375,100.048875
2,20.75,0.193,3.0669375005,1.571,1.349,3.217,8.24,6.637502485,437.2373646,-0.3361666715,319.041659975,0.8617500045,98.19999967,4.3,100.085875
2,21.25,0.229,2.68025,1.5535,1.1385,1.1675,8.4375,6.638874246,439.8035231,-0.326916667,318.641665825,0.84716667,98.69999967,4.3,100.107875
2,21.75,0.254,2.40621872525,1.5665,2.25675,0.3065,9.45675,6.730318826,442.8459018,-0.3430000055,318.308327525,0.840833332,98.533334915,4.3525,100.126125
2,22.25,0.2205,2.3536250125,1.45775,1.649,0.8985,23.259,6.711106029,439.1419222,-0.344666663,319.56666,0.74583333,97.73333533,4.4,100.15075
2,22.75,0.2285,2.298875,1.569,1.545,1.4155,16.922,7.031059419,444.2382414,-0.32733333,316.26666,0.8239999965,98.03333267,4.4,100.17075
2,23.25,0.225,1.88264584625,1.53625,1.46175,2.148,18.4075,6.801398013,438.221454075,-0.29466667,319.7666733,0.92666664,97.9166691675,4.45,100.156375
2,23.75,0.228,1.88766667075,1.415,1.61225,0.845,17.667,6.92302446625,439.38054345,-0.378,317.9666633,0.88391666425,98.1999995,4.4725,100.122625
3,0.25,0.164,4.01904166225,1.484,1.85,1.794,9.29325,7.9875090515,451.53302,-0.902666683,317.8000067,1.02841668825,94.600001,6.2575,99.787
3,0.75,0.165,3.53946874125,1.593,2.23225,0.84675,14.80725,8.525792394,450.7800989,-0.908333323,317.7333267,1.00799999775,96.133334,6.25,99.78975
3,1.25,0.141,3.32137498375,1.37025,1.8615,2.5575,8.0385,8.395149708,453.0350009,-0.911333337,315.0333367,0.992999993,96.016666165,6.19875,99.813
