DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,G,RH,PA,NETRAD,PPFD_IN,SW_IN,CO2,VPD,TS_1_1_1,TS_1_2_1,NEE
3,12.25,0.76325,8.805,2.424,-1.211,-0.06625,293.9425,106.215,33.90575,70.45,88.4,532.4,1435.75,721,368.695,5.8775,7.89,2.5575,-1.457
3,12.75,0.78325,9.075,2.4305,-1.5585,-0.0615,278.8975,114.2075,37.43675,70.065,88.4,513.5,1397.75,689.575,367.95,6.0575,7.7725,2.81375,-1.82725
3,13.25,0.745,9.1975,2.403,-1.4325,-0.017,258.13,110.8025,33.47,71.1,88.4,490.55,1369.75,689.7,367.56,6.315,7.8275,3.28525,-1.605
3,13.75,0.77675,9.39,2.4895,-1.5965,-0.011,260.855,105.665,30.7085,72.925,88.301,475.775,1298,651.075,367.68,6.7075,8.815,3.2645,-1.634
3,14.25,0.729,9.2825,2.31475,-1.253,0.055,244.5,87.7575,28.19075,72.3,88.301,421.4,1213.75,596.7,367.4625,6.885,9.82,3.469,-1.212
3,14.75,0.73025,9.3425,2.371,-1.3675,0.0475,214.515,82.0975,23.7645,72.125,88.301,359.65,1071.75,538.15,366.91,6.96,10.4875,3.54575,-1.4435
3,15.25,0.7135,9.1775,2.4405,-0.788,0.075,176.35,70.77,18.697,74.85,88.301,301.525,898.25,362.75,366.9075,6.7375,10.1075,3.80975,-0.825
3,15.75,0.7275,8.755,2.38625,-0.808,0.164,133.565,61.045,14.6895,77.15,88.301,224.8,746,200.475,366.78,6.6575,9.1725,3.9035,-0.825
3,16.25,0.6945,8.6975,2.284,-0.661,0.199,103.095,50.475,10.96825,78.4,88.301,170.95,562.375,156.25,366.79,6.455,8.81,4.30175,-0.692
3,16.75,0.69925,8.195,2.156,-0.508,0.26,64.8355,38.62,7.60725,79.95,88.301,107.025,376.175,127.2,366.73,5.855,8.265,4.41325,-0.133
3,17.25,0.6675,7.885,2.09025,-0.136,0.383,25.915,32.595,4.3505,81.35,88.301,46.8325,207.8,103.725,366.455,5.095,7.61,4.4915,0.129
3,17.75,0.646,7.041,1.9685,0.162,0.52,-1.355,19.0875,1.99375,83.325,88.301,2.44725,68.6275,42.125,366.6,4.5675,6.9675,4.669,0.567
3,18.25,0.6215,5.84925,1.78625,0.482,0.572,-8.66,12.68,-0.123,85.05,88.301,-10.9225,13.045,7.245,366.96,4.01,6.37775,4.65675,1.092
3,18.75,0.613,5.17625,1.7165,0.69825,0.5255,-9.66,12.7975,-1.5265,86.025,88.4,-14.3525,0,0,367.19,3.345,5.69525,4.5965,1.07275
3,19.25,0.631,4.7435,1.80525,1.02,0.383,-14.48,11.7875,-1.74775,86.475,88.4,-15.8525,0,0,367.5525,3.1375,5.0835,4.50575,1.2965
3,19.75,0.644,4.371,1.9585,0.9425,0.376,-14.8475,10.605,-1.74325,87.425,88.4,-11.9475,0,0,367.725,2.9675,4.56175,4.41725,1.2615
3,20.25,0.65925,4.12375,1.994,1.0165,0.287,-13.59,9.95,-1.79825,86.2,88.4,-12.535,0,0,368.16,2.715,4.017,4.36375,1.1365
3,20.75,0.60925,4.0025,1.7005,1.1055,0.216,-19.87,10.0575,-1.78175,88.45,88.4,-13.2875,0,0,368.63,2.43,3.466,4.38925,1.19
3,21.25,0.56875,3.9095,1.70075,0.932,0.23,-8.865,6.91,-1.7905,88.375,88.4,-11.755,0,0,368.585,2.43,3.15025,4.38775,1.0065
3,21.75,0.54975,3.84525,1.54275,1.0085,0.26025,-12.63,8.65,-1.8045,88.15,88.4,-11.235,0,0,368.89,2.3475,2.81375,4.494,1.0395
3,22.25,0.55875,3.64275,1.61775,0.953,0.254,-9.7225,8.44,-1.806,88.975,88.4,-12.0625,0,0,368.875,2.3425,2.444,4.33025,0.93
3,22.75,0.615,3.643,1.78425,0.7005,0.31975,-8.04,7.6275,-1.833,88.075,88.4,-17.12,0,0,369.105,2.1475,2.02825,4.2495,0.94575
3,23.25,0.58525,3.19725,1.6435,0.883,0.297,-10.73,8.96,-1.85525,88.35,88.4,-13.92,0,0,369.07,1.895,1.70725,4.19975,0.855
3,23.75,0.6255,3.187,1.78175,0.831,0.236,-11.2975,8.45,-1.86525,87.175,88.4,-15.365,0,0,369.44,1.7625,1.4255,4.11625,0.78
4,0.25,0.56875,4.96,1.6845,1.14525,0.2595,-7.3475,8.525,-9.4385,85.2,88.37525,-13.26,0,0,368.185,2.215,6.334,8.8825,1.1465
4,0.75,0.53125,4.78775,1.6215,1.33125,0.287,-6.76,7.35,-9.42225,85.675,88.37525,-14.19,0,0,368.64,2.125,6.03675,8.8175,1.132
4,1.25,0.537,4.592,1.6545,1.1085,0.2825,-7.22,8.52,-9.227,86.625,88.37525,-15.46,0,0,369.34,1.96,5.81975,8.7325,1.1095
4,1.75,0.573,4.6225,1.52175,1.324,0.488,-9.52,8.3,-10.0955,85.425,88.301,-15.35,0,0,368.76,2.05,5.52025,8.655,1.162
4,2.25,0.524,4.4135,1.539,1.06,0.349,-6.59,6.85,-10.02075,85.3,88.301,-14.78,0,0,368.83,1.8975,5.329,8.625,1.23
4,2.75,0.5225,4.89775,1.45625,1.195,0.318,-5.87,6.71,-9.8355,86.175,88.301,-14.14,0,0,368.8325,1.89,5.13275,8.53,1.125
4,3.25,0.4555,4.6535,1.52825,1.39075,0.32475,-10.38,7.64,-10.25675,86.35,88.301,-14.17,0,0,368.28,2.1025,4.985,8.3475,1.2515
4,3.75,0.4575,4.2945,1.4515,1.1625,0.335,-9.34,7.07,-10.41275,86.25,88.301,-14.8,0,0,369.115,2.1875,4.813,8.325,1.1425
4,4.25,0.4715,4.53375,1.40275,1.4765,0.35,-8.21,5.59,-10.3,85.7,88.301,-15.65,0,0,368.79,2.1125,4.67025,8.3075,1.348
4,4.75,0.47425,4.55625,1.57375,1.3775,0.3535,-9.6775,6.33,-9.84575,85.925,88.301,-15.28,0,0,369.9,1.9625,4.56125,8.24,1.3265
4,5.25,0.45325,4.33975,1.42675,1.167,0.223,-8.3625,4.93,-10.04375,87.65,88.301,-12.3,13.295,6.47625,369.7,2.0975,4.56525,8.09,1.277
4,5.75,0.4525,4.59525,1.55375,0.953,0.063,-6.09,10.1,-9.91175,86,88.301,3.414,54.755,35.62,369.79,2.1875,4.46125,7.94,0.8775
4,6.25,0.44625,5.36375,1.44825,0.7635,0.023,-2.8925,13.9775,-8.7665,84,88.301,47.35,166.575,112.675,369.63,2.645,4.39725,7.565,0.74025
4,6.75,0.475,6.08275,1.43325,0.2875,-0.028,19.27,24.81,-6.3985,81.1,88.37525,101.8,368.55,191.75,369.37,3.315,4.4495,6.767,0.0225
4,7.25,0.50275,7.05,1.63225,-0.38475,-0.074,66.2825,41.1625,-2.775,78.675,88.4,164.6,532.325,266.725,369.825,3.895,4.76125,6.65425,-0.64725
