DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
1,16.75,412.436031,9.959234,2094.0645705,0.423854,7.971144,-3.421231,4.469391,1.323382,0.136148,-0.0259685,0.380099,0.191952,17.114608,0.219258,101.92,67.815,12.06,4.550761,9.846667,9.86,9.52,9.87,10.48,-38.541275,62.428843,5.451128
1,17.25,414.557437,9.848412,2154.834743,0.258755,6.2419065,-5.010787,0.765071,1.152047,0.106202,-0.015955,0.355687,0.148241,16.3671715,0.3035635,101.925,73.35,11.215,3.50171,9.88,9.88,9.5358335,9.87,10.495,-59.366197,7.779886,0.56391
1,17.75,419.87814,9.751838,2250.493222,0.5483665,10.61946,-5.125328,0.512084,1.141906,0.104247,-0.012531,0.363353,0.125152,15.518093,0.3373635,101.92,77.3,10.25,2.800812,9.8566665,9.85,9.513333,9.86,10.49,-61.3380285,0.178891,0
1,18.25,423.33273,9.704803,2300.9615495,0.569224,9.109635,-4.239872,0.574845,1.033857,0.105701,-0.012649,0.374495,0.120685,14.668153,0.314477,101.925,80.3,9.43,2.392063,9.8233335,9.815,9.5,9.85,10.49,-60.492958,0,0
1,18.75,427.630514,9.617978,2328.9496955,0.632307,9.776851,-3.681879,0.669934,0.97158,0.106304,-0.013092,0.3648995,0.1183195,14.4095175,0.3217415,101.94,83.02,8.96,1.926584,9.7683335,9.815,9.495,9.8375,10.465,-57.746479,0,0
1,19.25,429.0031305,9.6327835,2359.8785625,0.60638,8.099867,-3.847716,0.484525,0.9375535,0.1034535,-0.012539,0.379489,0.120234,13.9169065,0.3042615,101.96,85.3,8.56,1.720746,9.7,9.78,9.475,9.84,10.46,-57.535211,0,0
1,19.75,430.438955,9.4725695,2364.552324,0.7677205,12.298613,-3.387094,0.5328535,0.893793,0.097848,-0.011646,0.354596,0.108678,13.793456,0.2966815,101.96,86.2,8.2,1.518164,9.7,9.77,9.47,9.84,10.4425,-55.528169,0,0
1,20.25,430.12427,9.424147,2355.953219,0.74006,13.6832915,-3.95097,0.97216,0.947021,0.100442,-0.0136105,0.372991,0.130642,13.639691,0.2869985,101.97,87.43,7.925,1.395064,9.6766665,9.765,9.473333,9.835,10.44,-52.957746,0,0
1,20.75,428.5674095,9.3381055,2350.886632,0.834944,11.381018,-4.28701,1.301344,0.9220195,0.1007105,-0.0120125,0.372985,0.127768,13.480404,0.285714,101.985,87.5,7.791,1.3400695,9.6283335,9.73,9.48,9.83,10.44,-55.199718,0,0
1,21.25,430.987546,9.356824,2378.108524,0.9566065,14.344974,-5.044685,0.640909,0.9667925,0.1097445,-0.013938,0.3890535,0.122926,13.3519325,0.297698,102,88,7.517,1.230359,9.6283335,9.73,9.466667,9.835,10.4275,-53.591549,0,0
1,21.75,431.606718,9.088099,2342.532357,0.7208495,14.1396015,-3.6499585,1.171468,0.974186,0.1150915,-0.015975,0.367602,0.1360035,13.208095,0.276848,102,88.375,7.455,1.162214,9.615,9.725,9.466667,9.8275,10.435,-53.9485475,0,0
1,22.25,431.182048,8.999583,2357.157616,0.9246775,16.191475,-5.2377675,1.346852,1.0767075,0.120657,-0.016568,0.384807,0.141492,12.980609,0.2804105,102.005,89.1,7.2855,1.1265505,9.5516665,9.725,9.47,9.8325,10.43,-50.710678,0,0
1,22.75,431.354117,9.037981,2327.842972,0.8351895,12.318828,-4.3265115,1.001372,1.003103,0.1185055,-0.016963,0.377219,0.154426,13.1416245,0.275863,102.02,89.43,6.951,1.0437355,9.5183335,9.715,9.473333,9.85,10.445,-49.9003555,0,0
1,23.25,431.3086595,9.078288,2365.656039,1.2549,16.396774,-5.3338095,1.128571,0.984577,0.1171745,-0.0153445,0.422363,0.14776,13.1385755,0.282179,102.03,90,6.893,1.020178,9.516667,9.67,9.485,9.83,10.45,-50.915493,0,0
1,23.75,434.467142,8.951599,2413.7646615,1.284943,16.407588,-5.164072,1.072423,1.139891,0.12676,-0.020351,0.4234415,0.150088,13.023498,0.274134,102.02,90.1,6.7405,0.9732955,9.483333,9.64,9.485,9.8375,10.47,-50.32759,0,0
2,0.25,421.328385,9.473458,2073.5748775,1.187881,22.915708,-13.792734,9.639826,2.050991,0.20143,-0.0578805,0.542862,0.281017,14.718449,0.2488835,101.77,82.88,9.19,2.021149,11.303333,11.38,11.728333,11.6825,11.8,-69.222794,0,0
2,0.75,420.4502145,9.415886,2067.287949,1.096221,23.311805,-12.462906,10.5948085,1.996182,0.191978,-0.0519655,0.5218595,0.2567055,14.645859,0.253839,101.755,83,9.08,1.944678,11.3,11.37,11.74,11.6775,11.7975,-68.873239,0,0
2,1.25,420.447865,9.222276,2087.254434,0.968887,24.575325,-13.611942,9.781437,1.86315,0.201109,-0.060644,0.506879,0.260975,14.491073,0.255111,101.765,84,8.89,1.817578,11.243333,11.37,11.7375,11.675,11.7975,-69.15493,0,0
2,1.75,421.646222,9.144303,2092.7386405,1.2412035,25.366505,-15.535322,10.4080085,1.82673,0.196774,-0.0534145,0.517714,0.270411,14.403112,0.258624,101.77,84.7,8.68,1.693571,11.24,11.32,11.7333335,11.6875,11.7675,-68.2394365,0,0
2,2.25,421.308795,9.20987,2078.636788,1.07678,22.191612,-12.341944,11.529287,1.695601,0.181072,-0.054655,0.528147,0.2486625,14.216075,0.2479365,101.765,85.5,8.565,1.6004185,11.21,11.32,11.7266665,11.7075,11.7625,-67.394366,0,0
2,2.75,420.57848,9.146465,2071.95315,1.069551,26.4046685,-10.893862,10.6295365,1.781231,0.189052,-0.053239,0.5297025,0.248365,13.990401,0.250532,101.76,85.3,8.42,1.579972,11.17,11.3,11.735,11.715,11.75,-66.901408,0,0
2,3.25,420.982954,9.035644,2070.65229,1.047708,24.8900785,-13.120541,11.774311,1.775927,0.201684,-0.0648185,0.526074,0.255654,13.879099,0.258763,101.755,85.78,8.22,1.526681,11.14,11.24,11.715,11.7125,11.7725,-69.064613,0,0
2,3.75,420.251409,9.063678,2088.931773,1.0471375,23.52757,-9.946176,10.189864,1.574351,0.189914,-0.053901,0.50496,0.24405,13.590788,0.2551085,101.74,85.8,8.14,1.502664,11.08,11.23,11.7075,11.7225,11.7825,-67.2923045,0,0
2,4.25,419.634867,8.987912,2081.054346,1.044614,26.2279665,-9.675052,7.952948,1.505479,0.18552,-0.048762,0.499106,0.243561,13.631437,0.260255,101.75,86,8.1,1.494211,11.05,11.23,11.7025,11.7225,11.78,-68.066658,0,0
