DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
2,13.75,0.45,27.04,2.1,-10.86,-11.38,0.12,91.21,271.08,6.2,24.62,24.725,66.409,98.51,374.49,12.16,358.86,997.32,478.03,25.03,59.61,443.99,466.17,25.04
2,14.25,0.46,26.68,2.005,-11.025,-11.12,-0.06,86.93,277.82,7.315,24.63,24.72,67.774,98.45,374.83,11.525,305.15,1011.485,484.82,24.33,61.37,440.97,466.61,25.14
2,14.75,0.45,26.99,1.91,-7.125,-8.32,0.95,80.74,255.5855,7.69,24.63,24.71,68.575,98.4,374.365,11.205,233.025,948.41,454.585,23.82,56.92,440.07,468.12,25.02
2,15.25,0.42,27.25,1.915,-4.11,-7.35,1.18,51.92,227.37,7.8,24.64,24.72,68.862,98.37,374.09,11.47,189.05,760.05,364.3,19.48,50.065,439.27,466.75,25.38
2,15.75,0.41,26.93,1.775,-1.86,-4.435,2.15,33.31,152.37,6.785,24.68,24.75,67.996,98.34,373.925,11.87,143.77,488.04,233.925,12.21,32.96,437.785,461.75,25.64
2,16.25,0.34,26.58,1.705,-0.355,-3.055,1.925,14.54,115.32,5.45,24.68,24.75,69.041,98.32,374.995,11.09,109.65,354.045,169.7,9.81,23.36,432.635,458.575,25.59
2,16.75,0.31,26.295,1.65,2.52,-2.01,3.4,4.09,60.505,4,24.715,24.78,72.5415,98.32,376.385,9.825,67.685,194.65,93.3,7.19,16.13,428.89,458.09,25.795
2,17.25,0.23,26.125,1.475,7.255,-0.19,6.5,-1.48,35.385,2.67,24.735,24.8,74.413,98.35,377.79,9.085,23.75,104.93,50.295,3.67,7.3,423.82,454.26,25.74
2,17.75,0.145,25.805,1.51,9.58,0.585,8.5,-3.48,10.82,1.245,24.755,24.825,76.3205,98.38,379.73,8.1,-7.27,24.71,11.845,1.71,2.1,418.68,450.46,25.59
2,18.25,0.1,25.455,1.61,11.96,0.535,9.65,-2.075,6.06,0.47,24.78,24.84,76.4445,98.405,382.385,8.025,-21.03,-2.23,-1.065,0.39,0.09,417.43,448.55,25.72
2,18.75,0.11,25.33,1.715,11.235,1.205,8.8,-2.55,3.55,-0.67,24.8,24.87,77.2875,98.44,383.295,7.455,-21.425,-2.93,-1.4,0.35,0,415.48,447.03,25.67
2,19.25,0.11,25.16,1.91,10.39,1.12,8.37,-3.8,4.53,-1.45,24.83,24.88,76.9065,98.47,385.73,7.64,-20.46,-2.815,-1.345,0.325,-0.015,418,445.98,25.67
2,19.75,0.12,24.98,1.95,9.03,1.46,5.975,-4.2,2.71,-2.03,24.84,24.9,77.881,98.5,387.98,6.89,-17.085,-2.61,-1.25,0.335,-0.045,418.465,444.76,25.545
2,20.25,0.135,24.93,2.12,9.64,2.45,5.44,-6.15,4.5,-2.66,24.855,24.91,78.213,98.55,388.81,6.88,-17.405,-2.585,-1.235,0.32,-0.065,419.87,444.18,25.5
2,20.75,0.13,24.84,2.28,8.31,2.24,4.26,-5.81,3.94,-3.04,24.865,24.915,78.888,98.59,391.34,6.55,-15.37,-2.305,-1.105,0.315,-0.03,421.745,443.055,25.37
2,21.25,0.15,24.65,2.32,7.2,2.725,3.86,-6.25,2.91,-3.28,24.855,24.92,78.124,98.62,392.2,6.8,-15.96,-2.33,-1.12,0.365,-0.025,419.63,442.87,25.175
2,21.75,0.15,24.39,2.315,7.82,3.55,1.87,-6.265,3.155,-3.51,24.86,24.94,79.456,98.65,396.405,6.46,-13.355,-2.2,-1.06,0.39,-0.01,420.385,441.58,25.2
2,22.25,0.16,24.22,2.385,8.86,4.47,3.63,-8.08,4.16,-3.69,24.87,24.95,79.96,98.665,398.07,6.18,-12.76,-2.05,-0.98,0.41,0,420.24,441.24,25.08
2,22.75,0.17,24.03,2.29,8.3,3.7,3.59,-6.4,2.12,-3.73,24.86,24.95,77.97,98.66,398.27,6.57,-11.91,-2.05,-0.98,0.46,0,421.54,440.44,24.49
2,23.25,0.15,23.96,2.13,9.17,3.31,4.705,-5.21,1.2,-3.88,24.87,24.95,78.413,98.65,400.95,6.49,-11.38,-1.795,-0.86,0.51,-0.01,423.075,439.64,24.63
