DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
2,21.25,-55.0487,-43.75245,-0.134674,-9.67956,0.04159205,0.1295365,377.485,5.853865,8.88012,87.98565,5.60967,49.2382,0.946124,0,0,8.68673,9.29,10.145,9.725,9.38,10.06
2,21.75,-52.2616,-43.8907,-0.162107,-10.6956,0.005713685,0.13007,377.8145,5.861485,7.7377,88.0016,4.74491,52.884,0.870534,0,0,8.180325,8.8875,10.0175,9.8,9.385,10.05
2,22.25,-52.4177,-44.04855,-0.116271,-10.8438,0.045525,0.1177235,378.287,5.98696,6.74275,88.0169,3.96249,56.09725,0.7849295,0,0,7.608515,8.415,9.8725,9.87,9.42,10.01
2,22.75,-49.49775,-42.62475,-0.236145,-11.3865,0.06613665,0.116259,378.4255,5.91924,6.01787,88.02045,3.19104,59.30185,0.831742,0,0,7.2295,8.045,9.7225,9.88,9.445,10.03
2,23.25,-47.03215,-41.6295,-0.205826,-7.019785,0.0719363,0.1036835,378.672,6.16463,5.51104,88.02165,2.36972,62.98285,0.8324755,0,0,6.782715,7.62,9.585,9.83,9.44,10.03
2,23.75,-47.34255,-42.1762,-0.2949305,-6.36523,0.0234187,0.105396,379.068,6.10829,4.92402,88.01205,1.814145,65.14765,0.72865,0,0,6.36756,7.222,9.45,9.845,9.505,10.025
3,0.25,-53.3554,-42.1312,-0.737549,-7.05961,0.0883229,0.112153,378.013,5.47833,8.20949,87.9653,5.271265,50.45225,0.718205,0,0,11.9875,12.715,14.94,14.62,13.33,13.215
3,0.75,-52.51555,-43.4973,-0.302647,-5.98998,0.0478564,0.103452,377.991,5.51266,7.47257,87.9623,4.348335,51.96625,0.69738,0,0,11.5501,12.3925,14.75,14.55,13.33,13.215
3,1.25,-51.0213,-43.58835,-0.268783,-6.30118,0.0869449,0.102624,377.8955,5.47623,6.66294,87.9456,3.92285,53.89455,0.748835,0,0,11.1303,11.97,14.545,14.485,13.345,13.19
3,1.75,-50.38345,-42.1819,-0.396219,-6.89585,0.0376662,0.104644,377.91,5.556715,6.52985,87.9422,3.615985,55.59985,0.713286,0,0,10.83345,11.655,14.35,14.44,13.42,13.205
3,2.25,-48.676,-42.0909,-0.296949,-4.35269,0.0682883,0.102728,377.748,5.615,6.03904,87.9377,3.173995,58.5796,0.748939,0,0,10.4559,11.41,14.1275,14.395,13.42,13.215
3,2.75,-48.0579,-42.5118,-0.527126,-4.988745,-0.0383812,0.102045,378.794,5.6233,6.03127,87.91965,2.8839,59.9355,0.715602,0,0,10.14755,11.125,13.9575,14.335,13.425,13.21
3,3.25,-48.23985,-42.33595,-0.412473,-4.59096,0.002648425,0.107008,378.7305,5.658375,5.31898,87.9094,2.46933,60.2126,0.740119,0,0,9.935,10.8175,13.785,14.27,13.45,13.195
3,3.75,-47.03925,-41.8938,-0.0407086,-5.33549,0.0576741,0.0976,378.643,5.75114,4.98597,87.90455,1.76023,63.3275,0.718652,0,0,9.64651,10.49,13.6025,14.16,13.475,13.215
3,4.25,-47.0561,-41.79845,-0.586878,-4.84311,0.0275901,0.0978186,378.6115,5.80092,4.82566,87.8963,1.26061,65.45605,0.750289,0,0,9.293615,10.325,13.435,14.065,13.44,13.25
3,4.75,-46.66935,-41.6996,-0.266277,-3.732025,0.02486385,0.0991168,378.287,5.814795,4.21425,87.9022,0.973711,66.98285,0.692872,0,0,8.968265,10.02,13.2175,13.935,13.465,13.205
3,5.25,-45.48215,-41.96735,-0.593966,-3.58241,0.00921502,0.0954375,379.2525,5.808305,3.90685,87.9145,0.500068,68.0269,0.690727,0,0,8.66959,9.7625,13.0775,13.855,13.53,13.225
3,5.75,-46.5771,-41.50405,-0.431244,-2.17126,0.0758876,0.0929227,379.737,5.77909,3.41743,87.9323,0.0666018,71.57185,0.75765,0.005689565,0,8.332475,9.445,12.9225,13.71,13.525,13.23
3,6.25,-43.0637,-40.9313,-0.452553,-3.253465,-0.019842,0.0956875,379.1045,5.79367,3.20187,87.951,-0.2816055,72.6316,0.792866,1.06591,0,8.036485,9.185,12.7325,13.595,13.53,13.24
