DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,5.25,2.04015,2.257125,17.8994,25.064075,1.12935,1.2695,452.2115,411.481,408.92575,10.932,4.11165,10.6695,1.9972,2.6684,343.095,351.2575,0,0,0,8.18974999999999,7.50824999999999,6.46025,99.99375,100,100,5.101675,100.98625,4.1494,3.385525,3.1624,3.715075,4.8721,6.2456,3.2252,3.55565,4.325425,3.8883,4.9196,6.35315,1.89364999999999,1.61419999999999,1.4127475,2.2270725
1,5.75,2.21925,2.3459,25.021,27.876125,1.198,1.398,452.492,410.64125,409.567,10.868,4.48615,10.88925,1.887825,2.77655,344.5725,348.825,0,0,0,8.1375,7.95325,6.491125,100,100,100,5.10425,100.988,4.1328,3.41175,3.196,3.706975,4.8709,6.255,3.208,3.49465,4.31655,3.889025,4.9238,6.34925,1.65655,1.74855,1.495695,2.35364
1,6.25,2.03415,2.4307,23.717,28.1385999999999,1.245325,1.3635,452.4615,409.245,409.861,10.771275,3.70509999999999,9.16800000000001,2.0424,2.9782,344.3825,347.33,0,0,0,8.086,7.73775,6.54025,100,100,100,5.2885,101.01875,4.2266,3.4072,3.1798,3.71695,4.871575,6.2646,3.0948,3.422175,4.310025,3.91035,4.9186,6.3473,1.09294999999999,1.46184999999999,1.486015,2.4510625
1,6.75,2.30359999999999,2.469125,21.4217,26.3189499999998,1.2633,1.1925,452.524,409.28225,409.952,10.7457,4.19419999999999,10.868,1.969125,2.91125,346.64,345.725,0,0,0,7.59999999999998,7.261,6.20785,100,100,100,5.379025,101.05875,4.1982,3.510225,3.162,3.735375,4.8727,6.2776,2.9376,3.333325,4.298375,3.898825,4.9162,6.3494,1.41695,1.63404999999999,1.4709725,2.33813
1,7.25,2.577625,2.54025,20.5155,32.5198,1.18215,1.652,452.829,409.716,411.648,10.401,3.54289999999999,10.568,1.85645,2.7962,344.87,345.445,0,0,0,7.43899999999999,7.28,6.12595,100,100,100,5.2543,101.1,4.1462,3.541925,3.1858,3.7379,4.87035,6.2796,2.841,3.3163,4.291675,3.891,4.9096,6.349175,1.2779,1.49304999999999,1.458425,2.18145
1,7.75,2.11675,2.47,21.805275,31.982,1.2282,1.5235,451.865,410.04975,410.121,10.398025,6.1528,13.174,13.6984,5.16102499999999,344.25,344.27,23.0175,1.7181,34.171275,7.17599999999999,7.099,6.08195,100,100,100,5.21955,101.134,4.1164,3.544025,3.1454,3.7334,4.8627,6.289,2.8392,3.2642,4.277375,3.884,4.9082,6.347825,1.28419999999999,1.18414999999999,1.562045,2.253015
1,8.25,2.2429,2.27,24.198,30.6361999999999,1.222,1.28,452.049025,409.65725,411.766,10.499725,44.0860000000001,13.164,97.33,21.28675,346.22,345.52,122.75,9.214,35.511375,7.1265,6.77085000000001,6.3439,100,100,100,5.1406,101.144,4.0104,3.4618,3.108575,3.713,4.8655,6.2882,2.8744,3.215125,4.269325,3.887625,4.9092,6.342675,0.95709999999999,1.59095,1.44839,2.20905
1,8.75,2.1525,2.241925,22.63965,50.1824,1.19965,1.1265,452.1395,410.631,412.5385,10.5095,112.67,17.4567499999999,203.67,34.602,344.88,347.24,298.9875,20.9595,38.97345,7.20400000000001,7.21350000000001,6.49939999999999,100,100,100,5.339125,101.12825,4.0168,3.424125,3.0568,3.6857,4.86455,6.2914,2.9978,3.18055,4.257675,3.896075,4.9144,6.339975,1.44035,1.63379999999999,1.493565,2.2785375
1,9.25,2.0976,2.5375,30.629,85.65725,1.330725,1.4625,452.1935,409.7755,412.977,10.5895,187.924,26.6474999999999,297.81,45.151,344.86,349.2,468.5375,34.4345,44.959825,7.711,7.92,6.781875,99.9875,100,99.995,5.443375,101.1425,4.0464,3.4207,3.023225,3.656425,4.8592,6.2722,2.9546,3.171675,4.244025,3.90135,4.9086,6.3378,1.36675,1.50955,1.64135,2.48123
1,9.75,1.9923,2.72935,36.7267,132.6865,1.325,1.2404,451.95655,410.1435,412.5055,10.644,271.0325,27.838,374.3725,54.719,342.93,350.675,629.86,46.0045,54.0714,7.83674999999999,8.04025,6.897875,99.985,100,99.905,5.538575,101.164,4.115175,3.3906,3.02625,3.6502,4.8573,6.280975,3.0216,3.2188,4.2418,3.9002,4.901525,6.343125,1.03295,1.73599999999999,1.618045,2.446315
