DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,21.25,405.706678125,5.851360475,1941.8079799,-0.8226944,-0.4376726,-33.526278925,-42.65282815,-2.747352675,0.2234558,0.038378175,-0.4431638,0.146727,0.03670825,100.614375,69.9525,4.1623,0.229243875,7.445966525,0.1194509,2.014875,7.5813625,8.0672375,8.09775,9.524625,-90.97656335,0,0,-4.597701,0.064612275,257.528614425,323.321422075
1,21.75,403.6934121,5.397552575,1947.044167125,-0.6557914,-34.7855111,-34.6152259,-37.54106435,-3.110919575,0.202430125,0.0336161,-0.3578594,0.16094185,0.0359245,100.637225,68.958,3.5724,0.2240909,6.861536825,0.1233724,2.11925,7.5609625,8.0898125,8.1075,9.51,-91.601202,0,0,-4.31393695,0.12922455,256.735502375,322.591592775
1,22.25,404.144620525,5.074129625,1963.81797275,-2.221155,-62.3426047,-35.891576275,-31.90692605,-4.0350881,0.2236874,0.034302525,-0.2479769,0.193406725,0.045976825,100.633075,69.933,3.4324,0.168475,6.905379975,0.13263765,1.4086625,7.5274125,8.07295,8.12775,9.52,-90.282928325,0,0,-4.885057,0.197150275,255.273957725,321.034258125
1,22.75,404.45285195,4.92772155,1957.59287675,-1.13005325,-22.167157175,-36.786398775,-25.9418995,-1.055118975,0.2777492,0.036653525,-0.2239583,0.14101715,0.041641125,100.615925,70.445,2.8756,0.1653776,7.0811513,0.1100014,2.08735,7.374025,8.0541125,8.14775,9.524625,-90.7118577,0,0,-4.45761495,0.066269,255.16786405,321.92915885
1,23.25,403.71335285,4.66213275,1975.612685375,-1.34334075,-60.1481536,-37.40593085,-60.36570285,-8.44598995,0.18601025,0.039164125,-0.2847573,0.200196325,0.04334365,100.597675,67.471,2.8092,0.2058838,6.457360875,0.109030925,2.2553875,7.31775,8.0378875,8.17725,9.51975,-87.985124125,0,0,-4.525862,0.064612275,254.45423905,318.982516875
1,23.75,405.415185375,5.112144125,1988.4769518,-4.2188819,-15.60779435,-37.202914825,-39.49205375,-0.407484925,0.2028886,0.0339149,-0.27277415,0.1786174,0.044567375,100.6116,71.24625,3.0465,0.1825985,5.741738625,0.110056875,1.5982625,7.237575,8.022975,8.17725,9.51975,-91.254289625,0,0,-4.671335975,-0.265076,253.769332525,317.6627098
2,0.25,400.6481196,4.2490402,1959.5461966,-1.5791095,-13.27974255,-24.8447415,-67.18860965,-0.627822625,0.375139875,0.0395134,-0.370132625,0.191270775,0.06066425,100.0874975,32.26775,3.78185,0.43106295,8.190182875,0.11095525,3.0114125,9.207,9.899875,10.00825,10.758625,-102.887427575,0,0,-5.31968395,0.12922455,243.72838625,329.979258725
2,0.75,398.75435995,4.312140575,1958.1541486,-0.8061755,-31.17361625,-25.77962065,-42.802607,2.49710535,0.253965,0.05181225,-0.41598005,0.20817905,0.05443105,100.03248,36.87,3.2874,0.4640111,7.649572425,0.1074186,2.8743375,9.181,9.78975,10.00625,10.75125,-102.044380625,0,0,-5.249640925,0.3114643,242.135600725,329.39899715
2,1.25,400.7161092,4.2920422,1960.810343975,-1.80291425,-61.454201875,-25.3695937,-39.532247375,2.9412455,0.1792848,0.0371423,-0.446123925,0.174713575,0.044160025,99.95733,36.278,3.4274,0.4209499,7.384621025,0.100995575,2.541425,9.16475,9.7455,9.9985,10.743,-102.21569975,0,0,-4.81680995,0.265076,240.76624825,328.4600091
2,1.75,402.491111925,4.39352095,1963.14636785,-1.514266125,-17.492035125,-26.558218275,-52.67937335,1.78660115,0.3383957,0.04021605,-0.503855,0.183254775,0.045910375,99.9452025,35.071,3.13005,0.417139625,7.1530517,0.11536665,2.5986375,9.157375,9.74725,9.9995,10.73425,-101.795872425,0,0,-5.174209975,0.263419275,239.7218137,326.11758935
2,2.25,402.32271815,4.0422975,1973.960528,-1.92023415,-44.4267575,-27.598845575,-54.641990775,0.51956405,0.234128325,0.04038555,-0.4588008,0.17352255,0.043522975,99.9121225,32.292,2.591675,0.3363916,6.67715565,0.121989575,1.8997625,9.157375,9.683625,9.99975,10.739125,-102.038426425,0,0,-5.0359199,0.3909871,238.731509625,324.219711425
2,2.75,402.611412625,4.1592194,1969.7033448,-3.73889155,-39.955089425,-27.73455545,-37.217802625,0.295491600000002,0.272827975,0.0302576,-0.537137475,0.1847286,0.0470039,99.9164775,34.7335,2.34295,0.33976325,6.28758885,0.11064125,1.662525,9.14425,9.6295,10,10.762,-101.9999894,0,0,-5.1149428,0.331345,239.1533713,324.16602865
2,3.25,400.866332275,4.0742067,1973.174580375,-1.40305245,-48.24063425,-27.7539906,-53.604328825,-4.25607925,0.29863745,0.03424845,-0.48501795,0.1937083,0.0507853,99.9251025,37.797,1.693525,0.2529013,5.625569325,0.1463669,0.9607875,9.116875,9.609,10.0095,10.7685,-101.5246444,0,0,-5.102370975,0.331345,241.085527425,323.497805325
2,3.75,401.078943125,4.191412,1965.298240875,-2.96588875,-14.955312,-28.194885875,-39.3529139,1.11644625,0.1504436,0.040676325,-0.5396431,0.1817585,0.04583065,99.9060025,33.745,1.409925,0.208113625,5.2474433,0.1342327,1.1616375,9.0245,9.5925,10.0385,10.773625,-100.60012695,0,0,-5.174209975,0.32803155,239.15363905,324.4799783
2,4.25,401.465673625,4.227771725,1966.301294,-0.849881525,-25.115574825,-28.452037425,-41.785669,-3.6801495,0.376700175,0.04157305,-0.50743825,0.177491725,0.055491275,99.8630625,37.8925,2.079725,0.113868775,4.94713125,0.112873425,1.4790625,8.934125,9.577625,10.03825,10.759125,-101.05335385,0,0,-5.461565975,0.329688275,238.54941815,325.559448475
