DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,13.75,392.0145,0.02634870925,2.088855,2018.65,0.1331025,2.920005,-37.8411,1.686795,1.07734075,0.115394,-0.08898505,0.58938775925,0.39035196325,0.11107071575,101.20375,46.601,-22.9075,1.0910725,-21.93725,0.21565488325,-57.3925,52.705,61.1725,26.61,29.99,169.675,216.3,-0.9425,-3.43825,-1.7795,-2.776,-58.0225275,-24.6575
1,14.25,391.462,0.02476251025,1.719885,2019.01,0.272271,-0.226026,-55.088175,1.025596,1.09603825,0.1431435,-0.072351775,0.4789046125,0.33189274075,0.10813179,101.17075,40.1512,-22.82,1.12302,-20.8415,0.22577838625,-58.03,53.0275,61.4425,26.2625,29.13,169.625,216.35,-0.945,-3.42525,-1.777,-2.6975,-58.0860425,-24.4475
1,14.75,392.361,0.0302486195,1.742853,2015.91,0.095401125,-0.512316,-32.886975,0.95202,1.421145,0.09898275,-0.08842025,0.58980875375,0.427282464,0.0903166315,101.168,41.1627,-22.705,1.13405,-19.927,0.1530178695,-59.07,46.665,50.8825,21.06,30.4525,170.325,216.725,-0.94675,-3.42275,-1.77225,-2.62675,-58.0993575,-24.3175
1,15.25,392.69275,0.026531121,1.809875,2017.59,0.157328,2.12114,-30.576,-3.959475,1.18103625,0.1073295,-0.06506895,0.44343533275,0.5491655915,0.10881036,101.183,41.3727,-22.6025,1.11279,-19.42675,0.187941543,-60.2975,34.1525,39.3,17.355,24.69,170.375,216.275,-0.94975,-3.41775,-1.77775,-2.52875,-58.13668,-24.095
1,15.75,393.3655,0.030666673,1.762185,2018.1,0.00288741,-0.904605,-25.0148,-1.182095,1.474475,0.070285925,-0.047961125,0.447091843,0.37011767375,0.07367957675,101.17575,41.2556,-22.695,1.11314,-18.9395,0.15177261825,-62.49,21.465,21.93,7.85625,17.5125,168.5,215.675,-0.95075,-3.40375,-1.7655,-2.474,-58.012535,-24.65
1,16.25,392.40775,0.03011110775,1.377325,2013.39,0.077183025,-0.16092225,-23.560075,-2.32176,1.4550675,0.109344,-0.0697716,0.58534080225,0.42740312025,0.11408663225,101.15775,54.533125,-22.73,1.4255725,-18.70375,0.1644899205,-63.62,9.49,9.73,2.836,11.255,168.9,215.8,-0.9475,-3.235,-1.77,-2.379,-57.35174,-24.76
1,16.75,392.214,0.032887578,2.0168165,2011.07,0.1671935,-2.20861,-27.90075,-0.858411,1.223045,0.1383605,-0.042713025,0.441793941,0.51871480225,0.10303283075,101.14,54.1377,-23.06,1.38769,-18.39575,0.219610678,-59.21,2.207,2.406,-0.162,45.37,169.3,214.7,-0.95175,-3.243,-1.766,-2.254,-57.45265,-25.56
1,17.25,392.243,0.02954362775,2.56152,2010.76,0.11073225,-0.895813,-39.023625,0.604938,1.11238175,0.08760755,-0.056185475,0.403110455,0.48059517775,0.07805843275,101.13675,54.285725,-23.24,1.3579475,-18.48,0.1421118345,-57.7925,0.132,0.186,-1.293,26.98,168.9,214,-0.95025,-3.251,-1.762,-2.301,-57.25559,-25.3
1,17.75,392.2125,0.04054947675,2.133918,2008.79,0.220675,2.2725375,-40.636,-3.36325,1.4291985,0.082319525,-0.0312588,0.41758721425,0.43521442,0.09164848825,101.1235,52.74065,-23.05,1.41,-18.878,0.2990114225,-55.555,-0.074,-0.068,-1.997,18.2475,168.8,212.9,-0.95825,-3.286,-1.755,-2.364,-56.91782,-25.52
1,18.25,392.63275,0.042732365,2.59501,2016.345,0.093698775,-1.51333285,-32.274675,-6.21819,0.89971475,0.07542795,-0.06573355,0.44299303225,0.46119110575,0.09562095825,101.11075,47.5659,-23.03,1.111575,-19.67625,0.2390837335,-62.315,-0.088,-0.084,-2.424,12.055,167.6,213.3,-0.956,-3.318,-1.754,-2.312,-56.5769,-25.36
1,18.75,392.459,0.02915272425,1.741865,2050.63,0.2024,3.147245,-38.8047,-2.4182325,1.4598375,0.11969825,-0.051168325,0.50112911875,0.477569282,0.116328202,101.098,31.527,-23.28,1.1317,-20.80125,0.220901772,-56.1525,-0.103,-0.099,-2.13,5.237,165.2,210.7,-0.959,-3.353,-1.753,-2.372,-56.48676,-25.7
1,19.25,392.256,0.053713313,2.58161,2067.22,0.2966895,3.85584,-33.240475,-4.5045,1.37367,0.157343,-0.078819125,0.525563507,0.447725362,0.123132855,101.126,42.36105,-23.27,1.113715,-23.419,0.255901544,-55.275,-0.107,-0.099,-1.978,5.237,165.1,210.5,-0.95925,-3.328,-1.754,-2.279,-56.66843,-25.76
1,19.75,391.805,0.046181057,2.57776,2063.295,0.20063875,3.671795,-33.95035,-0.687485,2.15674,0.136694,-0.0350763,0.436898157,0.396771975,0.112707143,101.099,42.87105,-23.61,1.1273425,-22.917,0.231733036,-55.645,-0.108,-0.098,-1.958,5.237,168.2,210.9,-0.959,-3.289,-1.74,-2.318,-56.84142,-26.09
1,20.25,392.86525,0.03339450425,2.65698,2026.54,0.1620215,5.930115,-34.265825,3.12953,2.1076125,0.09381745,-0.05654195,0.455205347,0.33017802225,0.12816136375,101.13975,51.1613,-23.69,1.116975,-21.565,0.24412817875,-55.99,-0.112,-0.102,-2.188,5.237,168.6,209.7,-0.964,-3.237,-1.74,-2.39,-57.02851,-26.03
