DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
10,1.25,447.1125,13.602365,-5.5805,1.595,30.565,81.353,97.972,12.1295,8.31775,12.96275,0.03,0,-0.0505000000000015,325.52875,362.47425,-2.00075000000003,10.1595,10.492,10.05125,10.06475,10.231,10.44075,0.029728335,0.7628767,1.02408967825,2.99900225,9.96649999999998
10,1.75,446.96,9.880468,-5.54425,35.9409999999999,36.5249999999999,81.3525,98.167,12.17375,8.8125,12.9715,0.03,0,-0.1205,321.05925,361.65325,-2.79875,10.15025,10.40875,10.17125,9.9245,10.23475,10.439,0.026101155,0.8023235,1.042876887,3.482441,9.858
10,2.25,446.485,7.99949125,-5.8015,19.1095,36.5199999999999,81.343,98.35875,12.496,8.443,12.959,0.0384999999999999,0,-0.142,316.1705,363.1015,-3.85300000000001,10.089,10.422,10.224,9.7815,10.227,10.4405,0.0242093875,0.89351135,1.109302367,3.5814085,10.1725
10,2.75,446.475,10.539025,-6.096,12.07375,21.83,81.317,97.58275,11.79,8.1115,12.5025,0.03,0,-0.164,314.744,357.998,-2.86400000000001,10.018,10.087,9.882,9.65,10.22,10.434,0.0244482925,0.903684149999999,1.077527619,3.9726945,9.20599999999999
10,3.25,445.8075,11.8711767499999,-5.8275,8.22,33.164,81.3155,97.55775,11.4125,7.484,12.16875,0.03,0,-0.0475,318.7575,357.975,-2.685,9.9225,10.01,9.885,9.52,10.2175,10.4275,0.0495965049999999,0.813536725,1.05746280925,3.75748475,9.0125
10,3.75,445.455,13.4210875,-5.679,7.815,22.80375,81.318,97.5775,11.44175,7.286,12,0.03,0,-0.12175,327.3295,358.031,-0.41849999999999,10.03125,10.2325,10.01575,9.45425,10.2165,10.43725,0.0202005375,0.71408,0.860061396,2.746894,9.20300000000001
10,4.25,445.27,7.6568855,-5.848,23.9,25.659,81.329,97.9045,11.815,7.537,12.391,0.03,0,-0.0300000000000009,324.592,357.916,-2.90000000000001,10.304,10.5415,10.5165,9.393,10.225,10.447,0.0512006675,0.6607241,0.873480129,2.606483,9.22699999999997
10,4.75,444.8,7.9915625,-5.3835,21.5175,13.488,81.3465,97.41875,11.6535,7.583,12.1665,0.03,0,0.0919999999999993,320.8015,358.575,-6.61750000000002,10.377,10.373,10.59,9.3125,10.221,10.4405,0.0454553599999997,0.586986425,0.7564628515,2.621058,9.25549999999998
10,5.25,445.06,10.814085,-5.593,11.675,19.844,81.3585,97.912,11.63025,7.4995,12.2355,0.03,0,-0.0752499999999999,316.506,355.38975,-9.75775,10.1575,10.35125,10.531,9.25575,10.216,10.43725,0.01387861,0.69080145,0.8544351445,2.981501,8.37050000000001
10,5.75,447.5875,8.23529375,-5.9075,5.89999999999998,30.68425,81.35825,97.81275,11.5525,7.36725,12.23325,5.44,0,0.11,311.825,352.735,-10.665,10.1125,10.3,10.365,9.18,10.2075,10.42,0.0095259825,0.6663501,0.8966938375,2.5180795,8.18
10,6.25,446.8625,8.66572799999999,-6.076,10.54,23.914,81.37475,98.13,11.708,8.04625,12.34375,55.158,25.372,4.406,310.708,351.876,-3.53200000000001,10.058,10.4005,10.2595,9.144,10.208,10.426,0.009097258,0.767553125,0.8846401645,3.14017425,8.182
10,6.75,444.67,8.180168,-6.2485,12.005,34.724,81.3885,98.13,11.9575,7.88249999999999,12.5695,247.376,138.2015,16.8355,308.0575,358.84,68.5009999999999,9.7045,10.309,10.144,9.109,10.2105,10.432,0.010447591,0.815878349999999,0.911897236999999,2.9451175,9.23199999999999
10,7.25,444.23,9.1107375,-6.014,65.6009999999998,46.45275,81.40775,97.46725,11.968,6.963,12.58225,440.228,269.256,36.052,311.384,362.77,169.046,9.134,9.1575,9.0485,9.022,10.192,10.426,0.0348036,0.704207875,0.912613459,3.22994825,9.476
10,7.75,441.71,10.715712,-4.286,121.865,72.465,81.4425,94.875,12.064,7.5975,12.892,621.6,385.418,52.536,323.278,369.674,293.362,9.25,9.209,9.091,8.962,10.182,10.426,0.0518167949999999,0.85472725,1.0409559285,3.8048215,10.412
10,8.25,433.635,11.074895,-2.59625000000001,174.53,92.0535,81.471,93.126,12.522,8.358,13.073,823.16175,488.10475,68.55125,317.11825,374.5525,345.914,9.13,9.2515,9.21975,8.909,10.174,10.423,0.0320897,0.9136058,1.1006785545,3.933573,11.1005
10,8.75,429.0975,11.3002814999999,-0.96150000000001,206.615,149.5965,81.482,82.4125,14.1625,10.846,14.9845,985.8065,548.1245,82.6555,325.3975,389.034,392.347,9.334,9.188,9.242,8.9215,10.1745,10.4235,0.016385925,0.973947125,1.0970758895,3.58106775,13.0835
10,9.25,417.385,1.44686999999999,1.7145,219.25125,152.4,81.47775,85.6025,16.0785,11.8765,17.0025,1156.2655,632.072,100.073,310.2105,405.6205,435.552,10.0065,9.948,9.786,8.943,10.173,10.4235,0.0557093875,0.99412965,1.230579383,4.32558125,15.1665
