DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1
1,6.75,357.9207133,3.543924928,0.415700603,2.0811965605,-4.187457835,0.177935382,2.12644,0.57052,0.59597,0.25494616,98.47217455,-6.025041905,-0.1142945,0.4127,-0.02835,-4.104535,-2.84956,-3.937503
1,7.25,358.3478659,3.5086443145,0.471910684,2.17927,-4.4724177465,0.1769616785,2.208258247,0.5764,0.584621641,0.245366407,98.49056065,-6.147681049,-0.11788675,0.4105,-0.0376,-4.1154315,-2.851404,-3.904325
1,7.75,358.8873204,3.530636666,0.550142483,1.876827567,-4.379055852,0.183746088,2.325516653,0.550037589,0.5574,0.235669819,98.493697425,-6.014078082,-0.140117,0.4125,-0.0386,-4.15315,-2.894,-3.907586
1,8.25,358.7886962,3.518257433,0.45708524,2.388327653,-4.37936,0.190143029,2.423421926,0.571353322,0.559558652,0.231707492,98.480014045,-6.1264265395,-0.12430295,0.41218425,-0.03925,-4.257945,-2.98141,-3.91455
1,8.75,358.9782625,3.532967028,0.45130467,3.181470439,-3.09922303,0.1909,2.3764282535,0.5846659815,0.604736679,0.2422783885,98.503148745,-5.964134991,-0.1139862,0.4097889,-0.0421,-4.401701,-3.021404,-3.960453
1,9.25,358.7503845,3.628474644,0.439241859,3.801357772,-1.032244994,0.20135,2.447407219,0.626896769,0.64353,0.274658416,98.50853104,-5.868418665,-0.1050287,0.4129,-0.03995,-4.402,-2.964697,-3.9876
1,9.75,359.3247562,3.5941697455,0.325912152,5.7196512095,0.8896991635,0.21465,2.6126999775,0.6777430075,0.668690755,0.2807647,98.501348,-5.6419228835,-0.10088623,0.41355,-0.0378,-4.3697595,-2.8196685,-4.004155
1,10.25,359.809992,3.588526526,0.2825918155,7.8330191425,3.120899553,0.22929,2.858017845,0.70974,0.726558927,0.3095572,98.49758895,-5.5195804975,-0.056561645,0.41505,-0.0324,-4.276221,-2.922385,-3.9597145
1,10.75,359.475764,3.593498442,0.257941188,9.615047157,4.640046348,0.235733996,2.958132599,0.804710122,0.764606458,0.32867,98.511529835,-5.2805624345,-0.02664307,0.4182,0.0056,-4.165831,-2.8559,-3.9178
1,11.25,358.4852459,3.601468232,0.15371371,10.410821305,7.45028,0.249576005,3.091343929,0.879370522,0.836793813,0.347629967,98.51437065,-5.027169045,-0.0013174695,0.4232,0.0135,-3.89961,-2.644027,-3.8119105
1,11.75,358.71780795,3.570358309,0.111330268,12.1073,9.7268387305,0.2530126875,3.0571465975,0.903831921,0.89916454,0.3512465265,98.52057431,-4.76427,0.0199,0.4222792,0.02285,-3.83875,-2.6136885,-3.7565025
1,12.25,358.1711439,3.610053623,0.2069,13.583056745,10.032904505,0.2497723555,3.1610491435,0.9094967335,0.9261559455,0.356272688,98.47236672,-4.622426694,0.04658583,0.4243628,0.0349,-3.783565,-2.55812,-3.7491705
1,12.75,358.467537,3.575994767,0.207430455,14.6162115,9.399107297,0.25335,3.1464342175,0.953784388,0.958535913,0.3472599465,98.42515968,-4.293676071,0.05849174,0.42526995,0.0358,-3.667812,-2.47926,-3.5793305
