DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,14.75,401.2825,401.6275,401.6025,401.5725,401.4,402.165,404.03,405.5625,0.649,0.263,-0.2345,162.6925,146.6225,55.425,-1.2675,-0.47225,0.80075,0.09,0.058,386.26,58.17,242.23,311.72,219.945,657.09,43.065,70.22,-0.6615,66.75,3.545,-0.53675,65.86,3.75,-0.98425,70.68,3.54,10.25,1.62,-0.8155,-0.14325,-0.334,-0.76575,-0.11325
1,15.25,399.9125,400.1675,400.1725,400.2575,400.1125,400.885,401.65,403.24,0.65775,0.299,-0.202,116.97,106.975,49.08,-1.26,-0.911,0.7695,0.13575,0.0875,296.1,52,242.5225,309.7075,153.9175,510.715,29.63,70.23,-0.823,67.7425,3.44,-0.98,66.7,3.5725,-1.34,71.6475,3.32,9.945,1.6275,-0.814,-0.093,-0.45525,-0.777,-0.114
1,15.75,401.825,402.1075,402.1725,402.2625,402.095,403.01,404.82,405.965,0.6605,0.3325,-0.1735,65.3725,59.635,42.83,-1.26,-1.405,0.6735,0.1625,0.097,200.5,42.61,242.4275,307.835,85.29,347.76,19.3,70.23,-1.22,68.545,3.3,-1.4075,67.56,3.28,-1.8,73.3175,2.9775,10.02,1.6275,-0.863,-0.17275,-0.52975,-0.75925,-0.114
1,16.25,400.07,400.25,400.4,400.58,400.42,401,401.995,403.385,0.584,0.33175,-0.1515,25.66,12.075,39.97,-1.26,-1.19,0.63,0.25475,0.0815,97.12,22.12,240.85,304.44,17.84,170.65,10.065,70.24,-1.5125,70.2425,3.2,-1.97,69.65,3.1375,-2.1975,74.15,2.88,9.6,1.55,-0.93375,-0.286,-0.603,-0.76025,-0.11375
1,16.75,401.75,401.8925,402.04,402.15,401.9225,402.68,404.995,406.23,0.5735,0.2825,-0.12375,4.0975,-4.7525,36.335,-1.2575,-0.6955,0.674,0.4805,0.097,20.02,3.96,239.95,302.62,-13.8525,44.105,2.53,70.24,-1.83,70.635,3.055,-2.25,71.475,2.965,-2.5725,75.9725,2.7475,9.7125,1.58,-1.01,-0.466,-0.6955,-0.76125,-0.11575
1,17.25,400.3075,400.5225,400.6625,400.7225,400.645,401.26,402.54,404.2575,0.5655,0.20425,-0.094,-5.9575,-14.3575,36.6375,-1.2575,0,0.567,0.345,0.097,1.1125,2.2025,241.77,300.53,-30.0975,6.255,0.271,70.2425,-2.1,72.29,2.95,-2.65,72.7775,2.82,-2.9,77.15,2.59,9.9,1.57,-1.2475,-0.5545,-0.81825,-0.7545,-0.1185
1,17.75,401.6075,401.9675,402.325,402.76,402.045,402.9275,405.56,406.43,0.5315,0.1845,-0.0845,-8.14,-15.67,35.83,-1.25,0.3335,0.68375,0.491,0.098,-1.0875,1.8325,242.6,299.84,-29.135,0,0,70.25,-2.1275,73.05,2.9,-2.8275,74.0075,2.8,-3.04,77.47,2.51,9.8825,1.54,-1.385,-0.67475,-0.9115,-0.75425,-0.11675
1,18.25,400.64,400.77,400.845,400.855,400.85,401.4,402.4675,405.005,0.617,0.1705,-0.074,-9.5475,-16.515,35.7525,-1.2475,0.56,0.60825,0.41875,0.101,-1.0175,1.8025,243.99,299.58,-25.54,0,0,70.28,-2.2125,74.1,2.91,-2.97,75.0175,2.68,-3.28,78.3875,2.425,9.72,1.55,-1.5975,-0.80475,-0.979,-0.7465,-0.117
1,18.75,401.4325,401.8075,402.0675,402.195,401.905,402.8475,405.305,406.0675,0.605,0.1205,-0.069,-11.77,-19.0775,34.26,-1.24,0.6915,0.536,0.24875,0.10125,-1.0475,1.8825,244.81,298.6,-26.63,0,0,70.29,-2.355,74.7225,2.87,-3.15,76.445,2.59,-3.41,78.76,2.35,9.87,1.54,-1.7525,-0.88625,-1.0275,-0.7725,-0.121
1,19.25,400.47,400.73,400.7,400.85,400.8,401.46,402.2025,403.675,0.588,0.161,-0.068,-12.8,-19.965,33.9375,-1.24,0.86,0.49025,0.4085,0.104,-1.02,1.8825,244.8,298.87,-27.94,0,0,70.2825,-2.48,74.65,2.84,-3.2,75.66,2.54,-3.56,78.36,2.34,9.9925,1.565,-1.9075,-1.0475,-1.1525,-0.79725,-0.1225
