DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,12.75,0.481,0.635,13.169,111.7345,0.74,-0.087,406.679,387.9,387.27,3.706,200.29,-4.58,261.45,30.28,272.15,300.95,518,26.64,14.1065,-2.609,-2.5125,-2.445,75.55,77.15,80.1,2.988,99.2125,0.439,-0.0955,0.0955,0.7775,2.349,4.052,-0.0525,0.133,0.4245,1.052,2.2335,4.297,-2.309,-2.41,0.84835,1.339
1,13.25,0.551,0.551,13.207,112.8,0.752,-0.064,406.616,387.78,386.96,3.7135,190.15,-4.6805,252.1,28.8635,269.65,301.4,494.5,25.03,13.1355,-2.4355,-2.4195,-2.269,75,76.65,79.5,2.995,99.177,0.445,-0.0945,0.102,0.7775,2.348,4.047,-0.0515,0.1315,0.423,1.051,2.229,4.294,-2.283,-2.406,0.8629,1.36815
1,13.75,0.574,0.599,13.1505,95.539,0.748,-0.0605,406.4465,387.6,386.905,3.77,158.42,-4.786,216.2635,24.555,270.45,301.801,432.85,21.759,13.1675,-2.4105,-2.351,-2.214,74.9,76.7,79,3.047,99.145,0.4445,-0.0935,0.104,0.7775,2.342,4.042,-0.0495,0.131,0.417,1.0345,2.225,4.2925,-2.2615,-2.37,0.856,1.3388
1,14.25,0.54,0.5885,11.683,77.6805,0.751,-0.046,406.2175,387.375,386.6,3.808,137.95,-3.5375,194.15,21.425,270.0155,301.15,379.615,19.06,10.053,-2.425,-2.353,-2.131,75.4,76.8,79.55,3.022,99.1405,0.457,-0.0945,0.102,0.7825,2.343,4.041,-0.0425,0.128,0.408,1.009,2.223,4.2925,-2.2265,-2.311,0.8578,1.3464
1,14.75,0.537,0.57,10.092,65.8395,0.694,-0.0315,405.829,387.6,386.515,3.905,108.51,-2.904,161.9,17.46,269.4,300.75,320.8,15.31,8.193,-2.3725,-2.423,-2.324,75.5,77.3,79.8,2.947,99.1435,0.461,-0.094,0.09,0.787,2.344,4.0395,-0.047,0.12,0.397,1.006,2.208,4.289,-2.221,-2.2805,0.8225,1.3075
1,15.25,0.561,0.521,7.8155,47.107,0.681,-0.015,405.733,387.735,386.8,3.8495,79.955,-3.1885,129.0285,13.86,269.65,300.95,252.75,11.97,6.601,-2.4885,-2.401,-2.292,75.5,77.3,80.2,2.891,99.154,0.465,-0.094,0.096,0.798,2.3465,4.0405,-0.052,0.118,0.398,1.002,2.209,4.2875,-2.215,-2.2715,0.812,1.27805
1,15.75,0.5335,0.512,6.665,27.011,0.6755,0.015,405.467,388.28,386.955,3.8335,43.895,-2.85,85.5,9.5,269.85,300.55,171.3,7.54,4.651,-2.5625,-2.573,-2.323,76.925,78.1,81.4,2.892,99.163,0.47,-0.096,0.0905,0.794,2.3465,4.041,-0.053,0.119,0.402,0.995,2.208,4.284,-2.202,-2.268,0.7821,1.22155
1,16.25,0.55,0.444,4.322,8.7845,0.634,0.041,405.4335,388.075,386.74,3.908,13.3485,-2.453,49.801,5.413,268.3,300.15,99.5,4.012,2.917,-2.695,-2.819,-2.597,78.6,79.8,82.4,2.6345,99.1795,0.472,-0.101,0.0925,0.792,2.331,4.042,-0.054,0.113,0.403,0.994,2.21,4.281,-2.19,-2.277,0.7409,1.16
1,16.75,0.488,0.433,2.636,-7.4465,0.588,0.045,405.809,388.165,386.97,3.864,-8.1395,-2.124,18.705,2.256,267,298.45,39.415,0.994,0.875,-2.84,-2.951,-2.778,79.4,81.2,83.9,2.5305,99.1975,0.476,-0.097,0.101,0.79,2.3565,4.044,-0.059,0.119,0.403,0.992,2.1995,4.273,-2.216,-2.275,0.69745,1.0762
1,17.25,0.561,0.4595,1.598,-16.458,0.555,0.07,406.253,388.21,386.89,3.878,-21.65,-1.687,1.8675,0.1635,265.55,297.35,0,0,0,-3.064,-3.2745,-3.056,80.5,82.75,84.9,2.456,99.206,0.474,-0.098,0.094,0.789,2.3515,4.041,-0.064,0.114,0.405,0.99,2.2045,4.275,-2.193,-2.282,0.6703,1.0255
1,17.75,0.5305,0.418,0.813,-19.253,0.515,0.048,406.3325,388.46,387.12,3.867,-25.915,-1.468,-0.585,0,268.049,296.1,0,0,0,-3.3075,-3.5405,-3.3605,81.5,83.3,86.2,2.2835,99.21,0.4795,-0.097,0.1015,0.792,2.295,4.041,-0.0535,0.1195,0.4185,0.989,2.205,4.277,-2.2395,-2.2745,0.6024,0.9454
1,18.25,0.524,0.431,0.6195,-17.636,0.507,0.039,406.5185,388.46,386.98,3.833,-24.92,-1.907,-0.704,0,266.85,295.3,0,0,0,-3.493,-3.759,-3.528,82.3,84.5,87.1,2.1755,99.226,0.478,-0.099,0.092,0.793,2.298,4.0395,-0.0515,0.1215,0.4125,0.9895,2.203,4.274,-2.2805,-2.289,0.5943,0.93765
