DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
5,10.75,1.6495,93.819,5.6155,102,1243.6,1103.6,141.6225,597.045,427.995,293.545,309.24,1.5828,4.103025,-0.41767,-0.551,-0.93,-1.684,2.5799,0.1945525
5,11.25,1.6952,92.551,5.649,102,1322.3,1213.725,149.8025,642.67,461.665,294.4025,311.7175,1.6033,4.9391,-0.415,-0.54733,-0.92733,-1.6807,2.6255,0.2036025
5,11.75,1.65,91.8,5.513,102,1365.1,1226.9,151.6275,663.0025,472.8375,294.7575,311.3625,1.7855,5.1344,-0.413,-0.54433,-0.92533,-1.6767,2.6027,0.23101
5,12.25,1.95125,91.45975,5.581325,102,1399.5,1245.35,158.8175,679.495,472.375,295.64,311.525,1.74165,5.43945,-0.4077475,-0.5380025,-0.986025,-1.6862,2.60975,0.2136525
5,12.75,1.875225,90.5215,5.93685,102.025,1421.175,1296.9,171.685,680.1975,482.9375,294.3675,312.235,1.7428,4.108175,-0.376835,-0.5474175,-0.91183,-1.59235,2.674975,0.2298025
5,13.25,1.727275,91.0495,5.759325,102.1,1372.35,1220.025,160.855,666.935,472.1075,294.605,310.9575,1.49075,3.6844,-0.365085,-0.5449975,-0.9094175,-1.589925,2.71395,0.2579475
5,13.75,1.481225,90.41725,5.884925,102.1,1381.575,1249.375,171.03,664.1675,476.495,293.3525,310.15,1.54755,4.106775,-0.36425,-0.5412525,-0.9056675,-1.58675,2.742425,0.2576775
5,14.25,1.69395,90.46975,5.968325,102.1,1333.675,1179.85,154.4375,647.135,457.2925,294.27,311.7775,1.632325,3.840725,-0.343835,-0.53325,-0.9031675,-1.579225,2.845,0.2584775
5,14.75,1.92825,90.357,6.071425,102.1,1293.85,1153.175,160.125,637.65,446.135,291.035,311.805,1.5371,3.9654,-0.3424975,-0.52767,-0.900915,-1.572925,2.844225,0.2590175
5,15.25,1.729125,90.6395,6.058475,102.025,1190.475,1057.85,140.08,569.7175,409.005,292.7525,311.06,1.5243,3.82355,-0.34083,-0.52467,-0.89908,-1.569,2.838875,0.24621
5,15.75,1.6026,90.811,5.7911,102.05,1143.5,994.92,131.4525,543.5475,384.9075,292.4475,310.175,1.5021,3.886025,-0.334,-0.522,-0.894,-1.54,2.7348,0.22277
5,16.25,1.804475,90.746,5.576575,102.05,1037.475,916.39,125.085,529.5475,363.71,291.7725,310.44,1.419775,3.906175,-0.33267,-0.515,-0.892,-1.5347,2.7299,0.2685
5,16.75,1.49145,91.4715,5.504325,102.1,974.145,821.955,109.585,486.755,336.955,292.315,310.475,1.3873,3.893,-0.3369175,-0.5114175,-0.8923325,-1.55995,2.799925,0.2136825
5,17.25,1.097725,92.245,5.44375,102.15,857.665,743.465,98.1145,426.425,294.94,290.73,310.5625,1.3143,3.2029,-0.33633,-0.5095,-0.8896675,-1.56,2.777375,0.2297625
5,17.75,0.8409875,92.89625,5.448325,102.15,751.025,637.015,85.29125,375.295,263.835,293.005,309.89,1.2018,2.721725,-0.3351675,-0.507165,-0.88792,-1.547925,2.8273,0.2066525
5,18.25,0.735455,93.70075,5.533325,102.15,626.9375,529.405,69.98275,281.155,194.3075,293.9375,310.285,1.20785,2.269375,-0.3343325,-0.5050025,-0.8860825,-1.546225,2.76755,0.2299
