DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,G_2_2_1,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,WS_1_1_1,WS_2_1_1
1,13.75,-0.245358375,390.5961914,-54.950652425,-0.717515125,-7.4088,-8.57925,-9.172,0.096211,0.3457345,0.3263438,0.1622296,98.29750285,56.570499,-30.342250725,-26.57604,0.0606989,-6.892775,-2.2355,-1.587375,-0.99,0.792875,2.177475,-0.329125,-0.08795,0.175575,0.554575,1.583,2.79415,74.423096375,58.9548794,127.3265392,190.916304425,0.1685695,2009.7945254,-4.74029675,-0.1784836,-0.0846498,-0.2342712,-10.7745,-2.390643,-1.6153008,-0.7049109,-0.514434225,1.229575,0.9460263
1,14.25,-0.214633525,390.6514097,-66.855984,-1.01058475,-7.4151,-8.46775,-9.153,0.1355014,0.3360155,0.3692148,0.1620067,98.300003,56.215499725,-29.90550045,-26.2132691,0.0626183,-6.904125,-2.24255,-1.5893,-0.9983,0.792875,2.1769,-0.329275,-0.08895,0.177725,0.55615,1.58415,2.793575,62.084552125,51.048106,127.5751665,192.456249475,0.173092775,2009.799246475,-5.0539473,-0.1091452,-0.0831837,-0.239177475,-10.864,-4.389155,-1.985651975,-0.6109402,-0.69712025,1.437925,1.0364641
1,14.75,-0.16831825,390.4686031,-40.729389425,-0.8959568,-7.3625,-8.44525,-9.1435,0.1351688,0.4014306,0.3283897,0.1540406,98.324207375,57.002,-29.575499,-26.07066,0.0569428,-6.9124,-2.2466,-1.587,-1.0068,0.7926,2.1772,-0.3292,-0.088275,0.1768,0.5562,1.5842,2.7932,49.404883775,39.7044187,128.0654293,191.904182275,0.17321285,2008.2434876,-2.3304595,-0.1494311,-0.0797564,-0.159188,-10.7825,-5.932915,-3.314642875,-1.549952,-1.043067275,1.3370825,1.799173
1,15.25,-0.220827775,390.5661991,-59.161354975,-1.34401155,-7.3659,-8.47625,-9.134,0.1391531,0.3925989,0.315285,0.1440294,98.39812265,56.402249275,-29.393249725,-26.0086001,0.0441594,-6.925,-2.2544,-1.587,-1.0162,0.792,2.1766,-0.3294,-0.0888,0.1774,0.5568,1.5838,2.7926,36.14834875,27.913071675,128.700403325,189.382875275,0.17676975,2007.3095401,-2.2308622,-0.1509988,-0.0611061,-0.1611541,-10.695,-5.300942,-3.0583795,-1.405289,-0.8073529,1.6731,1.299295
1,15.75,-0.17738625,390.4189113,-55.4849309,-0.7996457,-7.2853,-8.54625,-9.12425,0.1135716,0.3485039,0.2756851,0.1366003,98.400002,55.875500275,-29.49950045,-25.9220891,0.0390258,-6.942,-2.259375,-1.587375,-1.024625,0.792125,2.176125,-0.329375,-0.08885,0.17625,0.554625,1.582625,2.792625,21.550457875,16.808169475,128.2161324,187.00058585,0.174063375,2005.4099853,-0.6644025,-0.0621847,-0.0374591,-0.15703985,-10.6455,-4.995524,-3.133978,-0.724422,-0.823613675,1.3493275,1.536965
1,16.25,-0.0513394,390.389244,-56.6105419,-1.433221,-7.3179,-8.617,-9.12425,0.068556125,0.249889625,0.2661265,0.084165625,98.400002,56.463001725,-29.832499725,-25.933536625,0.039267375,-6.97,-2.26325,-1.58225,-1.0335,0.79175,2.175125,-0.3294,-0.08885,0.174,0.55325,1.580625,2.791625,7.7296695,6.680978375,129.2320222,186.027325275,0.181772,2005.15802015,-6.63893,-0.0521725,-0.0253364,-0.03045485,-10.62525,-6.261258,-3.84815825,-1.569005,-0.73716375,1.2967625,1.1313475
1,16.75,-0.134944375,390.314506625,-41.16525395,-0.9591961,-7.3296,-8.6585,-9.12425,0.057377,0.234562625,0.202103375,0.058222875,98.400002,57.100501725,-30.42124955,-26.172313375,0.049828,-6.93475,-2.26325,-1.5775,-1.042,0.79175,2.17475,-0.3288,-0.0892,0.171375,0.550625,1.580625,2.791625,0.401681825,1.170676925,129.5426508,181.629184325,0.183077675,2005.2562865,-5.3281625,-0.073781375,-0.064304875,-0.118174125,-10.59475,-7.40808,-4.68153255,-0.859122125,-0.692854,1.3212075,1.468255
1,17.25,-0.202240475,390.372623625,-57.692197575,-0.54287345,-7.3209,-8.691,-9.11425,0.03743675,0.178047875,0.17989225,0.03973325,98.400002,59.564499725,-31.031249725,-26.60072425,0.04713225,-6.88375,-2.26325,-1.582125,-1.049375,0.791125,2.17375,-0.32875,-0.0898,0.171,0.549625,1.58025,2.7885,0,0.05801395,128.2373737,176.305366175,0.180527375,2004.06869475,-6.58879,-0.172591125,-0.078360875,-0.221216,-10.56425,-6.97059125,-5.064344525,-0.806585625,-0.620738625,1.241925,1.25484375
1,17.75,-0.063056375,390.375247875,-47.0032009,-0.867563,-7.3061,-8.65775,-9.1335,0.033828,0.156023375,0.156082375,0.0202495,98.400002,60.624749825,-31.615749725,-26.505486625,0.045988125,-6.872125,-2.262625,-1.59075,-1.050625,0.790125,2.173125,-0.32775,-0.0902,0.16975,0.549625,1.579875,2.787375,0,0,127.85244765,175.418503525,0.1681857,2004.355011,-1.61558125,-0.111772875,-0.063884125,-0.0570162,-10.553,-6.01362625,-5.167730325,-0.939406375,-0.6605677,1.148475,0.713182625
1,18.25,-0.131776275,390.210503,-54.380156725,-0.694704875,-7.089975,-8.59975,-9.17225,0.025837125,0.17946975,0.158116875,0.02728975,98.400002,60.629749725,-32.55749955,-26.464313375,0.0629215,-6.865,-2.267875,-1.600625,-1.044875,0.790125,2.172125,-0.327,-0.0896,0.167875,0.547375,1.57925,2.786625,0,0,127.2651191,172.144278725,0.154348925,2004.1262515,-3.351205,-0.070828125,-0.062597,-0.1900754,-10.56125,-6.269275,-5.01568585,-0.81618875,-0.7154635,0.86416,1.18107375
