DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,WS_1_2_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,TA_1_12_1,TA_1_13_1,TA_1_14_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,NEE,RH_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,RH_1_3_1,RH_1_2_1,TS_2_1_1,TS_2_2_1
1,5.25,404.9931,419.2069,409.7387,393.97925,394.482,393.718,392.29,1.366155,1.6751125,1.5325165,1.5409045,0.618,0.210903975,-3.91889475,-3.737001,1.3176935,2.390169,0.743737,3.881717,0.886,0.7234716,95.20588,-6.104,-5.43475,-5.3915,-4.933,-5.412,-5.96,-5.287,-5.838,-5.8965,-5.589,-5.903,-5.077,-1.737,0.1005,0.6732988,0.930836725,0.933,2.14,3.0135,-3.907,0,0.137757375,0.21375,1.96075,0.7203517,89.19497,-0.3576201,0.26863975,283.510975,290.857675,96.12,95.57335,0.4209415,0.7022847
1,5.75,404.056225,419.6822,409.8597,393.871,394.151,393.6625,392.7805,1.339282,1.6713845,1.527235,1.531895,0.7358887,0.213190325,-3.9161565,-3.093017,1.7748255,2.3398815,0.7488648,3.844922,0.892,0.707172775,95.215,-6.17,-5.829,-5.75325,-4.911,-5.779,-5.9725,-5.623,-5.942,-5.972,-5.973,-5.9715,-5.1295,-1.7765,0.1015,0.67597165,0.930285525,0.925,2.1315,3.02,-3.466644,0,0.148717575,0.1915,1.511,0.8042158,89.48226,-0.30982385,0.26183895,284.245525,290.528525,95.90669,95.55666,0.4212343,0.7039073
1,6.25,404.18325,419.8488,410.9297,393.926575,394.1875,393.5045,391.932,1.3529515,1.675423,1.5437005,1.544943,0.7257359,0.1987939,-3.90973425,-2.593682,1.865503,2.54504625,0.843656875,3.8741685,0.8515,0.697,95.219775,-6.186463,-5.6155,-5.4855,-5.052,-5.608,-5.997,-5.627,-5.9815,-6.095,-5.748,-6.103,-5.122,-1.811,0.103,0.67452105,0.92595355,0.9165,2.1165,3.0115,-3.442637,0,0.141359375,0.168302125,1.81625,0.8271891,89.39124,-0.317234225,0.258749625,284.318925,290.08695,95.79002,95.77001,0.42199535,0.70347405
1,6.75,404.277625,420.0874,410.7981,394.0065,394.4075,393.886,392.064,1.3656885,1.6729375,1.5390405,1.535312,0.79857015,0.2283021,-3.91516125,-3.1685785,2.385306,3.021306,0.81174055,3.9015,0.8345,0.70198935,95.2127,-6.214442,-5.71230125,-5.81925,-5.2025,-5.564,-6.079,-5.753,-6.1005,-6.196,-6.037,-6.2155,-5.1775,-1.806,0.117,0.67862935,0.92845745,0.9095,2.1105,3.0165,-3.229185,0,0.160924325,0.165500175,2.2215,0.86873005,90.01501,-0.22565515,0.2615324,285.228475,290.4211,95.90335,95.56999,0.4224304,0.70242935
1,7.25,404.31345,420.3817,410.471,393.7826,394.2105,393.9225,392.865,1.365378,1.6887815,1.549603,1.534691,0.7696521,0.22016195,-3.84975,-3.3175115,1.908978,3.1882125,0.93008625,3.9166055,0.8285,0.714100625,95.22231,-6.199997,-5.885866,-5.86579925,-5.139,-5.762,-6.191,-5.691,-6.3155,-6.307,-5.904,-6.3665,-5.2325,-1.801,0.1665,0.6797394,0.928949675,0.901,2.104,3.001,-3.052,0.735999975,0.594927525,0.450328425,3.1045,0.79291495,89.9519,0.12853055,0.3878183,284.774425,290.20725,96.02666,95.51334,0.4236707,0.7040625
1,7.75,404.4903,420.25,410.5352,394.0385,394.1105,393.726,392.413,1.378426,1.702451,1.553642,1.549603,0.71771715,0.2124151,-3.88725,-1.973544,2.308,6.21366225,0.92672755,3.9131885,0.8065,0.747,95.21945,-6.136,-5.87381125,-5.731,-5.21,-5.696,-6.236,-5.859,-6.1485,-6.1865,-5.859,-6.171,-5.3205,-1.841,0.12,0.67534325,0.92871525,0.9005,2.1165,2.991,0.04367065,16.39121,7.3773475,2.9895,2.335,0.761614,89.7493,8.9979595,2.48859575,284.838425,290.336375,96.10331,95.5267,0.4230968,0.7005353
1,8.25,405.017825,420.2569,410.6301,393.78975,393.8205,393.535,392.4975,1.4039005,1.7012085,1.5371765,1.536866,0.63730065,0.165272625,-3.84647875,4.297624,2.94136125,10.6567525,1.8966275,3.958353,0.836,0.7298302,95.23056,-6.074443,-5.73725,-5.5485,-5.136,-5.385,-6.234,-5.65,-6.086,-6.1185,-5.698,-6.098,-5.408,-1.801,0.1025,0.6744764,0.92611565,0.914,2.127,2.977,11.50877,85.083,18.3874375,7.17856725,3.43425,0.7433711,89.671495,41.3407375,9.46585575,284.61235,289.847,96.38332,95.69332,0.4201111,0.70063705
1,8.75,405.78665,420.9574,409.904,393.63475,393.628,393.3685,392.9715,1.4234725,1.7229545,1.5573695,1.556127,0.580361075,0.18415765,-3.85975,17.4775975,5.005018,13.80388,2.2048095,3.934,0.8865,0.7645,95.2404025,-6.100001,-5.20475,-5.271,-4.895,-5.1,-6.0195,-4.986,-5.858,-5.867,-5.295,-5.8335,-5.334,-1.7935,0.097,0.67534425,0.93005775,0.9125,2.1255,2.9855,33.50701,185.251,49.5836575,20.81994,12.18225,0.721410625,89.4166325,106.389075,21.03454,284.511175,290.84485,96.29665,95.98331,0.42121445,0.69950045
1,9.25,404.167,421.173,410.4258,393.415925,393.1025,393.0395,391.9265,1.4206765,1.698723,1.5362445,1.5483605,0.553,0.1565757,-3.78075,31.6234025,8.365653,17.551015,3.26291475,4.0613485,0.904,0.78334825,95.26534,-5.943,-4.97325,-4.92475,-4.715,-4.786,-5.846,-4.998,-5.713,-5.728,-5.246,-5.7095,-5.1745,-1.7955,0.0965,0.6735542,0.930119,0.911,2.118,2.994,59.65073,300.004,83.3319025,33.4984575,23.6575,0.6022796,88.40985,151.157675,30.223355,285.561875,292.138475,96.51668,96.31667,0.4212379,0.70191495
1,9.75,403.859075,420.8926,410.4682,393.445275,392.857,392.5165,391.9795,1.3939595,1.7108385,1.5595445,1.5620295,0.4177841,0.116723275,-3.738722,53.5743775,10.26689,18.56339,3.408073,4.210846,0.938,0.81797585,95.27793,-5.717333,-4.756,-4.69175,-4.341,-4.412,-5.3835,-4.642,-5.4625,-5.4435,-4.87,-5.4155,-4.9015,-1.6725,0.0955,0.6701344,0.9288208,0.917,2.123,3.0175,91.566,398.784,117.805375,53.9225,45.81375,0.4575668,88.020725,213.762325,40.2586275,285.386375,293.8769,96.62334,96.75333,0.42196275,0.7008501
