DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
3,4.75,0.0312,-8.53025,0.5743,0.0614000000000001,-0.0904,-1.2118,-65.6096,-18.97245,-8.503,0.76835,35.1395,99.6,393.4173,0.15725,-82.9,-0.5
3,5.25,0.057825,-8.9355,0.723575,0.123425,-0.0359,-1.00625,-64.795875,-11.0552,-8.63025,0.76875,38.11975,99.5975,393.364475,0.15725,-83.265,-0.5
3,5.75,0.046,-9.38425,0.6263,-0.520925,-0.1419,-1.385,-63.744,-6.7192,-8.7055,0.763,41.245,99.5975,393.62195,0.16,-81.3025,-0.3
3,6.25,0.05565,-9.5165,0.666425,-0.3323,-0.120825,-1.240575,-59.2885,-6.501,-8.65475,0.75885,39.6245,99.6,393.54195,0.15725,-73.7275,0
3,6.75,0.0916,-8.10275,0.66305,-2.57935,-1.074325,-2.3778,-57.5394,-15.70535,-8.61275,0.756225,39.07525,99.6,393.25115,0.15,-54.66325,1.215825
3,7.25,0.107175,-8.219,0.5745,-5.09535,-3.2752,-2.982,-46.275875,-11.318,-8.5875,0.752075,37.473,99.6,392.645875,0.16,-17.9,8.1015
3,7.75,0.1536,-7.7115,0.630375,-8.2994,-5.0625,-3.660625,-37.9238,-4.90685,-8.43875,0.7467,34.30475,99.5975,392.06125,0.14725,-6.842225,15.1175
3,8.25,0.14765,-6.415925,0.756675,-8.70805,-6.110625,-3.56,-28.7576,-10.0306,-8.279,0.746425,31.418,99.5975,391.22955,0.15,-2.609725,20.40875
3,8.75,0.1968,-5.92035,0.79635,-8.7956,-7.80665,-3.653225,-12.085,-2.1825,-8.13525,0.73795,28.7525,99.6975,390.3285,0.16,2.931825,29.64
3,9.25,0.2252,-5.239525,0.82885,-8.698,-7.2698,-2.6418,-12.43585,-7.104125,-8.0765,0.72795,28.0245,99.6975,388.5637,0.16,10.987,37.405
3,9.75,0.247425,-5.0255,1.048,-9.04095,-8.2186,-2.1555,0.59025,-5.7128,-7.4545,0.72485,26.00125,99.6975,387.87195,0.17725,16.0245,46.2925
3,10.25,0.26345,-4.70575,1.0243,-8.839375,-8.292275,-1.98945,6.26545,-2.203025,-6.495275,0.729375,23.67925,99.6,386.98855,0.24175,23.94075,62.92125
3,10.75,0.243325,-4.29875,1.1116,-9.4532,-8.6635,-1.91755,17.112775,-0.0805749999999991,-6.282575,0.73925,21.1065,99.6,386.428775,0.28175,27.28075,61.6525
3,11.25,0.2622,-3.999,1.2285,-9.13105,-8.636,-1.301,14.91875,2.674625,-6.14805,0.752375,20.45375,99.5975,386.66225,0.29,23.41075,68.83475
3,11.75,0.26695,-3.87975,1.185425,-9.28975,-8.6096,-1.27405,22.8438,-0.29325,-5.778625,0.798125,19.5005,99.5,386.6801,0.3,29.188,74.44
3,12.25,0.261825,-3.39925,1.346725,-8.818325,-8.617025,-1.49695,18.3833,6.043625,-5.413475,0.855275,18.8635,99.4975,386.04575,0.2945,31.533,68.15075
3,12.75,0.31825,-2.94725,1.19165,-8.6575,-8.4022,-1.0778,7.8784,1.123,-5.337725,0.898025,18.29275,99.4975,386.5741,0.30725,25.556,65.695
3,13.25,0.30475,-2.982,1.338875,-8.67225,-8.66055,-1.0132,10.216,2.935,-5.233025,0.94415,17.22175,99.4975,386.532375,0.29725,12.94625,52.1125
3,13.75,0.306725,-2.584,1.34515,-7.7592,-7.907925,-1.07215,0.997775000000001,2.6861,-4.843875,1.0169,17.1535,99.4,385.6843,0.32175,19.95025,55.41375
