DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
8,7.75,-7.075,39.15,150.6,-0.03567,23.2,88.7,302,492.2,101.2,911,60.3,859.3,95.32,2.23,0.305,99.38,46.925,22.1,22.5,22.7,21.7
8,8.25,-10.875,61.45,196.5,-0.04328,24,86.05,380.025,582.325,113.975,1090.025,72.175,1033.85,95.4325,2.47,0.34,99.39,59.6,22.3,22.5,22.7,21.7
8,8.75,-12.95,77.8,229.05,-0.047095,24.725,83.35,453.675,664.35,125.025,1252.925,79.55,1191.625,95.5625,2.505,0.35,99.4125,71.25,22.6,22.6,22.7,21.7
8,9.25,-16.575,95.15,267.7,-0.05078,25.6,79.875,519.55,735.7,133.45,1400.75,86.075,1325.375,95.7375,2.725,0.37,99.44,83.725,23.1,22.6,22.6,21.7
8,9.75,-16.575,113.6,298.8,-0.05135,26.2,77.4,576.3,795.4,140.3,1517.8,93.6,1432.9,95.79,2.86,0.38,99.44,95.5,23.6,22.8,22.6,21.7
8,10.25,-19.45,112.95,322.1,-0.05585,26.6,75.75,619.675,834.475,145.425,1603.875,96,1519.925,95.8325,2.845,0.39,99.44,107.75,24.1,23,22.6,21.7
8,10.75,-18,116.5,355.6,-0.0511575,27.1,74.5,651.4,873,148,1704.7,102.1,1616.2,95.88,2.78,0.4,99.43,120.25,24.6,23.2,22.5,21.7
8,11.25,-18.95,124.55,369.575,-0.05309,27.4,73.325,677.825,896,153.125,1738.25,102.825,1652.825,95.9,2.86,0.39,99.41,130.975,25.1,23.5,22.5,21.7
8,11.75,-19.3,125,386.8,-0.0621575,27.7,72.9,689.125,908.6,154.65,1777.9,106.525,1680.175,95.8925,2.885,0.4,99.4,133.275,25.8,23.7,22.5,21.7
8,12.25,-19.125,126.75,389.75,-0.058665,27.9,71.25,688.675,901.55,153.5,1732.6,106.825,1650.65,95.8775,3.02,0.41,99.39,121.325,26.325,24.1,22.5,21.7
8,12.75,-19,121.9,386.25,-0.05991,28.2,70.8,668.85,876.65,149.55,1732.45,103.9,1630,95.885,3.03,0.42,99.36,104.275,26.85,24.5,22.5,21.7
