DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,12.75,449.33784765,14.612806325,3.320185475,100.3950252,166.87046585,159.246258125,6.29064724999999,0.497553549999998,0.016317,1.5046597,0.601126999999997,103.242575,96.5,18.53,14.5408234,23.2091846,0.8280795,13.86933315,13.27699985,12.29733315,11.63699985,11.95449985,370.695557,986.9366195,1096.727777575,92.1593294,595.0937734,99.2133334,375.1897495,445.9979118
1,13.25,453.5973236,14.613104525,3.49585192499999,98.158519075,152.481556875,148.39929925,6.44396814999999,0.474135949999999,0.0075942,1.3338831,0.524624849999998,103.1846,95.81,19.074,15.6700825,23.62424345,0.751444075,14.20199995,13.421041475,12.50575,11.687875,11.952583525,354.4362223,807.5528171,1029.16666695,87.4213838,560.4801202,95.7199998,371.6452114,446.7281874
1,13.75,451.7512127,15.0858841,2.48765429999999,83.4642506,137.6091943,148.225114225,6.12486389999999,0.4552705,0.00633894999999996,1.21802,0.4826941,103.151775,95.1025,20.14475,16.881759,23.9078116,0.7381166,14.53058335,13.544250175,12.697833175,11.738416825,11.958416825,330.037970225,458.560739075,955.0888892,80.623689725,532.811327925,92.458333475,374.113469775,445.607183175
1,14.25,445.75159345,14.720050225,2.267768,70.3423165,118.95613755,134.1081973,5.953437725,0.4397174,0.01560655,1.46568525,0.523634525,103.115825,94.1,20.716,18.08211,24.2573867,0.633312875,14.746667,13.6383335,12.84,11.7916665,11.935,316.1925755,378.10739465,890.299999925,73.18658285,491.5716431,83.71,376.5080011,439.78659435
1,14.75,448.66743375,14.7546087,3.48044635,59.7479185,93.6583885,129.2469585,5.795967,0.4005635,0.0029475,1.3754545,0.4726465,103.1065,92.95,20.83175,17.85546155,24.41317,0.6107025,14.716667,13.67,12.9416665,11.855,11.9316665,254.36625325,374.92077465,752.3777776,63.632075575,418.745311525,72.926667,374.0309715,431.201654575
1,15.25,448.53252865,14.97052715,2.3021574,47.084114,66.8729935,111.965654725,6.1590335,0.435091,0.0073585,1.174877,0.4929105,103.10325,93.02,21.0905,18.423789,24.6483195,0.592209,14.655,13.7441665,13.0633335,11.9108335,11.94,207.192023125,313.1382042,651.1555557,52.6310272,354.099774825,64.241666825,374.202960125,419.979618675
1,15.75,436.54374785,14.70044605,2.838606,32.3343065,34.5841585,79.93095505,6.3713025,0.4291915,0.003111,0.923226,0.5026305,103.1,93.6975,21.07625,17.948256825,24.5710205,0.455387,14.496667,13.7825,13.1466665,11.9733335,11.948333,109.913232125,203.38468335,438.9666663,38.81551355,255.716429375,47.848333,371.111338625,405.6059908
1,16.25,438.8462462,14.8854688,2.96066525,19.897726,17.288881,64.0156218,5.795769,0.3710075,0.00135,0.935336,0.460431,103.0865,94.945,20.2445,17.33296785,24.3280155,0.6065555,14.376667,13.8008335,13.2033335,12.0483335,11.9633335,50.455731375,167.32834495,289.0111111,25.995807,170.0787698,32.53833335,372.4746985,394.17204745
1,16.75,442.322918375,15.08087735,3.43322355,13.2027625,7.068646,31.842997775,5.307232,0.3535705,0.0037255,0.969921,0.4358555,103.07975,94.39,19.1765,15.163378075,23.814356,0.63571,13.9683335,13.61,13.1983335,12.1308335,11.97,8.569347,90.17165485,130.79999985,11.881551125,86.365341175,16.82666665,370.4217155,382.713337075
1,17.25,446.410561475,14.692606625,3.9556148,6.465902,3.1861195,14.9842851,5.3298025,0.356341,0.0036775,0.756952,0.426979,103.0865,96.095,16.68625,10.609407875,23.020503,0.871029,13.6266665,13.3558335,13.083333,12.185,11.975,-1.596398,25.743837675,30.916666625,2.30608,18.7415601,3.305,374.367957875,376.621637925
1,17.75,454.031254,14.468811,4.3837426,4.0829105,3.8162955,15.278303,4.9656265,0.347838,0.0050775,0.810911,0.4315355,103.0865,96.4925,14.88875,8.691071275,22.1797005,0.824705,13.3783335,13.1816665,12.955,12.2016665,11.97,-1.47413025,0.532570399999998,1.333333,0.209644,-0.225056,1.638333,373.472126625,373.17756205
1,18.25,461.564868,14.325331,4.30553675,3.1967185,2.4299935,15.811678,5.1117855,0.360613,0.0042755,0.928027,0.4313925,103.09325,96.4,14.13975,7.615325425,21.5629885,1.1040675,13.1133335,13.0341665,12.805,12.201667,11.9583335,-1.46524325,0,0,0,-0.260690025,1.933333,369.337553375,373.28381485
1,18.75,472.703872,14.199219,3.860209575,2.58048880000001,9.09839490000001,15.194963,5.270556975,0.36603215,0.00514227500000001,0.876950025,0.45363345,103.10325,96.795,13.7695,7.368759375,20.8872745,0.975138250000001,12.9671667,12.89525,12.733833,12.20325,11.943167,-1.4413041,0,0,0,-0.150038,1.866667,366.6640057,375.47392525
1,19.25,470.349628,14.197908,4.5787516,3.52294132500002,3.98444299999999,16.807682525,5.94085075,0.405728825,0.0052502,0.882026725,0.4793041,103.113,96.895,13.5385,5.538414025,20.428481875,0.934213999999999,12.776000175,12.748791825,12.587833175,12.20525,11.94541665,-1.8665469,0,0,0,-0.225056,1.6,363.45923925,374.4579371
1,19.75,477.359576325,14.216454,4.0038962,3.53084117500003,5.951560025,16.58419355,5.412393025,0.35799745,0.01266125,0.8315014,0.42544535,103.113,97.595,13.3655,5.407972825,19.9173924,0.949226375,12.709583,12.647708175,12.492583175,12.211749825,11.958916825,-1.5861352,0,0,0,-0.183796100000001,1.8066667,362.1084572,372.74882565
1,20.25,479.541345325,14.136124625,4.3234608,2.87909572500002,8.43839865000002,23.62228275,5.21675505,0.347002,0.006944175,0.990615975000001,0.41372665,103.10975,98.695,12.945,5.14043195,19.706300275,0.972893625000001,12.57591665,12.593666825,12.423249825,12.2,11.968916825,-1.25053505,0,0,0,-0.150038,1.94000015,365.89615765,372.14972265
1,20.75,486.8625,14.093901,4.0975446,0.434897599999992,4.9747582,16.6798235,4.9274752,0.342237,0.00717559999999999,0.8880804,0.3876268,103.10975,98.7075,12.67625,5.174852325,19.6200346,0.841237,12.3506666,12.3846668,12.3646666,12.183,11.972667,-1.68466155,0,0,0,-0.103151125,1.950000125,362.018485425,368.981009875
1,21.25,489.030327225,13.750919775,3.950898675,1.043966625,6.2452322,22.70471665,5.43802,0.350331,0.00530119999999998,1.1678944,0.4096336,103.10975,98.8225,12.56,4.9211,19.8937206,0.9871594,12.21625,12.239583125,12.31583325,12.146041875,11.972083125,-1.499090075,0,0,0,-0.150038,2.208333125,361.35229485,368.630894625
1,21.75,486.38018655,13.657723,5.1525801,0.60829225,5.52028259999998,17.48313945,4.634787,0.3133136,0.0043788,0.924554,0.3985916,103.16625,99.805,12.545,6.4981393,20.1445618,1.0324274,12.114667,12.1070001,12.23333355,12.113,11.979833,-1.339873975,0,0,0,-0.150038,1.90833325,361.139609875,368.0626585
1,22.25,514.8969312,13.5578306,4.2618247,0.504578024999993,7.76392230000001,25.321288125,5.056685,0.366985125,0.01082195,1.099921875,0.421903875,103.17975,99.16,12.27025,4.11501997500001,19.48988225,0.908852375,12.028083,12.001583225,12.139499775,12.063125225,11.98675,-1.586376475,0,0,0,-0.150038,1.778333225,361.302746825,367.9700666
