DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
1,21.25,-0.0161508,-2.281125,9.63018,1.19598,1.65592,0.1157135,19.26,102.2425,452.54,10.8724,0.3663685,0.3345355,0.126837,0.199662,8.54,86.6,10.52,10.44,10.3,0.799347,0.0645161,1.188525,-3.52588,1.46667,283.163,362.3905,0,-73.15475
1,21.75,-0.01733605,-3.42675,6.693765,1.182025,1.92947,0.12214,18.7951,102.254,455.39,10.747,0.3949285,0.343773,0.1358125,0.2151155,8.4,87.2,10.46,10.43,10.31,0.603589,-0.016129,0.6557375,-3.45086,1.4,282.705,361.6735,0,-69.4939
1,22.25,-0.01775015,-3.052795,5.41982,1.018845,1.7803,0.124085,18.6396,102.27,454.046,10.7624,0.3468105,0.3677885,0.120491,0.2063975,8.07,87.8,10.39,10.44,10.33,0.293638,-0.0483871,0.803279,-3.30083,1.26667,287.89,360.9205,0,-66.98815
1,22.75,-0.01362805,-1.589545,7.63762,1.0067485,1.659985,0.1055095,18.31915,102.2845,457.097,10.603,0.369648,0.329137,0.1192835,0.184188,7.673,89.1,10.36,10.4,10.34,0.0978793,-0.258065,0.786885,-3.30083,1.2,289.636,359.6205,0,-66.6136
1,23.25,-0.01920655,-2.742635,6.8904,1.15166,1.80709,0.11866,17.91115,102.2905,460.552,10.4085,0.380814,0.329975,0.139105,0.2025705,7.526,89.4,10.23,10.27,10.32,-0.391517,-0.322581,0.467213,-3.37584,1.2,286.214,358.0875,0,-68.3517
1,23.75,-0.0200388,-2.940485,8.526215,1.05976,1.86681,0.124368,17.6276,102.306,459.791,10.4461,0.423772,0.365988,0.1390915,0.1925395,7.257,89.6,10.19,10.24,10.27,-0.783034,-0.387097,0.5,-3.45086,1.26667,283.012,356.531,0,-67.47775
2,0.25,-0.0218574,-4.342595,6.99262,1.074125,1.85294,0.131892,17.3626,101.993,438.6,9.830595,0.451076,0.414508,0.143309,0.208,8.01,85.6,11.11,11.27,11.55,-2.00653,-2.25806,0.7622955,-3.75094,1.4,277.097,350.109,0,-85.1663
2,0.75,-0.02302515,-3.19736,6.960155,1.115215,1.39949,0.1217935,17.32,102.001,439.346,10.0649,0.41964,0.367995,0.127748,0.223875,7.675,86.6,10.95,11.11,11.47,-3.58891,-2.62903,0.655738,-3.75094,1.33333,276.246,348.234,0,-83.4541
2,1.25,-0.0203019,-3.49955,5.66882,1.26991,1.54813,0.1182655,16.9198,101.999,439.805,9.92667,0.438745,0.40632,0.131942,0.215933,7.566,86.9,10.95,11.03,11.49,-4.20881,-2.77419,0.4262295,-3.82596,1.33333,277.138,347.67,0,-83.9485
2,1.75,-0.02540465,-2.49555,6.837825,1.321735,1.88143,0.139244,16.6564,102.015,444.99,9.648325,0.490993,0.403193,0.147105,0.222786,7.374,88,10.79,10.9,11.44,-4.43719,-3.22581,0.254098,-3.67592,1.2,276.785,347.001,0,-83.177
2,2.25,-0.0247226,-2.88748,8.44061,1.267745,1.81871,0.130801,16.5849,102.012,445.11,9.71335,0.466383,0.390402,0.140559,0.2209,6.952,88.4,10.73,10.84,11.35,-4.82871,-3.48387,-0.131148,-3.52588,1.26667,276.161,345.315,0,-81.7004
2,2.75,-0.0225829,-3.1458,4.90266,0.9736655,1.82745,0.125383,15.7765,102.02,446.4385,9.32819,0.418606,0.337471,0.147795,0.215653,6.784,88.8,10.65,10.75,11.25,-5.1876,-3.62903,-0.0983607,-3.75094,1.2,278.9,344.389,0,-80.06675
2,3.25,-0.02262195,-3.15001,8.439845,1.06855,1.79057,0.12797,15.8634,101.991,444.765,9.244225,0.424907,0.380694,0.138895,0.217883,6.639,88.6,10.54,10.69,11.13,-5.64437,-4.12903,-0.803279,-3.6009,1.13333,279.127,344.193,0,-80.6901
2,3.75,-0.02763395,-3.0239,5.22894,1.05368,1.93019,0.12419,15.9243,102.01,442.416,9.23733,0.419592,0.385155,0.132917,0.231788,6.354,89.3,10.45,10.64,11.07,-6.15008,-4.12903,-1.17213,-3.6009,1.13333,280.041,343.456,0,-78.65165
2,4.25,-0.02229145,-2.90302,7.10128,1.05282,1.86184,0.1169225,15.7889,102.033,441.723,9.0546,0.436437,0.355627,0.134239,0.233845,6.143,89.1,10.34,10.57,10.95,-6.63948,-4.48387,-1.409835,-3.6009,1.06667,280.216,343.519,0,-79.0856
