DOY2,HR2,G_1_2_1,G_1_2_2,G_1_2_3,T_BOLE_1_1_1,T_BOLE_1_1_5,T_BOLE_1_1_7,T_BOLE_2_1_1,T_BOLE_2_1_4,T_BOLE_2_2_6,T_BOLE_2_2_1,T_BOLE_2_2_3,CO2_1_1_1,H2O,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_1,RH_1_1_1,TA_1_6_1,RH_1_2_1,TA_1_10_1,RH_1_3_1,TA_1_4_1,TA_1_11_2,TA_1_11_1,TA_1_9_1,TA_1_8_1,TA_1_8_2,TA_1_7_1,TA_1_6_2,TA_1_5_1,TA_1_1_1,TA_1_1_2,WS_1_2_1,NETRAD_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,PPFD_BC_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,TS_1_3_3,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,TA_1_2_1,TA_1_2_2,T_SONIC_1_1_1,WS_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TA_1_3_2
1,5.25,-6.6101,-6.392075,-8.0449,-4.673675,-4.3589,-4.264575,-6.27845,-5.6832,-5.299075,-7.413025,-6.702525,371.3,2.505,370.5325,372.365,372.5975,375.6325,0.02202375,-6.1735,-147.1125,-0.6028675,-2.9468,-8.6445,-7.6092,-11.4635,-0.00668,-6.528025,59.244,-6.5402,74.38,-6.7969,89.23975,-7.2259,-2.190375,-6.33125,-6.41415,-6.2723,-5.333,-6.709925,-7.1578,-5.73105,-5.7932,-4.668,0.0370735,-88.37625,-87.6705,0,0,0,0,13.08925,13.105,0,0,0.4156725,0.2173225,-0.144475,0.618365,-0.2529625,-0.0275082499999996,0.413005,0.9826925,2.2785,3.947175,95.57075,-3.4791,-3.784825,-3.78825,0.39184,208.405,280.8875,-4.334625
1,5.75,-6.602325,-6.472225,-8.08285,-4.785175,-4.405575,-4.221275,-6.28595,-5.741575,-5.3362,-7.529125,-6.85995,371.7575,2.53805,370.23,371.35,372.49,375,0.01754,-6.5336,-150.02,-0.41269,-2.759125,-8.602,-7.3114,-10.759,0.07994175,-6.428975,57.72175,-6.4874,73.76,-6.274075,88.688,-7.349225,-2.26435,-5.8645,-6.089475,-6.27025,-5.5604,-6.8598,-6.9794,-5.9041,-5.5691,-4.8385,0.03764425,-87.70675,-89.2905,0,0,0,0,13.07475,13.105,0.015946,0,0.4127075,0.2257825,-0.146645,0.6069475,-0.2408025,-0.0373744999999996,0.41308,0.98942,2.267725,3.950175,95.597,-3.5297,-3.864,-3.90975,0.32647,208.625,281.8875,-4.08675
1,6.25,-6.703275,-6.650275,-8.287175,-4.825975,-4.43485,-4.1703,-6.3255,-5.8495,-5.3885,-7.71,-7.0563,371.8575,2.55415,370.2,372.265,372.425,375.13,0.0210575,-5.27,-152.68,-0.586675,-2.370625,-8.366125,-9.1794,-10.45375,-0.0534825,-6.43695,57.41375,-6.5862,75.016,-6.607625,89.7295,-7.364275,-2.47465,-5.99575,-6.20645,-6.39805,-5.71775,-6.681425,-7.0532,-6.2284,-5.7713,-4.76275,0.033737,-87.934,-89.2195,0,0,0,0,13.06925,13.105,0.138915,0,0.41014,0.2341875,-0.1525825,0.6221575,-0.2386675,-0.0465129999999997,0.41416,0.992615,2.282175,3.957725,95.6345,-3.5351,-3.887,-3.849425,0.37166,209.2825,281.1,-4.194575
1,6.75,-6.684225,-6.633875,-8.354725,-4.814125,-4.443275,-4.1321,-6.348125,-5.9065,-5.42225,-7.786,-7.2245,372.1,2.5876,369.965,371.6975,372.86,375.1175,0.0189125,-5.7686,-134.56,-0.32756,-2.70725,-8.48175,-9.267525,-10.51075,-0.20675,-6.513475,59.17825,-6.6122,75.144,-6.675925,89.00175,-7.5061,-2.476,-6.01565,-6.229375,-6.39655,-5.8518,-6.62405,-7.1506,-6.20605,-5.9089,-4.95225,0.004896,-87.79475,-86.9885,0,0,0,0,13.054,13.105,0.1411425,0,0.405445,0.2667125,-0.1556025,0.611585,-0.226935,-0.0543947499999997,0.416365,0.9913675,2.284725,3.95935,95.65175,-3.71385,-4.1485,-3.843375,0.37295,209.0825,280.89,-3.8481
1,7.25,-6.7448,-6.605,-8.312575,-4.90785,-4.436275,-4.135675,-6.365975,-5.9645,-5.45475,-7.892,-7.3306,371.9,2.558,369.9275,371.1,372.22,373.7575,0.020368,-7.1335,-149.5975,-0.54796,-3.282625,-8.288275,-10.153,-11.792,0.22235,-6.44065,59.852,-6.599,75.458,-6.725575,90.9985,-7.454175,-2.63895,-5.94955,-6.155225,-6.31655,-5.91425,-6.5664,-7.175,-6.3572,-6.1447,-4.9955,0,-88.9125,-86.3905,0,0,0,0,13.057,13.105,0.0799200000000001,0,0.3856875,0.261585,-0.1628025,0.6156875,-0.2300375,-0.0623244999999997,0.4194575,0.9845675,2.286725,3.957975,95.67625,-3.5474,-3.899,-3.988925,0.3044175,208.7375,279.795,-4.215725
1,7.75,-6.822425,-6.57015,-8.2974,-4.98925,-4.4119,-4.137975,-6.389875,-5.98875,-5.48425,-7.965,-7.3545,371.915,2.53705,369.83,371.2,372.6275,374.5,0.021706,-5.8274,-129.94,-0.7872,-2.2765,-8.2042,-8.191125,-10.508,0.16886,-6.584625,59.8825,-6.7498,75.646,-6.8665,89.87625,-7.55065,-2.462025,-6.03005,-6.1897,-6.3874,-5.851525,-6.648375,-7.1058,-6.8178,-6.1559,-5.06725,0,-88.5285,-86.0525,0,0,0,0,13.05375,13.31225,0.1411425,0,0.38734,0.21664,-0.1628275,0.6140975,-0.2309825,-0.0717412499999997,0.4217775,0.9909375,2.292725,3.956,95.699,-3.5787,-3.9537,-4.1318,0.3230925,207.9825,279.195,-4.426775
1,8.25,-6.88535,-6.561925,-8.281725,-5.08605,-4.366075,-4.141725,-6.40255,-5.964,-5.51675,-8.029,-7.3614,371.9575,2.562175,369.165,371.0275,371.465,373.83,0.01938125,-6.58715,-138.4875,-0.5915175,-2.46795,-8.695175,-9.02095,-10.537325,-1.01779,-6.386725,60.0325,-6.8916,74.2875,-6.91935,90.09,-7.8105,-2.4349,-6.12775,-6.23275,-6.3334,-6.13065,-6.5779,-7.1154,-6.3672,-6.2013,-5.05525,0,-86.88,-81.684,0,0,0,0,13.23,13.19,0.2154275,0,0.39379,0.227625,-0.16322,0.654575,-0.2215225,-0.0794352499999997,0.4236875,0.99727,2.290625,3.96345,95.7145,-3.70905,-4.005775,-4.29975,0.341555,207.44,278.6975,-4.42565
1,8.75,-6.868775,-6.554975,-8.318575,-5.17845,-4.325225,-4.1462,-6.13855,-5.93225,-5.5495,-7.99,-7.3342,371.5,2.5328,369.9275,371.4825,372.12,377.1275,0.0183025,-6.63675,-137.84,-1.269975,-3.80285,-8.174825,-5.7435,-5.6865,-1.990775,-6.256425,59.48625,-6.8548,73.01075,-6.8903,90.84125,-7.756875,-2.412075,-6.116,-6.240875,-6.2164,-5.70685,-6.615925,-6.927,-6.10075,-6.0256,-4.487,0,-67.712,-65.162,0,0,0,0.5056575,14.515,13.6805,0.4388125,0,0.39748,0.2585675,-0.166445,0.6566975,-0.2192125,-0.0883552499999997,0.428065,1.011275,2.288725,3.97135,95.731,-3.8448,-4.157875,-4.2838,0.3363075,205.6675,278.4975,-4.478
1,9.25,-6.733675,-6.5867,-8.3513,-5.2057,-4.282275,-4.1533,-6.0869,-5.9665,-5.583,-7.851,-7.2277,371.0575,2.550475,367.61,367.72,371.34,374.735,0.02548325,-7.6785,-113.4675,-2.78365,-3.708275,-7.962525,-4.0539,-4.074975,-3.81015,-6.11865,59.14075,-6.5526,72.26475,-6.8059,90.53725,-7.48655,-2.376475,-5.98315,-6.133925,-6.11205,-5.459,-6.550575,-6.5836,-5.44025,-5.2648,-4.68775,0,-29.913,-29.8205,2.48925,0.5547475,0,6.899225,15.667,16.4225,0.68094,0,0.4028325,0.30225,-0.1657425,0.64952,-0.2070525,-0.0978499999999998,0.433275,1.0116525,2.289975,3.976175,95.74725,-3.52415,-3.865,-4.390225,0.303525,204.1225,279.58,-3.970425
1,9.75,-6.732125,-6.364275,-8.336125,-5.152275,-4.2519,-4.196375,-6.0179,-5.9815,-5.61625,-7.016,-6.8391,369.455,2.57525,367.1475,364.4,369.1975,372.7275,0.0245725,-4.5517,-111.5,-5.2938,-4.1777,-7.8085,-4.445325,-3.828,-6.23825,-5.554975,57.26725,-5.9648,68.76925,-6.593075,90.20925,-7.229275,-2.0683,-5.6829,-5.7886,-5.748325,-5.005825,-6.1004,-5.8834,-4.3004,-4.7785,-4.482,0.004283,-12.8665,0.940104999999999,5.0232,6.32935,0,13.665,25.786,25.63325,1.0603,0,0.4087825,0.309015,-0.16222,0.62908,-0.21322,-0.10781575,0.4384725,1.0142775,2.299025,3.980725,95.738,-3.05025,-3.3932,-4.499625,0.3210775,203.97,280.495,-3.33825
