DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,13.25,-0.054025,411.0525,-0.0105,-23.96475,-0.00498000000000001,1.576425,0.451,0.0652,-5.77001,-7.170451,0.82918875,0.0521,98.002085,60.25526,0.54446,-25.0044475,-16.85684,-20.314,-4.094495,-3.6707385,-2.9764815,-2.71177,-1.27971,-0.0375835,0.8972835,2.726693,35.63446,47.02427,216.59335,216.95975,-0.0127
1,13.75,0.0745,411.5725,-0.037565,-17.0151,-0.00666249999999999,1.73775,0.239135,-0.061025,-5.8205645,-7.633141,0.830822,0.06025,97.96151,61.312475,0.59733,-24.49728,-16.70217,-20.36475,-4.420135,-3.9467245,-3.214021,-2.76958525,-1.400711,-0.0018548095,0.904284,2.72804,33.839245,46.652945,217.15745,218.1212,-0.00503025
1,14.25,0.0058,411.37,-0.0441,-28.84375,-0.21658,1.87165,-0.0199,0.018575,-5.77877775,-7.46816,0.64853,0.063525,97.94836,60.973175,0.6839725,-24.52051,-16.7299,-20.26975,-4.047562,-3.6339975,-2.998462,-2.055684,-1.3795535,0.0229545,0.9348205,2.75765,31.74955,42.191995,218.86765,219.00605,-0.013315
1,14.75,-0.02905,410.905,-0.03365,-31.375,-1.0365075,1.84755,-0.7908675,-0.13608,-5.7262885,-7.7044085,0.683278,0.05315,97.95756,60.33683,0.66048,-24.267095,-17.13259,-20.223,-3.926684,-3.516161,-2.88797825,-1.9816335,-1.361889,0.07773875,0.9918539,2.81938025,23.940985,33.21732,219.367525,217.3411,-0.1614275
1,15.25,0.06576975,410.7025,-0.0102525,-31.0445,-0.36309,1.7463,-1.1074675,-0.2412025,-5.6416985,-7.66644625,0.486189,0.0533,97.98332,61.089025,0.626525,-24.22561,-16.84455,-19.81475,-3.7773115,-3.3166045,-2.7195285,-2.16637125,-1.152403,0.1106155,1.0561655,2.8634,20.905995,24.944565,217.6856,211.7832,-0.041475
1,15.75,0.0255,410.86,-0.00624,-13.204,-0.3460325,1.5497,-2.866675,-0.57779,-5.548977,-7.38019375,0.31966,0.0365,97.95679,61.003005,0.51086,-24.45908,-17.38864,-20.1435,-3.536634,-3.1611825,-2.4653085,-1.78661475,-1.05882675,0.122795,1.0897285,2.9058,10.160621,12.067425,213.8634,202.19925,-0.05496
1,16.25,0.28417,409.18,-0.0251,-24.536,-0.501925,1.4877,-1.0476,-0.548395,-5.49,-7.1580695,0.14291675,0.065,97.9037775,61.1853875,0.49332,-25.44731,-18.3268775,-20.345,-3.29631025,-2.93503725,-2.2525855,-1.84401325,-0.8954555,0.17866315,1.1186,2.95138675,2.4250935,3.61545,210.25195,200.3063,0.12416
1,16.75,0.1917275,408.58,-0.0226,-35.208,-0.364685,1.4208,-2.5066,-0.32637,-5.5702,-7.28133325,0.0588,0.0811,98.047,61.24828,0.44691,-25.9927,-19.38709,-21.81855,-3.274284,-2.909454,-2.275505,-1.856068,-0.89145875,0.201382,1.158177,2.9993,0.032701665,0.8753345,205.7037,203.9499,0.12147
1,17.25,0.19926,408.77,-0.0148,-19.546,-0.014925,1.2103,-1.4655,-0.267085,-5.556186,-7.159785,0.052811,0.0325,97.9195,60.98231,0.40079,-26.92766,-19.8410725,-23.401,-3.1540025,-2.8801625,-2.3049045,-1.762544,-0.885376,0.204023,1.142647,3.006312,-0.947338175,0.1102185675,205.352,204.69565,0.11463
1,17.75,0.0963,409.3,0.000565,-10.779,-0.318835,1.0423,-1.4981,-0.1902725,-5.550106,-7.1452665,0.01255,0.0335,97.9255,59.93933,0.38032,-27.761375,-21.112985,-23.527,-3.084468,-2.802591,-2.256627,-1.860296,-0.9642542,0.20448,1.112923,2.993849,-1.27231325,-0.1878494,203.5235,202.9023,0.034015
1,18.25,0.0647,408.72,-0.00208,-11.931,-0.196135,0.94243,-0.92602,-0.271215,-5.5605,-7.241025,0.002525,0.0545,97.8812025,60.7616,0.36325,-27.956725,-21.196515,-23.352,-3.250571,-2.770448,-2.280704,-1.867202,-1.06203475,0.201073,1.09442,2.989595,-1.051407225,-0.0079660495,203.2726,196.7858,0.1114725
1,18.75,0.0441,409.11,0.00195,-14.098,-0.23185,0.88203,-1.0121,-0.1740825,-5.586375,-7.3159,0,0.0289,97.99648,60.7097,0.34426,-28.62233,-21.323615,-22.823765,-3.41973175,-2.95036675,-2.30267675,-1.927727,-1.07359125,0.1852945,1.073576,2.989068,-1.011253275,0.04109155,203.584425,199.490225,0.120545
1,19.25,-0.009137,408.7,0.00443,-4.9954,-0.447975,0.86716,-0.63541,-0.1160025,-5.5991,-7.37935,0,0.0192,97.9483025,60.601735,0.33074,-29.3284025,-21.449685,-22.56825,-3.5212895,-3.0074025,-2.3769355,-1.917253,-1.127943,0.1609114,1.0667315,2.94275,-0.9571088,-0.0047936825,204.4456,201.81945,0.12597
1,19.75,0.02925,408.82,-0.0108,-8.9604,-0.2670425,0.83579,-0.49367,-0.081815,-5.55471625,-7.4334,0,0.0341,97.9310975,59.6325725,0.31977,-29.5093,-21.61889,-22.509,-3.5766875,-3.100405,-2.3956425,-1.911111,-1.13944025,0.14499795,1.0501735,2.93317125,-0.8781725,0.0419359,201.742925,200.737625,0.16317
1,20.25,0.15413,407.68,-0.022,-23.074,-0.237835,0.8463,-0.33619,-0.060225,-5.5056475,-7.243593,0.0054445,0.0289,97.912075,58.3753375,0.31639,-29.83669,-21.6118125,-22.64125,-3.584312,-3.1057145,-2.36347475,-1.95233975,-1.1025475,0.142170575,1.02457625,2.935525,-1.55152,0.08092343,200.502975,200.64935,0.09342
1,20.75,0.0375,409.85,-0.0135,-7.7826,-0.7812175,0.90051,-0.0742,-0.14566,-5.6106035,-7.500991,0.0147,0.024,97.808735,57.7535925,0.30757,-30.086425,-21.6500325,-22.55525,-3.68232275,-3.16894025,-2.46229775,-2.0242505,-1.18539175,0.111720975,1.000242,2.938125,-1.911594,0.0721941,198.412825,196.728575,0.0646475
1,21.25,0.0733,409.065,-0.016975,-13.382625,-0.77015,1.281225,-0.4595475,-0.1189275,-5.6608,-7.4791895,0,0.051025,97.756,57.63579,0.442755,-29.92536,-21.71931,-23.40875,-3.73267,-3.198895,-2.530147,-2.1061995,-1.1906935,0.1109833,1.026167,2.9231,-1.654529,0.01422078,203.1485,195.4869,0.0919875
1,21.75,-0.0342,408.8025,-0.03385,-13.347,-0.975185,1.33995,-0.418675,-0.085785,-5.729875,-7.462209,0,0.058525,97.6963125,57.688815,0.4371,-29.9550275,-21.5564,-24.10237,-3.7450425,-3.22483075,-2.5548075,-2.177408,-1.2244575,0.113672,1.01856975,2.91629775,-1.520075,0.004422045,197.5892,198.281675,0.03821
1,22.25,-0.02434,408.195,-0.00120225,-15.6145,-1.0424225,1.30265,-0.6074275,-0.11792,-5.77495,-7.450319,0.0049,0.041025,97.624875,58.00653,0.4438225,-30.61488,-21.7899925,-22.8475275,-3.740646,-3.276707,-2.593991,-2.3274875,-1.215449,0.1083051,0.95689,2.894106,-1.56499325,0.1065643775,203.75385,199.85605,0.0156
1,22.75,-0.04025,408.9125,-0.0080475,-17.47125,-0.34205,1.226825,-0.8884075,-0.165745,-5.801375,-7.437685,0.0680555,0.041525,97.598215,58.436125,0.4378675,-30.616145,-22.03449,-22.3825,-3.7383025,-3.3340955,-2.623531,-2.337586,-1.245875,0.081227,0.9473157,2.9086775,-2.047483,0.08469095,203.003775,201.110925,0.1089325
1,23.25,-0.0767,410.8275,0.0470475,-9.435375,0.333625,1.015065,-1.272675,-0.2198225,-5.789925,-7.422304,0.034361,0.03435,97.59409,59.1221225,0.392635,-29.984915,-21.5302425,-22.681835,-3.74381925,-3.338384,-2.6227205,-2.35075725,-1.214887,0.090081865,0.95088705,2.9116945,-1.752332,0.04276458,202.7015,201.259,-0.0969175
1,23.75,-0.1449875,411.45,-2.49999999999998e-05,-8.4574,-1.305,0.929905,-1.046365,-0.1509825,-5.815555,-7.4021575,0.08085,0.0387,97.4893575,58.01805,0.37495,-30.105885,-22.42651,-22.529745,-3.756948,-3.352763,-2.651653,-1.790526,-1.202541,0.0865201,1.014151,2.935091,-1.50803975,-0.002513256,202.1967,207.9911,0.08792
2,0.25,0.0442,413.8525,-0.01875,-2.61665,-0.57152,0.7902175,-0.568985,-0.0749,-3.97760125,-5.335949,0.167689,0.029525,97.99762,61.777,0.3303975,-24.95163,-20.0512375,-20.582,-3.38611075,-3.03062825,-2.43651575,-1.7557215,-1.33948275,-0.00026525,0.727280775,2.37480825,-0.7821485,0.13278405,202.294425,200.7931,0.095665
2,0.75,0.00612,413.57,-0.0323,-1.8613,-0.30442,0.80186,-0.33434,-0.0496,-3.96992775,-5.3125095,0.128999,0.034225,98.013955,62.383195,0.324315,-24.982725,-20.1814675,-20.568,-3.35638775,-2.99695725,-2.42461325,-1.7666795,-1.36631875,0.01754525,0.7305185,2.3666405,-0.88566395,0.11651945,203.261025,201.51665,0.0417827
2,1.25,-0.095325,413.925,-0.032125,-3.48935,-0.5326425,0.7685275,-0.5077875,-0.07575,-3.95688575,-5.304066,0.1568005,0.039125,98.05751,62.7151725,0.3201725,-25.600995,-21.4047875,-21.212,-3.3994195,-3.02133375,-2.41842725,-1.7804735,-1.354425,0.00646525,0.73107225,2.378148,-0.6671048,0.07630272,201.8062,201.384675,0.008545
