DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,PA,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,TS_2_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,13.75,-0.0885,7.81792,30.2165,0.155642,0.548293,0.0309,0.00383,3.28188,0.270136,2.15177,97.6044,400.673,4.486635,1.10701,1.11074,0.384425,0.181565,1.07514,66.55855,101.8215,193.498,60.2532,289.965,319.599,312.9615,0.5345255,0.41479,-6.376875,-6.427625,0.6785
1,14.25,-0.0909,5.20175,26.95515,0.125146,0.434193,0.04175,0.00163,3.23468,0.271841,2.21784,97.5902,400.905,4.56435,1.09324,1.04014,0.364707,0.17861,1.2173,65.17825,78.56045,172.302,58.86975,291.9555,319.8305,283.5715,0.537142,0.4195065,-6.34373,-6.42401,0.604
1,14.75,-0.0921,4.6561,29.2238,0.300799,0.282298,0.00544,0.0132,3.0707,0.274525,2.51302,97.588,400.798,4.539205,1.03118,1.05771,0.383768,0.164829,1.295265,64.99105,62.32135,152.83,52.5157,290.8395,319.868,232.9235,0.540171,0.4200415,-6.322625,-6.345805,0.5165
1,15.25,-0.0869,-1.27836,23.529,0.425196,0.262386,-0.089,-0.00637,2.97297,0.278585,2.59552,97.5968,400.756,4.5264,1.02074,0.921313,0.362024,0.132836,1.22551,66.02845,43.22725,106.932,38.45335,289.691,318.8555,184.349,0.542001,0.4219835,-6.245,-6.293025,0.4475
1,15.75,-0.0629,-2.97153,19.36795,0.44179,-0.116129,0.00405,0.0012785,3.05325,0.232959,2.53095,97.6011,400.631,4.53162,0.941921,0.854357,0.334058,0.117432,1.20711,66.65505,21.5969,72.2039,25.43975,290.782,316.734,122.1075,0.5486995,0.425377,-6.31426,-6.28324,0.0245
1,16.25,-0.06345,-5.660095,14.8004,0.470992,-0.4337145,-0.031,-0.00243,2.821735,0.232389,2.482035,97.6241,400.281,4.47597,0.8656075,0.784819,0.3141605,0.116047,1.113015,67.3478,1.91851,47.84645,14.2928,289.2145,315.6395,74.88265,0.554726,0.427813,-6.31002,-6.26314,-0.157
1,16.75,-0.0486,-8.10516,10.1463,0.5303465,-0.812737,0.007945,-0.01435,2.48391,0.199505,2.28489,97.6454,400.017,4.49595,0.80755,0.697079,0.267341,0.12437,0.9975065,68.7459,-12.30185,16.42765,5.65673,287.5855,313.6355,28.88975,0.5554115,0.4306185,-6.34713,-6.421285,-0.885
1,17.25,-0.0392,-8.36554,7.40913,0.715781,-0.693216,-0.0621,-0.00402,2.2291,0.185719,1.94977,97.6657,400.154,4.4951,0.72461,0.572684,0.253134,0.168348,0.671975,69.88745,-17.5142,0.6901055,1.21732,287.4305,311.9615,4.237565,0.559239,0.448353,-6.34774,-6.4855,-1.1815
1,17.75,-0.04155,-7.805085,6.02771,0.8053865,-0.632033,0.09055,0.0181,2.20258,0.1854535,1.703105,97.69295,400.943,4.442015,0.6878525,0.6239655,0.247246,0.1697565,0.539352,70.8114,-20.44325,-1.207195,0.4856665,288.228,311.6995,0.2421315,0.5557435,0.4454015,-6.42902,-6.61578,-1.2305
1,18.25,-0.0352,-7.041965,5.512745,0.78264,-0.612551,-0.01595,0.00795,2.003905,0.17345,1.512015,97.71645,400.7455,4.485075,0.655878,0.5334625,0.229988,0.161238,0.2342125,72.9997,-20.60845,-1.17593,0.4590035,284.436,310.852,0.1098085,0.5531305,0.439813,-6.547135,-6.732535,-1.365
1,18.75,-0.0294,-6.15667,5.13922,0.8692065,-0.512762,0.00316,0.00437,2.06419,0.183647,1.42066,97.7047,400.5685,4.50504,0.63607,0.552828,0.232019,0.167346,0.04455,73.7519,-21.22,-1.20418,0.472508,283.005,310.75,0.1068865,0.551593,0.43788,-6.660065,-6.889385,-1.468
1,19.25,-0.03295,-6.01113,5.576165,0.718137,-0.4411715,0.0631,-0.002875,2.26462,0.170492,1.228475,97.72675,401.021,4.49605,0.6419905,0.499874,0.206291,0.1788555,-0.10918,75.5864,-20.23545,-1.170575,0.5077725,283.727,310.408,0.1113865,0.5495415,0.4382685,-6.724525,-7.05496,-1.556
1,19.75,-0.031,-4.246965,5.14121,0.5480195,-0.6868945,0.0272,0.0172,1.99593,0.1687065,1.037605,97.7599,401.9235,4.52916,0.698417,0.5726325,0.2105405,0.2109415,-0.385374,77.1277,-20.12265,-1.20628,0.560998,287.31,310.3365,0.111625,0.548271,0.43826,-6.85044,-7.330585,-1.636
1,20.25,-0.0225,-6.32147,4.77519,0.7818115,-0.421837,-0.0596,-0.001985,1.80018,0.139303,0.846743,97.7729,401.7,4.493175,0.635986,0.520791,0.20791,0.197999,-0.5089235,78.01065,-19.59135,-1.056445,0.51538,289.109,310.031,0.1100985,0.542549,0.4392775,-7.07002,-7.518385,-1.646
1,20.75,-0.02605,-4.72181,3.03994,0.7164545,-0.2894095,-0.03815,0.000633,2.002555,0.1510975,0.6629635,97.7762,402.634,4.48305,0.6546815,0.4831005,0.202799,0.18547,-0.542926,79.4737,-18.1777,-1.164245,0.581362,289.7845,309.648,0.111906,0.533464,0.4439805,-7.372405,-7.592565,-1.7415
1,21.25,-0.02555,-5.47098,4.086035,0.7322015,-0.3485035,-0.00135,0.004555,1.96721,0.1591515,0.5997555,97.76955,401.7735,4.42546,0.6409905,0.595254,0.188324,0.1949195,-0.545107,80.4475,-18.38375,-1.141505,0.639746,289.098,309.1295,0.1138255,0.5203215,0.4486145,-7.40621,-7.64958,-1.801
1,21.75,-0.0299,-3.9132,4.42006,0.822287,-0.3245895,0.0363,0.0166,1.95477,0.171514,0.580406,97.7356,402.676,4.45183,0.579053,0.546729,0.20535,0.189338,-0.468554,80.44455,-18.21195,-1.15652,0.66778,284.504,308.4725,0.1066405,0.5072505,0.44613,-7.379395,-7.743485,-1.9915
1,22.25,-0.0263,-5.28802,4.39583,0.74334,-0.35836,-0.0713,0.0107,2.02836,0.166046,0.414102,97.7436,402.7495,4.44757,0.673942,0.561386,0.197926,0.189139,-0.6529535,81.36335,-18.0069,-1.13347,0.61554,287.824,307.7275,0.1100965,0.5021615,0.441384,-7.38262,-7.7264,-2.066
1,22.75,-0.03395,-3.707115,3.31199,0.720414,-0.2211205,-0.118862,0.0104,1.948225,0.1716245,0.4324185,97.73625,402.181,4.46004,0.6898125,0.590017,0.214543,0.180581,-0.766597,81.76415,-16.5152,-1.103095,0.5867685,289.6715,307.45,0.1114065,0.50513,0.437612,-7.434195,-7.840085,-2.185
1,23.25,-0.031,-2.89654,4.42776,0.848021,-0.294014,-0.0357,-0.00623,2.00933,0.180921,0.558926,97.7175,401.849,4.47143,0.733406,0.561533,0.231489,0.172247,-0.749122,82.02345,-17.32155,-1.125555,0.516658,290.8435,308.226,0.112424,0.510013,0.435161,-7.534495,-7.95131,-1.8815
1,23.75,-0.0323,-4.08601,4.625275,0.820602,-0.1945935,-0.0214,0.005825,2.10589,0.164192,0.523448,97.7234,401.9715,4.467115,0.654736,0.546512,0.23562,0.172095,-0.677019,81.3825,-17.0925,-1.085205,0.5160265,292.0405,307.985,0.1086955,0.5120965,0.4405075,-7.532375,-8.086955,-1.9085
2,0.25,-0.0269,-3.18472,3.15888,0.44556,-0.5299455,-0.0411,-0.00843,2.1147,0.161398,-0.332052,97.9732,405.63,3.849415,0.657265,0.633868,0.196754,0.244137,-0.90966,74.6007,-37.72,-1.53309,0.890959,274.504,304.874,0.0958,0.334721,0.335953,-4.60942,-4.70584,-2.76
2,0.75,-0.0237,-3.42676,3.21591,0.550363,-0.319272,0.0334,0.00892,2.06082,0.17871,-0.785837,97.9719,406.2025,3.86852,0.654923,0.569805,0.210331,0.237982,-0.909592,74.9655,-33.4638,-1.66463,0.887125,275.604,304.133,0.101316,0.339795,0.321827,-4.60751,-4.72952,-3.015
2,1.25,-0.0356,-2.34033,2.55578,0.4283375,-0.40604,-0.0712,0.006555,1.87422,0.186644,-0.804428,97.9948,406.126,3.75792,0.613869,0.644947,0.1961,0.203257,-1.53343,75.6955,-31.8253,-1.7378,0.806424,274.29,303.098,0.0973,0.34499,0.307179,-4.69456,-5.10458,-3.498
2,1.75,-0.0261,-2.79474,2.24482,0.586551,-0.421225,-0.091801,0.0173,1.8569,0.160836,-0.986165,97.9858,405.982,3.74204,0.579801,0.556422,0.160546,0.257687,-1.30693,76.9963,-34.7312,-1.74542,0.814731,271.509,301.979,0.100031,0.348735,0.295532,-5.15786,-5.51986,-3.827
2,2.25,-0.0207,-2.98122,2.274095,0.4968795,-0.333733,-0.102533,0.004627,2.00869,0.165213,-1.12463,97.9723,405.926,3.766785,0.614646,0.565976,0.183433,0.231454,-1.86965,75.5676,-36.1326,-1.69731,0.901307,271.503,301.16,0.0994,0.340998,0.283184,-5.40137,-5.91589,-3.847
2,2.75,-0.0209,-2.62382,1.67688,0.4833095,-0.4418135,-0.0328,0.008495,1.961355,0.1521455,-1.16006,97.9894,406.5785,3.7094,0.6214605,0.5655875,0.177075,0.241438,-1.98332,75.98,-34.0711,-1.73299,0.893857,270.907,299.025,0.102239,0.325426,0.271129,-5.66763,-6.05351,-3.968
2,3.25,-0.0235,-2.26368,3.53883,0.612003,-0.443772,-0.0593,0.00494,1.93448,0.154983,-1.23666,97.9859,406.1695,3.774285,0.58136,0.538007,0.177222,0.249304,-2.08572,77.1262,-35.5988,-1.93033,0.849252,264.279,298.269,0.097,0.313373,0.264907,-5.68626,-6.25094,-4.382
2,3.75,-0.0227,-2.11441,2.504755,0.5158825,-0.362585,-0.00797,-0.01915,1.95228,0.140842,-1.29588,97.9543,405.582,3.827815,0.562471,0.547316,0.155791,0.232797,-2.12464,77.9416,-34.1402,-1.71629,0.967034,268.486,298.67,0.100983,0.299442,0.247936,-5.67586,-6.1593,-4.309
2,4.25,-0.0248,-2.28947,2.31683,0.383978,-0.306179,-0.135075,-0.007375,1.81162,0.142636,-1.54647,97.9501,405.7885,3.82376,0.536545,0.532856,0.167527,0.200702,-2.09483,79.9671,-33.0506,-1.67441,0.908961,273.659,297.775,0.102187,0.292456,0.236371,-5.7239,-6.76356,-4.319
2,4.75,-0.0288,-1.82678,2.49975,0.427455,-0.224695,-0.004725,0.004405,1.6468,0.163644,-1.64937,98.0072,406.15,3.86773,0.52697,0.540466,0.153027,0.232992,-2.15528,80.8733,-34.3522,-1.828,0.798096,264.547,297.142,0.101621,0.278268,0.225333,-5.96202,-6.52001,-4.445
2,5.25,-0.0222,-0.991184,2.66793,0.405852,-0.1440835,-0.001446,-0.0106,1.73145,0.159296,-1.59917,98.0058,405.541,3.91638,0.570601,0.564836,0.163502,0.226175,-2.27031,82.2328,-34.0308,-1.59474,0.904267,268.141,297.959,0.101055,0.26491,0.215253,-5.69327,-5.9752,-4.407
2,5.75,-0.0241,-2.18723,2.84451,0.4959345,-0.231996,-0.06835,0.00253,1.76824,0.161825,-1.59311,97.998,405.759,3.90955,0.575193,0.596354,0.150051,0.204465,-2.57276,81.7441,-32.5262,-1.51012,0.846861,267.075,298.281,0.0981,0.254207,0.206586,-5.63722,-5.91185,-4.287
2,6.25,-0.024,-3.55302,2.17992,0.475933,-0.351402,-0.0322,0.0116,1.691525,0.154277,-1.505265,97.98715,405.757,3.8051,0.5504275,0.5567445,0.181096,0.2011695,-2.56431,80.1547,-33.4025,-1.57493,0.819817,265.131,297.899,0.110526,0.254023,0.206552,-5.62917,-5.76339,-4.245
2,6.75,-0.0245,-1.03433,3.232665,0.393857,-0.315159,-0.01875,0.0202,1.644635,0.154276,-1.937675,97.99005,407.271,3.855475,0.6152645,0.5293,0.171514,0.183544,-2.92418,80.7964,-32.6191,-0.851105,1.14119,266.742,297.968,0.686942,0.254142,0.205262,-5.27555,-5.81833,-4.33
2,7.25,-0.0235,-0.481348,3.42905,0.394372,-0.1200865,0.031,0.007325,1.71013,0.158407,-2.08922,97.9875,407.48,3.851725,0.557825,0.538854,0.17038,0.191108,-2.53445,82.3714,-18.1983,4.59078,3.25753,271.954,298.205,10.2156,0.243618,0.205271,-5.56752,-6.01332,-4.229
