DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,RH,WS,SW_IN,LW_IN,PPFD_IN,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,VPD,SW_OUT,LW_OUT,T_CANOPY
1,22.75,0.1307995,0.066919,0.095462,-0.0013135,-7.0074235,-0.0944865,0.452986,-0.022675,395.879044,3.655246,-10.293,83.093,2.7015385,0,239.725,0,98.373,-5.630102979,-0.60320755,-0.51267575,-0.44920365,-0.36839,-12.78679,0.463268589,0.4780103,277.74445,-5.478663
1,23.25,0.130453,0.039472,0.0672085,-0.006023,-7.61364,-0.037932,0.564272,-0.0038745,396.109926,3.700252,-10.31,83.702,2.640732,0,242.69255,0,98.361601,-5.8021333165,-0.62620055,-0.5312109,-0.46157565,-0.3855475,-14.268005,0.479232592,0.62216565,280.3314,-5.4264095
1,23.75,0.1358955,0.077674,0.036982,-0.001409,-6.081681,-0.048567,0.626746,-0.018296,395.9777585,3.710142,-9.98265,83.99773,2.617249,0,242.72,0,98.3916625,-5.995261522,-0.65250405,-0.5540775,-0.5063661,-0.37961285,-10.95987,0.4842054005,0.5350506,280.68905,-5.430768
2,0.25,0.1343,0.022532,0.018634,-0.001463,-7.4701425,-0.13222,1.113713,-0.042043,394.5521725,4.5958855,-8.3065,84.1151,2.230792757,0,240.27,4.215e-05,98.5902,-1.665610098,-0.168378825,-0.2035283,-0.22043185,-0.170402,-26.645125,0.9593014925,0.9215849,298.5239,-0.5889561
2,0.75,0.141493,0.011632,0.010765,0.0003075,-5.837279,-0.087452,0.975358,-0.0275205,393.321618,4.286314,-8.1698,83.99304,2.295068,0,240.81,0,98.599,-1.811277212,-0.1548072,-0.16995985,-0.1873618,-0.16198765,-22.9389,0.93045085,0.80399625,300.06085,-0.378478
2,1.25,0.1280395,0.030574,0.016651,2.4e-05,-5.845757,-0.1346155,0.7799625,-0.027503,393.0159035,4.278993,-8.362835,83.619305,2.22798,0,244.02,0,98.559,-1.5214511065,-0.18731345,-0.18937195,-0.19578685,-0.1444604,-26.292485,0.901348375,0.71218085,300.2186,-0.1433658
2,1.75,0.129566,0.047305,0.089913,-0.002327,-5.8244055,-0.142452,1.685688,-0.039207,392.6692695,4.242081,-8.5124,84.096425,2.271375,0,246.395,0,98.6195,-1.6633046255,-0.19741735,-0.2056486,-0.2121288,-0.2101467,-25.07123,0.9318113665,0.6012647,300.4787,0.1580014
2,2.25,0.136715,0.053922,0.0558345,-0.0023055,-4.987079,-0.1628685,1.8545385,-0.041039,392.8223225,4.239997,-8.6513,85.17,2.233593721,0,243.3898,0,98.605,-1.9447102055,-0.21177925,-0.22142325,-0.22545915,-0.2250966,-24.342525,0.9095489695,0.50931655,300.1951,0.4004066
2,2.75,0.131291,0.0662435,0.070363,0.001891,-6.4631845,-0.1873055,1.20604,-0.045983,392.783631,4.255764,-8.9127,85.0705,2.203375,0,242.255,0,98.6015,-2.001092799,-0.1750863,-0.221874,-0.22096455,-0.21266065,-23.381725,0.8667784635,0.55708775,300.5381,0.050517
2,3.25,0.1498845,-0.009015,0.008691,0.000456,-5.2961745,-0.130348,1.169322,-0.0551465,393.3710255,4.148768,-9.00275,84.89135,2.4475515,0,242.425,0,98.596095,-2.226843716,-0.1413126,-0.2064909,-0.2024383,-0.1866159,-21.333865,0.888045758,0.56834975,298.1714,-0.5724736
2,3.75,0.129704,0.084073,0.057469,0.004001,-5.1857595,-0.1153395,0.64481,-0.0558645,392.666379,4.067299,-8.932,85.178,2.4501205,0,243.715,0,98.592,-2.2138954005,-0.125295465,-0.20840915,-0.1987547,-0.1756448,-21.968785,0.9004773315,0.85737825,297.97255,-0.8225407
2,4.25,0.135479,0.078514,0.07565,0.004308,-6.137449,-0.1350515,0.565105,-0.0282025,391.616254,4.308312,-8.91235,85.2455,2.301834,0,243.99,0,98.606,-2.167187049,-0.1658074,-0.2437786,-0.25826235,-0.2232836,-21.1453,0.8882995745,0.8871928,299.5028,-0.5232755
2,4.75,0.120239,0.0769435,0.084123,0.002735,-5.6605605,-0.1674345,0.7877305,-0.055216,392.907114,4.2395285,-9.2194,85.17,2.256125,0,244.445,0,98.586,-2.22122431,-0.1821574,-0.2561011,-0.26900195,-0.22755985,-22.187,0.8159036695,0.8101769,298.22925,-0.6494943
2,5.25,0.119436,0.0734855,0.075067,0.004181,-6.0825035,-0.120643,0.404374,-0.0314025,393.2922315,4.093659,-9.31275,85.6065,2.389163,0,245.78765,0,98.616,-2.380230954,-0.1688158,-0.2392225,-0.2610676,-0.2158052,-23.319215,0.765328902,0.79405435,298.06465,-0.691929
2,5.75,0.1216605,0.027644,-9.9e-05,0.0045935,-5.747247,-0.116461,0.910367,-0.01427,393.7056955,4.126853,-9.39445,86.1325,2.349494,0,248.29,0,98.5755,-2.4369000175,-0.20672145,-0.26594855,-0.2830248,-0.22913905,-17.82764,0.732190152,0.590918,298.4721,-0.8730466
2,6.25,0.1287795,0.055906,0.0453515,0.010988,-5.4983455,-0.006634,0.576186,-0.027934,393.5562225,4.2637055,-9.8357,86.0905,2.221433528,0,248.2612,0.0365184345,98.5825,-2.3252783815,-0.26492285,-0.30771085,-0.3485543,-0.3005587,-17.52601,0.762655584,0.6884267,297.59385,-0.9475199
2,6.75,0.1351595,0.016971,0.0208715,0.019866,-5.67307,-0.0390755,0.6695935,-0.0535,394.492629,4.1285,-9.9844,85.9935,2.2856790705,0,246.55,0.226225,98.561,-2.4689595395,-0.28789005,-0.31206635,-0.34314335,-0.30386715,-14.131805,0.735526214,0.71852275,297.73395,-0.82171185
2,7.25,0.137874,0.094091,0.0720325,0.015943,-5.105348,-0.07878,0.726356,-0.014848,394.311459,4.155325,-9.9811,86.07,2.312484,5.85365,244.98,10.66799303,98.562,-2.7559841705,-0.2894323,-0.2779473,-0.3193082,-0.28658405,-20.186865,0.661185118,3.3083275,297.69455,-1.150441
2,7.75,0.119831,0.081319,0.032644,0.018802,-3.608515,0.123801,1.493394,0.049744,395.542276,4.196168,-9.6547,84.99717,2.3222395,33.106,247.145,65.2182853,98.56995,-2.4945033355,-0.3506726,-0.27400685,-0.3155678,-0.31757475,-8.162671,0.725583498,17.4813,297.5544,-1.295797
2,8.25,0.1587105,0.0340655,0.064113,0.0188095,-2.326643,0.300426,2.670502,0.141254,395.529445,4.287609,-9.0022,83.608,2.419,86.141315,250.855,179.89964195,98.5735,-2.3188167485,-0.64356025,-0.5506709,-0.4907974,-0.41286155,4.4055365,0.7311838625,42.583435,298.2396,-0.4884097
2,8.75,0.184684,-0.047364,-0.0960675,0.009691,-1.518765,0.3129925,3.757376,0.140454,395.700654,4.324743,-8.54585,82.216,2.655783,144.6985,253.485,303.9334094,98.539,-2.223395348,-0.69481515,-0.61913225,-0.6106951,-0.6346494,18.17335,0.814329135,81.79045,299.86735,-0.06986328
2,9.25,0.1791955,-0.1601215,-0.189631,-0.005319,1.706113,0.397171,5.7155185,0.106847,396.231194,4.269651,-7.90465,80.429,2.7145,208.75111915,252.11805,446.47212745,98.5482,-2.7253225315,-0.6746996,-0.6059393,-0.59845845,-0.58726305,20.9012,0.9935807365,116.3228,303.39,-0.3098584
2,9.75,0.181707,-0.1915155,-0.18631,-0.006952,4.212804,0.457243,7.826497,0.1492295,395.8856805,4.281293,-7.33425,78.83,2.855528,274.022,256.075,590.9407918,98.55235,-2.892417654,-0.71554155,-0.6470153,-0.64301255,-0.6557446,27.870345,0.921668213,142.95105,308.1061,0.4162447
2,10.25,0.1961435,-0.252938,-0.2475005,0.0009305,6.606636,0.490833,9.103734,0.1068505,396.0080505,4.173082,-6.6911,76.3985,3.069,341.75,254.405,737.626812,98.506,-2.4369437715,-0.7253706,-0.66100395,-0.66135835,-0.56413675,36.04448,1.0392710345,182.2778,310.2604,1.4827505
2,10.75,0.209879,-0.298812,-0.304711,-0.012204,5.942375,0.561371,10.085511,0.1102715,394.659026,4.246375,-6.13125,74.570705,3.169,404.36,251.84,879.2643745,98.5005,-3.249192106,-0.72292,-0.65189805,-0.6152231,-0.5738981,43.91919,1.0797788355,185.1778,312.87135,1.7920125
2,11.25,0.221325,-0.257533,-0.251715,-0.0045995,7.669972,0.595704,12.021461,0.104486,394.164606,4.364534,-5.8702,74.156025,3.132255,448.185,253.75,965.595,98.51215,-3.817971696,-0.6322879,-0.5981395,-0.63337915,-0.5123039,55.179445,1.1778710495,223.39515,315.19705,2.518561
2,11.75,0.205232,-0.341631,-0.359499,-0.004712,10.24413,0.498591,14.666796,0.10056,394.2038415,4.4354345,-5.58415,73.088,3.189602758,464.055,256.355,975.2,98.498,-4.25865935,-0.47362805,-0.47887815,-0.5189094,-0.48360995,63.68403,1.2004615525,235.02325,316.5157,2.549312
