DOY2,HR2,T_CANOPY_1_1_1,CO2_1_1_1,FC_1_1_1,H2O_1_1_1,G,H,LE,PA_1_1_1,RH_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,NETRAD,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1,TAU_1_1_1,U_SIGMA_1_1_1,USTAR_1_1_1,V_SIGMA_1_1_1,W_SIGMA,WS_1_1_1,NEE
1,13.75,18.78529,359.984,-3.768715,12.8249,4.06795101,287.902,194.6625,101.277,66.00305,19.946,1.15481,18.78529,588.0143,316.119784242915,444.304625286738,710.3031,118.3869,15.0504533333333,-0.200404,1.129425,0.408731,1.2535,0.5183775,2.75418,-3.768715
1,14.25,19.06518,359.96,-3.55431,13.0714,4.55613083333333,300.669,175.953,101.2657,65.4266,20.209,1.13743,19.06518,605.1693,311.947047160596,445.834731760597,749.328,122.5842,15.23812,-0.209228,1.14376,0.414786,1.28458,0.53028,2.81321,-3.55431
1,14.75,18.99485,360.179,-3.17341,12.9955,4.884924,296.698,189.836,101.2499,64.7494,20.181,1.13138,18.99485,585.2191,311.036021662146,444.924610234704,725.927,118.3475,15.4620066666667,-0.2205325,1.15353,0.4268315,1.265305,0.530314,2.76732,-3.17341
1,15.25,18.907,359.943,-2.83962,13.035,5.25182866666667,274.9025,174.263,101.231,64.35845,20.035,1.045995,18.907,572.5848,309.932057074222,444.779722742495,711.517,113.0458,15.50501,-0.207149,1.17572,0.416541,1.218425,0.535175,2.816735,-2.83962
1,15.75,19.062645,359.7375,-2.53261,12.94145,5.790237,260.5925,164.324,101.2188,64.8555,20.026,0.998796,19.062645,543.07445,308.658515491792,446.546890960976,652.10065,103.5145,15.6666516666667,-0.2141045,1.127885,0.421508,1.23364,0.53879,2.75412,-2.53261
1,16.25,19.0304,359.7485,-2.440605,12.99795,6.01028603333333,241.895,151.492,101.20590970599,64.3041,19.9515,0.940057,19.0304,488.4711,305.69880722966,450.664408601523,612.8673,101.4434,15.6822166666667,-0.2047155,1.083875,0.41381,1.196545,0.5226955,2.76445,-2.440605
1,16.75,18.76751,359.5555,-2.07266,13.1396,6.02335325,206.724,123.908,101.188462076629,63.6929,19.7475,0.8701235,18.76751,418.9598,300.979588068176,446.380907193745,532.3394,89.42027,15.6965033333333,-0.2008135,1.07033,0.409514,1.156565,0.510551,2.678195,-2.07266
1,17.25,18.53824,359.5625,-1.77722,13.0919,6.0994443,173.3515,103.072,101.2008,63.8318,19.5585,0.753363,18.53824,346.7881,298.669664994241,441.399106512523,448.0109,78.15907,15.7115066666667,-0.173428,1.04041,0.379145,1.07695,0.486968,2.562865,-1.77722
1,17.75,18.175935,359.8535,-1.19602,13.0768,5.780623,137.104,84.84395,101.191251968976,64.4743,19.222,0.659895,18.175935,265.3511,301.634898967527,433.389436025886,359.14815,64.75167,15.75055,-0.1605125,0.9686465,0.364974,1.04429,0.463817,2.48532,-1.19602
1,18.25,17.795155,360.4,-0.701236,13.1651,5.62304933333333,99.5802,69.9248,101.196301968976,66.5804,18.884,0.531442,17.795155,186.36425,292.005766833037,422.640498419982,287.1878,51.65508,15.72649,-0.1472355,0.934467,0.349451,0.960633,0.442213,2.25777,-0.701236
1,18.75,17.48959,361.274,0.2876535,13.2753,5.47321116666667,58.296,45.9083,101.211381038314,68.1452,18.581,0.394613,17.48959,103.9957,292.088826495812,411.90166544505,191.79365,36.16508,15.6664133333333,-0.119844,0.830036,0.316038,0.858726,0.390714,2.07083,0.2876535
1,19.25,16.923765,362.34,1.33562,13.207,5.27005466666667,21.572,28.2914,101.235820930661,70.1952,17.816,0.286928,16.923765,37.784665,288.210905028798,400.908753569498,116.766,20.462055,15.57834,-0.0908231,0.749071,0.272415,0.719751,0.357138,1.83946,1.33562
1,19.75,16.28501,364.55,2.11295,13.2005,4.97978433333333,-5.46575,12.82315,101.26215,72.7426,17.122,0.2790815,16.28501,-5.84404,289.81412722596,390.033135999344,51.935645,8.309855,15.4908666666667,-0.0621068,0.647147,0.226111,0.585069,0.287177,1.53015,2.11295
1,20.25,15.547645,367.944,3.10957,13.07945,4.53972134666667,-11.4724,2.50221,101.290531038314,76.8144,16.39,0.359718,15.547645,-44.26093,286.92982556841,380.526494906746,8.837658,1.69184,15.4470016666667,-0.0298284,0.486238,0.1580655,0.434952,0.2033695,1.08799,3.10957
1,20.75,14.64044,374.662,3.63019,13.1735,3.95473508333333,-10.1338,-1.53479,101.328562076629,80.3316,15.728,0.356344,14.64044,-54.41005,286.738776759404,373.185016521109,0.09351164,0.7593144,15.414005,-0.0171499,0.387648,0.118932,0.3526225,0.145758,0.821505,3.63019
1,21.25,13.92952,382.788,3.74909,13.1754,3.37408588333333,-7.700355,-1.18348,101.377651968976,82.1786,14.959,0.329066,13.92952,-51.398405,287.011873611166,368.934734256428,0.09351164,0.9797403,15.302375,-0.009693325,0.342681,0.09206195,0.310341,0.1131815,0.603566,3.74909
1,21.75,13.38551,391.288,3.794745,13.24285,2.70026716666667,-6.40003,-0.277302,101.406085891309,83.1587,14.238,0.3178865,13.38551,-47.83475,289.586223824582,364.516544120399,0.09351164,1.13629,15.1368433333333,-0.00864891,0.323115,0.0865802,0.280724,0.08846485,0.5240125,3.794745
1,22.25,13.075975,401.26,3.639225,13.20355,2.12657633333333,-5.25972,-0.630637,101.419185891309,84.0471,13.812,0.286812,13.075975,-45.31255,295.68261243224,361.979912427131,0.09351164,1.1514915,14.9997233333333,-0.005980215,0.3020115,0.08191255,0.280231,0.0817995,0.382749,3.639225
1,22.75,12.62463,404.016,3.57794,13.16385,1.47985523333333,-3.45722,0.488842,101.41965,85.5093,13.455,0.291639,12.62463,-43.54161,301.274277678273,359.742091973404,0.09351164,1.180034,14.8466883333333,-0.003720375,0.300506,0.0760942,0.267532,0.0646447,0.351637,3.57794
