DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
2,17.75,0.753899999999999,24.9675,4.586075,4.4264,7.64624999999998,0.3749,6.35475,60.64825,8.174,93.9,102.6,405.9944,13.08475,12.545,142.565,83.34,23.9467
2,18.25,0.627,24.111,4.13185,5.5114,5.941825,0.676249999999998,0.122599999999994,33.3979,7.1551,94.3,102.6,404.796,11.34925,0.099,19.47125,10.469075,23.86
2,18.75,0.6372,23.566,4.0116,5.5132,14.413825,1.676775,7.1755,34.330875,5.9847,94.6,102.6,410.855,10.26125,0.148325,0.426,0.301475,23.497
2,19.25,0.60875,23.2535,4.09445,5.0024,4.73694999999998,3.77944999999999,1.3718,74.8335999999998,5.0935,95,102.6,419.310875,9.43825000000001,0.0833250000000002,0.426,0.699325,23.567125
2,19.75,0.608,22.92875,4.0216,5.008525,9.11632499999997,1.606975,2.11665000000001,30.4637,4.4172,95.1,102.6525,433.64625,9.32075000000001,0.131,0.533799999999999,0.764024999999999,23.696325
2,20.25,0.6226,22.772,3.989625,4.7083,6.27999999999997,1.357,8.62159999999997,41.5526249999999,3.6268,95.2,102.7,444.9772,9.013,0.1158,0.497,0.7951,24.06475
2,20.75,0.6299,22.4835,4.27635,5.08195,12.9169499999997,3.29617499999999,7.09589999999997,29.173525,3.1989,95.5,102.7,447.319,8.181,0.099,0.497,0.833525,24.175525
2,21.25,0.630925,22.38225,4.200525,4.6166,7.06294999999991,6.37939999999999,0.7995,44.7258,3.37189999999999,96.2,102.7,438.5601,8.2345,0.133125,0.565374999999999,0.8694,24.084875
2,21.75,0.646924999999999,22.214,4.132425,4.9661,8.95275,2.1689,5.305,34.759425,2.8009,95.7,102.7,448.34545,8.01975,0.1158,0.5547,0.803924999999999,23.835
2,22.25,0.6348,22.06525,4.22,4.52525,22.054675,25.4897,1.75842499999996,42.4139,2.0877,95.8,102.7,490.09535,8.30275,0.1158,0.5321,0.780425,23.60375
2,22.75,0.6487,22.013,4.1056,5.224,9.409225,13.9242,1.4324,33.2995,1.8906,95.9,102.7,510.757275,8.2275,0.148,0.497,0.84895,23.3498
2,23.25,0.642175,21.9605,4.220675,4.64,7.85507500000001,5.95724999999999,6.52779999999999,37.1395999999999,2.3029,96,102.7,597.539100000001,7.6275,0.099,0.638,0.7684,22.964275
2,23.75,0.59925,21.703375,3.9864,5.0328,6.9973,2.81075,1.21759999999999,62.4625499999997,1.87039999999999,96.195,102.6525,626.456,7.70575,0.148325,0.533799999999999,0.904425,23.4898
3,0.25,0.562025,23.241,3.7928,5.0605,5.245225,15.4343,1.45042499999988,26.89125,2.40577499999999,99.9275,102.8,605.2672,8.63475,-3.25615,0.639,0.883425,23.7575
3,0.75,0.5704,22.9565,3.7466,4.7228,7.27200000000001,2.36805,14.083,35.5719,2.30032499999999,99.4925,102.8,705.8928,8.403,-4.24192500000001,0.639,0.825224999999999,23.96035
3,1.25,0.54585,22.881,3.901825,5.854125,8.765,3.34822499999999,12.81,29.808575,1.911525,99.275,102.785,710.8795,8.167,-2.99345000000001,0.507649999999998,0.913474999999999,24.83035
3,1.75,0.557525,22.84025,3.88915,4.9739,60.9953999999998,5.380975,5.59702499999998,111.269,1.555,100,102.685,726.2653,8.34925,-3.413875,0.517125,0.985024999999999,25.37625
3,2.25,0.571,22.96,3.90475,4.9752,8.06795000000001,8.54724999999998,16.9634499999999,73.7072250000001,1.3395,100,102.6875,738.968375,8.17425,-2.164125,0.533,0.965149999999999,23.6055
