DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN
1,17.75,458.714121125,15.033887825,3472.463215,3.745352525,179.4754454,22.43620695,26.8870319,82.7100521,6.8532072,0.4432048,0.00649125,0.975763875,0.491561625,102.82275,96.24325,14.43155,6.9211468,19.71661885,1.08503045,14.598217,14.164483,13.1975,12.5411167,12.56165,-9.87753505000003,1.840374075,0.1973331,-0.34
1,18.25,478.664160875,14.5901955,3564.5584813,5.8483794,201.01943395,18.710428925,32.682805625,71.1014573,6.35185154999999,0.4088301,0.00483144999999998,1.008780425,0.4921333,102.8085,96.9915,13.5441,5.4811466,18.99020905,1.0561433,14.530383525,14.170992,13.277125,12.563258525,12.545217,-9.36882042500006,0,0,-0.34
1,18.75,495.66097415,14.38369755,3850.941025125,4.131579475,316.84064955,15.88190895,23.161712,74.38164375,6.666580775,0.4423151,0.01220925,0.993992424999999,0.5692962,102.7935,97.448175,12.825475,4.99954795,18.54563235,0.89757605,14.467717,14.1717167,13.33688315,12.59395,12.5333667,-7.93056335000001,0,0,-0.34
1,19.25,486.3360804,14.1316734,4165.189483125,5.79336809999999,271.875129675,13.9122475,23.36822565,72.9659734,7.34750224999999,0.44316545,0.00705997500000001,0.9742488,0.5191262,102.8035,98.10025,12.66005,4.7245208,18.4306935,0.8593882,14.3983667,14.144133,13.382533,12.61261685,12.529917,-8.73147855000002,0,0,-0.34
1,19.75,497.9327617,13.822917,4433.989589925,4.6892159,327.688294,12.34966775,38.551882,70.6078957,6.87083099999999,0.4149192,0.017968,0.94423385,0.5040721,102.844,98.32605,12.3784,4.6614647,17.7298865,1.1336769,14.2999333,14.10445,13.41670015,12.62784985,12.52905,-5.91327470000001,0,0,-0.3355
1,20.25,514.394709825,13.67054415,5369.56150125,4.10841554999999,306.03499225,11.2468764,14.1094853,80.2677446,7.04454549999998,0.433354199999999,0.00857620000000002,1.194423925,0.4887796,102.829,98.508525,12.08235,4.7372094,17.590206,0.966993775,14.181941825,14.0467833,13.445142,12.635483,12.52894985,-4.434384175,0,0,-0.3155
1,20.75,499.282698,13.462972775,4602.5528347,2.811338375,198.58647225,10.0819817,29.3259975,60.5844871999999,6.36931615,0.40623175,0.0152929,0.989818524999996,0.484546825,102.8345,98.4136,11.7481,4.46388752499999,17.478197,1.142918775,14.0381167,13.9690833,13.45083315,12.646267,12.5287667,-4.71443700000001,0,0,-0.32
1,21.25,507.36866995,12.865329,4943.759317775,2.480051,316.334956,8.657059975,23.1137538999999,47.5135188,6.368952975,0.3697694,0.0133568749999999,0.89799525,0.492195125,102.835,98.8304,11.693625,4.449025125,17.465082375,1.0210972,13.943225175,13.878942,13.459533,12.65739165,12.5294,-4.662676,0,0,-0.32525
1,21.75,505.952390875,12.6243465,4539.8524486,2.92428,105.953082875,7.677115575,37.76340055,48.0746633,6.8209653,0.420912025,0.0112784,0.963420799999999,0.4820444,102.82475,98.8878,11.8566,4.5881115,17.1970882,1.09680565,13.830117,13.77615835,13.44350835,12.66616665,12.534000175,-5.7424122,0,0,-0.33525
1,22.25,513.236930375,12.0620478,4912.026703375,4.6602385,427.607572499999,6.345038525,35.4378091,49.9197739,6.4785146,0.461053975,0.00646037499999998,1.0491804,0.5018514,102.85475,98.9518,11.4578,4.4480349,16.9692495,0.9889612,13.69401665,13.669425,13.435658,12.67448335,12.53529165,-5.257095025,0,0,-0.34
1,22.75,534.6857848,12.34552035,4796.5795893,2.18813975,285.5867767,5.24796345,18.2781218999999,50.911676625,6.42368315,0.468074525,0.01095535,1.0772062,0.5211851,102.85475,99.3238,11.1006,4.0065555,16.45332325,1.0080545,13.529683175,13.546458175,13.405616825,12.678175,12.540942,-5.073679425,0,0,-0.30525
1,23.25,516.2683284,12.2942913,4426.511066,5.410140875,396.176801999999,4.66636055,15.0645472,40.0268555,7.0668105,0.563139,0.00654994999999995,1.108916625,0.542771,102.86,99.46955,10.81875,3.920446375,15.9903593,0.9523398,13.37803335,13.446983175,13.39388335,12.69513335,12.5486,-3.96338,0,0,-0.2885
1,23.75,503.15121175,13.0019562,4657.406191125,5.73055545,395.176323125,3.86856095,12.041911825,43.993517425,6.53842464999999,0.487764299999999,0.00662720000000002,0.966979525,0.44644345,102.8805,99.5413,11.022,3.677701875,16.507845,0.9941355,13.236074825,13.330925175,13.364283,12.70996665,12.548908175,-3.774155025,0,0,-0.2785
2,0.25,577.4229701,14.0871406,5986.702101375,4.2106455,145.615933625,3.5501765,12.07546895,76.591695225,7.49297175,0.45418975,0.008592225,1.242241125,0.611333625,102.7445,97.108,13.1654,6.386527875,18.911476,1.0629375,14.3913335,14.513333,14.72654175,14.616083,13.93004175,-8.5112675,0,0,-0.34
2,0.75,625.56132245,14.025028575,5209.6373389,4.1287696,200.9890014,2.77133025,13.41685735,68.4583758499998,7.36877525,0.4368625,0.00864465,1.2147219,0.59588635,102.748,97.99805,12.829775,6.137200125,18.99097,0.9822515,14.3325835,14.451625,14.62020825,14.60400025,13.93179175,-10.31021125,0,0,-0.6525
2,1.25,621.05530295,13.6045436,4859.224603,4.175651125,188.35179165,1.924549,11.326384825,84.100281,7.71751075,0.46131025,0.009146125,1.186379,0.583871,102.7645,97.56905,12.45165,6.109152625,18.74947775,0.9860027,14.23433325,14.402333,14.56624975,14.5948335,13.94441675,-9.82042275,0,0,-0.445
2,1.75,596.20447565,13.607584,5103.215749525,3.75179,287.0918602,1.2178548,14.481721775,67.5217559999997,7.4821833,0.4764841,0.01705435,1.260268225,0.672870624999999,102.77375,98.16875,12.20275,5.8578718,18.441925875,0.9173435,14.224166425,14.365791425,14.514533575,14.542375,13.94404985,-7.27452427499999,0,0,-0.34
2,2.25,512.8383454,13.597467875,4630.0561515,4.785009175,234.1916088,0.745618125,10.9959436,69.8120924999999,7.504492425,0.449282725,0.005819625,1.28185425,0.642653875,102.78375,98.004125,12.16675,5.8632428,18.395381,1.0123483,14.091058575,14.334691575,14.44857485,14.5213,13.954642,-6.087200375,0,0,-0.34
2,2.75,522.370707,13.5610085,4563.806111725,5.011937125,185.6648898,0.139640299999996,16.384599225,63.7495700250001,7.179497575,0.44178045,0.0158895,1.236308675,0.624507874999999,102.774,97.9324,12.1352,5.70268299999999,18.5030221,1.0761059,13.9310668,14.2646331,14.3598331,14.504,13.963267,-6.3254222,0,0,-0.34
2,3.25,553.60528875,13.344389,4319.26318205,4.91244115,247.893297625,-0.553834775000007,17.592281125,89.182061,7.1826583,0.46545475,0.013184225,1.261121425,0.5582426,102.768,97.8911,11.166,5.5470133,18.4065848,1.04799845,13.808758,14.1553125,14.277874775,14.44910845,13.973791775,-5.32179585,0,0,-0.34
2,3.75,554.44070675,13.3597632,5008.58587775,6.6170575,282.751987699999,-1.15925655,14.2120353,80.85010725,7.3194233,0.4626156,0.01077555,1.2270052,0.635753275,102.7775,98.47155,11.59145,5.3812105,18.1271588,1.0533909,13.64688355,14.0278499,14.2152,14.3863499,13.981667,-5.0975002,0,0,-0.34
2,4.25,601.8625402,13.3685875,5169.971994,6.14528212499999,249.68423525,-1.447524,7.2972633,79.0053659,7.61959425,0.45919175,0.00388399999999999,1.099743,0.6233014,102.787,98.792,11.7282,5.6401042,18.050859875,0.946707849999999,13.607750125,13.958458,14.184125125,14.319958125,13.99033325,-5.653081125,0,0,-0.34
2,4.75,557.052533325,13.5019102,5063.119232,4.6916098,297.46763325,-1.7739612,11.1571463,71.6018549,7.389713125,0.479462375,0.0058142,1.2716393,0.5787038,102.7915,99.092225,11.81525,5.4600187,18.288015,0.9510914,13.6033998,13.9125334,14.1438668,14.2547332,13.9945998,-5.004348225,0,0,-0.34
2,5.25,577.2724524,13.5037068,4542.674841,5.17548489999998,289.4583469,-2.1889938,16.369784575,70.8796952,7.4216876,0.4434424,0.0112053,1.06047455,0.590796525,102.79575,99.369525,11.580625,5.5803982,18.2826488,1.0239635,13.5667998,13.8611332,14.0904002,14.2126,13.9946666,-6.2466198,0,0,-0.34
