DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1
1,10.75,0.3429875,-1.086,2.71355,0.5496588335,0.597791,-0.0180833335,-12.49595,11.8597,0.096222796,-1.173560682,-0.0125,0.5445,-0.16,71.04360702,81.2179,398.81949955,72.8,522.2,251.6,119.9,250.3,296.6,4.647816779,-0.124362,1.015209338,0.849951763,0.446989933,-1.299,0.2283502575,-0.0585,0.5445,2.049,3.2205,4.076,4.8225,5.279
1,11.25,0.3493505,-1.0445,2.73244,0.38224,0.386440063,-0.0243055555,-7.15579,10.86615,0.103061571,-1.196864786,-0.012,0.545,-0.1595,70.658531335,81.2205,398.41002135,116.15,645.25,322.3,139.85,241.85,299.05,4.6591577955,-0.131362,0.98159564,0.866883499,0.429612616,-1.24,0.22812688,-0.05675,0.56075,2.064,3.24025,4.099,4.834,5.28475
1,11.75,0.3573645,-0.6855,2.78477,0.3441643885,0.36635,-0.029652778,-5.32702,13.6613,0.110462252,-1.195627215,-0.012,0.545,-0.159,70.31492011,81.2137,398.7366657,122.08636,732.9,360.96804,158.2,245.65,301,4.799607528,-0.129961,1.01104896,0.896419545,0.441614085,-0.902,0.219419689,-0.055,0.577,2.079,3.26,4.122,4.8455,5.2905
1,12.25,0.363738,-0.458,2.7913,0.3594355555,0.381596,-0.022085593,-0.982952,14.58294094,0.194464327,-1.1991672555,-0.012,0.5455,-0.1595,69.80499993,81.1884,398.3534775,132.5,769.25,373.6,173.1,242.9,302.8,4.851637618,-0.138661,1.032676135,0.861674533,0.451135235,-1.0315,0.2185454495,-0.0435,0.5815,2.0755,3.2555,4.12025,4.85425,5.28725
1,12.75,0.363461,-0.577,2.777075,0.265006667,0.317124,-0.019444444,-2.68452,13.3066,0.1138008,-1.1977695145,-0.012,0.546,-0.1595,68.845171195,81.1543,398.30091715,116.35,770.75,363.15,178.42947,245.55,303.3,4.872450096,-0.1304625,1.0174130595,0.9053698255,0.441758422,-1.1804625,0.224641492,-0.032,0.586,2.072,3.251,4.1185,4.863,5.284
1,13.25,0.360981,-0.722,2.574387973,0.329565889,0.325677,-0.013416667,-1.8871,13.4945,0.101022882,-1.1768615935,-0.0125,0.5465,-0.1585,69.112476515,81.1439,398.5608341,120.95,775.4,367.146645,174.65,246.15,304.25,4.920204061,-0.129292,1.044327535,0.913479611,0.453198632,-0.924,0.214207989,-0.0205,0.59325,2.08275,3.2545,4.117,4.85375,5.2895
1,13.75,0.34659,-0.546,2.49068,0.330648667,0.317897,-0.016041667,-3.21977,12.8781,0.111699152,-1.176130839,-0.0125,0.547,-0.1585,69.02723902,81.12405,399.0378101,101.2,699.5,343.05,158.95,251.15,304.1,4.9663967435,-0.121658,1.0399057055,0.8897701115,0.461401415,-0.6925,0.2251418075,-0.009,0.6005,2.0935,3.258,4.1155,4.8445,5.295
1,14.25,0.3515,-0.331,2.464048518,0.374234889,0.40433,-0.014972222,-4.51596,13.0617,0.073736187,-1.197512245,-0.0125,0.547,-0.1585,69.405613765,81.1071,398.3200131,95.446434,641.1,315.15,144.25,246.44745,303.55,5.025052651,-0.130557,1.03896102,0.907110247,0.442388969,-0.6475,0.213629352,-0.0055,0.60125,2.08425,3.245,4.10675,4.85225,5.291
1,14.75,0.3500995,-0.406,2.773115,0.512075556,0.52158,-0.00525,-5.29436,12.59805,0.059049339,-1.1909374435,-0.013,0.5475,-0.158,69.278250025,81.10025,398.58822375,68.85,535.2,257.5,130.65259,244.8,303.75,5.0089441765,-0.126888,0.995265637,0.887743631,0.43119913,-0.7485,0.206726282,-0.002,0.602,2.075,3.232,4.098,4.86,5.287
1,15.25,0.331541,-0.622,2.75814,0.4800845,0.488132,-0.001555556,-7.85705,11.9421,0.017282625,-1.184867745,-0.014,0.547,-0.158,70.17746767,81.1084,398.5189778,48.2,428.1,211.65,103.75,259.07685,302.8,5.041305713,-0.115853,1.0020977775,0.8405979435,0.4238437125,-0.7375,0.208835821,-0.006,0.587,2.064,3.21425,4.094,4.865,5.26725
