DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
2,13.25,-1.4815,34.452,65.9015,384.7465,89.388,5.254,57.8235,957.46,380.157,215.8,0.528,1.175,0.327,1.224,-1.446
2,13.75,-1.722,34.483,58.2925,385.2465,89.386,5.547,58.023,851.963,324.173,188.002,0.531,1.142,0.3325,1.256,-1.764
2,14.25,-1.3255,32.9945,46.4955,385.258,89.361,5.523,57.439,855.206,319.592,178.874,0.799,1.186,0.337,1.1815,-1.504
2,14.75,-1.2635,28.747,44.312,385.2195,89.354,5.572,55.65,746.954,309.791,146.291,0.78,1.204,0.345,1.226,-1.4985
2,15.25,-1.016,23.0235,30.804,384.965,89.361,5.762,58.7635,570.1175,222.835,111.0215,0.998,1.303,0.309,1.302,-1.1575
2,15.75,-0.8765,19.082,15.895,384.367,89.361,5.509,59.58,411.428,148.245,66.13,0.992,1.308,0.298,1.463,-0.863
2,16.25,-0.592,13.7225,2.12,384.155,89.374,5.176,62.7315,240.24,96.285,33.644,0.988,1.382,0.311,1.339,-0.6005
2,16.75,-0.2315,6.76,-5.981,383.802,89.361,4.35,65.271,120.68,48.8075,4.139,0.9,1.416,0.243,1.084,-0.166
2,17.25,-0.165,1.862,-6.842,384.3905,89.385,3.77,68.4275,36.33,12.6875,-18.891,0.839,1.47,0.177,0.856,0.539
2,17.75,-0.0055,0.392,-6.688,384.3825,89.447,2.895,71.88,4.2925,0,-27.91,0.796,1.427,0.1575,0.819,0.6695
2,18.25,0.376,0.5385,-4.8765,384.323,89.448,2.113,73.6,0,0,-31.46,0.592,1.403,0.147,0.903,0.644
2,18.75,0.429,0.556,-4.9915,385.445,89.46,1.3,76.0235,0,0,-29.033,0.458,1.376,0.123,0.889,0.6285
2,19.25,0.445,0.4655,-2.4975,385.562,89.462,0.771,76.9575,0,0,-27.613,0.336,1.287,0.128,0.8815,0.6185
2,19.75,0.443,0.444,-3.873,386.239,89.463,0.257,78.7,0,0,-27.56,0.287,1.265,0.126,0.864,0.618
2,20.25,0.376,0.5615,-2.2545,387.8195,89.493,-0.097,80.7375,0,0,-27.505,0.242,1.242,0.118,0.7615,0.6065
2,20.75,0.428,0.196,-1.353,387.627,89.461,-0.188,80.35,0,0,-25.21,0.21,1.232,0.102,0.816,0.6075
2,21.25,0.4175,0.234,-1.394,388.208,89.461,-0.388,82.474,0,0,-24.3,0.146,1.214,0.099,0.8085,0.6
2,21.75,0.2515,0.067,-1.1725,388.488,89.461,-0.51,82.997,0,0,-21.87,0.083,1.196,0.1095,0.8175,0.593
2,22.25,0.322,0.2525,-2.068,389.181,89.4925,-0.688,85,0,0,-20.35,0.079,1.201,0.119,0.761,0.5925
2,22.75,0.335,0.176,-0.78,388.68,89.4965,-0.852,86.3,0,0,-19.01,0.069,1.196,0.111,0.787,0.5855
2,23.25,0.3785,0.141,-1.2385,389.207,89.502,-1.024,87.1745,0,0,-16.26,0.04,1.155,0.116,0.743,0.586
2,23.75,0.443,0.288,-0.83,388.939,89.519,-1.268,88.3335,0,0,-14.3,0.013,1.175,0.098,0.761,0.577
3,0.25,0.522,0.143,-5.204,392.525,89.8535,0.8195,79.844,0,0,-28.49,1.9085,5.1985,0.141,0.821,0.602
3,0.75,0.797,0.253,-6.3885,390.7865,89.845,0.5535,80.8,0,0,-28.845,1.5525,5.076,0.13,0.8405,0.6355
3,1.25,0.6445,0.215,-5.4385,391.216,89.8535,0.5845,81.4,0,0,-28.555,1.492,4.972,0.14,0.871,0.6005
3,1.75,0.6815,0.77,-7.6115,391.918,89.852,0.6165,80.704,0,0,-29.78,1.424,4.916,0.141,0.882,0.601
3,2.25,0.744,0.5285,-6.404,391.215,89.85,0.4895,81.368,0,0,-26.5385,1.388,4.877,0.1315,0.8235,0.6035
3,2.75,0.517,0.8185,-3.686,390.1095,89.836,0.2875,80.9,0,0,-27.63,1.1855,4.767,0.14,0.841,0.5925
3,3.25,0.583,0.1275,-6.057,390.7095,89.85,0.166,82.5,0,0,-25.119,1.063,4.693,0.152,0.847,0.593
3,3.75,0.8185,0.365,-4.65,392.016,89.856,0.1375,84.665,0,0,-20.344,1.02,4.608,0.1555,0.834,0.591
3,4.25,0.642,0.783,-3.849,391.484,89.8525,-0.037,85.2255,0,0,-22.802,0.877,4.567,0.125,0.752,0.599
3,4.75,0.711,0.2415,-5.695,391.7415,89.8575,-0.011,85.4,0,0,-22.7015,0.855,4.5045,0.137,0.8265,0.596
3,5.25,0.433,0.385,-3.677,393.14,89.874,-0.035,85.252,0,0,-22.2585,0.903,4.4405,0.1305,0.849,0.5985
3,5.75,0.5765,0.287,-3.523,392.781,89.881,0.1545,85.5,0,0,-23.145,0.88,4.3365,0.138,0.813,0.587
3,6.25,0.286,0.429,-6.6455,392.6755,89.89,0.1005,83.6,7.508,0,-17.6105,0.833,4.2455,0.143,0.801,0.6
3,6.75,0.0105,0.687,-4.356,393.27,89.896,0.2585,82.674,55.619,19.0945,-4.4715,0.727,4.2085,0.134,0.7715,0.241
3,7.25,0.045,5.883,-1.894,391.611,89.8295,0.766,79.023,170.5595,72.7625,26.36,0.732,4.001,0.132,0.728,-0.161
3,7.75,0.145,15.43,3.635,391.239,89.833,1.8925,74.687,353.065,155.79,68.937,0.6725,3.6325,0.2075,0.7375,-0.679
3,8.25,-0.875,26.007,27.1015,388.929,89.846,3.156,70.284,556.751,233.225,133.377,0.933,3.376,0.2095,0.768,-1.4645
3,8.75,-1.36,36.889,59.106,388.157,89.865,4.273,65.979,754.135,329.5895,192.2235,1.3025,3.3315,0.279,0.988,-2.144
3,9.25,-2.18,42.1765,89.468,387.385,89.8505,4.83,62.1515,926.7295,412.014,265.4225,2.4,3.529,0.323,1.195,-2.6125
3,9.75,-2.316,50.6405,122.294,386.6035,89.857,5.1135,59.204,1102.21,458.943,326.182,4.1835,3.727,0.3265,1.2765,-2.833
3,10.25,-2.196,60.543,152.606,386.245,89.8525,5.89,57.179,1267,511.319,349.3,6.3695,3.742,0.343,1.3585,-2.7305
3,10.75,-2.483,63.512,152.594,385.776,89.822,6.389,54.704,1382.37,610.822,413.217,7.797,3.8015,0.3985,1.558,-3.121
3,11.25,-2.303,73.0335,178.157,385.474,89.8045,6.813,54.161,1520.6,658.029,449.132,8.911,3.8855,0.3905,1.614,-2.6615
3,11.75,-2.401,85.527,179.575,385.167,89.7655,7.056,51.323,1551.2,694.674,465.433,10.374,4.0605,0.473,1.8625,-2.6625
3,12.25,-2.712,86.001,192.1695,384.999,89.76,7.668,50.807,1494.09,671.264,442.115,11.7485,4.3495,0.499,2.4475,-2.852
3,12.75,-2.918,81.3415,192.383,384.6,89.7515,8.273,49.261,1513.4,690.641,466.1,12.1565,4.443,0.513,2.432,-2.85
3,13.25,-2.894,86.6845,178.808,384.544,89.7175,8.15,50.211,1474.2,680.369,445.5,11.819,4.6465,0.57,2.811,-3.163
