DOY2,HR2,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
2,23.25,-16.665,80.2055,0,0.685085,240.1254,282.7512,-41.66715,-0.0030455,-0.0728475,1.27065,-4.5735,-5.3827,-7.20545,-4.5419
2,23.75,-16.735,80.351,0,0.64098,238.8658,281.07815,-43.7172,-0.00520965,-0.065457,1.68335,-4.58255,-5.36805,-7.19615,-4.52405
3,0.25,-6.5927,85.454,0,0.62028,283.882,319.47115,-26.2135,0.0093073,-0.039381,2.0538,-0.63791,-0.57579,-1.68,-1.2671
3,0.75,-6.7777,85.4225,0,0.548605,282.8887,318.8684,-25.3824,0.0086425,-0.0389855,2.1836,-0.63011,-0.57559,-1.86045,-1.75455
3,1.25,-6.67945,85.1875,0,0.815155,284.56775,316.55875,-20.4184,0.0096405,-0.0422575,3.1057,-0.62441,-0.573385,-1.8538,-1.6721
3,1.75,-6.52845,84.9865,0,0.614015,284.3867,316.2407,-15.4067,0.0083213,-0.0386605,2.33405,-0.6216,-0.541205,-1.85415,-1.3376
3,2.25,-6.2263,84.892,0,0.526725,284.5556,315.79535,-20.8703,0.00798265,-0.03996,2.68955,-0.62434,-0.56547,-1.84245,-1.80395
3,2.75,-6.18815,85.248,0,0.427045,284.2554,314.26305,-24.31915,0.00781595,-0.0400445,2.738,-0.633025,-0.563135,-1.8424,-2.1297
3,3.25,-6.1801,86.0005,0,0.515095,284.6536,314.4694,-23.9467,0.00864995,-0.0391285,2.504,-0.63477,-0.559895,-2.01285,-2.09895
3,3.75,-5.809,86.9955,0,0.49825,287.0651,314.9396,-22.85795,0.006636,-0.041859,2.6916,-0.628325,-0.564945,-1.9841,-2.0751
3,4.25,-5.6667,87.132,0,0.477275,288.39865,314.56615,-18.50475,0.0098117,-0.04337,2.7832,-0.631445,-0.56419,-1.8271,-2.05885
3,4.75,-5.29035,86.5175,0,0.4779,287.9357,314.40875,-16.69315,0.0071577,-0.039089,2.718,-0.62818,-0.565815,-1.8063,-2.04745
3,5.25,-5.13865,86.688,0,0.461725,288.16345,314.5664,-17.8216,0.0083183,-0.040953,3.1724,-0.62729,-0.561575,-1.78885,-2.04095
