DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,13.75,-0.518789,14.4737,54.024,-1.06337,-2,-1,403.1,5.800104128,90.178,5.197485,0.31042,7.14669,4.1,5.04865,58.49,491.116665,255.79835,48.25,283.76835,335.35,148.32,3.18,1.832,1.3495,1.641,2.87,4.4265,0.27,0.7123845825,0.75273,0.36,1.27,0,-1.83525,-0.8245
1,14.25,-0.4560805,14.681107435,41.17,-1.0632,-2,-1,402.7,5.9,90.20062,5.325,0.29,7.23925,4.18865,5.167,58.02,446.37,228.67,40.762,282.97,334.9667,129.97,3.2645,2.107,1.62,1.7755,2.96,4.51,0.29,0.72,0.6794,0.35645,1.22,0,-1.134435,-0.6085
1,14.75,-0.287,11.944531075,27.5089239,-0.5318,-2,-1,402.9703701,5.9,90.17205,5.60497,0.2468629,7.102925,4.514,5.34,57.44835,363.15,188.365,37.6685,283.315,335.27,95.625,3.408,2.313,1.6535,1.828,3.023,4.514,0.26,0.71,0.7141,0.36,1.33,0,-1.001045,-0.17
1,15.25,-0.27,8.2743,16.16,-0.0355,-2,-1,403,5.9,90.21,5.3531,0.21013,6.985735,4.366,5.234,59.13,266.585,134.9,31.94,279.303335,332.75165,60.438165,3.276,2.386,1.817,1.87,3.006,4.546,0.2606,0.696991534,0.73,0.32,1.275,0,-0.4834,-0.107
1,15.75,-0.0740677,4.801259389,3.196881507,-0.14177,-2,-1,402.8,5.95,90.22,5.13,0.17752,6.707065,4.3203,5.108,59.64,161.23,90.51,24.645,278.033335,331.185,25.0265,2.861,2.384,1.928,1.933,2.99,4.52,0.23785,0.6558,0.5974,0.29795,1.24,0,0,0.6035
1,16.25,-0.03,2.69,-3.47388,-0.14192,-2,-0.26677,403.8,5.90635,90.231605,4.95,0.23,6.09363,4.1335,4.88735,62.6035,82.345,41.805,11.44835,274.6,328.1,-10.36,2.103,2.05,2.023,1.962,3.008,4.5,0.2005,0.5838,0.53197386,0.24,1.188,-1.0243,-0.06674,1.1345
1,16.75,0.0057,0.389402949,-6.52624,-1.0636,-2,0.2166725,404.9,5.9,90.2512,4.27,0.35022,4.737,3.4525,4.07085,66.0965,27.4855,5.386,1.39015,273.51665,323.85,-43.495,1.5,1.909,2.2455,2.053,3.05,4.54,0.17,0.59,0.52,0.2,1.154367214,-1.12838,-1.0007,1.7485
1,17.25,0.0939,0.22,-4.563,-1.06404,-2.1,0,405.8,5.7,90.27,3.05338,0.37362,3.4073,2.35565,3.1255,68.81,2.429,0,0,280.65,319.52,-46.5015,1.005,1.551,2.225,2.065,3.056,4.539,0.14,0.52,0.49,0.15,1.16,-1.36774,-1.0009,1.647
1,17.75,0.14,0.15,-3.56,-1.17062,-2.1,-0.8,407.95,5.77641,90.30287,2.06,0.425055185,2.51005,1.5,2.08865,70.7,0,0,0,274.20165,316.9,-45.535,0.73,1.269,2.1055,2.08,3.041,4.53,0.1288,0.49,0.54,0.14013,1.16,-1.94837,-1.001,1.215
1,18.25,0.27,0.129,-3.8319,-2.1,-2.75,-1,409.262,5.76185,90.305,1.29,0.37,2.21703,0.749665,1.1623,75,0,0,0,270.2,314.865,-43.785,0.49,1.109,1.915,2.072,3.02,4.49,0.11,0.49,0.48199,0.129,1.132775,-2.05021,-1.36812,1.0125
1,18.75,0.2685,0.276,-3.41,-2.1,-3.1,-1,411.1,5.7369784825,90.30139,0.625,0.390019709,1.52108,0.107,0.54,77.827,0,0,0,271.901665,313.17,-42.785,0.42,1,1.882,2.1,3.016,4.47,0.11,0.44,0.455105,0.11,1.16,-2.05073,-2.0012,1.1695
1,19.25,0.33,0.232,-2.204,-2.1,-3.1,-1,413.4625,5.710257027,90.2963,0.045,0.34,0.900805,-0.276165,0.10233,78.465,0,0,0,272.0333,310.8,-41.87,0.389,0.9,1.7435,2.087,2.999,4.456,0.1052309075,0.46,0.485,0.11,1.0764,-2.05075,-2.00125,1.422
1,19.75,0.34,0.127350212,-2.4121,-2.1,-3.1,-1,414.2,5.6890794895,90.313915,-0.3951,0.34,0.7691,-0.72,-0.3455,80.86,0,0,0,275.73,310,-39.5367,0.34,0.817,1.691,2.062,2.988,4.445,0.1,0.4651425615,0.490184077,0.11,1.08,-2.0505,-2.00195,1.367
1,20.25,0.2555735,0.026,-1.8376,-2.1,-3.08805,-1,414.53376655,5.6,90.34695,-0.8809,0.31,0.2642,-0.949665,-0.789,81.606,0,0,0,269.185,308.16,-36.9,0.235,0.722,1.5875,2.082,2.96,4.43,0.1,0.44,0.51,0.10474,1.113,-2.05067,-2.00204,1.1855
