DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,PA,RH,TA,VPD,T_SONIC_1_1_1,T_SONIC_1_2_1,T_SONIC_1_3_1,T_SONIC_1_4_1,T_SONIC_1_5_1,T_SONIC_1_6_1,T_SONIC_SIGMA_1_1_1,APAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1
8,5.5,607.49588375,-4.92610701704545,8.15437810775033,-3.93222236422774,-7.2076616375,-3.244081875,-6.38827805,-15.8368305,-13.2335691,-29.3132504450938,92.8063583,78.67641,12.37701375,0.1,13.29960645,12.428237175,12.106114,12.641512625,12.73924405,12.0557194,0.064381658,0,0,0.0459769702,325.7945175,373.100275,-54.9335627,-0.078247702375,0.05058556415,0.0819157695119693,0.0303302622541673,0.0452324158115822,0.0235456469658223,0.0328678601522068,0.0416636339148769
8,6.5,606.868255,-7.5080505,8.42026023352607,-7.41651878007744,-7.5977216875,-3.4286297,-6.59679065,-16.043804625,-15.6479497,-27.0982358871822,92.8771026,82.78958,12.14821875,0.1,13.075004475,12.349712825,12.03913975,12.529411,12.6084103,12.0478972,0.066952389875,16.6146728,8.826339225,1.5285417,328.19133125,372.5831025,-16.373530675,-0.06655120275,0.053392702,0.0631820798485157,0.031451878602035,0.0289079792632858,0.0235315885120774,0.0331748424497987,0.0376864637292538
8,7.5,589.568705,-18.4628379545454,8.5401822870682,-9.18989066251819,-7.4842026125,-3.5851149,-6.3152969375,-14.1555495,-12.204855,-28.1111571315592,92.981758175,77.073897875,13.22446375,0.1,14.265098775,13.601647625,13.39105525,13.740615,13.792749,13.143937125,0.1003725765,65.5255492,33.112315,5.231889625,321.25789,383.8170175,22.8557046,-0.08943034375,0.077243315325,0.0710752928242972,0.0349047298191363,0.0237438152803672,0.0231697580783625,0.0328123116344398,0.0255054872317415
8,8.5,580.0207545,-13.7989700909091,8.45487799687428,-8.49894151156967,-6.1350367,-3.62348325,-5.4313663,-10.894550025,-4.61372245,-73.103507634244,92.97347345,73.1802558,15.25268125,0.1,16.111548875,16.015072825,15.759371,15.9840036,15.84350365,15.05577,0.11404041625,149.570485,69.793825,11.267458875,325.5352625,395.16214,53.81431375,-0.1591253,0.11814216,0.125144867528408,0.0577841515481144,0.0388256508100743,0.0338800339980063,0.0452916357621761,0.0430711536777192
8,9.5,570.19246,-21.5610898181818,8.3803466705105,-8.16859315463692,-4.5634075,-3.4629946875,-4.074389475,-6.0186283875,-7.3622641625,2.7825378336304,93.02204855,60.6510281,17.320878,0.429729511750603,18.34745205,18.421714375,17.8040602,18.5075277,18.117538125,16.6995148,0.1343614185,193.9821205,93.31382275,14.677651875,333.27715,409.0325125,76.2919242,-0.24368923,0.14623141825,0.255958925855971,0.0895821369674468,0.0642418067756817,0.0438288598612336,0.0573278616989612,0.0740651370260839
8,10.5,561.31878,-30.6324515909091,7.92664933506776,-5.33575325241072,-2.7602217,-3.04093885,-2.5068869,-2.701423325,-3.95157274999999,-64.5087920270963,93.012256275,53.93542175,19.736469,1.96451389077735,19.7401082,19.980827625,19.42471735,19.9611735,19.9273204,18.69412135,0.166530545,316.0848235,151.1168385,23.48927725,344.9206275,416.03293375,119.3198725,-0.3493923125,0.1788090975,0.22904870126396,0.115559314746853,0.0570829089864656,0.0555137911360705,0.0614290904183712,0.0755961516016564
8,11.5,551.8049585,-26.2350604545455,7.88768928759306,-3.16702484830496,-0.92033446,-2.0573995,-1.082864745,-0.60266075,-6.7098231,49.5687070375799,92.999732,47.86161655,21.6306955,2.64262410753635,20.50891775,20.5612675,19.9814934,20.7114729,20.59767155,19.858162,0.19527019625,401.92957425,185.7605125,26.40407,346.26586375,417.73505,146.00712875,-0.4794144875,0.1992947525,0.254085334874275,0.0978088713070829,0.051107169909837,0.0484932747898197,0.0604207398545949,0.0825723731442557
8,12.5,546.18929975,-27.2405880681818,8.08912849013639,-2.03510582616222,-0.052868314,-1.1494381,0.1300200525,1.242526,-6.5971507875,53.5968315406711,92.9688386,40.75993875,21.8507525,3.23569393645409,21.3314855,20.94359025,20.6745346,21.4055315,21.32994075,20.55208295,0.209630175,378.1254915,185.05011,24.025125,351.86375625,422.33065,150.42222,-0.53010055625,0.198692722,0.163841689544793,0.0787109423685775,0.0526931318369478,0.0504244531518236,0.0599871239246828,0.0739507866358991
8,13.5,541.642515,-29.8891355681818,8.56075864689244,-1.83040977626909,0.85261592,-0.302142855,0.91897409375,2.7408677625,-38.6750568,19.5989070380067,92.95863455,38.58818215,22.2245085,1.75429172805994,21.48471845,21.2235809,20.9108175,21.642338675,21.505862,20.707241875,0.191644365,244.80171,110.95381525,16.154574125,365.998127,422.15632625,82.82603745,-0.55276368125,0.20249947625,0.205075907818725,0.0661925165709987,0.0407765228214409,0.0557903201589878,0.0836921526911714,0.088514374332213
8,14.5,537.0156585,-25.7115119318182,9.05544209655406,-1.62086869744091,1.29152518,0.117447007,1.4188154375,3.58453115,-36.822274375,56.8793452982263,92.9052674,39.243680675,21.0368475,2.22603133792683,21.200804,20.985997625,20.677533725,21.4135368,21.400222,20.552788,0.149596998,265.018131,122.34541475,17.883745375,364.885996,421.56406875,82.479526875,-0.48627587125,0.2095373355,0.222277758796218,0.0672121752222934,0.045021745380034,0.0352379617652324,0.0664749251380647,0.0703717875619715
8,15.5,534.2743345,-24.4523382386364,9.43714740601475,-1.81539392177476,1.5694776,0.47307056625,1.44365625,3.4806962375,-34.4163655,18.5652590683782,92.87480855,39.194183625,20.334263125,2.11532449560714,21.1101878,20.9192879,20.47897005,21.242272325,21.3111416,20.4322352,0.12994344,177.3891655,79.077878,12.32776955,364.9772825,419.3819275,58.22209375,-0.466737125,0.17484688875,0.160649845379216,0.065777333142341,0.0553159624334561,0.0487944227774968,0.0734536109697417,0.0542576889884839
