DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
2,23.75,0.6965,0.6205,3.18375,-6.721,0.65075,0.1985,422.913,404.25,5.1,-12.4075,0,0,-0.59,92.8,2.86675,99.5535,0.3805,0.759,0.7105,1.054,1.755,3.527,0.0235,0.045,0.0845,0.5775,1.68025,2.938,0,-0.00625,0.7866,1.296
3,0.25,0.663,0.777,2.9325,-5.5595,0.579,0.203,422.8855,405.3,6.246,-13.1175,0,0,3.272,92.725,2.493,99.63625,1.746,2.47375,2.76825,2.6325,2.462,3.2645,0.917,0.6545,0.491,1.4355,2.47425,2.73475,0.53575,0.0765,0.6806,1.08835
3,0.75,1.039,0.979,3.55325,-5.404,0.568,0.157,421.6245,405.049,6.2795,-13.66,0,0,2.8985,92.525,2.41825,99.6535,1.708,2.502,2.776,2.62975,2.4445,3.27075,1.01,0.6925,0.4645,1.4525,2.501,2.73775,0.5245,0.038,0.6687,1.14445
3,1.25,0.9245,0.91,2.994,-5.176,0.54725,0.15125,421.38475,405.3,6.171,-12.875,0,0,2.7045,92.25,2.45725,99.67675,1.6585,2.5,2.76925,2.6465,2.3995,3.28,0.99675,0.746,0.46875,1.41625,2.45925,2.7265,0.47425,0.03775,0.6539,1.0756
3,1.75,0.931,0.9165,2.928,-6.312,0.551,0.1575,421.3905,404.125,6.095,-11.6075,0,0,2.7155,92.05,2.38675,99.645,1.5445,2.4435,2.74,2.61375,2.413,3.26525,0.888,0.707,0.4765,1.373,2.413,2.74925,0.38975,0.027,0.6422,1.1089
3,2.25,1.03525,1.0175,3.296,-6.71225,0.5675,0.19675,421.795,405.15,6.089,-11.615,0,0,2.7685,92,2.5075,99.6415,1.60175,2.40625,2.694,2.603,2.4425,3.225,1.0145,0.711,0.46875,1.269,2.499,2.69975,0.36775,0.0165,0.6691,1.1198
3,2.75,0.969,0.92325,3.452,-6.3835,0.568,0.191,422.07575,405.7,6.0715,-12.6875,0,0,2.8165,92.375,2.47425,99.63175,1.59075,2.4265,2.65775,2.604,2.439,3.29225,1.0465,0.744,0.488,1.25975,2.448,2.699,0.3685,0.01525,0.6645,1.0946
3,3.25,0.95225,0.928,3.175,-7.219,0.5715,0.186,421.8295,405.1015,6.046,-12.905,0,0,2.806,92.3,2.493,99.6,1.54025,2.343,2.618,2.59775,2.4615,3.268,1.115,0.6625,0.471,1.31775,2.4505,2.7005,0.36775,0.00375,0.665025,1.087725
3,3.75,1.002,0.96975,3.076,-6.4095,0.58,0.185,422.287,404.7635,6.04575,-12.35,0,0,2.6,92.8,2.495,99.6,1.501,2.29725,2.522,2.574,2.371,3.301,0.916,0.684,0.4785,1.372,2.40775,2.72,0.36375,0.0105,0.6774,1.09635
3,4.25,0.906,0.92025,3.2325,-7.1,0.57125,0.149,422.55,405.4,6.0035,-12.1425,0,0,2.5875,93.25,2.4225,99.6,1.497,2.29575,2.49325,2.608,2.4345,3.272,1.021,0.67475,0.46,1.407,2.392,2.7365,0.3045,0.003,0.6573,1.0979
3,4.75,1.035,0.89925,3.768,-6.882,0.546,0.21425,422.601,403.771,5.97525,-11.36,0,0,2.4455,93.225,2.41775,99.6,1.473,2.25125,2.4685,2.537,2.4785,3.26175,0.79425,0.659,0.4805,1.2095,2.54525,2.7095,0.22775,0.00225,0.6661,1.1022
3,5.25,1.019,0.959,3.262,-6.4935,0.567,0.1915,422.4175,404.175,6.01075,-11.14,0,0,2.3795,93.325,2.415,99.62325,1.494,2.2765,2.43925,2.4935,2.4225,3.32375,0.836,0.64925,0.4435,1.202,2.477,2.736,0.185,0.00125,0.6525,1.1032
3,5.75,1.0045,0.852,3.3355,-7.065,0.557,0.20025,422.40875,405.3435,6.02375,-11.3025,0,0,2.312,94.025,2.49625,99.6765,1.507,2.2205,2.458,2.50925,2.429,3.2835,0.82875,0.6165,0.466,1.199,2.46825,2.73425,0.184,0.00225,0.6663,1.09695
3,6.25,0.97375,0.86325,3.53325,-7.0245,0.57275,0.215,422.421,405.766,5.991,-11.4075,5.57325,0.353,2.163,93.9,2.41725,99.6925,1.5325,2.1935,2.4495,2.48,2.466,3.2485,0.819,0.63975,0.485,1.20125,2.479,2.746,0.184,0.001,0.654125,1.080425
3,6.75,0.79,0.817,3.953,-5.689,0.57,0.16925,422.64575,405.213,5.95775,-5.454,48.6975,4.09775,2.1145,93.55,2.4705,99.7,1.555,2.188,2.4345,2.46475,2.431,3.27525,0.85425,0.71225,0.4835,1.279,2.4805,2.7545,0.184,0.0015,0.664625,1.1099
3,7.25,0.71925,0.72325,5.9355,0.21175,0.5955,0.1615,422.62525,405.025,5.9735,16.2175,170.25,9.795,2.518,92.65,2.55,99.7,1.62075,2.232,2.446,2.506,2.478,3.313,0.867,0.60925,0.465,1.22175,2.5635,2.7335,0.184,0.002,0.68115,1.16155
3,7.75,0.6835,0.72,9.5045,22.86,0.64,0.1355,422.577,403.85,6.03775,66.67,334.4805,17.365,3.0685,90.2,2.6765,99.7,1.629,2.232,2.40275,2.4575,2.515,3.31925,0.79825,0.7035,0.4505,1.1815,2.545,2.71775,0.19525,0.004,0.7449,1.24365
3,8.25,0.654,0.738,13.312,63.152,0.6675,0.107,422.4315,403.125,6.0535,133.875,518.7,25.075,3.64,88.65,2.8905,99.7,1.6965,2.2175,2.3565,2.454,2.51175,3.28875,0.89,0.6285,0.459,1.235,2.478,2.69725,0.3175,0.02325,0.792425,1.32535
3,8.75,0.672,0.72,17.009,119.057,0.7175,0.07325,421.561,402.8,6.07525,216.95,715.65,32.885,4.1095,87.975,3.00575,99.7,1.685,2.252,2.34,2.448,2.531,3.314,0.9465,0.786,0.43775,1.2185,2.56575,2.72475,0.37925,0.14525,0.84545,1.41
3,9.25,0.6475,0.7005,21.432,175.709,0.736,0.067,421.4025,402.8005,6.04825,295.25,895.5,40.373,4.7325,85.5,3.026,99.7,1.66875,2.337,2.3575,2.389,2.5635,3.316,0.982,0.745,0.446,1.30375,2.6375,2.748,0.533,0.181,0.841775,1.4571
3,9.75,0.57,0.652,24.315,217.437,0.767,0.10325,421.60675,401.6,6.08125,369.8,1059.5,48.715,5.223,84.05,3.1905,99.7,1.7535,2.359,2.4,2.373,2.50725,3.229,0.94,0.795,0.46225,1.263,2.566,2.762,0.66275,0.369,0.876125,1.5057
3,10.25,0.6895,0.775,27.59175,259.1095,0.785,0.105,421.52,401.1,6.1175,430,1208.25,54.72,5.771,83.2,3.2875,99.7,1.717,2.388,2.473,2.4135,2.49875,3.2455,1.05225,0.85125,0.506,1.257,2.55525,2.736,0.733,0.5575,0.9027,1.5225
