DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
11,0.75,0.0185125,5.836125,75.6488250000001,13.1015,5.675475,0.593595,25.5646125,24.0830375,101.369,100,13.825015,518.43225,23.7252475,1.9371525,1.78434,0.7173385,0.93089375,0.031435992,4.11280408,0
11,1.25,0.01556,2.86120000000001,107.361599999999,15.871075,6.095093,0.5924363,25.28531,23.48381,101.3647,100,14.31702,506.525725,23.07992,1.813973,1.534729,0.7166327,0.8056962,0.0396055464,3.72326528,0
11,1.75,0.01715,3.403375,126.4776,9.8446,5.73883875,0.579686,24.6953625,22.82405,101.37325,100,12.2626475,508.29455,22.950265,1.56164,1.123875,0.6392395,0.616461125,0.035493976,4.2373604,0
11,2.25,0.02179,6.55340000000001,75.1834999999998,13.1012,5.595595,0.5336025,24.62426,22.50999,101.394375,100,13.8178,505.97095,23.02434,1.434427,1.183916,0.657902,0.8400942,0.0248081736,3.59168544,0
11,2.75,0.0215324999999999,3.561725,39.35,16.238,5.32111275,0.524513325,24.1390475,22.263715,101.397675,100,12.9136,512.9159,22.824,1.3901735,1.2759535,0.66364135,0.631569525,0.0346021088,3.5564704,1
11,3.25,0.01544,1.9284,89.5046249999995,8.599775,5.390284,0.5110075,24.10138,22.08988,101.38325,100,12.011225,505.9629,21.9198175,1.561331,1.533557,0.6619188,0.7505369,0.0364443968,4.15139983999999,1
11,3.75,0.02761,4.6025,59.3198,16.3544,5.936016,0.5996283,23.8783,21.98916,101.38395,100,15.4122325,513.76245,22.5348925,1.680904,1.336838,0.6775214,0.6401508,0.0241425789,3.01126616,1
11,4.25,0.01555,6.03580000000002,77.8792749999998,11.744,5.794371,0.5504429,23.61757,22.17233,101.3902,100,13.20145,497.514425,22.11985,1.647653,1.283617,0.6686994,0.694807,0.0341474056,4.05375712,0
11,4.75,0.01922,3.7287,45.6071999999998,9.84224999999999,5.628904,0.5221689,23.34092,21.72415,101.39335,100,9.95274399999999,492.6433,21.8197275,1.429648,1.379507,0.7127234,0.6508155,0.0313158384,2.62293527999999,3
11,5.25,0.0384400000000001,12.0396,100.66775,8.34899999999999,5.563627,0.5722326,23.24856,21.49086,101.40425,100,10.103405,507.608,21.578545,1.491162,1.296432,0.7535273,0.8729792,0.04001648,2.75529632,43.95
11,5.75,0.03684,5.6048,84.1558999999998,13.247425,5.055294,0.5380858,22.74659,21.38571,101.4275,100,10.7717,498.5249,21.6861,1.4443,1.430056,0.6381243,0.863804300000001,0.033910128,4.51698464,155.95
11,6.25,0.012352,4.35230000000001,100.922475,22.7851249999999,5.25815,0.579595,22.93198,21.46989,101.4438,100,13.736075,502.827125,21.8242525,1.550136,1.207376,0.7021194,0.6412063,0.036111712,3.51252664,330.75
11,6.75,0.026225,16.04765,115.40995,8.04135000000001,5.456694,0.55951985,23.15626,21.47232,101.4688,100,12.1362025,516.358625,21.9927775,1.5759505,1.293831,0.6937991,0.949867399999999,0.029074976,3.97149592,556.75
11,7.25,0.02859,42.9999,118.767124999999,15.4727,5.636041,0.5985058,23.93458,22.17993,101.49275,100,13.0252925,503.29215,22.9807475,1.855866,1.403098,0.7266182,0.9068304,0.0305186335999999,3.86379448,822.5
11,7.75,0.000302124999999986,78.441975,145.303975,15.2505,6.02065025,0.6025549,24.5506325,23.0569875,101.5071,100,11.7835,504.04035,23.4321,1.59081725,1.4364935,0.7413727,0.790083775,0.03097136,3.4196064,1109.45
11,8.25,-0.00296975000000006,122.226025,161.1666,4.448,6.73497299999999,0.706963799999999,25.51916,24.3608625,101.5147,100,13.28923,470.9018,23.29717,1.83351225,1.46787225,0.799899275,0.84254255,0.033021184,4.16618272,1350.75
11,8.75,-0.02513,177.7443,224.1973,6.77109999999999,7.27207575,0.702775225,27.3422175,25.574025,101.5264,100,15.62714,466.921875,23.79804,1.81335625,1.579425,0.822737575,0.865025025,0.027648712,3.08055552,1620
11,9.25,-0.02564,221.9744,245.055,4.92662500000001,7.204746,0.73085025,28.308375,26.629085,101.526175,100,17.6214,445.82975,23.87705,1.888264,1.7122335,0.921648549999999,0.9148652,0.01801878975,3.3038936,1830.95
11,9.75,-0.0313050000000001,259.5517,278.857,4.24625,7.4281205,0.72548505,28.81573,27.596495,101.517,99.361775,18.325975,438.118925,23.69405,1.8664465,1.619292,0.86868785,1.0433785,0.0316995952,2.0959456,1959.15
11,10.25,-0.0229450000000001,303.94195,306.931,4.07879999999999,7.056275,0.71304205,30.1562525,28.72513,101.512825,99.3229199999999,20.23102,441.59485,24.08502,1.91479425,1.67907275,0.8409815,1.17376125,0.022472473475,2.76325504,2108.35
11,10.75,-0.0161550000000001,347.31405,333.24325,6.35739999999998,7.2181105,0.7057424,30.903675,29.45464,101.50245,100,22.581755,440.4458,23.190535,1.94331175,1.77469175,0.923653725,1.29149325,0.022907817,3.125528,2151.075
11,11.25,-0.026025,359.435875,365.55465,3.1207,7.5539725,0.708201,31.6460375,30.0057,101.4888,99.6479725,24.55148,450.723925,23.986875,1.85095875,1.77393875,0.853483125,1.39268375,0.0398080199999998,4.02712519999999,2137.625
11,11.75,-0.0307875,381.18925,405.2465,4.043725,7.47676875,0.802934,32.3243875,30.6887875,101.48875,95.002275,26.699575,453.52365,23.1299,1.8965,1.7448875,0.905862875,1.39753875,0.0280506912,2.6854296,2138.85
11,12.25,-0.0130825000000001,391.049325,408.9368,5.64025000000001,7.60551125,0.734709525,32.71085,31.2132575,101.47015,96.653825,27.65365,438.349625,23.029325,1.92141,1.74374075,0.909329074999999,1.38211,0.0296023056,3.3747504,2146.175
11,12.75,0.0104569999999999,420.7731,423.826475,3.916625,7.655531,0.76830565,33.365135,31.63639,101.4292,95.544195,29.213625,434.32005,23.0078,1.8982155,1.9327245,0.91141225,1.489155,0.01234709505,2.46120896,2114.925
11,13.25,0.0064234999999999,390.3128,423.684575,5.26305000000001,7.3829975,0.77923525,34.024635,32.19619,101.3892,91.3216025,30.3869525,422.907875,23.2045125,1.9548125,1.8988175,0.91825815,1.401844,0.01382079175,1.21248708,2085.025
11,13.75,-0.0159550000000001,386.50115,440.48875,3.09645,7.2097635,0.748044625,34.1647625,32.5242,101.36735,91.955375,31.88625,426.8968,23.029925,1.9283645,1.80208025,0.900509824999999,1.3703265,0.0261915976,2.78538904,2021.425
11,14.25,-0.00976799999999994,361.6408,404.7315,4.356,7.093515,0.7541237,34.30581,32.83242,101.3383,92.66995,33.06775,423.75025,23.485025,1.961209,1.834231,0.9069688,1.346334,0.02300282875,3.6378328,1930.875
11,14.75,-0.026985,354.9592,400.443975,10.60575,7.0507375,0.7671646,34.67632,33.06547,101.303,89.7691175,33.2520475,438.1183,23.4149025,1.9249005,1.8194775,0.87559,1.2575025,0.0209294344,3.77718935999999,1831.05
11,15.25,-0.03446,306.8356,377.26965,6.90529999999998,7.144557,0.7339796,34.93271,33.21614,101.28645,86.093695,33.6672625,419.6765,23.627485,1.898091,1.853663,0.8850603,1.24,0.0188423334999998,2.44896080799999,1706.7
11,15.75,-0.0123550000000001,285.38525,372.615,18.039925,7.3687695,0.74590935,34.88543,33.461035,101.2543,82.34604,34.29504,419.288225,21.566,2.055684,1.8738045,0.8769535,1.206534,0.0286752424,3.98539456,1519.875
11,16.25,-0.00718899999999994,238.1429,333.7202,22.064725,7.513626,0.7643606,34.93785,33.42534,101.23355,82.5620999999999,34.17184,438.98975,21.8775,2.011608,1.784085,0.8899635,1.050217,0.03133676,4.75444031999999,1314.25
11,16.75,-0.0126200000000002,195.78165,311.7888,16.67915,7.32767975,0.765710325,34.98025,33.337685,101.2136,85.61142,34.53728,451.9882,22.12952,1.92096675,1.7161405,0.870269275,0.905598224999999,0.0260592584,2.08414169599999,1106
11,17.25,-0.027065,156.08485,255.6699,14.97575,7.09413075,0.7325324,34.7863325,33.199555,101.1531,87.20925,34.27185,456.2844,22.390575,2.0426455,1.674486,0.906020375,0.777630374999999,0.025417504,3.5765632,897.925
11,17.75,-0.01289,108.17515,228.3135,8.53372499999999,7.01291975,0.750627625,34.7800225,32.9081675,101.19425,89.294575,32.114775,457.61245,22.697775,1.991263,1.62776225,0.899914525,0.664398675,0.0304140816,1.90114008,699.925
11,18.25,0.00188199999999995,63.81445,191.28075,12.6489999999999,6.82522225,0.754863425,34.0712375,32.5753,101.15005,91.46954,31.30459,432.5366,23.16448,1.97909725,1.86088175,0.9317732,0.668222225,0.022465314,2.512052144,490.4
11,18.75,-0.00361925000000001,26.742775,160.2854,7.6615,6.05727325,0.73444335,33.3739125,31.8014475,101.15425,91.18868,29.50898,452.2305,23.17422,2.01705125,1.806541,0.883964099999999,0.703032324999999,0.023554888,2.63676313599999,301.55
11,19.25,0.00571,8.074875,100.8208,10.5595,6.3376525,0.606666125,32.1974875,30.1694375,101.20175,92.95987,24.2238125,459.59775,24.96377,1.71561625,1.51503125,0.791532625,0.826427375,0.027920312,2.79175792,136.925
11,19.75,0.008101,7.70460000000001,89.354,9.7994,6.074906,0.6291386,30.61376,29.13693,101.21605,96.7295,21.543775,438.1905,25.300675,1.864123,1.529509,0.7220387,0.9596512,0.0226398951,3.0395848,28.925
11,20.25,0.0183625,14.034625,122.8884,11.89,6.44348875,0.695332,29.8992625,27.82035,101.230375,100,18.81217,452.2635,24.7983,1.78768,1.390315,0.75912525,1.0919325,0.0281555904,3.64882783999999,0
11,20.75,0.02345,13.8115,67.31025,16.046275,6.086166,0.5966222,28.5701,27.0299,101.2583,100,18.0507,471.4088,24.9264,1.623285,1.298048,0.7355962,1.0125276,0.0376015359999999,3.1476648,0
11,21.25,0.01658,12.7941,78.5054000000001,10.62725,6.092126,0.6142049,27.99698,26.34448,101.28165,100,17.5899575,488.2865,24.5814925,1.662866,1.250549,0.7039409,1.046608,0.0267862,2.33234960000001,0
11,21.75,0.02298,14.4079,52.4011999999998,13.43875,6.423985,0.6123687,27.85339,26.18174,101.32115,100,16.6338225,498.9655,23.8339525,1.700717,1.324878,0.785354,0.8520581,0.02919112,1.92986029600001,1
11,22.25,0.0177375,14.239125,76.8213750000001,19.5701999999999,6.25438875,0.6641485,27.5362875,25.7226375,101.353625,100,15.9481925,483.8494,23.8399175,1.7095375,1.63008125,0.7601365,0.981796125,0.0328864479999999,1.701723968,0
11,22.75,0.01813,12.2539,60.1471499999999,10.5572,6.283484,0.6545084,27.41191,25.53466,101.3778,100,16.04196,495.5605,23.42446,1.798755,1.445931,0.8081262,0.7492126,0.0211161605,2.15869292799999,0.924999999999983
11,23.25,0.019085,6.50449999999998,64.8185999999996,12.8698,6.2276645,0.6155234,26.438715,24.912535,101.3779,100,15.45108,491.7688,22.969,1.642496,1.3797995,0.76881995,1.134578,0.0219579942,1.421622272,0
11,23.75,0.0166,7.30010000000001,69.3899,18.2886,6.503753,0.6825132,26.10376,24.39815,101.36815,100,15.8509,487.197125,22.96965,1.787959,1.425716,0.7755258,0.9967051,0.019907427525,2.2948296,0
12,0.25,0.01868,5.96640000000001,69.4526,14.03615,5.715106,0.5673784,28.11904,26.64344,101.2006,100,14.75424,511.936,27.39313,2.123252,1.491456,0.6879154,0.897319200000001,0.025106368,2.94988534400001,0
12,0.75,0.0305025,11.31525,102.557075,16.415975,5.42256075,0.60004655,27.541925,25.9113125,101.201625,100,15.1526725,523.920875,27.39341,2.0182845,1.51754925,0.699057875,0.970469825,0.02862034,3.22385504,0
12,1.25,0.0172325,7.355875,65.307125,15.0415,5.6191015,0.620781825,27.163235,26.20879,101.20595,100,14.8388,516.3676,26.3558,1.7239715,1.6910635,0.7385271,0.8360439,0.0322266448,1.88352416,0
12,1.75,0.0182475,7.82775,63.786,14.8181,5.86034425,0.55581785,26.87188,25.4784775,101.211575,100,14.1667675,522.9274,26.28715,1.5506435,1.3141625,0.680772875,0.807875,0.0257199264,2.240433384,0
12,2.25,0.02506,9.23364999999998,160.63265,11.976,5.772246,0.597920800000001,26.66308,24.94654,101.2038,100,15.3433075,520.526,26.25969,2.08724,1.606006,0.7424736,0.941076200000001,0.0300251728,3.01697984,0
12,2.75,0.0258825,3.979,70.3596999999998,13.8958,5.884935,0.586198325,26.2990925,24.9110175,101.17775,100,15.39445,506.22625,26.796615,1.799933,1.3333405,0.70008215,0.76574855,0.023791712,2.80211288,0.625
12,3.25,0.0214000000000001,6.63654999999995,63.884875,16.364,5.541366,0.624232200000001,25.94194,24.91272,101.1544,100,12.0990875,502.7632,26.77358,1.64064,1.421248,0.696897,0.744060000000001,0.0344680672,1.46687609599999,0
12,3.75,0.0245325,7.596375,92.7631499999997,16.0276,5.31048425,0.567683875,25.9499025,24.7154425,101.154975,100,12.73941,504.79715,26.5468,1.80411575,1.407743,0.7411098,0.85291655,0.023374288,2.286152064,0
12,4.25,0.0211375,4.80625,102.3307,16.8055,5.166344,0.587901025,25.6646075,24.6539125,101.1484,100,13.291485,508.4087,26.255375,1.7475115,1.638524,0.686516375,0.7655019,0.018508958975,3.88196928,0
12,4.75,0.02126,8.00534999999995,82.9964,12.6486,5.315358,0.6440554,25.38806,24.0101,101.1461,100,14.4708875,499.96375,25.704,1.80386,1.292522,0.7294032,0.8568012,0.021869512,4.0387704,1.25
12,5.25,0.0331399999999998,7.11499999999998,62.65705,15.445925,4.877556,0.567920149999998,25.31235,23.603185,101.153875,100,14.26759,527.5618,25.8648175,1.5984905,1.2632975,0.704022399999998,0.77161065,0.0420169344,3.14120855999999,7.625
12,5.75,0.0328025,4.85589999999999,89.681,11.2207,4.7539785,0.578627375,25.53064,23.7635525,101.166125,100,14.0564975,520.146125,25.99527,1.5841285,1.28900125,0.711433724999999,0.7033669,0.0342749792,3.3434716,69
12,6.25,0.0218375,8.25885000000002,46.645225,8.8162,5.1391755,0.571861749999999,26.046625,24.026965,101.1735,100,12.79982,517.8656,25.648175,1.629366,1.4232485,0.672367549999999,0.742014399999995,0.032443712,2.4483816,232.75
12,6.75,0.00654349999999996,17.5798,81.5715249999999,10.3572,5.1097725,0.554517049999999,26.408005,24.88458,101.171875,100,11.990075,498.440375,25.905575,1.619303,1.550528,0.719082749999999,0.867975049999998,0.025843076,2.874102,408.25
12,7.25,0.00906024999999998,55.9739,116.1835,6.75452500000001,5.431352,0.565926,27.34912,25.27428,101.1841,100,13.803955,484.64725,25.95964,1.82871,1.484816,0.70247,0.8477166,0.0275083144,2.15012392,641
12,7.75,-0.00825475000000002,102.404125,159.1706,7.96175,5.8280045,0.6145447,27.8192925,25.872095,101.2105,100,12.6616,463.42105,26.4869,1.69267775,1.472241,0.707140975,0.811367125,0.0208978612,1.31894336,777
12,8.25,0.0102539999999998,150.54,201.4294,4.7808,5.9566125,0.63113265,28.71848,26.82521,101.2188,100,13.8492125,453.074325,27.3930375,1.7022285,1.467025,0.7602998,0.83928325,0.0216249027,1.537874352,1040
12,8.75,-0.0131125000000002,203.910575,232.84965,5.61199999999999,6.42000125,0.676335725,30.229245,28.143655,101.236625,100,16.5630725,459.828125,28.0279225,1.78596025,1.50999225,0.81401395,0.9341779,0.01656562695,2.9696436,1270.75
12,9.25,-0.009855,262.52235,256.466225,5.85455000000001,6.722745,0.697773625,31.2792875,29.2598,101.2046,99.04066,18.27322,436.51,27.56181,1.82121,1.57611375,0.799128625,1.06983,0.0160049899999999,3.55953068800001,1476.5
12,9.75,-0.00946700000000003,305.98605,311.946,7.45665000000001,6.991318,0.7273643,31.92837,30.34204,101.1742,95.63196,21.0685275,429.629,27.835045,1.921005,1.631117,0.8301741,1.197987,0.009070096,1.755235776,1680
12,10.25,-0.01364,345.05665,358.616775,4.111,7.271232,0.7439702,33.08933,31.36134,101.145625,90.816275,23.9954375,428.4038,29.0559025,2.028635,1.697595,0.8575718,1.26642,0.0133831307,2.69228624,1846.5
12,10.75,0.0104475000000003,382.00745,405.3104,4.66,6.9825855,0.754056975,33.848385,32.3058875,101.1364,90.58528,26.9944475,423.298025,28.5524375,2.0330405,1.71776625,0.876084675,1.352126,0.00962866557499999,1.67045956,1969.75
12,11.25,0.0142779999999995,382.73895,422.55355,4.316,6.972279,0.7860829,34.78835,33.14217,101.1286,89.1456625,29.3905975,424.3541,28.5696425,2.01434,1.856345,0.8790136,1.4312,0.0150501168,3.04169319999999,2013.5
12,11.75,-0.00959124999999995,411.98645,473.223025,5.10429999999999,7.32201575,0.76534215,34.8844725,33.499465,101.1168,88.86136,31.09562,418.828875,28.63127,1.99379175,1.80892425,0.884029775,1.525406,0.0071774067,1.545399968,2051.375
12,12.25,-0.01995,442.24925,494.1438,5.18675,7.24560625,0.751823,35.965825,34.2611875,101.1022,86.099975,32.7127875,425.0394,28.5400625,1.9938275,1.88078125,0.8814205,1.50695,0.0215952825999999,2.8466788,2080.875
12,12.75,-0.01085,432.54075,503.1653,4.0321,7.3395675,0.754276125,36.5152,34.6763,101.0965,85.81905,33.9731075,417.174,28.72273,2.02788375,1.9302225,0.8827375,1.5124525,0.00899512875,1.777978384,2125.5
12,13.25,-0.0184500000000001,432.765,509.427475,5.7601,7.644884,0.75188425,36.946375,35.12799,101.0642,82.62107,35.24328,415.61995,29.31476,2.0080495,1.8983795,0.88926485,1.540583,0.0091677477,1.861112064,2121.9
12,13.75,-0.0203,428.03555,548.188625,5.199575,7.27291,0.7523594,37.1431,35.61017,101.05165,81.671935,36.647545,417.58185,28.553685,2.015559,1.85866,0.8737149,1.518961,0.0141310068,1.901777248,2091.3
12,14.25,0.0153289999999998,424.8427,523.8121,4.5949,7.1393495,0.72367755,37.284725,35.71923,101.021625,81.3707875,38.3995375,415.75475,28.232125,2.09316675,1.86872675,0.8605277,1.493396,0.014671492875,2.02169828,2035.5
12,14.75,-0.0156275,409.7883,543.0925,4.1788,7.26130075,0.73666855,37.50164,36.17714,100.972175,82.289785,39.75889,413.7575,27.75984,1.979386,1.8912315,0.8240714,1.44828625,0.00922029002499999,2.54414776,1933.6
12,15.25,0.00473599999999989,373.655,500.3407,4.505,6.834638,0.7214221,37.76271,36.4248,100.933125,78.8607375,39.6082375,413.972925,27.4729875,2.0155065,1.893821,0.85790565,1.405913,0.00895042864999999,2.3287516,1818.65
12,15.75,-0.0164,345.135575,457.50615,4.189,6.93602375,0.72031985,37.844655,36.505545,100.9347,82.591455,39.8866425,421.093075,28.663865,1.96437125,1.79140775,0.836687624999999,1.326483,0.010350203925,2.75596512799999,1634.1
12,16.25,-0.0114,305.5792,453.26615,4.36765,6.907339,0.7117902,37.97654,36.47826,100.9262,83.12176,39.92407,418.9081,28.78861,2.022842,1.818258,0.886288099999999,1.211165,0.0207486208,2.258431168,1440.3
