DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
2,2.75,0.119,0.113,3.984,-7.94,0.206,0.0105,430.978,4.8375,-18.4855,0,-1.1095,0.0475,261.8035,294.661,-3.7245,83.4,2.413,99.198,-0.0925,-0.106,0.1285,1.2535,-5.3275,0.5673,0.29,0.5903
2,3.25,0.198,0.208,2.096,-8.3765,0.212,-0.011,431.649,4.8955,-16.7635,0,-0.916,0.02,270.525,296.0255,-3.916,83.5,2.151,99.176,-0.0925,-0.1055,0.1285,1.2525,-5.481,0.5609,0.3183,0.6291
2,3.75,0.108,0.1205,4.917,-9.33,0.215,-0.013,432.373,5.094,-16.441,0,-0.951,0.068,269.873,296.181,-4.079,85.4,2.431,99.103,-0.0925,-0.1055,0.1285,1.2525,-5.4955,0.6006,0.3193,0.6483
2,4.25,0.079,0.055,2.546,-9.283,0.23,5e-04,432.9315,5.1675,-16.781,0,-0.8675,0.0395,271.306,297.8,-3.776,86.85,2.525,99.099,-0.0925,-0.1055,0.128,1.2515,-5.563,0.6575,0.3264,0.5922
2,4.75,0.09,0.1205,2.713,-10.663,0.205,0.004,432.339,4.963,-17.7415,0,-1.193,0.0695,267.6175,296.983,-3.91,85.6,2.304,99.1,-0.092,-0.1055,0.128,1.251,-5.571,0.5702,0.3316,0.6308
2,5.25,0.093,0.02,2.796,-9.652,0.2105,0.013,431.42,5.141,-20.3615,0,-1.119,0.0485,269.2835,298.4925,-3.858,86.1,2.391,99.137,-0.092,-0.1055,0.128,1.2505,-5.582,0.5693,0.3102,0.6031
2,5.75,0.214,0.101,1.464,-8.8395,0.235,0.008,431.889,4.966,-15.3605,0,-1.007,0.027,271.3895,297.7465,-3.8645,85.3,2.29,99.088,-0.0925,-0.105,0.128,1.2505,-5.5925,0.6725,0.3341,0.6439
2,6.25,0.15,0.148,2.823,-10.429,0.2425,0.0045,432.373,5.116,-15.391,0,-1.0375,0.035,272.0125,297.37,-4.18,83.7,2.411,99.1295,-0.0925,-0.105,0.1285,1.2495,-5.638,0.6953,0.3885,0.7264
2,6.75,0.276,0.125,4.185,-7.309,0.2645,0.021,431.7335,5.0685,-15.675,0,-0.4995,0.146,270.7525,296.764,-4.1525,83.05,2.473,99.0955,-0.0925,-0.1065,0.1285,1.2495,-5.734,0.7184,0.3895,0.7814
2,7.25,0.1525,0.235,1.262,-8.698,0.2545,0.013,432.088,5.376,-12.3045,2.545,5.394,2.6405,268.288,296.5565,-4.1605,83.55,2.6915,99.0775,-0.0925,-0.1085,0.1285,1.2485,-5.715,0.797,0.391,0.77655
2,7.75,0.1445,0.08,4.218,-5.5365,0.2675,0.01,432.385,5.362,-2.072,35.2,26.897,12.9545,268.59,299.51,-4.2,83.05,2.7555,99.0595,-0.0925,-0.108,0.129,1.2485,-5.611,0.7113,0.3876,0.7714
2,8.25,0.058,-0.015,5.17,-4.802,0.2945,0.0245,432.4065,5.527,9.2495,112.2,72.521,32.913,271.9155,300.9845,-4.112,80.5,2.7535,99.095,-0.0925,-0.108,0.1295,1.248,-5.545,0.85135,0.43465,0.8751
2,8.75,0.0415,0.018,9.268,-5.836,0.3125,0.009,431.968,5.206,34.576,200,129.201,61.1375,268.545,303.689,-4.084,79.125,3.0095,99.112,-0.0925,-0.108,0.1295,1.2495,-5.353,0.922,0.476,0.9606
2,9.25,-0.252,0.029,14.523,1.357,0.305,-0.01,431.375,5.426,49.405,324,171.1965,79.095,271.553,307.627,-4.015,77.515,3.182,99.099,-0.092,-0.108,0.129,1.25,-5.3095,0.9348,0.4965,1.0127
2,9.75,-0.265,-0.048,17.735,5.797,0.328,-0.016,431.27,5.444,76.339,484.8,252.738,118.518,265.818,309.3695,-3.6225,76.225,3.409,99.094,-0.092,-0.1085,0.129,1.2505,-5.101,1.04415,0.4748,1.00785
2,10.25,-0.228,-0.23,23.5735,10.03,0.3515,-0.0265,430.674,5.415,91.284,605.7,302.268,144.3755,269.0035,312.0305,-3.3205,73.92,3.4155,99.098,-0.092,-0.106,0.129,1.2515,-4.922,1.0375,0.4973,1.093
2,10.75,-0.336,-0.317,25.612,13.26,0.355,-0.006,430.0675,5.5295,110.7255,725.3,388.603,154.4005,267.526,314.1635,-3.1175,72.415,3.621,99.0845,-0.0915,-0.1065,0.129,1.2515,-4.4325,1.10135,0.5108,1.1516
2,11.25,-0.256,-0.082,32.282,13.953,0.3645,-0.008,430.6995,4.9935,121.203,826,447.5295,169.595,257.83,315.1995,-2.904,70.065,3.8495,99.0965,-0.0915,-0.107,0.129,1.2515,-4.014,1.17745,0.5271,1.2166
2,11.75,-0.257,-0.259,35.4445,21.713,0.348,-0.032,430.284,5.057,119.2255,926,461.84,164.56,256.73,317.897,-2.508,69.1,3.661,99.1305,-0.0915,-0.107,0.1285,1.253,-2.5245,1.13395,0.5163,1.2429
2,12.25,-0.178,-0.144,35.753,26.538,0.3945,-0.012,430.328,4.955,124.465,989,401.9795,157.604,254.5515,318.7,-2.1745,68.185,3.904,99.112,-0.091,-0.107,0.1275,1.2535,-1.62,1.1554,0.5127,1.2821
2,12.75,-0.192,-0.222,38.148,23.873,0.364,0.0145,431.022,4.8225,104.4435,934,343.8145,145.257,268.057,319.108,-1.6325,67.935,3.9025,99.0875,-0.0905,-0.1075,0.1265,1.253,-1.0105,1.1418,0.5213,1.2302
2,13.25,0.0475,0.09,35.171,25.644,0.36,-0.0045,430.963,4.892,102.455,844,410.319,146.1865,266.6175,318.2355,-1.3575,68.795,4.0045,99.028,-0.09,-0.107,0.1265,1.2535,-0.6455,1.112,0.5438,1.3015
2,13.75,-0.222,-0.202,31.233,27.607,0.382,-0.0115,430.3195,4.863,78.818,831,381.8865,117.6375,270.6505,317.7985,-1.3245,69.485,4.219,99.0355,-0.09,-0.1075,0.1255,1.255,-0.3275,1.1686,0.5274,1.3015
2,14.25,-0.118,-0.104,32.4895,18.093,0.373,-0.017,430.368,4.93,64.4395,759.8,304.7245,99.206,266.97,318.1285,-1.6365,70.345,4.209,99.068,-0.09,-0.107,0.1255,1.255,-0.2435,1.15955,0.5181,1.23355
