DOY2,HR2,FC_1_1_1,LE_1_1_1,H_1_1_1,SW_IN_1_1_1,VPD_1_1_A,RH_1_1_A,TA_1_1_A,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_A,WS_1_1_1,PA,LW_IN_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,TA_1_1_1
1,6.25,-1.7966125,0.73002385,-20.208626,-3.910417725,0.029567071,60.89958625,-21.12754925,0.0554666325,345.72576,0.5050781025,0.401611965,95.74401575,151.0943,62.135575,0.04870927425,0.5589557325,-19.96561075
1,6.75,-2.63236625,-2.891268825,-22.016888,-3.683917575,0.0072083238,61.667269,-21.0368805,0.05963848,345.92449,0.511198395,0.551961,95.77386075,149.93975,61.63545425,0.0481542675,0.558540995,-19.9777535
1,7.25,-3.46812,-6.5125615,-30.76539625,-2.60133315,0.03059673,60.588705,-21.5925905,0.066280425,345.88768,0.5229491275,0.48976972,95.78317925,151.73831,60.2536525,0.047560575,0.56155555,-23.55589
1,7.75,-2.704075,-2.4656425,-7.063461675,0.4031666425,0.00765975712500001,59.9231645,-21.834951,0.0885300625,346.44253,0.52433787,0.5225969,95.81733925,151.4713,59.0179495,0.0476615405,0.56781818,-23.053925
1,8.25,-1.94003,-0.199541950000001,-8.175295375,5.5895827,0.035877502,58.8983105,-21.8434665,0.0701363375,345.90581,0.5395289975,0.510369745,95.83403125,150.75601,57.90941125,0.04422730375,0.5274385575,-23.64642625
1,8.75,-8.6424525,0.2103245175,-21.994214,13.19791425,0.035445402,57.496033,-20.841517,0.05955348,338.2985325,0.5437888375,0.740004475,95.872758,152.29699,56.7145825,0.0351366975,0.5527564875,-21.89914
1,9.25,-7.555025,-0.781081892499999,-35.05461775,22.0320785,0.02516544,56.6240475,-20.0824145,0.0833569725,332.165085,0.5521279675,0.69581518,95.913617,152.6573,56.066435,0.0247347675,0.5600026,-21.64714125
1,9.75,-7.521485,-0.45783727,-11.96215325,24.90091425,0.02439583925,55.608334,-20.047529,0.06769137,334.437755,0.56780406,0.39309921,95.88973525,153.54431,55.1626575,0.02434355375,0.5760058,-20.93690875
1,10.25,-5.478365,-2.936087625,-49.095061,32.50633575,0.023948002,54.8933375,-19.21609625,0.07626367,334.877065,0.58237938,0.48716152,95.87275275,154.32932,54.658898,0.023529079,0.586895425,-20.736196
1,10.75,-4.4413975,-1.52117925,-37.95724,33.98708575,0.0242517645,50.776074,-18.930556,0.0692438,332.5444825,0.5765524825,0.5158958,95.84244425,155.02532,50.51001,0.02284956,0.56783338,-20.12384
1,11.25,-5.75818,-5.0194903,-22.20982875,34.06891575,0.024714516,50.1442575,-18.654163,0.06890464,333.20419,0.578757545,0.6200571675,95.83118725,156.0253,49.804603,0.024690768,0.556585415,-19.272508
1,11.75,-5.76971,-1.83870075,-37.50466,45.70366425,0.026320982,47.9582895,-18.38318575,0.055987195,333.70896,0.5854842875,0.633273875,95.83843325,155.861765,47.7284,0.026087593,0.54303464,-18.6784515
1,12.25,-5.791635,1.56828558,-36.71084125,47.24525575,0.02625547675,46.100016,-18.041219,0.07396395,334.41899,0.5685651775,0.653645315,95.83225,156.2803575,47.257509,0.026282227,0.5546522,-18.2219215
1,12.75,-3.88816,0.72880944,-29.518774,45.99341575,0.026623773,45.95646,-17.907928,0.059388225,331.06495,0.5687525175,0.75995192,95.78854475,156.8657,45.94661125,0.02657221675,0.551662545,-18.26030775
1,13.25,-4.3489725,4.219496625,-48.11794875,45.05808425,0.029119494,44.55836575,-17.761221,0.073805005,331.01825,0.5812140675,0.6699612,95.7563625,157.3493925,44.53789525,0.02813347775,0.5656374175,-17.99220625
1,13.75,-3.442675,1.30450165,-41.624208,40.60175,0.0377186995,43.56523275,-17.49051,0.06767456,331.9087,0.5882229425,0.51559572,95.7438775,158.3787,43.43865975,0.03296447225,0.5620389725,-17.76777875
1,14.25,-3.5668425,1.3528851175,-34.72546,30.29208575,0.0329043175,43.1681595,-17.1242105,0.06296375,331.88564,0.6019503,0.67132619,95.76432175,159.66545,43.0162865,0.03173355925,0.566062945,-17.92828025
1,14.75,-3.297525,0.174833622499999,-45.14435,23.6324085,0.03913355,43.50720875,-16.817805,0.05813739,334.40062,0.6060125425,0.7388551,95.80832375,159.6396225,43.076651,0.032117032,0.5769569,-17.7829615
1,15.25,-3.239765,0.279408032500001,-36.026164,12.375001,0.03166219225,44.419904,-16.5756315,0.0768950225,334.22914,0.6187724225,0.7859157925,95.8295175,159.6211075,43.992833,0.03162697775,0.5955536,-17.6213675
1,15.75,-2.374625,-0.0247482075,-31.43903975,8.002667,0.0392860645,42.5133445,-15.96112025,0.06096282,334.55149,0.6262542,0.7571246925,95.84257625,159.2031075,43.21221675,0.04066961975,0.58065846,-17.287785
1,16.25,-2.30801,-0.7784055975,-13.427285,1.8736662,0.051576377,43.189711,-16.001321,0.041173655,332.73025,0.628045435,0.70035942,95.86340025,160.2342,43.337242,0.054000666,0.5938264275,-17.705856
1,16.75,-2.83311,1.0760176825,-17.357398,-2.48391685,0.05138333175,44.9642475,-16.26219125,0.06687828,346.1538325,0.627588465,1.11939951,95.8910785,160.2350775,45.2970685,0.0575159075,0.5966773,-17.30851
1,17.25,-2.055025,0.288569075,-8.6075012,-4.185167425,0.05088005,44.82448,-16.4234675,0.0574819025,346.305175,0.614714885,1.2704354,95.89665225,159.0547,46.61353225,0.05281326875,0.64458406,-17.679219
1,17.75,-2.3574,0.847057800000001,-12.01705015,-4.33800085,0.050313258,48.32979,-16.19507,0.0637016,347.61587,0.61160846,1.0989174,95.906904,159.4389225,51.3588035,0.0557335825,0.639896125,-16.28157
