DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
1,13.75,9.415175094,7.120184836,0.10395138175,-0.563829675,-0.972845,1.5963904075,40.34812,-12.22844,-12.383995,45.17821625,0.435265114,65.3103525,0.4824896,6.839769,395.0732668,2.202831747,-7.96019125,273.261641675,-8.5295,-8.206,-6.9225,-7.64775,-7.43525,-6.462
1,14.25,8.14319996825,5.526154134,0.0766762885,-1.871623,-2.955512,1.14865685825,25.44669,-11.996005,-12.31714,46.06310904,0.4321472045,65.28714,0.493513475,6.81984425,395.20682275,2.20344620975,-7.8329765,214.968899975,-8.476,-8.23825,-6.913,-7.684,-7.40025,-6.45475
1,14.75,5.27062233,1.402506627,0.04183283025,-3.6973605,-5.9852365,0.4545097355,10.439385,-12.22195,-12.3304075,46.676025465,0.393349128,65.3053,0.504930275,6.77318625,395.123033475,2.2433275815,-7.78214825,169.8792165,-8.46625,-8.2335,-6.91325,-7.70975,-7.38075,-6.48525
1,15.25,4.01624066125,-2.007160257,-0.033360767,-6.757735,-10.4269525,-0.32480544975,-5.0391825,-12.1663375,-12.2643025,46.483275365,0.376827697,65.30537,0.49460355,6.65665475,395.41748555,2.2592790205,-7.7320615,101.874060675,-8.45575,-8.2755,-6.91075,-7.7735,-7.36925,-6.46475
1,15.75,2.40156055275,-8.4131566995,-0.060997648,-11.01404,-15.7110775,-1.901793361,-29.24585,-12.309135,-12.58862,46.23141001,0.37001965075,65.31601,0.477141,6.32330375,395.1591042,2.195712657,-7.7112115,61.01428333,-8.43325,-8.28175,-6.90275,-7.8305,-7.33575,-6.43275
1,16.25,0.48358798275,-21.60110818,-0.132708806,-17.071625,-21.05526,-3.61747309775,-58.720165,-12.4375275,-12.98931,47.1302743975,0.35551136925,65.3283225,0.4918,6.20799375,394.992689575,2.1856358105,-7.61794825,19.799817835,-8.3825,-8.27,-6.91175,-7.916,-7.32675,-6.42225
1,16.75,-0.190501015,-36.05028302,-0.2237815265,-22.7019725,-28.2051725,-5.43533982875,-73.856485,-12.476835,-13.180375,46.583570245,0.3536903955,65.36614,0.4645318,6.01610075,394.6944611,2.126331921,-7.56414975,4.537756083,-8.375,-8.2625,-6.88875,-7.92,-7.32475,-6.41225
1,17.25,-0.33728226,-43.410057045,-0.20947069425,-25.375595,-31.65662,-7.10518450025,-79.56988,-12.80602,-13.188275,47.590594035,0.333596987,65.349045,0.4803108,6.788567,394.708330425,2.093926389,-7.571989,0.10148675,-8.365,-8.22825,-6.86025,-7.88,-7.33025,-6.3755
1,17.75,-0.613125455,-45.35288487,-0.235279466,-25.7089,-31.1882675,-8.0728120015,-80.008135,-12.921795,-13.2612575,48.6585938225,0.3027885535,65.35738,0.47660855,6.498422,394.394041,2.059239828,-7.8338405,0.000261333,-8.3225,-8.24825,-6.8445,-7.88,-7.3675,-6.3765
1,18.25,-1.24898239325,-47.7097365,-0.22694529,-25.238615,-31.70414,-8.25240307475,-79.909545,-12.86138,-13.22059,50.15117848,0.310640517,65.3814675,0.498257,6.583665,394.2021242,2.124599459,-7.9371195,0,-8.33,-8.22675,-6.8365,-7.869,-7.4255,-6.36175
1,18.75,-1.33507785275,-48.4443493025,-0.25323197125,-24.76723,-31.556775,-8.77772009925,-81.01479,-13.03242,-13.2766875,50.45409972,0.3082909705,65.37592,0.4608365,6.7322305,394.42997045,2.062986898,-8.0560405,0,-8.32,-8.20675,-6.82625,-7.8555,-7.4605,-6.36875
1,19.25,-1.229544751,-46.2909672725,-0.283546232,-24.6974875,-30.86459,-8.975037566,-81.02882,-12.84477,-13.1758225,50.27169641,0.29603879,65.39194,0.54137705,6.590462,394.563721125,2.00585317425,-8.112975,0,-8.305,-8.1785,-6.81525,-7.83925,-7.53125,-6.3385
