DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
5,23.25,412.1473737,6.636182573,-0.372585,-0.689,-5.6747094895,19.46661607,28.660686995,375.25,405.4,-17.955,99.04259859,0.0345,0.0905,90.25,0.2005455225,-0.03028732,0.762788149,-0.402,1.539,-0.00915145,19.48,19.47,19.665,18.715,16.8,14.535,19.36,19.36,17.1825,17.1225,17,18.76,21.20014074,0.329062486,0.84657196917923,6.21056055575,0.616557002230937,3.231697159,0.348994984204644,19.66,19.617965,15.26
5,23.75,413.88587955,6.873756253,-0.56785,-0.95985,-5.487314963,19.26918933,25.5795865825,374.15,404.1,-17.025,99.04697157,0.0335,0.058,90.9,0.184165766,0.04690233,0.6310080155,-0.542,1.511,-0.011636024,19.08,19.475,19.545,18.655,16.8075,14.535,19.23,19.23,16.93,17.2,17,18.73,20.84198006,0.324255161,0.804619657353709,5.734922081,0.583676524283785,3.305059632,0.360203119086995,19.615,19.19855,15.275
6,0.25,453.3987896,8.82520508,0.189,-0.19575,-5.84586490475,24.48753595,18.286584745,399.55,420.85,-17.87,98.80173991,0.154,0.19325,94.925,0.4086722875,0.118855554,0.6493931835,-0.5185,1.643,-0.00963274,21.54,22.445,22.685,21.73,19.9225,18.84,22.1,22.0225,20.36,20.5,20.0275,20.975,23.37429764,0.281873723,0.710099352907746,4.85144180575,0.519071365998935,2.297222124,0.317303307578096,21.6325,21.2557675,18.6075
6,0.75,444.99469325,8.4392760385,0.3455,-0.31525,-6.14718228,24.50125271,18.67067005,399,421.2,-17.955,98.8,0.153,0.189,94.75,0.44691431275,0.150771747,0.579110382,-0.44925,1.5825,-0.007797187,21.57,22.325,22.6,21.63,19.9525,18.8425,22.035,21.8525,20.235,20.5,20.05,20.8575,23.41185929,0.27543482,0.700685192508019,4.6236371965,0.535341883285812,2.331526143,0.313653079053913,21.465,21.13227,18.6
6,1.25,446.8177088,8.1870315605,-1.28232,-1.367,-6.0588005215,24.52249901,18.12163507,398.75,420.325,-16.32,98.801025405,0.14775,0.19575,94.9,0.4607258085,0.08935183575,0.56501321,-0.458,1.52275,-0.008319082,21.43,22.145,22.46,21.5775,20,18.82,21.915,21.7,20.0225,20.4925,19.9975,20.7525,23.3650991975,0.28821190575,0.712241944114523,4.5281727975,0.528674115351689,2.37546123925,0.327702548182276,21.3125,21.2418825,18.6
6,1.75,446.007277275,8.5772170845,-1.33712,-1.17275,-5.706371918,24.48240532,18.3033631875,399.925,420.15,-15.8925,98.80176779,0.1355,0.1845,95.9,0.2942702975,0.10315769675,0.5647656855,-0.4585,1.48,-0.006715879,21.16,21.99,22.4,21.5,20,18.82,21.88,21.7,20,20.4925,19.9225,20.555,23.10932457,0.296590171,0.722258053606881,4.275550097,0.532586095387403,2.391229587,0.329631548854171,21.1075,20.958425,18.6
6,2.25,445.410248575,8.509489816,-1.38096,-1.25008,-4.542705151,24.08867435,15.164571565,399.15,418.1,-15.6525,98.80674214,0.134,0.165,95.975,0.367157847,0.048627863,0.6632896775,-0.47025,1.51075,-0.008727344,21.14,21.9,22.3375,21.5,19.97,18.85,21.75,21.6675,19.905,20.47,19.9225,20.275,23.05954419,0.282757701,0.705745038239731,4.112518454,0.518958679472653,2.33592937,0.323445185464245,20.77,21.0976825,18.6
6,2.75,455.09273595,8.343828285,-1.517,-1.563645,-4.641981396,24.00271193,15.11576547,397.475,418.175,-16.1,98.80005577,0.13475,0.19175,96.1,0.2797969425,0.155049475,0.616169099,-0.52025,1.5095,-0.008042638,21.14,21.8675,22.13,21.47,19.9925,18.8425,21.615,21.6,19.8225,20.5,19.93,20.175,22.99471378,0.290399156,0.724451658842742,3.81301053,0.51387657759427,2.282476046,0.324009098637677,20.82,21.071655,18.63
6,3.25,451.4930973,8.431244185,-1.90743,-1.6375,-3.862695923,24.15707039,18.51991676,396.05,416.375,-16.3925,98.80022864,0.11525,0.18325,96.675,0.39635823875,0.128884036,0.6073409695,-0.47025,1.52875,-0.008969384,20.96,21.8225,22.08,21.46,20,18.82,21.53,21.47,19.83,20.5,19.9225,19.96,22.80297871,0.270713558,0.678219261743575,3.6310818225,0.506981913878592,2.303320183,0.311440340996474,20.6875,20.8603975,18.6175
6,3.75,457.5318459,8.3207732645,-2.032,-1.39825,-3.433273927,24.19464418,15.83298636,396.075,415.825,-14.435,98.80911443,0.141,0.17475,96.7,0.3334921845,0.114219666,0.5271747035,-0.42125,1.53625,-0.006894261,20.65,21.6925,22,21.33,20,18.85,21.48,21.4675,19.5,20.5,19.945,19.95,22.68553905,0.277662145,0.681279975487318,3.24311233575,0.520378543946616,2.194277148,0.302543525794224,20.545,20.64179,18.6075
6,4.25,451.7383969,7.68774308,-2.32554,-1.1395,-3.11807726725,24.06376141,15.915142635,397.625,415.65,-11.585,98.83381263,3.9915,0.433,96.6,0.247463909,0.192624302,0.669579586,1.3315,2.319,-0.007833819,20.62,21.605,21.9,21.3,20,18.8425,21.33,21.415,19.5,20.5,19.9,19.9425,22.5643437,0.276644816,0.692295817552006,3.17810752075,0.54556067215297,2.241165304,0.308346230721246,20.3325,20.6127575,18.6175
6,4.75,452.0513463,7.4655559135,-2.253,-1.484,-3.89766308025,24.09113797,17.02408003,399.65,415.8,-3.036,98.85319901,39.79,3.05775,96.975,0.27696183,0.416331648,1.1376027805,22.09,10.3175,-0.00816055025,20.54,21.5,21.765,21.3,20,18.85,21.3,21.3225,19.375,20.5,19.975,20.03,22.43458591,0.26629843875,0.684096956578525,3.220358619,0.523682390304336,2.15132146,0.301444842384142,20.44,20.361345,18.6075
6,5.25,455.2319882,6.536300431,-2.425,-1.65675,-2.9476961095,24.34706695,24.06123494,397.4,418.675,12.6425,98.89007663,125.9,9.0175,96.7,0.125546996,1.019953843,1.6704070105,72.535,28.55,-0.010806395,20.77,21.5,21.73,21.3,20.03,18.8275,21.3,21.3,19.35,20.5,19.9975,20.5375,22.66939635,0.285103755,0.676939845924289,3.135826949,0.530914190806763,2.320811859,0.31742514235643,20.8025,20.462565,18.6
6,5.75,446.97646555,3.683356109,-1.457,-0.6415,-0.801186061,25.35191538,39.1863775025,398.325,422.575,52.95,98.9110807,260.05,17.35,95.575,-0.016086601,2.672932523,4.477932371,148.7,48.545,-0.017357774,21.35,21.5,21.7,21.2,20.0525,18.775,21.39,21.27,19.3,20.5,19.9525,21.9225,23.05332962,0.311437985,0.786831487041539,3.330945199,0.602037008829191,2.493524446,0.342320484341793,21.1525,21.05224,18.6175
6,6.25,427.7906179,0.3323152245,-0.606,-0.295085,4.023173822,26.76831372,66.4470694,399.45,427.05,115.175,98.93027549,427.4,28.035,94.4,-0.086329906,3.100896365,4.829528445,239.025,66.8775,-0.026738642,21.76,21.53,21.7,21.13,20,18.8425,21.485,21.26,19.245,20.5,19.9525,22.8875,23.51292147,0.341027052,0.849646817801373,3.78113757525,0.682968479506924,2.733140285,0.37670352798985,21.6,21.5020525,18.6
