DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,G_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,VPD_1_1_1,VPD_1_2_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS_1_1_1,WS_2_1_1
1,5.25,1975.37149353027,413.764840698242,-1.24730568528175,-26.9519752025604,1.93677941560745,-0.400065004825592,-9.9450555801392,-14.6116540193557,-49.3667154312134,-7.80336604118347,-0.980927249789237,-0.709891498088837,99.524228477478,68.5437995910644,80.8262666702271,-9.89235343933105,-7.78710719347,-8.6850739479065,0,0,233.29846496582,275.509436035156,-71.1206481933594,0,0,0,0,1.37476763725281,1.74640560150147,4.59929007291794,-0.365017201006413,0.116345611773431,0.0283551553264261,0.116661255061627,0.0223511870019138,0,0.105698548257351
1,5.75,1975.2550415039,414.016853332519,-0.623911164700985,-71.0898858070374,1.40122454762458,-0.71490434706211,-17.7021312236786,-14.4095934867859,-54.2161952972412,-6.90288264751434,-1.56046475768089,-1.48824752867222,99.5316934585571,68.5769203186036,78.8640609741211,-9.81564521789549,-7.3518958568573,-8.54271533489227,0,0,225.662493515015,276.670715332031,-73.1229125976562,0,0,0,0,1.33814700245857,1.70824428200721,4.47606348991394,-0.372102225571871,0.119674852862954,0.0192939076805488,0.140054407715798,0.0217132627498358,0,0.0608171008527279
1,6.25,1981.26756286621,414.590999603271,-2.90923353135585,-45.6253232955933,1.70085747539997,-0.37785674482584,-24.8153125047684,-14.5053078174591,-55.3565662384033,-2.52581536769867,-1.38556098937988,-1.28461449146271,99.5485467910767,68.7926336288452,78.8777101516724,-9.73657341003417,-7.68185391426086,-8.60993218421936,0,0,224.390131378174,277.076318359375,-71.0316177368164,0,0,0,0,1.35883120298385,1.71637691557407,4.48410143852233,-0.356570306420326,0.134120474383235,0.0216017878148705,0.117809249646962,0.0259667715989053,0,0.108849650993944
1,6.75,1978.61752319336,413.541055297851,-2.00326770842075,-50.8312640190125,1.46023001074791,-0.569400131702423,-22.5850004196167,-15.4115427732468,-50.7834411621094,-2.34782749414444,-1.3617912620306,-0.927660731971264,99.5963489532471,68.9980125427246,81.4689399719238,-9.80073356628417,-8.05831475257874,-8.53544347286224,0,0,224.991439437866,275.700393676758,-70.7435285568237,0,0,0,0,1.36494802236557,1.7355768442154,4.59322426319122,-0.28104258775711,0.127224005572498,0.0245900007430464,0.12837367542088,0.0252897813450546,0,0.0693181883543729
1,7.25,1984.92878723145,413.663497924804,-1.17331777811051,-11.5019968986511,2.30825507640839,-0.451833002269268,-6.7752140045166,-14.777697110176,-51.2134754180909,-4.54683456420898,-1.14860500395298,-0.713232752680779,99.6374271392823,68.7923377990723,78.7432985305786,-9.80270347595215,-8.06109895706177,-8.49433677196503,0,0,224.147629547119,277.194763946533,-71.777066040039,0,0,0,0,1.39521126747131,1.74301382601261,4.59462587833404,-0.293785148859024,0.15092199370265,0.0281251199077815,0.139590310119092,0.0238740884698928,0,0.125880490615964
1,7.75,1985.80424194336,413.498460388183,-1.78036996126175,-40.5049998283386,1.81601549386978,-0.50943571254611,-15.2086496353149,-14.7997421264648,-43.0540596008301,-3.3678530216217,-1.70263123810291,-1.48691074550152,99.6540431976318,67.169644355774,78.0885246276855,-9.88176155090333,-8.03057131767273,-8.47899730205536,0,0,223.021012878418,276.491723632813,-74.5559959411621,0,0,0,0,1.38364406228066,1.75337355136871,4.51083960533142,-0.300566393136978,0.133901739865542,0.0305412541143596,0.120473194308579,0.0237861380912363,0,0.0925948353484273
1,8.25,1987.34055175781,414.730729675293,-2.53776873648167,-82.0131544113158,1.68945823907852,-0.323838993906975,-7.7683025240898,-14.8008807182312,-48.2917892456055,-2.91367231607437,-0.906834781169892,-0.721524000167847,99.6442287445068,70.1995384216309,79.0950548171997,-9.7062068939209,-7.88457711935043,-8.26863238811493,0,0,221.024031448364,277.821835327149,-70.055276298523,0.893665993213654,0,0.61284339427948,0,1.36292774677276,1.78551717698574,4.60352684259415,-0.326491374522448,0.116273286938668,0.0224595002830028,0.128304836153984,0.0247678969055414,0,0.0886052459478378
1,8.75,1982.99521179199,412.399337768555,-2.3683750629425,-25.1400006294251,1.39427601695061,-0.292057499289513,-11.6033496379852,-14.7183463573456,-48.5140312194824,-7.91233837604523,-1.49584798812866,-1.09188050031662,99.6176925659179,66.6579849243164,79.0412004470825,-9.5400447845459,-7.10105335712433,-6.43273086547851,0,0,220.674489212036,283.302043914795,-46.0791809082031,4.32764729261398,0,2.60498811006546,0,1.33563207387924,1.77457418441772,4.52327672243118,-0.268102671205997,0.150399461388588,0.0218255527783185,0.0936010656878352,0.0232345936819911,0,0.0949120335280895
1,9.25,1975.19747924805,410.110992431641,-1.38457949161529,-21.1281006336212,1.70099502801895,-0.471619833260775,-13.7577900886536,-14.5273874282837,-38.2103004455566,-2.274573802948,-0.65177458524704,-0.661175376176834,99.5936079025269,63.7363379478455,72.6122951507568,-9.04229393005371,-5.86984567642212,-5.5225417971611,0,0,221.334103012085,288.564833831787,-18.6560409545898,9.4544554233551,0.0523728242143989,5.80344088077545,0.000479250034550203,1.33288433253765,1.72918489575386,4.59239273071289,-0.239391196519136,0.127081456780433,0.0343650010414421,0.105939063429832,0.0295822593383491,0,0.100266452506184
1,9.75,1976.87629699707,410.123595428467,-1.20426100492478,-51.3350086212159,1.83648899793625,-0.871724401414395,-13.800599861145,-14.2043035030365,-35.3790794372559,-6.47775483131409,-1.59724253416061,-1.57088354229927,99.5906324386597,62.6091430664062,69.0755683898926,-8.63963890075684,-4.43109902143479,-4.15337797403336,0,0,224.097299194336,293.110621643066,-1.27575181722641,17.9810974121094,0.36173822954297,10.1675567626953,0.285865663737059,1.31692996025085,1.68774102032184,4.5106124162674,-0.25245824828744,0.169897032901645,0.0329406864475459,0.123760630376637,0.0276998635381461,0,0.112604872323573
