DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
8,23.25,3.20375,2.133305,-1.5223525,-25.503435,-24.44117,2,448.3995,13.2517375,90.2745,19.59,0.79,17.77495,17.8425025,18.01325,65.845,0,0,0,339.17,401.17,-58.62,18.05,19.79,22,21.96,19.25,17.05,0.29853,0.79965,0.750370668,0.38143472525,1.760268819
8,23.75,3.32,1.63225,0.153535,-25.4465,-24.28258,1.99955,453.6240679,13.1,90.28,18.4844375,0.79358700125,17.00692,16.9317525,17.03,68.843,0,0,0,336.5,396.3,-56.57,17.37,19.2075,21.6125,21.88,19.27,17.0475,0.20197,0.631165,0.67161,0.271875,1.5138634495
9,0.25,2.28,1.4272525,0.9910925,-22.3792675,-21.4,0,453.837365,11.2,90.22057,13.44075,0.67599,11.858615,12.26,12.625,78.0235,0,0,0,325.33,371.98335,-45.5925,13.31,15.02,17.59,18.855,17.5825,16.3325,0.154755,0.530565,0.62,0.17431,1.4
9,0.75,2.4025,1.545520215,0.8475,-22.3378975,-20.8237475,-0.3167025,457.6,11.064972405,90.221665,12.75713,0.677675,11.4368775,11.588335,11.8295,79.93,0,0,0,323.4,369.33333,-44.6,12.78,14.64,17.2975,18.7625,17.57,16.33,0.1585,0.57191,0.63,0.1622339815,1.376190167
9,1.25,2.36,1.54075,0.734,-22.3366625,-20.621055,-1,459.15,11,90.226,12.28114,0.6284,11.0467925,11.2135,11.648,82.005,0,0,0,323.7325,366.644975,-42.285,12.27,14.31,17.085,18.65,17.5975,16.34,0.13964,0.55371,0.6,0.1459,1.337067244
9,1.75,2.47,1.603575,1.55825,-22.28735,-20.49825,-1,460.539745,10.872969975,90.226,11.8216,0.65,10.84121,10.755,11.07165,83.19425,0,0,0,320.4665825,365.041675,-40.5725,12.08,13.9,16.81,18.53,17.6,16.33,0.1215275,0.50856,0.583375,0.12348,1.3
9,2.25,2.158,1.5774225,1.015,-21.938555,-20.188,-1.00038,462.03905,10.71115,90.22,11.4981,0.63,10.49669,10.412,10.7265,84.651335,0,0,0,322.65,363.366665,-38.275,11.5725,13.4675,16.54,18.3775,17.5875,16.3175,0.12,0.53,0.56735,0.11302,1.34
9,2.75,2.57,1.98536,0.768,-21.266285,-20.140805,-1.475,463.237925,10.688045,90.2145375,11.3,0.62,10.18992,10.235,10.49665,85.331165,0,0,0,322.55,362.271665,-38.3735,11.1725,13.16,16.285,18.25,17.6025,16.31,0.11815,0.49868,0.590325,0.125112575,1.335761227
9,3.25,2.27925,1.73417,0.777285,-21.190245,-20.14924,-2,465.85311,10.568955,90.21,10.975,0.61,10.05292,9.976665,10.235,85.8685,0,0,0,320.826,360.61,-36.1955,10.98,12.92,16,18.11,17.58,16.3,0.117447452,0.54,0.6037125,0.1251475,1.33714073275
9,3.75,2.45,1.7502904175,0.682515,-21.129685,-19.5,-2,465.3268,10.497575,90.2,10.684605,0.611385,9.6978375,9.8375,10.11335,87.069,0,0,0,322.19,360,-35.17,10.7225,12.6125,15.765,17.9625,17.5825,16.3,0.1174625,0.502985,0.58,0.13,1.310606843
