DOY2,HR2,FC,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,T_SONIC,TS_8,TS_7,TS_6,TS_5,TS_4,TS_3,TS_2,TS_1,NETRAD,SW_IN,LW_IN,SW_OUT,LW_OUT,PPFD_IN,G,CH4,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA
11,13.25,-0.3402105,4.423395,84.465625,140.274,3.85238,0.326054,101.911,71.01,19.34,14.6601114392375,22.584,15.3767333333333,14.0467333333333,15.9000666666667,15.9300666666667,16.6000666666667,22.29,21.27,19.2333333333333,402.504880409146,540.937056318031,329.231874062944,47.3056537102473,412.024135699761,1150.17878426698,30.1245947758778,2237.52069754545,443.15,13.60355,0.82005304706464,0.805,0.357804415847541
11,13.75,-0.46797275,4.465,68.5034,127.099,3.8069875,0.34303625,101.894,70.48,19.83,14.6468678446342,22.63375,15.3642333333333,14.1734,15.9692333333334,16.0309,16.6559,22.3108333333333,20.8625,19.25,355.064939699633,493.137718883105,330.038230694731,45.8480565371025,411.539058783451,1043.50417163289,28.0577365997134,2201.99129836364,442.269,13.8064,0.855829507385131,0.741499908590066,0.371999057211283
11,14.25,-0.33041,3.1,47.984575,107.967,3.99873,0.341615,101.88725,70.33,20.28,14.5369173998753,22.912,15.3675666666667,14.2434,16.2392333333334,16.1867333333333,16.7000666666667,22.4633333333334,21.0791666666667,19.21,304.937932389383,432.442025556082,332.405295182315,41.8948763250883,409.979044952002,881.108462455304,27.2979216233866,2166.46189918182,440.638,13.775925,0.851179182076254,0.753377063627504,0.366305883108639
11,14.75,0.00499,2.07,25.9166,92.398,3.94743,0.343171,101.8705,70.4975,20.3925,13.9427287933257,22.936,15.3500666666667,14.3500666666667,16.2267333333333,16.2667333333333,16.6000666666667,22.6933333333333,21.18625,19.65,233.462657086291,358.861807856129,332.682064317588,38.0521201413428,407.626306414556,703.247914183552,24.8038517744091,2130.9325,437.763,13.859,0.859627244798581,0.737629988544392,0.372957102090844
11,15.25,0.248261,2.76262,9.3477775,70.12245,3.77352,0.3284455,101.869,71.25,20.36,12.3534355737708,22.98225,15.3609,14.4925666666667,16.2400666666667,16.2842333333333,16.5267333333333,22.87,21.615,19.8566666666667,153.546249477899,271.178419309039,334.118965933136,30.9076855123675,405.780704245534,555.303933253874,20.2087716422817,2114.8225,435.557,14.008025,0.836292419604547,0.670317298100856,0.372113876905876
11,15.75,0.7763765,3.185,-2.37111,53.910375,3.63694,0.3041515,101.873,71.7025,19.9925,9.72543113226397,23.05475,15.3442333333334,14.5950666666667,16.0692333333333,16.2059,16.4075666666667,23.7725,21.8,20.3308333333333,74.3171749216505,183.222905821108,331.443693625671,22.1621024734983,401.967298245017,422.884386174017,17.5684518133653,2197.974695,433.73025,14.0146,0.829885434824265,0.66647747565294,0.338314628667183
11,16.25,0.918705,2.7325,-3.426395,37.065125,3.4457775,0.2914125,101.878,74.27,19.45,7.64397711165818,22.7395,15.3350666666667,14.6700666666667,15.8167333333333,15.9209,16.0375666666667,23.8533333333334,22.68,21.555,1.4876487127055,102.638428774255,329.937847552006,15.0618374558304,397.303363134017,229.201430274136,13.6856210507909,2110.5772365,435.92275,14.030375,0.745167545388613,0.638847884256556,0.323113727912642
11,16.75,1.0469725,2.98,-4.68379,25.232325,3.179885,0.2651295,101.90825,76.4825,18.655,6.13539931073412,22.487,15.3000666666667,14.7200666666666,15.5600666666666,15.7050666666666,15.7600666666667,23.0516666666666,23.04,22.6166666666666,-40.7645501372001,32.5130146710838,328.416164236563,7.40945229681978,391.067523145847,75.238379022646,9.5166242790467,2138.0175,437.5935,13.99195,0.745605519342871,0.623884192044251,0.306427550003175
11,17.25,1.1871025,3.9359075,-4.39553,19.1329,2.897945,0.240585,101.9235,79.76,18.01,5.55409622127927,22.2405,15.3117333333334,14.7367333333333,15.1434,15.4134,15.2250666666666,22.4333333333334,22.68875,22.5933333333333,-63.8645898727615,-0.627070515854236,326.404173836529,1.14840989399293,387.269176403529,7.86650774731824,6.50028854921389,2170.6014675,440.997,14.00175,0.69356966045517,0.598925768212028,0.272805269347175
11,17.75,1.19868,2.98023,-3.78349,16.4086,2.69133,0.20271,101.9445,81.2,17.5725,4.76998840687803,22.005,15.3067333333333,14.7567333333333,14.6700666666667,15.0800666666667,14.7700666666667,20.86,21.2608333333333,21.1,-62.6016381083128,-3.32465688594415,323.289361789189,1.14840989399293,383.772902725039,0,3.26292619705091,2208.45296,444.814,14.1397,0.686636730739042,0.567000881833529,0.23259406699226
11,18.25,1.4428375,2.8375,-3.4530975,15.5236,2.55876,0.194577,101.963,82.775,17.0925,4.64353024077337,21.645,15.2800666666667,14.7367333333333,14.3400666666667,14.6884,14.3867333333333,19.4166666666667,19.9266666666667,19.96,-61.3011989044657,-3.20634169427354,321.966157093109,1.19257950530035,381.199558137913,0,-0.116638553818361,2206.66505125,451.207,14.2627,0.668849011362056,0.606735527227473,0.224276614920058
11,18.75,1.13352,12.825,-1.994915,12.44485,2.3741525,0.20164725,101.96,83.9,16.835,4.30395817587166,21.3275,15.2592333333334,14.6959,14.2450666666667,14.4550666666667,14.2092333333333,18.5116666666667,19.0466666666667,19.045,-60.3752964970027,-3.17084713677236,321.645172572692,1.26987632508833,379.693177308252,0,-2.81038731429412,2283.840172,457.50425,13.9762,0.65162626261036,0.567354400418266,0.20736399198963
11,19.25,1.2220025,3.7725,-3.156175,15.272475,2.0724225,0.167628,101.97725,85.375,16.5,4.0943946010497,21.16275,15.2442333333333,14.6967333333334,14.0025666666666,14.3067333333333,13.9292333333333,17.8283333333333,18.44,18.4883333333333,-61.8890970146609,-3.13535257927118,318.81119202209,1.32508833922261,376.151945332908,0,-4.71717682296357,2338.7848795,464.16925,13.9369,0.627529409100525,0.601281961693964,0.174307469686487
11,19.75,1.2206875,6.808475,-2.315975,11.32425,1.9354675,0.16476875,102.001,86.2,16.23,4.21026684139852,20.66075,15.2509,14.6800666666667,13.8259,14.0175666666667,13.6492333333333,17.0583333333333,17.81,18.0708333333333,-58.5051994051288,-2.9460482725982,321.431747020672,1.32508833922261,375.474099191905,0,-6.15943177577922,2342.33029275,468.4485,13.9066,0.584757629025587,0.555504839398465,0.164923385981079
