DOY2,HR2,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
2,10.25,-18.68675,196.3975,166.025,240.6774,281.02455,-4.15475,448.8,366.7,1.68295,0.05823475,-4.3395,-3.80725,-20.507,-11.232,-11.4835,451.2794
2,10.75,-17.7275,242.5475,199.105,241.124175,290.23485,1.31835,540.4075,464.15,1.6137,0.041695,-4.30655,-3.7812,-19.867,-11.331,-11.412,453.0982
2,11.25,-17.64675,262.63,215.9525,247.18925,295.09175,5.36365,601.7175,541.575,1.638,0.01,-4.32125,-3.7571,-18.379,-11.115,-11.2935,455.115375
2,11.75,-17.44625,306.15,248.765,251.209975,299.2948,-0.29375,688.815,607.015,1.3755,0.070537,-4.3117,-3.7933,-17.722,-11.373,-11.898,455.960425
2,12.25,-16.81075,340.44,270.6125,252.038525,307.449075,-15.5045,777.77,669.13,1.63365,0.05365275,-4.294,-3.7818,-16.25275,-11.383,-11.7605,455.34675
2,12.75,-16.81425,367.4575,291.475,253.91845,315.198925,-11.43625,852.3575,712.165,1.8271,0.0727545,-4.27995,-3.78095,-16.0425,-11.3915,-11.7335,455.60555
2,13.25,-16.365,370.545,297.9275,255.36715,322.394375,-17.3975,871.565,683.44,2.5458,0.081338,-4.295,-3.8574,-15.558,-11.512,-11.649,455.0751
2,13.75,-16.0695,353.7575,283.215,257.327,325.288575,-8.7685,815.1525,704.53,2.34175,0.0898225,-4.3123,-3.8689,-15.6795,-11.507,-11.6495,454.9598
2,14.25,-16.257,334.7225,268.5025,258.307,324.76595,-26.1035,744.0825,666.185,2.7447,0.0968965,-4.29315,-3.817475,-15.4285,-11.46975,-11.724,455.2023
2,14.75,-16.17225,311.3775,247.4525,259.01975,329.989125,-41.87675,674.625,635.12,2.3387,0.0960635,-4.28465,-3.7766,-14.8525,-11.351,-11.99775,442.14845
2,15.25,-16.196,229.8,192.5725,258.4956,330.819375,-55.7725,558.615,471.795,2.681375,0.073882,-4.3095,-3.7789,-14.293,-11.21975,-11.922,441.9451
2,15.75,-16.33225,175.145,146.665,255.04645,322.3639,-74.04,389.9225,339.6025,2.39555,0.0793645,-4.309025,-3.761125,-14.6735,-11.1225,-12.33875,454.854425
2,16.25,-16.832,122.145,98.41575,250.214,306.610925,-77.62175,273.1875,239.7025,2.1216,0.04494025,-4.3025,-3.72005,-15.72425,-11.08325,-12.21725,454.74915
2,16.75,-17.5015,64.39025,54.84225,245.18435,303.696925,-86.87775,140.775,120.81,1.6649,0.037019,-4.302,-3.7266,-15.936,-10.96275,-11.75475,454.43415
2,17.25,-18.014,26.517,21.95425,242.690675,300.02585,-94.77275,60.69475,41.67275,1.4832,0.01,-4.325125,-3.780225,-16.307,-10.872,-11.4185,455.2618
2,17.75,-18.45925,1.594325,3.228975,235.919875,298.1274,-95.0925,3.798625,4.9334,1.1434,0.01,-4.3593,-3.805975,-16.894,-10.858,-11.27175,455.323
2,18.25,-19.43925,0,0.5009425,233.8588,289.315225,-89.810325,-0.87862,0.0108194575,1.07557,0.01092025,-4.3732,-3.874625,-17.0105,-10.69375,-11.1325,455.641025
2,18.75,-20.252,0,0.2322625,230.99495,282.556375,-85.108275,-3.739975,-0.02125525,0.8566425,0.01,-4.3786,-3.8728,-17.309,-10.59325,-11.045,455.32275
2,19.25,-20.558,0,0.1480475,229.42325,286.2574,-79.72155,-2.253725,-0.0248445,0.66714,0.01,-4.373475,-3.859225,-17.706,-10.47375,-10.98875,456.7075
2,19.75,-20.6615,0,0.180495,226.62205,276.849475,-77.2354,-3.119275,-0.02158125,1.0333,0.01,-4.359525,-3.8476,-18.045,-10.33625,-10.88,457.1397
2,20.25,-21.17175,0,0.2434725,224.7972,269.7149,-72.19275,-2.03735,-0.02901075,0.675365,0.01,-4.342375,-3.8418,-18.116,-10.2215,-10.83725,457.477
2,20.75,-20.5725,0,0.2410825,224.921625,265.8734,-72.98945,-2.344625,-0.03234375,0.9561775,0.01,-4.334125,-3.835125,-20.204,-10.1695,-10.692,456.8871
2,21.25,-20.73625,0,0.2795325,224.50495,265.00315,-68.17765,-2.453975,-0.03192525,0.824705,0.01,-4.32495,-3.832425,-20.9015,-10.057,-10.4255,456.2779
2,21.75,-21.11475,0,0.251605,227.031075,264.28965,-65.708475,-2.934725,-0.02845225,0.6395725,0.01,-4.327475,-3.83895,-20.6275,-10.059725,-10.55525,455.7684
2,22.25,-21.0395,0,0.26028,223.4887,259.030175,-63.04445,-2.712975,-0.0331255,0.72308,0.01,-4.3195,-3.8364,-17.3205,-10.0325,-10.65175,455.7684
2,22.75,-21.52025,0,0.22301,221.579175,254.104425,-60.509725,-2.27365,-0.0260185,0.59066,0.01,-4.329575,-3.849225,-18.8545,-10.053175,-10.7645,455.7684
2,23.25,-21.94875,0,0.25568,221.662975,253.172075,-57.729425,-2.8586,-0.016493,0.567345,0.01,-4.327775,-3.8522,-19.183,-10.098225,-10.90375,455.7684
2,23.75,-22.08025,0,0.2109925,222.6333,248.695425,-53.0142,-2.82015,-0.01879,0.4388125,0.01,-4.3316,-3.867275,-19.183,-10.180275,-11.06925,455.7684
3,0.25,-12.8095,0,0.11074775,285.42335,313.760675,-76.94035,0.002996675,-0.0988065,1.548825,0.077607,-2.055525,-1.707975,-7.090675,-3.669475,-6.41685,445.5804
3,0.75,-12.98,0,0.00124512,282.82785,309.433275,-76.711875,0.001996425,-0.09584475,1.26515,0.066781,-2.0519,-1.710725,-7.539675,-3.633375,-6.61865,445.9891
3,1.25,-13.269,0,0.07019475,284.691025,309.11885,-77.464225,0.0023303,-0.08503475,1.67215,0.0687155,-2.0497,-1.71085,-7.943,-3.748525,-6.37735,445.3599
3,1.75,-13.52,0,0.0338965,285.30235,310.725175,-73.205175,0.0033306,-0.08433975,1.14225,0.093317,-2.04625,-1.708975,-8.2334,-3.70475,-6.40255,445.3809
3,2.25,-13.75075,0,0.0418659,285.287575,311.6997,-77.169825,0.003225975,-0.098394,1.8886,0.1479425,-2.0408,-1.708325,-8.115175,-3.710725,-6.451475,445.2655
3,2.75,-13.91425,0,0.00843975,285.5138,310.0953,-68.67295,0.004406125,-0.09863725,1.6815,0.1666825,-2.0387,-1.70565,-7.437725,-3.737275,-6.6563,446.2342
3,3.25,-14.0505,0,0.0165172925,285.968325,310.088925,-70.741525,0.003329,-0.09496,2.2385,0.13685175,-2.045275,-1.7073,-7.20695,-3.756725,-6.7784,445.860025
3,3.75,-14.196,0,0.04159875,285.920625,306.482925,-59.73455,0.00199845,-0.09407075,1.5609,0.066465,-2.047125,-1.695225,-6.95425,-3.775425,-6.7978,446.04965
3,4.25,-14.36725,0,0.006208575,284.2637,300.6975,-65.170175,0.00349135,-0.09555825,2.52395,0.1224445,-2.03875,-1.702975,-7.02115,-3.90435,-7.255175,446.0927
3,4.75,-15.3825,0,0.0185565,282.531125,298.8714,-62.3547,0.001829775,-0.09474925,1.69785,0.13199,-2.0314,-1.701925,-7.09655,-3.934525,-7.302975,446.39465
3,5.25,-15.9025,0,0.0002483175,281.685575,302.0237,-70.59995,0.00333,-0.09572775,1.6717,0.141895,-2.023575,-1.691925,-7.0587,-3.950175,-7.248075,446.3421
3,5.75,-15.89275,0,0.0017382,283.8936,303.74825,-72.26185,0.00621535,-0.08614275,1.904025,0.10821075,-2.0153,-1.683325,-7.066725,-3.97175,-7.271525,446.63025
3,6.25,-15.37975,0,0.0096395225,283.2838,303.9442,-68.560925,0.031288,0,1.6789,0.10573,-2.009625,-1.68465,-6.7653,-4.1061,-7.48175,446.91305
3,6.75,-13.82025,0.6787025,1.07785,286.972175,302.9657,-51.369975,1.866975,2.0691,1.2361,0.0344805,-2.0169,-1.6794,-6.78355,-4.215625,-7.223975,447.398275
3,7.25,-12.98075,12.415,8.991425,289.5352,305.9855,-18.464125,27.357,16.81275,1.39275,0.0557365,-2.028,-1.668475,-6.24345,-4.419625,-6.548275,447.5089
3,7.75,-10.86475,41.61075,27.1575,293.709325,314.275975,1.0304375,96.1805,55.75675,1.7269,0.08857875,-2.01355,-1.618,-5.5231,-4.579625,-6.6383,447.302225
3,8.25,-10.1615,85.6635,57.57675,299.259975,319.21575,8.194725,214.2775,103.29,1.858775,0.14199,-2.001175,-1.61135,-4.5953,-4.352875,-6.515775,446.093
3,8.75,-8.9538,153.855,72.06075,301.07345,321.812975,14.949525,365.14,147.68,2.596875,0.22883,-2.001225,-1.576475,-4.0377,-4.192975,-6.608525,445.51105
3,9.25,-8.190625,181.2575,99.18275,302.522225,325.81085,22.45805,473.5325,201.825,2.4257,0.2234175,-2.015575,-1.589225,-3.850925,-4.20265,-6.538275,445.35715
3,9.75,-7.607225,218.81,116.9225,303.259225,327.02565,25.769025,543.7575,235.085,2.5822,0.19575,-2.015725,-1.57045,-4.1614,-4.0593,-6.572975,444.3726
3,10.25,-7.511525,268.28,133.0075,303.923325,332.15885,38.068225,664.6625,317.29,2.40475,0.2052725,-2.0301,-1.618375,-3.684375,-4.06375,-6.47375,443.1162
3,10.75,-7.158725,326.79,159.18,305.6638,348.894875,40.01225,816.2575,368.485,2.5011,0.19716,-2.05485,-1.61625,-3.7125,-3.9414,-6.3131,442.74875
3,11.25,-7.022875,355.6775,167.4025,307.407225,346.592325,54.405425,921.455,407.145,2.868975,0.153775,-2.02985,-1.61025,-4.1593,-3.82695,-6.29495,442.91995
3,11.75,-6.701625,370.55,167.9225,309.2385,351.750675,44.942925,1005.26,422.74,2.808275,0.19463,-2.0181,-1.60105,-3.49675,-3.76065,-6.2741,442.2136
3,12.25,-6.275975,391.715,172.545,311.908425,351.06835,46.2148,998.1575,429.2,2.2561,0.1717125,-1.9754,-1.60825,-3.1136,-3.631,-6.32305,442.11965
3,12.75,-6.076475,401.055,174.2625,314.31175,350.504625,46.350825,1029.1,411.64,2.258075,0.143055,-1.96145,-1.65555,-2.706225,-3.6427,-6.36955,441.2784
3,13.25,-6.386375,358.505,169.26,312.3796,348.972875,54.9846,943.58,367.485,2.6166,0.1447,-1.95915,-1.6573,-2.17555,-3.6627,-6.31855,440.828375
3,13.75,-6.38425,339.2,160.47,312.6147,347.055825,45.6677,905.755,339.985,2.7321,0.16468,-1.95645,-1.6453,-1.93885,-3.68195,-6.0404,441.786725
