DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2
1,19.75,0,-6.6697025,-41.370435,-2.302275,-40.61758333125,-1.636687500125,62.8380625,0.0256875,96.2,-1.36418125,-39.5256375,-0.978046024875,-1.927687499875,0.0248225,-16.526075,-19.4490625,-20.34983333125,-18.019325,-17.22189583125,-18.49805625,415.8885
1,20.25,0,-8.290110182875,-45.409675,-2.331366667,-40.62158333125,-1.622625,62.9353125,0.025,96.2,-0.88126675,-35.935825,-0.905616,-1.893625,0.02725,-16.511625,-19.49,-20.47812499875,-18.0192625,-17.25566666875,-18.44686875,416.13375
1,20.75,0,-10.5322375,-43.185325,-2.61769,-40.5632,-1.5435066668,62.70038,0.0236875,96.196985,-1.08582,-32.95746,-0.9372416602,-1.8272600002,0.03345,-16.44466,-19.53102,-20.6052,-18.05742,-17.336066672,-18.45491,416.2315
1,21.25,0,-15.84731217375,-49.401452904,-2.16339,-40.603599998,-1.54836,63.241880002,0.023475,96.1697,-1.262832,-29.09112,-0.9634604,-1.8778,0.03911,-16.41078,-19.49652,-20.680313332,-18.10722,-17.383033338,-18.604539998,415.1
1,21.75,0,-9.753414772,-46.9566675,-1.95676,-40.958933332,-1.53724,63.0722,0.02795,96.188515,-1.100766667,-30.7343,-0.925801353,-1.8526,0.0277,-16.40238,-19.4144,-20.710353332,-18.1339,-17.3229,-18.8325,401.09615
1,22.25,0,-11.2741581105,-41.742,-2.1882266668,-40.8814,-1.5488266668,62.39102,0.0217625,96.1675,-1.87306,-32.61228,-0.9212158,-1.8643866668,0.028935,-16.35062,-19.419080002,-20.731553332,-18.14686,-17.288240004,-19.0173,390.9425
1,22.75,0,-7.159899,-54.8720875,-2.29613666685,-40.919,-1.595855,61.29507,0.02858,96.16532,-1.19891465,-32.768235,-0.93182,-1.88815,0.0269525,-16.3629,-19.5370816685,-20.9257350015,-18.13665,-17.3181175,-19.1734075015,416.669
1,23.25,0,-7.440702,-47.094295,-2.139409166825,-40.81270000175,-1.584513333175,61.163425,0.03347,96.175,-0.891415,-33.9551075,-0.95179005,-1.874879166825,0.021945,-16.28295,-19.58125,-19.8106675,-18.0609075,-17.30378000175,-19.30025875,404.863
1,23.75,0,-7.15160075,-44.830925,-2.173669249825,-40.965025,-1.591085,60.0608325,0.02965,96.175,-0.836501575,-32.104525,-0.925148175,-1.861797500175,0.0258,-16.2475825,-19.6795825,-19.8037425,-18.0217175,-17.30407125,-19.30431625,377.904
2,0.25,0,-9.641256,-48.42005600375,-1.81752,-38.3902,-1.245,61.5748,0.0273225,96.93367,-1.7386686668,-31.0173,-0.917189,-1.744,0.0337,-10.62602,-12.37602,-12.97998,-12.4815,-10.925011,-12.46201,417.0255
