DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
6,22.75,0.77337,24.094725,5.3022,9.43592499999998,38.843,100,99.3,425.78,23.485,2.09218,2.2897,-1.3888825,0.546076,2.99075,403.6105,432.745,10.047535,5.844015,10.725225,18.688,18.8432,18.2534,16.7382,15.058,13.7,10.6668,8.88,22.9553,99.42925
6,23.25,0.8209085,23.5852,5.396665,7.2472,38.75725,100,99.3,426.231,23.120825,2.09166,2.283985,-0.9032355,0.54464,3.238415,402.93075,431.2775,9.883835,6.4497025,11.026,18.61155,18.767,18.25715,16.71005,15.0466,13.7,10.667275,8.8813,22.5003,99.6751
6,23.75,0.82519575,23.70575,5.41834,8.684225,39.04365,100,99.3,427.799,23.04435,2.0968,2.27332,-1.22235,0.4202875,3.45968,401.712,430.68875,10.017795,4.7367,10.70125,18.53375,18.64575,18.200275,16.721025,15.07415,13.7,10.6575,8.8575,22.4972,99.55655
7,0.25,0.82814275,24.594125,5.5690825,6.15184750000001,45.48415,99.0473,99.5,421.95,26.389,2.130295,2.31724,-1.9964875,-0.0374283000000005,3.1108825,411.21625,437.4925,11.455425,6.74315999999999,12.9838,20.8838,21.5376,21.183,19.35385,17.1377,16,12.94405,10.8551,22.81005,97.7036
7,0.75,0.84098,24.544575,5.4076,4.99249999999997,45.634425,99.0892,99.5,423.07,26.3153,2.149275,2.3186875,-1.941775,-0.0116173500000002,3.63621,413.3425,436.67125,11.38525,6.90871,13.767,20.7648,21.4,21.04415,19.3797,17.16405,16,12.94915,10.84835,22.9049,97.7967
7,1.25,0.8428,24.56105,5.3179,7.95241999999999,32.489,99.7258,99.5,423.428,26.3974,2.133,2.3016975,-1.8270225,0.00952374499999853,3.2958,412.93975,437.48375,13.013825,7.494805,14.768425,20.66,21.25,20.961975,19.380525,17.148125,16,12.948725,10.85,23.0475,99.3997
7,1.75,0.82346,24.5559,5.2742,4.2277375,37.39225,99.47825,99.5,425.355,26.3005,2.133695,2.3017025,-1.83443,0.0389102999999996,3.2707975,410.997,437.611,10.89575,6.8138375,12.9324,20.5568,21.230525,20.865725,19.393775,17.1318,16,12.94625,10.865725,22.999,97.85665
7,2.25,0.77585,24.13735,5.3842,9.84139250000001,31.1343,99.433575,99.5,425.8255,25.71695,2.1369575,2.323905,-1.7254775,0.0146159500000003,3.4425625,410.8245,436.7185,11.228325,6.5048575,11.8391,20.4472,21.197525,20.830525,19.333,17.16385,16,12.94625,10.848725,22.58295,97.2553
7,2.75,0.76383,24.437275,5.2746,5.81371749999999,27.90825,99.59705,99.5,427.465,25.614875,2.157315,2.31679,-1.50504,0.2809665,3.2836425,409.5735,434.92825,11.1216,5.4337,12.4568,20.2802,21.1318,20.8255,19.3818,17.142,16,12.94625,10.87925,21.989,98.39335
7,3.25,0.7213325,23.9875,5.31812,4.35472749999999,28.2899999999999,99.5873,99.5,432.09025,25.47115,2.1212,2.299975,-1.41029,0.0787617500000004,3.155665,410.42975,434.3515,10.87635,7.98871,13.68315,20.1474,21.045,20.7586,19.3483,17.1547,16,12.9653,10.85,21.728,99.71
7,3.75,0.76946,23.7986,5.42126,4.988865,30.3577999999998,99.70455,99.5,430.785,25.6189,2.2008875,2.3955575,-1.36715,0.132805249999999,3.372825,409.962,433.221,11.4325,6.40423,10.77665,20.0838,21.0264,20.7264,19.3483,17.1467,16,12.945,10.8483,21.8411,99.1625
7,4.25,0.7732575,23.8925,5.433775,4.72461999999999,30.9732,99.59175,99.5,431.595,25.5753,3.91031500000001,4.19602999999994,-1.29656,1.04811,3.914905,409.412,433.503,10.64105,4.6319,12.24325,20.0512,20.9603,20.7214,19.312,17.1475,16,12.9653,10.8653,21.959,99.88875
7,4.75,0.78822875,23.768575,5.5154625,21.692,22.3246,99.6789,99.5,433.421,25.5024,7.98300499999999,8.066325,-0.688882000000003,2.7260925,4.17612,409.694,432.863,11.517075,6.363745,13.35845,20.0234,20.883,20.6297,19.3153,17.15,16,12.9483,10.85,21.86345,99.821275
7,5.25,0.77587875,23.43585,5.3391,7.712325,23.96395,99.5269,99.5165,435.464,25.5812,46.5035,42.888,6.15108499999999,20.8254,10.4418,411.46375,432.81375,11.458,6.16019999999998,13.444325,19.9826,20.8797,20.583,19.2653,17.1708,16,12.9653,10.8483,21.61,99.9
7,5.75,0.80008875,23.604925,5.578925,20.8274,29.44015,99.861875,99.57,434.008,25.917,124.33125,114.7235,24.2192,59.69115,24.9161,412.838,432.923,10.725875,5.32909,11.7083,19.935,20.878,20.6086,19.2492,17.158,16,12.945,10.85,21.59655,99.8475
7,6.25,0.761029,23.584,5.43055,16.7826,58.55175,99.6554,99.6,436.55,25.877875,333.767,202.408,61.177,165.19025,40.324625,411.10625,433.857,9.73876,4.00144,10.0572,19.93,20.7797,20.5764,19.2272,17.1742,16,12.9483,10.85,21.46295,99.9
7,6.75,0.7880965,23.6986,5.43994,26.140975,80.8555,99.891,99.6,435.433,25.9262,504.642,283.1925,128.7505,252.124,57.1669,411.03725,434.593,8.90610499999999,2.66665,9.65375,19.9354,20.717,20.4983,19.2425,17.1814,16,12.9653,10.8483,21.86025,99.895
