DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
2,15.75,-1.791825,415.0580465,1.79955975,85.71385,11.138396,0.464384,47.86225,19.843,0.37549875,2.55745,0.29583,0.3805585,0.9178205,1.0196555,17.8125,11.30775,64.47,100.16,14.958,14.329,13.49675,12.5935,12.7215,17.86875,126.24,331.465,658.719,64.3105,326.555,79.42625,334.555,415.6875,256.5,-0.02077175,14.35,13.8175,13.1125,12.43,12.5575,15.2275,14.7175,13.5975,12.615,12.6475,13.59,12.935,12.55,12.295,12.4475,9.73246,19.1153,15.29005,2.4445,2.58875,1.5475,0.189,-0.2585,146.7175
2,16.25,-0.92937,415.0267755,1.548625,66.76775,11.037312,0.45064375,23.026,19.857575,0.286022,2.475025,0.277485,0.36031575,0.8592175,0.921935,17.4775,10.965,65.28,100.15,14.802,14.258,13.567,12.683,12.747,13.041,58.76175,232.3525,471.5308,48.08955,231.865,65.375075,336.1475,406.5775,183.1,-0.017798675,14.1975,13.7575,13.1775,12.49,12.5775,14.8375,14.4525,13.6325,12.6975,12.6575,13.6425,13.065,12.6625,12.36,12.46,7.28691,13.806425,11.839625,1.7475,2.24775,1.46425,0.25975,-0.236,67.14
2,16.75,0.137,415.792,1.472996,43.3155,11.10777,0.3765045,1.0022,19.552,0.30916525,2.2646,0.248785,0.3317605,0.803125,0.799806,16.915,10.34425,67.13475,100.14,14.492,14.077,13.548,12.728,12.747,8.7444,5.0041,133.1475,267.93615,29.239,132.065,44.183,331.825,395.5675,119.45,-0.0108974,13.9,13.665,13.1925,12.5375,12.585,14.415,14.205,13.685,12.7975,12.6875,13.6675,13.1,12.73,12.4325,12.505,5.400935,8.7136175,8.20586,0.90975,1.76675,1.35575,0.28875,-0.18,9.06
2,17.25,1.27255,417.394203,2.4735125,20.509,11.1400345,0.2682455,-3.2333,19.13275,0.43608875,1.781085,0.1969225,0.2644545,0.6825355,0.6352835,16.0355,9.29165,70.131,100.14,14.165,13.922725,13.49225,12.7545,12.7405,4.0757975,-22.71975,53.40825,102.9165,11.052,51.4225,20.291,331.555,382.815,64.7625,-0.0029976,13.5775,13.49,13.1125,12.5875,12.6075,14.015,13.92,13.63,12.8675,12.7175,13.5825,13.18,12.8125,12.485,12.5325,2.71912,3.3639375,4.917545,0.21575,1.3015,1.17875,0.32275,-0.137,-28.62
2,17.75,2.0297,421.111,4.388546,10.019125,11.20545,0.20444175,0.022832925,18.477725,0.6094935,1.414,0.155725,0.21422125,0.58973675,0.53905675,14.72175,7.765,74.28,100.14,13.783475,13.650075,13.40425,12.83,12.742,-0.145245,-26.8135,5.5332,17.54767875,0.5526,5.83245,3.34968,334.2275,373.1375,12.47,0.00068389425,13.235,13.245,12.9975,12.6275,12.6275,13.565,13.5575,13.505,12.895,12.725,13.495,13.2025,12.8825,12.57,12.6075,-0.617605,-1.590225,0.5971,-0.36625,0.688,0.951,0.339,-0.10225,-40.9375
2,18.25,2.430525,424.874488,6.49745875,7.361575,11.07121275,0.1898905,1.48225,17.653125,0.7155135,1.276675,0.1492105,0.19455175,0.52300975,0.5137155,13.5585,6.416775,78.8325,100.15,13.354225,13.388,13.24425,12.824,12.7385,-3.22005,0,0,0,0,0,0,331.235,366.99,0,-0.0009603475,12.9025,13.04,12.9525,12.6575,12.6175,13.02,13.1325,13.3575,12.8825,12.6975,13.245,13.1675,12.87,12.5575,12.62,-2.565755,-5.3456025,-2.648565,-0.78425,0.16225,0.65375,0.33475,-0.07775,-38.5925
2,18.75,2.52055,429.5005,7.77524425,7.4262,11.042164,0.184496,1.199625,16.894375,0.7314775,1.332325,0.1495825,0.1853045,0.5155325,0.50631225,12.748,5.34695,81.99,100.1675,13.0175,13.094425,13.141425,12.829,12.72375,-5.82725,-17.90475,0,0,0,0,0,332.405,365.1425,0,-0.00112074,12.6425,12.7675,12.8425,12.655,12.595,12.7775,12.975,13.16,12.8725,12.6625,13.12,13.04,12.845,12.5625,12.635,-4.265205,-6.744185,-5.378165,-0.978,-0.212,0.401,0.3035,-0.03475,-41.155
2,19.25,2.73775,432.179317,6.851352,5.0874,11.00401,0.18684875,-0.86025,16.46,0.63465875,1.360235,0.1459825,0.19167125,0.50991375,0.49163725,12.2065,4.7371,84.37025,100.18,12.723,12.86775,13.04025,12.8,12.72525,-6.8851,-17.62825,0,0,0,0,0,330.86,363.705,0,-0.000576782,12.395,12.595,12.7475,12.6625,12.5875,12.375,12.7275,12.9725,12.845,12.6625,12.825,12.9325,12.7975,12.575,12.6175,-4.696285,-7.8288,-6.33779,-1.15725,-0.38825,0.195,0.26175,-0.034,-38.395
2,19.75,2.8130825,433.628,5.4468565,4.652215,10.865176,0.16328375,-3.156075,16.1695,0.553796,1.404555,0.14637025,0.17493375,0.4833095,0.48865325,11.79425,4.213175,86.2135,100.19,12.51575,12.68325,12.90225,12.8035,12.74975,-7.725075,-16.2985,0,0,0,0,0,329.885,362.195,0,-0.0015764925,12.19,12.395,12.6625,12.6725,12.5875,12.1225,12.4825,12.87,12.8,12.6675,12.655,12.73,12.71,12.565,12.6125,-5.62062,-8.36703,-7.485075,-1.1895,-0.6235,-0.002,0.22,-0.0105,-35.8825
2,20.25,3.27007,434.204,5.3693,4.722275,10.76835,0.15755725,-5.02649,15.7955,0.546383,1.442375,0.1497425,0.18473475,0.478549,0.4730465,11.3165,3.8884,86.9515,100.2,12.28875,12.51475,12.83075,12.79125,12.75925,-8.2728,-17.418,0,0,0,0,0,331.875,361.53,0,-0.0032205375,12.05,12.2175,12.5925,12.675,12.5875,11.9325,12.2275,12.7175,12.765,12.64,12.56,12.6075,12.6525,12.56,12.61,-5.62062,-8.6973075,-7.677,-1.24775,-0.85225,-0.168,0.146,-0.00175,-35.5925
2,20.75,3.5348,436.6194235,4.95315,5.1859,10.714503,0.141907,-6.82905,15.531,0.5281525,1.502425,0.1585125,0.19434175,0.48661025,0.4701455,11.14375,3.68755,88.6585,100.2,12.155775,12.36775,12.73075,12.79825,12.76325,-8.6159,-15.979,0,0,0,0,0,331.935,361.8,0,-0.0039592075,11.8825,12.1575,12.5025,12.6675,12.59,11.82,12.06,12.61,12.73,12.6675,12.385,12.505,12.575,12.5675,12.63,-5.74497,-8.4608125,-7.52346,-1.27475,-0.9445,-0.325,0.09575,-0.0115,-31.575
2,21.25,3.566645,437.318,4.989765,4.654125,10.6067,0.154499,-5.51605,15.4135,0.52650975,1.52955,0.1614125,0.202088,0.50192375,0.4776295,10.875,3.525825,88.86325,100.21,11.9985,12.22775,12.6065,12.7585,12.78175,-8.834875,-16.895,0,0,0,0,0,332.47,360.43,0,-0.00435871,11.8275,12.0375,12.43,12.66,12.6,11.69,11.975,12.4675,12.69,12.6775,12.2425,12.4075,12.5025,12.5775,12.655,-6.10144,-8.3792625,-7.604495,-1.279,-1.0325,-0.407,0.04525,-0.034,-29.485
2,21.75,3.56055,438.047595,5.01810825,3.9682625,10.616447,0.14102,-5.634375,15.243,0.52265525,1.5433125,0.16402275,0.202779,0.506941,0.48792075,10.6095,3.35045,89.759,100.22,11.85175,12.1015,12.507,12.74025,12.798575,-9.10535,-15.75,0,0,0,0,0,333.37,360.1225,0,-0.00329956,11.74,11.91,12.37,12.6425,12.6,11.5775,11.825,12.365,12.6725,12.675,12.1475,12.295,12.4275,12.53,12.665,-6.171905,-8.3547975,-7.53199,-1.26475,-1.086,-0.4975,-0.01875,-0.034,-29.185
2,22.25,3.3979,437.54971575,5.2130725,4.09455,10.49708525,0.1487715,-6.15191,15.081,0.509367,1.591675,0.16197975,0.1997975,0.5069915,0.480164,10.40525,3.2784,90.0315,100.22,11.7245,11.9805,12.408,12.7185,12.8065,-9.2752,-13.98,0,0,0,0,0,333.975,359.74,0,-0.0037574,11.6775,11.87,12.33,12.6275,12.61,11.4925,11.74,12.29,12.65,12.6725,12.0475,12.245,12.4225,12.4975,12.68,-6.18434,-8.5831375,-7.96702,-1.3165,-1.1575,-0.56375,-0.0915,-0.0345,-26.5475
2,22.75,3.5549,439.265645,5.032776,4.13045,10.3684,0.1427765,-7.049125,14.883,0.508114,1.600275,0.171435,0.20626225,0.4948945,0.4838685,10.18025,3.112875,90.4775,100.23,11.65625,11.904675,12.31875,12.70775,12.815,-9.3449,-14.502,0,0,0,0,0,333.9,359.04,0,-0.0047094525,11.6,11.8,12.285,12.6025,12.6275,11.4075,11.6825,12.1775,12.625,12.6725,11.9825,12.125,12.3675,12.4925,12.6975,-6.188485,-8.6239125,-8.54706,-1.33925,-1.256,-0.63025,-0.14925,-0.0665,-24.9
2,23.25,3.7706,439.6013215,4.619704,4.22711,10.33028925,0.1386605,-7.898,14.7797,0.499647,1.65345,0.1720125,0.21492875,0.5030385,0.48528325,9.93925,3.048,90.8,100.23,11.557,11.7885,12.243,12.68075,12.8175,-9.604275,-16.91325,0,0,0,0,0,332.445,358.5525,0,-0.004183855,11.49,11.7475,12.2175,12.5525,12.635,11.3875,11.6275,12.12,12.5675,12.6675,11.925,12.0625,12.2975,12.4875,12.705,-6.20092,-9.41087,-8.696335,-1.358,-1.2755,-0.679,-0.20325,-0.102,-27.44
2,23.75,3.525335,439.09466125,4.75506875,4.5123,10.1956,0.14321525,-7.32251,14.6625,0.51523275,1.63725,0.1683475,0.21128175,0.50216175,0.49395,9.8112,2.979,90.67275,100.24,11.4405,11.68185,12.193,12.663,12.82685,-10.0027,-16.9395,0,0,0,0,0,334.885,357.63,0,-0.00465005,11.41,11.7075,12.175,12.5225,12.64,11.32,11.555,12.08,12.5625,12.6875,11.8725,12.0325,12.28,12.4825,12.7175,-6.64858,-9.41087,-9.24652,-1.4235,-1.41825,-0.73075,-0.23875,-0.1195,-28.4975
