DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,13.25,149.34125,0.665047,24.17145,-1.039535,-1.53296,-0.033045525,-0.339636,385.009,0.941890789,5.0609825,0.099865285,0.87172825,0.88576725,0.42698575,1.514685,0.28124075,12.225525,0.565532,13.5625,12.9275,88.48,10.3904198475,15.36,9.19,9.03,8.88,-1.402277,5.939553,529.224885,103.090865,314.2636825,1100.3045675,126.68546505
1,13.75,141.462,0.39558375,25.6581,-1.1438075,-1.5185825,-0.0339762,-0.320637,384.622,0.9375927645,5.06555,0.088157896,0.879582,0.877775,0.432255,1.57293,0.273353,12.7329,0.575049,14.365,12.79,88.4,10.71748623,15.4625,9.9325,9.525,9.28,-0.85668365,8.72368,532.70078,102.609825,297.931066,1102.880798,125.2548995
1,14.25,134.68375,0.359242,26.749225,-1.58132,-1.34284,-0.0310606,-0.330418,385.198,0.8757145235,4.8323075,0.0864236265,0.93918475,0.90163075,0.43137175,1.623625,0.29895025,12.996675,0.533801,14.5975,12.2275,88.4,11.0084021175,16.91,10.7,10.29,9.86,0.705681,10.671355,477.202475,92.212616,271.528511,1024.996409,111.10225785
1,14.75,114.8555,-0.11309425,23.0671,-1.1509525,-1.083705,-0.027272675,-0.3324735,385.0655,0.789683148,4.763595,0.093271741,0.961105,0.911672,0.420691,1.630185,0.2889495,13.3947,0.501836,14.465,12.01998283,88.4,11.1374127925,16.6225,11.345,10.6825,10.2275,1.1169606515,11.1486575,407.8637975,80.5296075,228.288454,856.411949175,94.626048675
1,15.25,86.360525,-0.38010825,21.666,-1.00232,-0.9845775,-0.0249581,-0.318929,384.518,0.625979774,4.8421,0.085822207,0.9120755,0.88872375,0.4006355,1.7300775,0.28772325,13.67775,0.40688425,14.2575,12.2325,88.4,11.277098855,16.0825,11.7775,10.93,10.1825,2.13805925,11.87328,314.671695,62.334751,151.103064,671.8007717,77.055610725
1,15.75,59.0076,-1.1538875,17.93705,-0.939052,-0.75076075,-0.0229488,-0.3373155,384.494,0.54857287225,4.926875,0.0794186525,0.861042,0.8311615,0.3853565,1.88631,0.300631,13.4115,0.340487,14.2625,12.46221592,88.4,10.68193921,15.6575,12.0125,11.01,10.15,3.3200245,12.2795625,270.53259,51.1730425,115.249214,558.904353925,63.57439175
1,16.25,30.75295,-1.58379,14.3852,-0.699209,-0.4698105,-0.0192116,-0.30427475,386.08175,0.430395801,4.8436975,0.07736292,0.81319375,0.752665,0.34655425,1.906335,0.2783625,13.315775,0.259764,13.9025,12.7675,88.4,10.2345191425,15.23,12.1,11.16,9.99,3.2406525,12.2631175,162.0894275,34.2200685,43.845099,348.17456825,40.247550975
1,16.75,5.02022,-2.375805,10.168575,-0.42294325,-0.200078,-0.012575,-0.283391,385.61,0.313640207,4.84356,0.0634385315,0.682492,0.654512,0.314449,1.98358,0.249452,12.7392,0.199368,13.1975,13.0625,88.4,9.486937893,13.7675,11.995,10.9825,9.7525,3.1344065,11.717135,90.35743,19.7976475,-12.140669,192.393279125,22.919281575
1,17.25,-11.1067,-3.15824,5.12509,-0.390566,0.0529339,-0.00148665,-0.219883,385.9025,0.305414367,4.997565,0.057867382,0.598452,0.484442,0.242517,1.793175,0.195091,12.1606,0.1789525,12.3175,14.26231642,88.4,8.37643168525,11.9475,11.575,10.605,9.6525,2.81692525,10.094749,35.304967,9.1882492,-54.2751482,69.25187915,9.6438368375
1,17.75,-26.997825,-4.70448,2.33641,-0.0767916,0.114446,0.008486035,-0.18193325,386.26,0.4983904845,5.197515,0.05558809375,0.46029725,0.42463675,0.1584525,1.441485,0.13696225,11.3475,0.24457,10.9525,16.42,88.4525,7.534535061,9.7,10.98,10.34,9.19,3.11675275,7.34659325,0,0,-80.2264361,11.9423105975,2.473676175
