DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
1,12.75,410.7091,0.5308495,3.612994,0.1019913,-5.88576875,37.913505,80.1960075,21.4110325,23.6058525,2.1754365,0.409834,-0.61220015,1.041769,0.87808145,0.5292662,97.78177,10.5893875,24.59641,10.455585,23.37271,7.072786,11.24163,0.3287656,10.1909775,10.6051,11.0573275,153.19175,141.540075,434.421925,191.9648,28.89589,266.6947,380.842625
1,13.25,410.59965,0.5419653,3.13948625,0.08741619,-5.7984455,36.918925,77.780705,33.18377,32.31312,2.424415,0.4371429,-0.64261765,1.0710285,0.8786603,0.52894885,97.70762,11.07844,23.03515,10.98111,20.88092,7.63325,11.71842,0.35231815,10.8012025,11.298425,11.2833425,144.4107,128.858575,398.63515,182.394675,29.4296275,268.9075,389.451425
1,13.75,410.2393,0.5165908,3.57766525,0.09048825,-6.1192685,39.633015,74.200685,26.0462475,22.18403,2.406547,0.45727835,-0.6342124,1.09566725,0.924713925,0.544946375,97.65832,11.4556,22.5809,11.6125025,20.4548225,7.660913,11.7481325,0.34565635,11.4855025,12.0113775,11.37861,160.4051,142.678575,445.45565,207.061775,33.77396,271.3274,390.00105
1,14.25,410.7253,0.486112425,3.5204465,0.099503545,-5.80472,34.790535,86.23813,30.6571825,35.221035,2.2977505,0.422000875,-0.620515,1.0498585,0.96651875,0.53138525,97.62086,11.34332,21.403655,11.8666325,20.9171675,7.9720255,12.357145,0.301335975,11.9293,12.6309875,11.5074275,146.7111,136.4972,453.72325,205.7042,32.16341,273.1129,391.18255
1,14.75,410.4201,0.503374475,3.691996,0.09008381,-4.9076,31.3042525,79.37681,24.13368,11.83546,2.3303165,0.4146058,-0.651462025,1.043977,0.895041525,0.49590815,97.57763,11.57692,23.285775,12.1628025,20.671805,8.27611,12.61011,0.2731904,12.201225,13.174925,11.76002,125.2731,106.70535,353.83445,155.15855,25.89378,272.91235,390.6305
1,15.25,410.60485,0.48034065,3.47333325,0.08166399,-4.432657,31.54837,69.55788,22.69173,10.50299,2.201565,0.40645175,-0.576315,1.01918375,0.84163545,0.494880225,97.56651,11.78572,24.0336875,12.25789,20.4721575,8.3086735,12.63413,0.2588522,12.34147,13.51832,12.15004,91.8372,85.580565,285.78545,129.9816,19.617,271.53855,389.43295
1,15.75,410.49485,0.400529575,3.72102625,0.07253151,-3.9468555,24.325055,42.36565,8.285666,-1.054749,2.1127375,0.38718685,-0.51179945,0.9789215,0.84350975,0.47195675,97.54209,11.7953275,24.0226425,12.1742025,19.4542275,8.31429475,12.697145,0.2149331,12.45927,13.7003,12.25517,76.44839,60.74976,255.21175,112.39085,17.2348275,270.9478,383.35885
1,16.25,410.64625,0.4039907,3.3257495,0.06214767,-3.06397925,20.5743575,26.0139875,-1.58472575,-9.587313,1.98903125,0.34592385,-0.5012205,0.8659755,0.715895325,0.415505875,97.53561,11.71032,23.04271,12.300305,18.55888,8.20736575,12.773715,0.158462325,12.62131,13.64407,12.496245,38.63741,36.84257,158.56225,71.22491,14.85443,269.2473,379.0772
1,16.75,411.31115,0.321407975,3.809684,0.065155775,-1.931055,14.3166725,1.87905445,-9.12328,-18.564915,1.89226425,0.32141915,-0.416247325,0.8092731,0.631110525,0.387855925,97.53457,11.64737,23.1137525,12.2300275,19.66306,8.055472,12.60849,0.106832075,12.69013,13.62738,12.505575,7.849253,11.098945,121.8791,52.561305,12.615695,267.19015,373.23965
1,17.25,411.995825,0.28366405,3.896907,0.05110848,-0.9327847,9.77908925,-20.0473125,-25.281025,-31.02065,1.69989,0.278402425,-0.3175842,0.6625374,0.49319865,0.3326322,97.55173,11.20737,23.40809,11.9094,21.44168,8.197824,12.334355,0.11563745,12.78762,13.494885,12.72148,-36.48252,-23.17886,60.829315,27.5452825,6.6410275,265.64125,369.03505
1,17.75,412.3125,0.24051685,3.834861,0.03954906,0.1875424,5.652725,-35.95393,-49.06481,-51.93584,1.3961525,0.1947427,-0.213501575,0.50145155,0.4157081,0.24897065,97.560415,10.4904475,24.72694,11.407645,22.5841225,7.7445655,11.90242,0.18943175,12.605585,12.92424,12.8181,-66.0944625,-72.068495,15.101725,6.892555,1.2170555,264.1581,357.63065
