DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
3,4.75,-1.45425,-1.304,-30.58407757,1.691483434,0.0783,0.405887348,0.39329199045,0.1234903942,-8.896290525,0.223271051425,-0.059625,53.655,-7.2635,-0.62325,-0.90925,-0.316,-1.5675,-58.735,-3.5635,-0.06225,218.525,263.225,0,0
3,5.25,-1.47,-1.304,-26.137364225,1.641368164,0.08315,0.4274937732,0.43749851925,0.13283077035,-8.6773154,0.1675696933,-0.0583,55.0525,-7.30075,-0.61975,-0.92975,-0.2795,-1.544,-61.5425,-3.57175,-0.06325,218.775,264.25,0,0
3,5.75,-1.47,-1.30325,-31.371420085,1.8474439635,0.0947,0.4206780624,0.48999575215,0.11784518935,-8.6643783,0.2150403504,-0.0779,58.55,-7.49525,-0.62725,-0.91075,-0.3235,-1.55625,-58.7375,-3.6185,-0.043,217.775,263.3,0,0
3,6.25,-1.47,-1.30325,-25.4227410075,1.49565077825,0.10059137125,0.460364149425,0.444456988925,0.131425921025,-8.9223655,0.1838646463,-0.064,58.4025,-7.3755,-0.6335,-0.9285,-0.29275,-1.55875,-61.2475,-2.38125,0.24475,217.55,262.575,0,0.187
3,6.75,-1.47,-1.30325,-26.973557825,1.697845099,0.093,0.4577801805,0.44930099455,0.13133911745,-9.31484175,0.1555197616,-0.0522,57.255,-7.5095,-0.60175,-0.91625,-0.29825,-1.544,-58.8275,1.24125,2.61125,217.175,264.3,3.81425,4.62
3,7.25,-1.47,-1.3025,-23.306199915,1.297867624,0.08855,0.39904788955,0.42049740585,0.12488391635,-8.90583975,0.16596217095,-0.0738,56.855,-7.4945,-0.6165,-0.91625,-0.2795,-1.4745,-43.4925,21.9625,20.1175,220.475,269.8,40.52,43.07
3,7.75,-1.47,-1.3025,-31.289339235,1.514238694,0.0971597285,0.44853416145,0.3999236622,0.13844340075,-8.32736045,0.1632395846,-0.08025,56.06,-7.30225,-0.608,-0.92675,-0.26175,-1.44175,-25.395,55.6325,47.115,221.35,270.975,112.925,108.275
3,8.25,-1.47,-1.30225,-25.01168604,1.9168931455,0.0981031205,0.47525959315,0.42760542065,0.14247115275,-8.0507367,0.12489931845,-0.09275,52.7125,-6.749,-0.6305,-0.898,-0.271,-1.46175,-12.05,106.375,89.425,210.875,273.575,218.375,203.8
3,8.75,-1.47,-1.30225,-22.1011344075,2.159746568,0.1136507035,0.5435150069,0.572797007475,0.173919601325,-7.377760275,0.1469808316,-0.0901,51.015,-6.2395,-0.625,-0.92925,-0.29875,-1.43375,1.6435,148.95,113.45,217.725,279.625,300.65,264.725
3,9.25,-1.47,-1.30225,-28.04671778,2.208066713,0.140467875,0.6124454911,0.69509462535,0.18288477795,-7.1457171,0.16197256125,-0.1042337665,52.13,-6.05125,-0.638,-0.922,-0.291,-1.4685,13.645,217.325,174.225,218.4,282.675,453.6,393.15
3,9.75,-1.46925,-1.3015,-23.179393005,2.8292222865,0.17721400275,0.750971558575,0.745634180075,0.231624333025,-6.436741775,0.169895922125,-0.11750109925,49.3675,-5.91225,-0.63175,-0.92925,-0.291,-1.44625,23.81,263.6,161.8,221.2,285.3,546.275,498.3
3,10.25,-1.46925,-1.2995,-15.72753792,2.910137723,0.175030399,0.7802173947,0.7214200905,0.2626785107,-6.1982776,0.1760681686,-0.121168487,46.755,-5.24025,-0.62575,-0.906,-0.29275,-1.44225,32.91,288.1,170.225,223.575,285.875,546.9,506.125
3,10.75,-1.46925,-1.2995,-16.411665975,2.581848986,0.1771950585,0.7718207845,0.79826076545,0.244281937925,-6.2945304,0.158331380025,-0.12932597425,45.955,-4.91275,-0.61225,-0.912,-0.27075,-1.4395,30.145,339.7,190.4,225.825,287.775,677.3,593.1
3,11.25,-1.46925,-1.29925,-9.89531598825,2.630166061,0.16539290475,0.772640555125,0.875210083075,0.249932257925,-5.9881781,0.174927854,-0.107851413,47.2475,-4.6235,-0.61975,-0.9085,-0.28125,-1.3985,37.395,387.475,198.65,228,289.375,781.875,628.6
3,11.75,-1.469,-1.29925,-14.700458895,2.6128709915,0.187929634,0.82336146285,0.8763488487,0.25200081635,-5.7414984,0.18649189285,-0.114761301,45.955,-4.336,-0.6305,-0.91975,-0.268,-1.45725,39.54,390.075,191,228.925,290.575,838.15,639.175
3,12.25,-1.469,-1.29925,-14.72286064,2.6585173445,0.166449808,0.8210271128,0.89365331755,0.25256664875,-5.37168995,0.19390565125,-0.1198691515,44.17,-3.989,-0.63875,-0.9245,-0.26675,-1.432,37.57,372.6,181.75,229.55,293.425,779.925,586.6
3,12.75,-1.46375,-1.29925,-18.232962685,2.688506334,0.1742246625,0.832331141375,0.9357802216,0.273660098125,-5.041426775,0.187882375225,-0.13857066875,42.575,-3.89375,-0.62275,-0.90975,-0.297,-1.4295,36.58,370.3,170.6,229.975,294.3,751.375,606.3
3,13.25,-1.466,-1.29925,-23.26006932,3.26308625,0.191231627,0.8628680525,0.9584572781,0.2854820485,-4.9412904,0.2140093456,-0.151016681,42.24,-3.82475,-0.62425,-0.9105,-0.29225,-1.41725,33.94,380.575,154.9,231.45,295.6,721.125,563.525
3,13.75,-1.4395,-1.29925,-28.17643325,2.853521884,0.194596258,0.9008303233,0.931679697,0.29453341945,-4.7165393,0.2142396749,-0.139506819,41.385,-2.92375,-0.63575,-0.922,-0.2905,-1.41375,37.66,328.225,143.2,232.65,293.375,682.85,533.625
3,14.25,-1.374,-1.2995,-17.03288034,2.8967885275,0.1870062805,0.7411893235,0.97256458435,0.27275864445,-5.64080345,0.2078460969,-0.142431652,41.385,-3.21225,-0.638,-0.929,-0.3005,-1.39425,28.875,341.45,143.3,233.1,295.725,692.625,448.275
3,14.75,-1.36675,-1.29925,-17.66643768,2.754907966,0.161826525,0.8231578529,0.94650609335,0.2462298218,-5.6565923,0.20625767455,-0.1404401335,41.6625,-3.51675,-0.61475,-0.91375,-0.265,-1.39025,24.27,280.5,120,227.8,294.35,576.225,447.925
