DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
3,17.25,0.951,11.2,4.39175,-0.1725,-0.3195,0.175,75.6165,-4.5675,61.19075,2.673,9.855,4.606,3.7675,40.89,77.99,387.965,9.8325,116.7,537.2,275.7,29.89,260.101,356.5,5.1795,191.1
3,17.75,0.8195,10.58,4.0425,0.484,0.353,0.191,24.259,-6.36225,45.313,2.572,6.7765,4.2615,3.7505,40.71,77.97,388.25775,9.515,8.59,275.9,150.1,22.07,258.101,351.1,5.084,131.5
3,18.25,0.728,9.71,3.643,1.103,0.686,0.368,-10.39325,-7.81975,26.58675,3.03475,4.82,4.0035,3.7045,43.15,77.98,388.53075,8.71,-49.62,78.97,46.16,9.96,257,345.8,5.375,66.08
3,18.75,0.611,8.1125,3.28025,1.92725,1.29825,0.78475,-5.719,-8.7135,15.9245,3.056,-0.4425,3.613,3.6365,46.17,77.98,389.198,7.8975,-90.4,4.777,0.006,2.129,249.7,339.4,5.2995,7.14
3,19.25,0.6075,6.97975,3.16675,2.025,1.431,0.828,-7.01825,-6.52,8.8155,1.68625,-1.497,3.2075,3.5555,51.63,77.991,389.506,7.145,-92.3,0.502,-3.14725,2.53525,245.4,334.4,5.4805,0.39
3,19.75,0.642,6.101,3.2095,1.82875,1.50375,0.436,-6.07,-3.1485,7.516,1.418,-1.5295,2.895,3.4635,55.11,78.01,390.217,6.83,-91.7,0.496,-3.05675,2.80725,242.7,331.3,5.41525,0.39
3,20.25,0.573,5.91375,2.99725,1.587,1.354,0.407,-4.53075,-2.585,7.2935,0.9535,-1.5915,2.642,3.355,59.46,78.03,390.395,6.635,-83.5,0.49,-2.846,3.141,245.5,330.1,5.493,0.39
3,20.75,0.5305,5.561,3.11425,1.4465,1.242,0.303,-4.471,-1.662,6.9985,1.21825,-1.663,2.4215,3.2325,60.65,78.05,390.539,6.3825,-77.02,0.49,-2.603,3.281,247.1,328.7,5.347,0.385
3,21.25,0.532,5.25,2.99775,1.3105,1.2,0.254,-3.092,-0.845,6.59875,1.5375,-1.7285,2.226,3.134,59.84,78.07,390.588,5.9925,-75.03,0.48,-2.31,3.607,253.9,326.5,5.56825,0.385
3,21.75,0.474,4.903,2.936,1.374,1.158,0.243,-2.45225,-0.515,6.50575,1.905,-1.7615,2.025,3.0125,59.75,78.08,390.686,6.04,-77.04,0.491,-2.251,3.654,249.2,325.1,5.6785,0.385
3,22.25,0.522,4.555,3.088,1.266,1.27125,0.2035,-4.381,-0.077,7.987,0.86,-1.755,1.797,2.9145,63.21,78.08,390.97175,5.86,-78.99,0.485,-2.137,3.372,250.9,323.2,5.4965,0.39
3,22.75,0.545,4.123,3.102,1.375,1.3625,0.2175,-2.996,-0.167,7.6125,0.9715,-1.754,1.601,2.801,63.15,78.071,391.28325,5.5,-81,0.485,-2.306,3.432,248.7,320.6,5.531,0.385
3,23.25,0.4495,3.877,2.923,1.31375,1.18375,0.23625,-3.004,0.588,6.633,1.46175,-1.7535,1.4635,2.6825,64.69,78.06,391.49475,5.25,-73.54,0.48,-2.265,3.504,250.5,320.1,5.5395,0.385
3,23.75,0.47625,3.843,2.907,1.09375,0.985,0.15325,-2.525,0.168,5.6815,1.0265,-1.7495,1.3815,2.5695,68.63,78.071,391.38825,5.28,-75.11,0.48,-2.138,3.571,244.6,319.3,5.4855,0.385
4,0.25,0.483,6.433,3.105,1.912,1.80875,0.219,-3.29575,0.326,6.19425,1.182,-9.855,6.1215,7.34525,61.64,77.9475,394.48,6.285,-91.025,0.50075,-2.29125,3.71175,252.8,335.025,5.4715,0.385
4,0.75,0.52575,6.128,3.087,1.89125,1.71025,0.22075,-3.959,0.48225,6.25825,1.43325,-10.82,5.892,7.2165,62.37,77.9375,394.79825,6.1725,-86.075,0.496,-2.26725,3.758,252.175,332.775,5.6945,0.385
