DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
12,18.25,-0.0975,1.199915,115.4165,-1.126,3.9345,0.29976,26.4133,25.2282,99.9225,42.4979,17.1805,392.059,14.1208,1.00501,0.883976,0.375286,0.2445,7e-04,0.4994,746
12,18.75,-0.07055,-7.872375,83.3225,0.3026,3.3866,0.2522605,26.09275,24.7582,99.9098,43.9204,16.1434,392.99,14.2259,0.863836,0.7172925,0.338708,0.2405965,6e-04,0.4507,390
12,19.25,-0.0438,-13.08345,50.3911,1.73216,3.012185,0.2010035,25.1781,23.8902,99.93445,46.77035,14.4703,395.2455,14.3517,0.7243155,0.530414,0.281395,0.314454,0.0012,0.40125,280
12,19.75,-0.0221,-12.7675,23.8663,2.96305,2.4743,0.153137,24.13,22.7735,99.9524,54.5119,11.97425,398.898,14.7812,0.546341,0.4426,0.2227,0.402988,0.0023,0.316,140
12,20.25,-0.00945,-14.45075,14.2832,4.6775,2.15793,0.1243,22.96885,21.6135,99.9999,61.4743,10.0527,407.617,14.9452,0.451527,0.3775105,0.1794655,0.430887,0.0031,0.2436,0
12,20.75,-0.00815,-15.4439,10.007235,5.37912,2.1873,0.126598,22.178,20.6511,100,66.3913,8.15132,416.731,15.16275,0.4084,0.404101,0.17072,0.3873,0.0033,0.2297,0
12,21.25,-0.0116,-15.0901,10.4358,5.123015,2.22101,0.14344,21.33385,19.8985,100.014,71.6896,7.54212,422.938,14.8428,0.4412735,0.3829955,0.1811425,0.3601475,0.0029,0.2068,0
12,21.75,-0.016,-15.876,10.71115,5.292165,2.2049,0.148415,20.8713,19.442,100.0895,74.36115,6.722895,425.279,14.99485,0.4818,0.396805,0.195762,0.327438,0.00325,0.1813,0
12,22.25,-0.0128,-14.0427,9.247,5.2296,2.189,0.149311,20.318,18.9561,100.1,74.198,6.19763,427.4465,14.8565,0.473,0.4237,0.2086,0.322825,0.00315,0.1462,0
12,22.75,-0.02,-15.14785,10.1647,5.52906,2.23681,0.156008,19.66555,18.41155,100.154,75.088,5.89948,428.049,14.8478,0.482792,0.417381,0.199601,0.32895,0.0031,0.1408,0
12,23.25,-0.0192,-15.05365,11.3749,5.4996,2.26248,0.1665,19.3202,18.2542,100.126,78.06245,5.0449,427.35,14.899,0.48913,0.4444,0.209,0.304304,0.00285,0.1647,0
12,23.75,-0.01955,-18.0127,7.1539,5.650785,2.287135,0.1614615,19.1293,17.91125,100.148,82.4773,4.54759,427.832,14.9353,0.5318295,0.4539225,0.218247,0.310578,0.00325,0.14075,0
