DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
2,16.75,-32.0185,98.8485,2.1093,100.325,2.18105,2.35315,-26.829,0,1.04905,169.115,188.24,0.002497075,-31.3975,-18.0515,-17.638,-17.3665,-16.69,-10.791,-0.43984
2,17.25,-31.549,99.019,2.18775,100.3325,0.331395,0.36692,-27.661,0,0,168.81,187.48,0.001386,-31.3915,-18.0285,-17.63,-17.3615,-16.68,-10.932,-0.317765
2,17.75,-31.725,99.0515,1.92635,100.3125,0,0,-28.427,0,0,167.615,187.575,0.001367375,-31.4835,-18.015,-17.6235,-17.35,-16.6715,-10.909,-0.44439
2,18.25,-31.584,99.15,1.7905,100.3025,0,0,-26.926,0,0,167.79,187.87,0.0013925,-31.5385,-18.085,-17.6315,-17.3465,-16.6715,-10.9795,-0.435125
2,18.75,-31.7735,99.203,2.10915,100.32,0,0,-27.75,-0.020869,0,168.8,185.25,0.0018441,-31.658,-18.067,-17.6485,-17.325,-16.6585,-11.1685,-0.44439
2,19.25,-31.9625,99.1735,2.09125,100.315,0,0,-27.734,-0.43742,0,168.28,184.62,0.0013785,-31.8315,-18.055,-17.66,-17.312,-16.6435,-11.6395,-0.538835
2,19.75,-31.9865,99.1915,2.0229,100.3175,0,0,-24.5495,-0.0415665,0,170.99,184.76,0.0013285,-31.8725,-18.0415,-17.67,-17.298,-16.635,-11.71,-0.43984
2,20.25,-32.3355,99.1475,2.19895,100.3125,0,0,-20.981,-0.12492,0,170.395,184.015,0.0015649,-32.033,-18.065,-17.68,-17.2915,-16.638,-11.7335,-0.366525
2,20.75,-31.971,99.2315,2.2136,100.295,0,0,-19.05,-0.093881,0,169.47,186.035,0.00084632,-31.3335,-18.097,-17.695,-17.3015,-16.635,-11.333,-0.32594
2,21.25,-31.7465,99.285,2.18375,100.3025,0,0,-16.2315,0,0,166.3,185.66,0.0016326,-31.49,-18.158,-17.685,-17.31,-16.6315,-10.72,-0.29322
