DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,PPFD_IN,SW_IN
4,8.75,-4.32048942299266,-49.5013114755706,-1.7660355025098,-26.4934545,-56.576721,-15.00846,-14.531116,15.0496324108885,0,64.45564575,0.1894908,1.3511,356.650389737473,1.7550326745069,-5.869068125,214.686078333333,98.1157788333333
4,9.25,0.378161949126261,-38.4240063873927,-0.778500560970133,-21.7190875,-43.327496,-14.68729975,-14.199961,14.7571076118613,0,64.491191,0.2103655,1.132050025,356.980705713714,1.82105851362453,-5.76265975,296.221306666667,102.42468975
4,9.75,-4.04392689975529,-25.9665647519939,-1.37255807534512,-16.117324,-73.731182,-13.90422975,-13.77687125,13.5461585621822,0,64.502493,0.21284991,0.91038231,357.276563446588,1.90152989509241,-5.3935719,350.167081666667,147.6436875
4,10.25,6.89034628106119,-32.9541559084692,-1.35408288361315,-13.821314,-74.17248975,-14.393966,-13.66465375,13.7251515313551,0,64.553595,0.198298,1.2103917,356.797952328341,1.94752175393561,-4.846795,361.676018333333,155.403214166667
4,10.75,3.76247279072587,-27.350778053598,-1.63602115135165,-13.974648,-88.30541375,-13.999074,-13.5887875,12.9402592806775,0,64.56257925,0.2014182925,1.11996835,356.982178595203,1.96008591770014,-4.51496375,442.434376666667,169.455590833334
4,11.25,-5.22028593880134,-16.8508546311163,-1.04657245050483,-9.892384,-61.8740185,-14.185092,-13.263759,12.2101850247996,0,64.52682975,0.2331158575,1.394451,357.022325930194,1.97556099808999,-4.330514175,524.61689,191.316488333333
4,11.75,3.22492989498036,-15.3999708748108,-1.24935070867488,-9.24747737499999,-53.049772,-13.83351475,-13.361328,12.5602589482715,0,64.56282,0.2586821,1.539830475,356.948251195819,2.07646710584974,-3.46203975,492.260131666667,216.553619166667
4,12.25,5.50945853513232,-17.1716212028657,-2.48310862097119,-9.918892225,-54.931858,-13.787658,-13.4983,11.1317886295161,0,64.5461675,0.2309886575,1.3329432,357.011606245274,2.0716591354426,-3.2355407,533.32657,202.7297575
4,12.75,2.95791605500142,-18.7523077295015,-1.66390657311597,-13.9479355,-61.302328,-13.71654025,-13.25812875,10.607326326692,0,64.54690375,0.22902724,1.452142875,357.362652670914,2.15579727829626,-2.88814955,535.6368445,142.73837
4,13.25,-7.85098681915968,-25.1870236435451,-1.32519420449517,-14.378027,-61.155397,-13.565198,-13.1950625,9.48978394716402,0,64.60116,0.242391935,1.5927538,357.604036961276,2.07661462511452,-2.59890455,503.706881166667,118.0493775
4,13.75,1.97554652621698,-26.6827657840334,-2.05976935993286,-18.1830525,-58.319514,-13.27769075,-13.132273,8.90964597805669,0,64.5939145,0.2206006,1.287903325,357.766020471629,2.02607915526442,-2.233784525,484.933725,91.61299375
4,14.25,-15.6529710461599,-29.1206022965716,-2.0583926387689,-18.34205,-53.69653475,-13.179,-13.071172,9.33749914807424,0,64.6288275,0.2192309925,1.31006475,356.338957136572,2.1787990723368,-2.113831525,378.6555525,79.4233365
4,14.75,-6.88763609539109,-29.2778925183941,-2.98379063817735,-18.420248,-45.8040005,-12.76487775,-12.729534,10.749976178993,0,64.6642955,0.18846393,1.16161275,357.249305174039,2.26867094812529,-2.06846235,303.150196,62.0027074166667
4,15.25,-9.43045325449502,-27.6708906830673,-3.30790370150832,-20.390974,-48.453495,-12.757643,-12.583096,11.3816565946718,0,64.63101375,0.19330567,1.122103825,357.378584692512,2.20561022721156,-2.0733024,240.266076333333,63.5620489166667
4,15.75,-20.6918161431878,-43.6285785751316,-1.8152272488561,-32.32190625,-40.94379875,-13.265381,-13.20387875,11.5210187112631,0,64.64967925,0.1752610075,0.79965535,357.143287201451,2.18001647724903,-1.898253875,180.34569375,50.1191418333334
4,16.25,-40.4055607631773,-49.8346918053052,-2.34646154985674,-40.01145,-31.8190325,-13.260861,-13.1902825,11.0200927661303,0,64.6090175,0.1818688725,1.07374585,357.56492882332,2.18263713086201,-1.75704075,149.54945,37.0397915
4,16.75,-33.869698300283,-65.4021360397849,-2.61052289871065,-44.42039075,-33.76573375,-13.589183,-13.03677875,12.168102546369,0,64.64038425,0.1601478275,0.913649265,357.847184338407,2.09423670815021,-1.66354925,84.6871116666667,28.6173635
4,17.25,-19.7264509810451,-72.6273823242152,-1.74911063904678,-52.87236,-45.7456775,-13.9416655,-13.82257125,13.3384011583123,0,64.6632025,0.1629115,0.680077235,357.47153808585,1.93272409977849,-1.7803565,46.7775245833333,14.5316806666667
4,17.75,-27.0738499088603,-71.0961425964494,-2.96909691611633,-60.70779375,-78.6137565,-14.13255525,-14.285862,14.7697449001359,0,64.664945,0.12364128,0.8559468,357.350226274677,1.94950817240684,-1.9362369,24.1919220833333,7.74935555833334
4,18.25,-39.5900538027789,-74.6096749360732,-1.73080122857229,-68.0736155,-112.6773,-14.470924,-14.72853625,16.2342624070929,0,64.6777225,0.1315444325,0.67567214,357.162499398892,1.9177321227775,-2.086469125,10.5749611666667,1.90327748333334
4,18.75,-51.071529995107,-90.5431765230951,-1.56410805974394,-71.38189,-127.13974,-15.020332,-15.227894,17.6728326553413,0,64.659455,0.105083665,0.66231207,357.19953916287,1.94370821982148,-2.37185375,3.78287517608333,0.073502975
4,19.25,-37.6617913670564,-80.7442298324188,-1.69666958327661,-74.6971875,-131.0148625,-15.206306,-15.34617125,17.8093562983719,0,64.6853825,0.10323306,0.75694028,357.296406628611,1.90637667451918,-2.824034125,1.36415700403333,0
4,19.75,-29.4591738423935,-86.4897383114118,-1.81939029583226,-74.365845,-130.00832,-14.112295,-15.397276,17.9798385878641,0,64.691652,0.12644947,0.6569336475,356.846262932982,1.86426349681851,-3.25863725,0.192284061441667,0
4,20.25,-28.5499856887687,-82.8592174905946,-1.79565567992486,-77.214109,-126.65019,-14.46310625,-15.50113,17.6251952410738,0,64.7376065,0.11877535,0.6134005125,356.970932781568,1.82256381131926,-3.5059975,0.00247340674583333,0
4,20.75,-42.2626285372874,-90.0714723836532,-3.42622913358175,-77.643915,-126.24436,-14.867322,-15.717744,16.5542420342952,0,64.78264025,0.112268125,0.57591253,356.963580902987,1.91424357392427,-3.730929625,-0.000946484408333333,0
