DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,5.25,5.25055,0.6092,0,0,27.3822,102.2172,-15.2659,0.0403,460.4146,0.0168,1881.2786,-0.152,-0.152,0,0.0312,0.1346,201.935,218.056,0.0131,0,-7.2954,-4.9219,-8.2227,-6.8964,-15.7273,-15.7613,-16.5286,-16.0321,-12.5896,-16.0929,-14.7762,-13.6065,-13.2029,-14.2106,-13.9956,-11.8351,-14.4896,-13.7352,-12.7079,-12.625,-12.7789,-12.9258
1,5.75,5.2108,0.6275,0,0,38.5358,102.2467,-15.62625,0.0464,461.7181,0.0157,1876.9446,-0.3758,-0.3758,0,-0.0372,0.188,203.411,218.805,0.0103,0,-7.4141,-4.9694,-8.142,-6.9924,-15.7413,-15.7572,-16.5417,-16.019,-12.60455,-16.13215,-14.8045,-13.62525,-13.20735,-14.2498,-13.9981,-11.8421,-14.5097,-13.74565,-12.72455,-12.62905,-12.8014,-12.9304
1,6.25,5.4182,0.6479,0,0,29.71325,102.2667,-15.9553,0.036,460.5892,0.0223,1867.0259,-0.3373,-0.3373,0,-0.0335,0.1614,205.325,219.653,0.0085,0,-7.2175,-4.9785,-8.2523,-6.993,-15.7721,-15.7731,-16.5266,-16.0568,-12.6031,-16.13785,-14.80595,-13.6279,-13.19415,-14.2472,-13.998,-11.84975,-14.50765,-13.74095,-12.7301,-12.6193,-12.79755,-12.92675
1,6.75,5.46195,0.6108,0,0,38.09795,102.27,-15.5325,0.0385,467.5832,0.0164,1863.83465,0.18145,0.18145,0,-0.042,0.1463,204.988,219.703,0.0123,0,-7.3143,-4.8851,-8.1862,-7.0524,-15.7797,-15.7731,-16.5344,-16.0576,-12.62025,-16.12385,-14.7985,-13.6177,-13.19135,-14.2397,-13.99525,-11.8602,-14.4956,-13.751,-12.7405,-12.6161,-12.7939,-12.93035
1,7.25,5.6739,0.6032,0,0,38.4445,102.26975,-15.5932,0.04905,467.9318,0.0148,1872.80205,0.6956,0.6956,0,0.03045,0.1244,205.095,221.529,0.00775,0,-7.265,-4.8661,-7.9378,-7.0447,-15.725,-15.7645,-16.52345,-16.0305,-12.6196,-16.09805,-14.7904,-13.6176,-13.1844,-14.24585,-13.99345,-11.85635,-14.49855,-13.75865,-12.74255,-12.6075,-12.8078,-12.9314
1,7.75,5.3249,0.7426,0,0,37.269,102.27855,-15.78165,0.0601,467.33455,0.01455,1871.755,0.2042,0.2042,0,-0.0417,0.1209,204.11,221.219,0.0103,0,-7.02625,-4.85205,-7.84775,-6.9264,-15.7252,-15.7538,-16.52535,-16.0323,-12.62505,-16.0871,-14.787,-13.6134,-13.184,-14.24495,-13.9991,-11.85975,-14.4859,-13.7633,-12.75095,-12.598,-12.8116,-12.93385
1,8.25,5.4867,0.6769,0,0,38.0962,102.3271,-16.5729,0.0331,465.2271,0.01465,1868.5845,-0.0384,-0.0384,0,-0.0423,0.1649,205.5885,221.641,0.0123,0,-6.8572,-4.7925,-7.72595,-6.59015,-15.72075,-15.75805,-16.51695,-16.04205,-12.62695,-16.08165,-14.7667,-13.6098,-13.194,-14.24275,-14.00605,-11.85825,-14.497,-13.76565,-12.74655,-12.5903,-12.82535,-12.93585
1,8.75,5.48535,0.70905,0,0,39.0696,102.311,-14.91395,0.049,464.6957,0.01565,1868.89015,-0.01535,-0.01535,0,0.01085,0.2072,204.7375,221.441,0.0103,0,-6.8534,-4.76245,-7.56625,-6.68665,-15.71385,-15.77295,-16.51345,-16.0499,-12.6367,-16.07815,-14.77415,-13.6029,-13.2015,-14.24215,-14.01005,-11.8602,-14.5182,-13.78235,-12.75955,-12.5874,-12.8216,-12.93595
1,9.25,5.7076,0.7378,0,0,38.0256,102.3052,-17.5387,0.0625,466.818,0.0167,1869.0604,0.1417,0.1417,0,0.0102,0.19355,204.831,221.3075,0.01435,0,-6.82025,-4.8489,-7.40315,-6.6449,-15.7103,-15.76525,-16.5008,-16.0308,-12.63495,-16.05595,-14.7795,-13.6093,-13.2256,-14.25425,-14.0016,-11.8517,-14.51705,-13.7862,-12.7763,-12.585,-12.83075,-12.9408
1,9.75,6.03275,0.67665,0,0,37.6004,102.3153,-17.6349,0.0401,465.02525,0.0144,1878.59775,-0.2048,-0.2048,0,-0.0187,0.2001,204.2475,220.851,0.03205,0,-6.66905,-4.6278,-7.24205,-6.4503,-15.7103,-15.7475,-16.49055,-16.00725,-12.6286,-16.03935,-14.77995,-13.60835,-13.2389,-14.2494,-13.99695,-11.8569,-14.52105,-13.7847,-12.78005,-12.5712,-12.84085,-12.94655
1,10.25,5.65195,0.64005,0,0,37.9076,102.299,-17.6168,0.0528,465.56085,0.0144,1880.1649,-0.1067,-0.1067,0,-0.0453,0.1966,201.4555,220.1465,0.0925,0.1973,-6.69605,-4.47885,-7.09525,-6.32875,-15.72925,-15.7341,-16.48465,-15.9773,-12.6328,-16.0545,-14.7782,-13.61995,-13.26225,-14.2374,-14.0019,-11.8567,-14.5285,-13.79115,-12.78235,-12.5585,-12.8419,-12.9496
1,10.75,5.3857,0.834,0,0,36.8119,102.2862,-17.7929,0.0428,464.3825,0.016,1879.83425,-0.13845,-0.13845,0,-0.0051,0.2018,200.802,219.78,0.2336,0.59275,-6.61185,-4.4413,-7.20625,-6.35025,-15.765,-15.7415,-16.4983,-16.0183,-12.6341,-16.0694,-14.7972,-13.6339,-13.2856,-14.2671,-14.0391,-11.8507,-14.5164,-13.7721,-12.7746,-12.5964,-12.8298,-12.9726
