DOY2,HR2,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,SC,H,LE,SH,SLE,PA,RH_1_2_1,RH_1_1_1,RH_1_3_1,T_SONIC,T_SONIC_SIGMA,TA_1_2_1,TA_1_1_1,TA_1_3_1,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,CH4,FCH4
1,5.25,559.7906,29.0239576449857,12.43355125,19.737965,2.68816368892599,0.690707,36.88078,69.1814625,2.436062,1.8910895,103.3926,85.2350125,100,100,23.64042,0.876969199999999,20.8758,20.77974705,20.432020875,4.59426902888257,415.012105666666,418.254321916667,0,0,18.351438725,18.1276099166667,-0.001977632,1.490614,0.5238812,1.476082,0.5989196,4.920662,2192.236,6.52020300000002
1,5.75,531.650149999999,22.7006269349591,7.52581249999999,20.58968,2.40377031777089,0.7955034,27.95634,55.14252,2.044508,2.6278965,103.423375,88.3841125,100,100,23.565345,0.68931235,20.856645,20.6102359083334,20.183051425,4.44932223014415,408.621742166667,418.622282416667,0,0,18.3522738166666,18.0849682083333,-0.00103999270000002,1.42420075,0.4766232,1.24274525,0.566308975,4.608556,2212.786,6.886006
1,6.25,531.8968,56.8235054608432,10.29082025,21.442025,3.82562010311665,0.7777361,30.6510774999999,69.3130924999999,2.517987,6.940012,103.4445,86.8513125,100,100,23.76423,0.8805642,20.95756,20.751365,20.4093085333333,4.72536828234032,410.010543583334,418.777519916666,0,0,18.3474814,18.0438125833333,-0.002371953,1.642156,0.5302493,1.555264,0.6535204,4.734628,2205.588,8.438212
1,6.75,459.25175,32.4589210851694,13.388025,21.02028,2.31350951301011,1.24765,20.162575,96.1966799999999,2.15820324999999,5.2563655,103.4806,90.6030375,100,100,23.3890625,0.870174725,20.2511375,20.572399825,20.2287595916667,5.63854726613406,406.822623333333,411.148881833333,0,0,18.3432831916667,18.0135421916667,-0.00184160525,1.9937955,0.587365475,1.615845,0.710775399999999,5.14900025,2226.233,8.74944549999997
1,7.25,502.849275,81.6780319704009,8.64472175,24.141375,3.44655636195312,2.06501,30.4926175,59.2056924999999,2.33925299999999,8.18185799999998,103.5243,98.4564774999999,100,100,22.87755,0.8327987,20.18057,20.4112401166666,20.1530253166666,5.61031711510317,400.987322166667,412.746942083334,6.90884431083333,3.17425589166667,18.334571625,17.9861799666667,0.00187331300000001,1.838125,0.6124598,1.65182,0.6963725,5.863235,2202.5315,11.6781775
1,7.75,457.96755,51.5373793515193,11.10517525,23.4879625,2.16623780363019,2.22445937499999,40.843645,77.9863725,4.064036,5.036955,103.5612,98.62203,100,100,22.55576,1.262434,19.92518,20.0747534833333,20.03355785,5.74434748250845,401.095405333333,412.735030083333,75.1617974333333,18.6230366583334,18.2931488333334,17.9502668666667,-0.002976931,1.878124,0.5227378,1.754288,0.6660936,5.322883,2229.672,27.35781
1,8.25,444.0518,33.9473380095947,11.79004,24.018195,2.50357474325795,0.4367436,49.41632,95.5954449999999,7.45499,7.005524,103.6206,84.4003,100,100,22.7177175,1.07227225,19.990175,19.52142155,19.107386175,5.8227606345001,395.042528833333,411.58693775,181.905535083333,34.9547720583333,18.2141795,17.900666725,-0.00707448425000001,1.6050555,0.538331025,1.47320675,0.675983124999999,5.751114,2238.324,35.12108
1,8.75,445.5802,27.7750415674374,4.959524,19.489395,2.85373285467885,2.055872,65.1035025,95.597955,7.044261,5.30317625,103.551775,98.9115,100,99.965599975,22.6792,0.88918375,20.3616,19.7599621583333,19.5292957416667,5.81463732723116,397.916194583334,415.032387083333,288.576211,39.704671,18.108827875,17.8445229,-0.0044466475,1.8876275,0.609991,1.6257125,0.737919,5.5389,2204.9925,18.4324125
1,9.25,492.1218,60.2903786642822,5.038695,19.5912875,5.2953749465183,1.6842034,99.7011049999999,121.00745,8.46458225,16.3343719999999,103.713125,91.198,99.79969565,99.522197025,23.4013075,0.859231574999999,20.6238875,20.2468215916667,20.1972508083333,6.15385968888838,396.99749775,418.5043975,396.755811583333,48.33907175,18.0351385666667,17.7933762416667,-0.0108671965000001,1.809875,0.599473275,1.650289,0.725482825,5.9859835,2156.402,32.84376
1,9.75,450.710325,23.0156577574608,2.440518,20.370365,2.79835753765346,0.800120999999998,105.0735,121.85735,5.412372,3.6320225,103.759675,84.30252,99.640492075,98.9009441166667,24.03492,0.7632021,20.99561,20.7251293916667,20.76366585,6.91706022720736,404.740213166667,419.751452833333,496.349792666667,51.89574075,17.9675367583334,17.7567938083333,-0.0133531225000001,1.8905225,0.59584515,1.74019825,0.717350224999999,6.0631345,2115.28225,25.9820475
1,10.25,475.756925,68.9632283581771,6.00368574999997,19.095505,5.31509229235902,3.09291649999998,124.63135,134.466975,4.90526475,18.16851,103.79395,86.1900425,98.2141825166667,98.6742674333333,24.84393,0.6420944,21.55275,21.2881495,21.1700291416666,7.48805515283462,403.001202333333,423.83882125,572.627873166667,55.546135125,17.9444293416667,17.73231915,-0.019199235,2.0300865,0.6054922,2.00823325,0.816405999999999,5.87770975,2084.5025,26.736675
1,10.75,429.9802,58.8862706683966,1.119572,20.62413,5.17948626458903,1.2984194,137.536875,144.86725,3.5914655,5.30250799999998,103.797725,91.356225,97.4686066,97.446924025,25.4784325,0.619385425,22.4093925,22.1126553583333,21.9228168583333,8.3999515396085,403.943440666667,425.819167916667,642.174806166667,54.7313723375,18.103135675,17.7095635833333,-0.0190250675,1.8315485,0.559845975,1.93654225,0.736565925,5.27409925,2077.555,32.0559125
1,11.25,426.94105,15.3015682342354,3.99540724999999,20.1669825,3.58864564646945,0.678824,148.648325,168.4387,3.25639375,4.21629149999999,103.7928,83.08981,96.25198465,96.5502436666667,25.55184,0.68816435,23.0479925,22.4101159333333,22.5600137,9.38381425223032,404.014643333333,429.690489,692.1240795,57.0514784517241,18.2441525166667,17.708154225,-0.026530085,2.02151325,0.5999584,2.069784,0.821328849999999,5.3695015,2069.158,41.99178
1,11.75,426.44175,23.2299684545411,3.28982725,20.2796075,2.90797646608984,0.2822748,163.383525,177.435,3.0543,5.28223149999998,103.77475,94.795025,96.47770175,96.5364080833333,25.9289125,0.72496145,23.2593825,22.63205325,22.6793540416667,10.3539039362532,399.1576225,429.871357916666,729.050485,59.945206,18.28681825,17.7377055,-0.01393573,2.1111685,0.6334497,2.183455,0.830095749999999,5.577656,2070.5765,38.7458975
1,12.25,426.7365,19.7859484676508,0.2515755,19.4003025,1.62233547074754,1.292715,175.375,168.434725,3.46028,4.11856974999998,103.74175,75.74091,96.7982825,95.8320047916667,26.37005,0.709399,23.3742,22.97961225,23.085764125,10.8985789262156,397.897732916666,429.5981625,742.350849583333,62.9047799583333,18.2901815833333,17.804878,-0.02716285,2.15853,0.59250725,2.311385,0.8476335,5.639335,2069.868,42.782345
1,12.75,454.162025,16.4524362761882,0.532418842499996,19.412225,2.99657046995845,1.21935125,203.0988,164.46825,2.70471,3.42721199999998,103.702575,93.7078,96.6352644,95.316881,26.923335,0.7696127,23.66127,23.6428379,23.6255307333333,11.4762970853259,402.371723666666,434.820095333334,740.111585,62.4520666666667,18.3936692666666,17.8322873583333,-0.0244265975,2.10291275,0.614172125,2.20462675,0.791244375,5.4045555,2068.687,47.4665199999999
1,13.25,426.3105,17.877435230664,3.607702,19.976675,2.30866990383058,0.602657174999997,180.4534,180.573375,2.29727725,5.74233,103.6771,79.399025,96.2683861083333,95.8775176583333,27.27115,0.7801136,23.73374,23.9298646166667,23.8928064833333,12.030353306892,399.952138083333,435.902930083333,723.335158666667,59.5176833416667,18.4025074,17.8447355166666,-0.03645124,2.047376,0.6182685,2.172035,0.8162771,5.393522,2074.1105,44.5237549999999
1,13.75,430.2269,5.8360405025917,0.486896724999998,20.1276925,2.25923150328571,0.440134299999998,194.2047,172.5939,2.5233945,5.46493,103.6651,78.36642,95.600862375,95.6275681833333,27.04916,0.7584512,23.64128,23.831431875,23.887375075,12.5710860251231,409.013332083333,436.604333666667,677.106231833333,61.0989215833333,18.4288516,17.9006211833333,-0.0315381,2.228142,0.657757,2.234509,0.8422467,5.669238,2073.03525,39.1665725
1,14.25,459.1012,28.7663100534548,4.11973500000001,20.003375,4.01576877851661,0.403376724999999,180.5758,169.4061,1.8376265,2.38759,103.6607,81.0714974999999,94.9834139333333,94.995199075,26.95267,0.7061344,23.71679,23.8705721,24.04838265,12.9180698430795,410.85978275,439.072154416667,637.569362916667,57.3251926166667,18.5028892583333,17.9307819166666,-0.0196723699999999,2.095745,0.6254317,2.01689,0.7931628,5.714674,2068.07,59.7589
1,14.75,427.9903,4.9480334059057,0.496788400000002,20.024575,1.05214285543427,0.1658026,160.9165,165.63775,1.7870205,2.11989524999999,103.648,73.181405,95.470905225,94.8723504416667,26.97677,0.6836382,23.59985,23.9185490333333,24.106562225,13.3646809466865,404.73844925,439.2719765,571.013181666667,53.4452852666667,18.5833924083333,17.9330310333334,-0.0249274,1.975362,0.6497566,1.976889,0.8025671,5.115708,2059.67,55.8315
1,15.25,457.65315,13.7709091185306,0.176247649999999,20.01304,1.87301574905638,0.323168599999999,132.62485,147.7164,2.547251,3.405158,103.65205,85.86194,96.2608005416667,95.5564402666667,27.021075,0.67422055,23.645575,23.9636772166667,24.05189865,14.4886214503593,404.965504916667,436.463729,481.936646416667,49.0422370333333,18.678537275,17.9201387833333,-0.029411465,1.8618445,0.59703355,1.8092725,0.73950855,4.873735,2048.4205,45.31743
1,15.75,461.842125,32.677317080269,1.29641125,19.894635,3.46024860141723,0.552698349999999,112.402,133.833925,1.4064155,5.42392200000001,103.65975,83.60824,95.2311012666666,94.7007335,26.4994875,0.557208125,23.188275,23.7037777,23.6781786666667,14.4349489611735,407.277571333333,433.468701,397.573059333334,43.6855659,18.8029275,17.9385774583333,-0.018475,1.80724,0.570328875,1.71715875,0.7458825,4.93440125,2043.31425,35.95887
1,16.25,439.0592,19.3131956348889,1.1310232,19.981385,1.38594579930838,1.319247,69.48318,114.677575,2.01833625,4.83086975,103.6596,81.991765,96.1672245333333,96.2341797333333,25.74864,0.4072204,22.66944,23.0852550666667,23.0917730333333,13.784926709221,406.318891333333,430.261788333333,277.005450666666,34.7162469666667,18.8573096333334,18.04079095,-0.01832478,1.786682,0.5930804,1.694568,0.721858,4.92037399999999,2046.741,13.89949925
1,16.75,429.695,7.58987836962206,1.785024,19.436565,0.754033696402388,0.4313546,37.3426599999999,82.01682,0.539551199999999,2.4067225,103.6404,82.3146875,95.8740490666666,96.0510226666666,24.7815,0.5085714,21.7386,22.1209986333333,22.0867279666666,12.7684079629063,402.135387333333,425.166488666666,181.584434,28.6141111666667,18.9206638,17.2232334,-0.010305,1.632494,0.5502092,1.625146,0.6919744,5.17352,2047.928,12.174595
1,17.25,435.3378,9.31597867732596,6.79180599999998,19.651715,0.697403381525731,0.723494799999999,13.799064,112.6543,0.2084976,3.274297,103.6368,82.5374975,97.0108638666666,96.4091365333333,24.1324,0.8031398,20.78056,21.2889837666667,21.2029637333333,10.3469219622877,402.511217666666,420.227466333334,77.1189826333334,14.7296414166667,18.9540319,17.1924646,-0.003853808,1.54175,0.476881,1.427716,0.6429354,4.76747,2043.605,8.5126375
1,17.75,427.701375,5.4396382057512,2.6694125,19.363445,0.492255888934173,0.451206125,6.82258,54.60496,0.279471,2.53247,103.612625,83.2501525,96.8023709,96.4534653333333,24.0018,0.745589125,20.4321125,20.9204045,20.7743803,8.7376788778837,398.830667666667,417.642823666666,3.21454358333333,1.18928739333334,18.9727647333333,17.9086116833333,-0.00263261,1.41135375,0.462973625,1.3605925,0.5908435,4.004445,2037.02,1.79337625
1,18.25,432.649,19.541138151929,4.602635,19.789825,4.05824446171506,1.35756875,9.97102375,58.95722,0.629796125,3.76133275,103.624625,88.0064475,96.7445889666667,96.5999857333333,23.489075,0.630901875,19.896875,20.2377007666666,20.1369734666667,7.72034211921949,397.516404,414.555268666667,0,0,18.9730978333333,17.9888883666666,-0.00163438625,1.27478375,0.43655075,1.19154625,0.5559865,4.1592425,2057.5425,2.6500345
1,18.75,429.070375,25.6139752265123,4.25171249999998,19.834325,2.06716223910815,1.11321,5.50746375,72.2365875,1.11387,2.39829699999999,103.62975,89.661225,96.8867354666667,96.6495386333333,23.145625,0.67312575,19.6642625,19.8276773666666,19.8184285666666,7.48203412852628,398.989387333333,413.480078333333,0,0,18.9604017666667,18.2251713666667,-0.0013575,1.40101625,0.46454425,1.07151,0.565670375,4.51215375,2056.1755,5.20527149999999
1,19.25,432.2502,10.9374710677494,6.908158,19.563505,1.0669706666232,0.803497499999999,3.8136825,60.6306,1.5260505,2.5931995,103.6406,84.1916025,97.7930870666667,97.3410986,23.22048,0.6305741,19.737455,19.8502351,19.6489188333333,7.35826356704804,397.887101666667,411.344062666667,0,0,18.9597348333333,18.2738360333333,-0.00268637500000001,1.378678,0.475130449999999,1.1347325,0.57632175,4.533928,2050.4615,1.68955675
1,19.75,434.5074,26.1173479894838,7.15359424999999,19.736375,2.76604879077658,0.908473149999999,4.02723399999998,74.6160549999999,1.84802899999999,7.72608799999994,103.6366,84.891465,98.1972899666667,97.7458531666666,23.18968,0.64131785,19.77302,19.9242587666667,19.6639156333333,6.75049291375681,402.117946,411.301057,0,0,18.9054234666666,18.1951837833333,-0.001885264,1.374366,0.4668656,1.1227555,0.57379395,4.948834,2053.01,4.47015
1,20.25,484.6066,67.9013314215254,3.939458,20.20118,5.63978221141205,6.44605899999999,7.82540149999999,61.7585775,1.667163,8.01171249999999,103.62195,95.27074,98.1696447666667,97.9442317,23.126815,0.697801999999999,19.919745,20.2778323666667,20.1595140666667,6.38780168078983,402.424792,411.981247666666,0,0,18.8352778666667,18.2407881166666,-0.000985859,1.5152745,0.5189441,1.162282,0.6212744,4.983029,2052.652,1.70270299999999
1,20.75,503.820175,62.7865955691269,6.00097525,19.5052,5.38849301162199,8.73270599999997,10.67108275,52.07557,1.95788525,13.64349,103.5887,84.8919,98.8608970666667,97.9557747,22.83171,0.899323825,20.2184625,20.174203,19.9160264666666,5.92208801813386,403.684548666667,413.373798333333,0,0,18.7667709666666,18.4228421833334,-0.000893234175000002,1.4244695,0.498343475,1.33253125,0.6166132,4.96397775,2051.0825,2.60769299999999
1,21.25,485.54545,49.9799268743746,5.90150825,20.4346325,4.00179689687517,1.0215048,10.205358,69.0123174999999,1.891122,4.40203,103.560975,90.11455,99.1669669,98.2818372333334,22.8306125,1.23303265,20.3923175,20.4610192666667,20.1290857,5.7184207980497,403.264762666667,414.273239333333,0,0,18.6995185,18.4310238833333,-0.00122883075,1.568765,0.548959325,1.185752,0.623455725,4.96539225,2055.3255,2.86546024999998
1,21.75,446.0974,17.9066873136201,6.45614649999999,18.677275,2.55920691416887,1.255455,7.799925,77.577,1.470448,2.171655,103.5244,85.3684175,100,98.7595187666667,22.5827,0.7511586,20.08068,20.1386307666667,19.9491933666666,5.5316526590972,401.006233,412.492816333333,0,0,18.6313120333334,18.42718875,-0.002587068,1.431608,0.5152298,1.162237,0.6464595,4.827224,2078.543,9.42250249999999
1,22.25,461.4229,68.1874519573593,7.45684100000001,19.9660025,3.36847766852383,1.6046705,12.450836,81.614325,1.4373945,5.35473199999999,103.5069,87.437075,100,99.1367305,22.62947,0.699582749999999,19.77792,20.2170319333333,20.0589046333333,6.18937516131799,408.979168666666,415.411198666667,0,0,18.5857269333333,18.52750985,-0.00158234950000001,1.526857,0.5518471,1.3508965,0.68716245,5.194973,2076.9375,5.35778674999999
1,22.75,470.1755,25.4051931949784,7.18603599999999,18.1832225,3.80519377768276,0.62734785,6.8010965,73.3555424999999,1.933926,14.3951554999999,103.4749,91.8223149999999,100,99.2152447,22.477945,0.754666499999999,19.96552,20.3171940333333,20.1275189333333,5.91426343596372,407.660503,416.503373,0,0,18.6118792,18.54102565,-0.001735225,1.508203,0.56971805,1.30241,0.740179849999999,5.222438,2073.2,3.37469
1,23.25,462.70115,36.4289563815453,9.12838500000001,17.804495,4.08230041732813,1.53694615,5.535361,69.917425,2.058716,4.358975,103.467825,96.9560649999999,100,99.8486837666667,22.854045,0.720411575,20.1097875,20.3619552,20.0344695333334,5.78352859860712,405.898916333334,417.541771666667,0,0,18.6600646666667,18.29551325,0.000778821649999993,1.61984525,0.564209125,1.274798,0.74843665,5.657641,2078.527,3.46649049999999
