DOY2,HR2,TA_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,RH_1_1_2,WS_1_1_1,PA_1_1_1,PA_1_1_2,CO2_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,USTAR_1_1_1,TAU_1_1_1,H_1_1_1,FC_1_1_1,LE_1_1_1,WS_1_1_2,T_SONIC_1_1_1,G_1_1_1,G_1_2_1,G_1_3_1,G_2_1_1,G_2_2_1,G_2_3_1,G_3_1_1,G_3_2_1,G_3_3_1,T_CANOPY_1_1_1
1,6.25,-16.53144305,43.053992525,0.1506626,2.1331842,42.434833325,0.32746165,68.09313755,68.67537755,412.559343425,-72.8251387,-0.33742115,-4.36223425,-0.1582526,181.4790355,231.2429544,0.0160418,-0.96386755,-51.3876372,0.03707375,-4.950726,0.4373556,-17.9505492,-3.658683875,-3.9543259,-3.2096286,-2.7427007,-2.265821925,-2.82840335,-2.923680525,-2.918457875,-2.71954695,-22.73668005
1,6.75,-16.650307,40.055279,0.1440822,2.0436628,38.75561725,0.0638088,68.1166706,68.6929684,412.340753,-71.521012,-0.33738375,-4.2484926,-0.240014,179.97753,236.325067,0.037796625,-0.895915125,-46.222122375,0.0671245,-7.1335655,0.375872,-17.959835,-3.6714328,-3.9756678,-3.1934962,-2.7422072,-2.2654138,-2.8313912,-2.9278344,-2.830839,-2.6814068,-20.623958
1,7.25,-17.13955375,40.8106082,0.19195175,1.94593075,39.553374,0.20911,68.1235346,68.7121476,412.39755285,-71.5086108,0.710756,-1.8211176,0.3340142,179.9856866,231.7710034,0.0532493,-0.68482875,-38.28297225,0.0848803,-9.38901375,0.39454875,-17.9192692,-3.667379,-3.985142,-3.19335625,-2.7421995,-2.2654075,-2.8306145,-2.927462,-2.831543875,-2.68282925,-20.7549445
1,7.75,-17.47301815,38.08880625,0.1533336,1.854127,33.87618425,0.072495225,68.13972225,68.7176488,412.590805725,-61.73874975,10.13874375,5.41119365,4.733221175,178.731063275,226.551522775,0.031588,-0.6196254,-32.5630538,0.100034225,-5.452314275,0.092272875,-17.67749695,-3.72498035,-4.0558514,-3.1860864,-2.74204315,-2.26527885,-2.826571,-2.9205534,-2.82924985,-2.67894235,-21.3887165
1,8.25,-17.881,44.5991963,0.15076575,1.76219725,38.1968534,0.0717526,68.1883378,68.77006225,413.33491585,-66.6851703,21.5657196,17.1953524,14.3604536,172.0886267,230.8954247,0.05156725,-0.448716875,-30.263460875,-0.56405465,-4.84636895,0.27727535,-17.47522245,-3.7037587,-4.01972895,-3.2223811,-2.78699295,-2.326870475,-2.826092275,-2.9034975,-2.99361105,-2.7997146,-19.9801834
1,8.75,-17.988128125,44.7771395,0.190122,1.6113175,41.662823,0.1920178,68.20923815,68.80852355,413.30795045,-50.9644269,83.9861304,31.88738075,26.6779562,176.3309006,234.25664995,0.0386192,-0.82509255,-19.4281305,-0.670422725,-2.0006772,0.421065,-17.30339425,-3.6929846,-4.00886755,-3.2131633,-2.797499825,-2.326670525,-2.8268656,-2.924961925,-2.99066245,-2.79556265,-18.807312
1,9.25,-17.0257592,47.8969233,0.201008325,1.691650425,41.827754575,0.196381,68.2110062,68.8115523,413.57841895,-24.923006,123.1327325,50.9459675,41.7169428,179.0406999,235.8047269,0.0765579,-0.73866135,-17.846880875,-0.3220499,-0.920153425,0.4233228,-17.158234,-3.670275,-3.972706875,-3.2129485,-2.807181125,-2.32634775,-2.8159315,-2.931663625,-3.001259375,-2.81223525,-18.440531425
1,9.75,-16.3466383,46.133333125,0.2126586,1.731119,39.7395,0.3692805,68.2277072,68.8233375,414.098748975,-51.4873166,202.077283,67.9613748,55.5666361,183.9592599,241.5413682,0.0751053,-0.61449035,-22.0800541,-0.482632075,1.271378175,0.294340425,-16.61559685,-3.6490271,-3.9686331,-3.2181173,-2.79639495,-2.3259915,-2.81448275,-2.93582315,-2.98969225,-2.8003138,-17.9299655
1,10.25,-15.92682305,41.424150475,0.24194385,1.780882125,38.16687025,0.9602368,68.237747725,68.823721,413.7093618,-29.0949755,183.00445685,86.1655781,76.9407311,188.2730618,245.7665518,0.1066605,-0.818920725,-12.3465576,-0.6146858,-0.5995926,0.2881319,-16.516215325,-3.6416162,-3.9718518,-3.2297048,-2.7943276,-2.3257162,-2.8115468,-2.9330352,-2.9887222,-2.7961554,-17.33656235
1,10.75,-15.821883975,39.745991125,0.263700175,1.8798174,38.7812538,1.068819125,68.2043667,68.78676425,414.522909,-29.562746875,272.619393,97.57935625,80.998087375,187.687379375,246.03565825,0.11468835,-0.8248513,-17.568990675,-2.1107952,6.4813998,0.658838575,-16.380470125,-3.646552875,-3.981189975,-3.23160875,-2.83771585,-2.32556355,-2.80877315,-2.928326375,-2.998488275,-2.80825095,-16.8467308
