DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
8,2.25,3.70075,4.6173,-2.0865,-9.53,-2.04725,-2.9445,-1.9725,-2.349,-5.257,-1.6499,-2.0767,391.6625,12.97125,87.31,20.379,0.290375,19.455,19.40825,19.0585,68.268335,0,0,0,0,311.93,387.55,-70.4575,15.83,16.98,18.21,18.24,16.54,13.89,0.4249675,1.078925,0.9749925,0.56195,3.36798
8,2.75,3.7,4.713,-1.44585,-9.525,-2.06925,-3.14125,-2.1385,-2.55825,-5.4137,-1.6326,-2.19784,391.8025,12.7815,87.3,20.3575,0.2819575,19.3425,19.4145,19.057,68.0355,0,0,0,0,311.41,386.5,-70.3985,15.59,16.77,18.01,18.17,16.52,13.89,0.4090725,1.009175,0.9394475,0.558815,3.3579
8,3.25,3.48,4.58125,-1.2514125,-9.5325,-2.0605,-3.27975,-2.29075,-2.73,-5.7441,-1.91649,-2.5093,391.88,12.757,87.3,20.1115,0.2879075,19.06,19.0865,18.879,68.3765,0,0,0,0,310.6,386.23,-70.0285,15.39,16.56,17.845,18.08,16.53,13.89,0.39162,0.9637,0.901915,0.537015,3.2056
8,3.75,3.281,4.017575,-1.0985,-9.3825,-2.094,-3.4985,-2.3505,-2.86675,-5.72698,-2.1294,-2.59588,391.9675,12.76875,87.3,19.95825,0.28941,18.855,18.94675,18.6285,68.279,0,0,0,0,309.76,385.3,-69.8765,15.18,16.35,17.715,18.01,16.56,13.8975,0.377,0.9546025,0.887775,0.5300375,3.0991
8,4.25,3.0105,3.925815,-0.94338,-9.515,-2.1525,-3.612,-2.497,-2.997,-5.74439,-2.2359,-2.5959,391.62,12.76,87.3,19.84275,0.2942625,18.7175,18.9105,18.59,68.45,0,0,0,0,308,383.83,-70.020835,14.95,16.19,17.56,17.96,16.56,13.89,0.3376775,0.93101,0.851175,0.456555,2.98
8,4.75,2.37,3.23094,-0.720485,-9.47,-2.1485,-3.7485,-2.622,-3.1415,-5.7444,-2.6441,-2.5959,391.795,12.793,87.3055,19.637,0.2740275,18.6475,18.694,18.476,68.4515,2.0220025,2.8446,0,0,307.83,383.35,-68.426,14.73,15.99,17.425,17.88,16.54,13.88,0.339155,0.8977,0.86755,0.453,2.96455
8,5.25,1.3005,3.279,-0.81475,-9.3475,-2.1285,-3.7545,-2.797,-3.2315,-5.7444,-2.6618,-2.7863,391.7568125,12.877,87.315,19.527,0.27967,18.59425,18.5325025,18.38,68.958335,35.215,30.7085,18.91275,6.5453325,307.05,381.97,-58.488665,14.53,15.81,17.3,17.79,16.52,13.8875,0.34051,0.8655,0.820675,0.4595,2.93335
8,5.75,0.423,6.365,-0.885,-8.405,-2.0985,-3.81175,-2.775,-3.234,-5.7444,-2.5198,-2.8728,391.49,12.862,87.33225,19.3755,0.25843,18.7875,18.55175,18.687,67.545,137.966665,83.08425,85.9275,20.177,306.5,383.7,-17.3075,14.5,15.68,17.19,17.7,16.51,13.88,0.32947,0.8391,0.8077,0.449185,2.8315
8,6.25,-0.04,21.936,0.041769,-6.9005,-1.904,-3.56175,-2.43025,-2.8645,-5.5007,-1.7923,-2.5959,390.4,12.93075,87.3415,19.304,0.21907,19.05,18.56175,19.0785,65.713,309.15,136.7325,171.3225,30.227,307.16,388.56667,47.0635,14.62,15.64,17.1,17.61,16.51,13.87,0.34268,0.8699,0.81234,0.45587,2.6927
8,6.75,-1.31975,51.31802,19.27925,-4.38675,-1.581,-2.94725,-1.808,-1.92225,-4.6129,-0.85177,-1.8863,389.17,13.074,87.35075,19.58,0.2676,19.42,18.6985025,19.415,63.606,500.55,188.09,270.235,37.9,308.79,396.74,128.42,15,15.76,17.02,17.53,16.49,13.86,0.370935,0.86932,0.7872,0.4752,2.51
8,7.25,-2.88575,84.0035,58.492,-1.1095,-0.9515,-1.48025,-0.64725,-0.598,-3.0463,0.5146,-0.57111,388.665,13.00049,87.3695,20.1125,0.332705,20.3305,19.1985,20.1165,60.862,692.5,241.3,370.185,45.19325,309.7475,405.035,215.2575,15.66,16.02,16.97,17.46,16.47,13.8875,0.4399375,0.9426,0.844745,0.5461675,2.51278
8,7.75,-3.424,115.855,114.7125,1.86975,0.239,0.672,1.16625,1.37775,-0.60905,2.2535,1.2802,388.345,13.04425,87.36975,20.73475,0.4276075,20.595,19.879,20.7975,57.9595,886.2,287.97,468.24,53.4265,312.5225,414.4941675,301.4975,16.67,16.42,17.015,17.42,16.46,13.87,0.488,1.04385,0.93403,0.614345,2.63265
8,8.25,-4,136.515,171.89,4.297,1.8,2.7265,2.82975,4.0155,2.6102,4.6477,3.3389,388.335,13.0325,87.3735,21.37725,0.5039475,21.3125,20.67,21.4475,55.3245,1066.2749975,353.465,561.795,61.57,315.6225,422.1475,382.9275,17.49,16.87,17.09,17.36,16.46,13.89,0.513,1.0765175,1.040375,0.668735,2.6338
8,8.75,-4.314,148.475,226.485,5.7425,2.871,4.14575,3.883,5.7625,5.2722,7.2906,4.6537,388.615,12.7735,87.374,22.0065,0.5780575,22.27175,21.3115,21.935,52.51025,1236.775,424.535,645.795,71.2275025,318.7674975,430.7175,458.1625,18.5,17.43,17.205,17.3,16.45,13.91,0.54975,1.136,1.1477,0.710475,2.74403
8,9.25,-4.27025,154.4775,272.86,7.075,3.433,5.95075,4.932,6.7935,6.698,7.52119,5.8288,389.365,12.55125,87.37975,22.67925,0.6519675,22.6725,21.9085,22.52525,49.17825,1390.6,463.99,722.28,81.626,322.185,439.365,521.7625,21.65,18.48,17.395,17.25,16.45,13.9175,0.5774625,1.19105,1.2477,0.7653475,2.8055
8,9.75,-4.274,173.51,321.4375,12.985,4.5295,9.815,6.4545,9.05,8.2305,10.747,7.8516,389.5625,12.34125,87.379,23.261,0.7142,23.48,22.5555,23.14,46.112,1522.875,478.6425,788.96,85.63333,324.2,446.14,580.766665,26.15,20.57,17.84,17.24,16.42,13.88,0.62025,1.3096,1.3419,0.81677,2.91355
8,10.25,-3.9745,167.71,368.995,16.4675,7.34375,23.9425,11.565,12.78,12.146,10.268,13.732,389.8742375,12.14275,87.37,23.901,0.76963,24.2591825,23.251,23.727,43.9635,1636.1,500.17,843.833335,86.9,327.23,454.16667,633.165,30.21,22.92,18.465,17.29,16.43,13.97,0.655645,1.4132,1.43368,0.856,3.022675
8,10.75,-2.96875,178.02,407.395,25.4075,10.51,35.0075,19.86,19.3375,13.794,9.7888,23.261,390.325,12.049,87.3615,24.532,0.82358,24.61,23.703,24.2235,41.5485,1723.25,526.9875,886.14,86.514,330.03,460.99,672.385,33.72,25.38,19.505,17.65,16.91,14.35,0.6855,1.5125,1.5454,0.88951,3.107525
8,11.25,-2.561,172.435,429.4225,60.6125,15.72,41.0025,22.99,28.935,18.316,13.422,31.906,390.1,11.986,87.3495,24.922,0.82875,25.22,24.28475,24.7335,38.988,1783.325,518.04,915.05,85.553,332.3,465.37,700.435,36.18,27.32,20.42,17.94,17.15,14.58,0.72031,1.5994,1.6048,0.927075,3.4188
8,11.75,-2.39,177.58,444.655,78.3,18.51,44.74,22.845,36.34,29.393,26.311,36.779,389.5475,11.87,87.3265,25.53585,0.86062,25.9,24.77775,25.27,37.5035,1819.7,538.3,928.0925,85.346,336.4474975,470.27,710.765,36.9275,28.55,21.145,18.08,17.19,14.69,0.7393075,1.682675,1.7128,0.962905,3.551075
8,12.25,-1.96275,163.515,448.79,92.175,19.3,47.18,21.5775,39.725,42.801,23.43943,38.818,389.88,11.80825,87.322,25.8515,0.86127,26.0925,25.2055,25.6,36.09,1827.05,520.965,928.92,85.55975,339.495,473.5825,712.45,38.52,30.12,21.84,18.27,17.26,14.81,0.80839,1.72936,1.766725,0.995015,3.75985
8,12.75,-1.715,167.625,453.65,94.525,19.2,48.84,22.7625,41.8875,51.743,16.38278,38.248,389.9175,11.667,87.3015,26.23625,0.855575,26.506,25.63975,25.9595,34.59,1809.15,529.07,915.8025,83.8,340.815,475.1075,700.785,36.7125,30.25,22.485,18.5,17.36,14.97,0.85,1.828625,1.8494,1.0558,4.01575
8,13.25,-1.1769,157.4775,444.02,90.825,17.395,37.75,18.275,32.705,56.596,24.911,27.545,389.81,11.60968,87.3,26.6195,0.8441975,26.9,26.21025,26.4115,33.27,1770.325,518.075,892,81.854,342.8075,476.355,678.19,32.15,28.65,22.66,18.53,17.26,14.9,0.8745,1.881925,1.910225,1.100525,4.2615975
8,13.75,-1.07,160.56,442.3025,57.83,11.93,24.54,16.8325,22.7875,53.795,25.78,19.539,389.7275,11.511,87.2975,26.904,0.8159,27.0025,26.4185,26.68,32.814,1688.45,524.0925,845.1,79.737,344.18,477.451665,638.56,29.67,27.09,22.455,18.25,16.85,14.4675,0.9196325,1.94955,1.903925,1.105225,4.5115
8,14.25,-0.789,147.925,399.2025,43.045,9.32,26.59,16.045,21.245,36.546,16.702,17.811,389.67,11.516,87.27475,27.146,0.7814,27.173,26.588,26.905,32.937165,1591.5250025,520.0925,793.65,77.0965,344.475,475.3225,586.5475,31.26,27.18,22.535,18.44,16.86,14.4875,0.948915,1.9732,1.9502,1.1307,4.6753
8,14.75,-0.34325,137.1075,367.21,52.795,7.445,22.9,12.7975,17.015,30.49896,14.09725,15.9345,389.3,11.5815,87.2535,27.16,0.7222,27.23,26.728,26.96,32.865,1468.7,478.7925,728.375,73.6025,344.6625,473.355,528.02,30.48,27.06,22.485,18.42,16.64,14.2675,0.957135,1.9763,1.93766,1.1307,4.797275
